"","Table 5#6#5BM1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144"
"11","3","E Manufacturing industries","C300",19716,15888,9972,35088,22692,12564,18024,29052,18228,34176,5352,30984,28152,40656,30492,19836,18588,18684,11304,12480,8664,24600,19572,-14256,-14700,16476,38136,2604,26100,-5496,24300,-1416,23496,9156,39636,39408,-13320,14700,-9588,26592,-4584,37464,12324,5376,-6420,19224,20916,-8100,29340,-12696,-42552,-4632,-25644,-41484,-24540,-27156,-33792,-13368,-27036,-30912,-19332,-16236,-7788,-9120,-17496,-7032,1956,2268,5160,-4056,-14688,15612,-21612,43680,-29016,-4224,-12936,-29460,-24480,-5544,-21072,5316,-16404,-1920,-12264,7812,2136,-7056,7560,17604,16332,8496,-29844,5568,28212,-12636,65892,35328,24072,2688,-3024,15900,43308,-12912,-13368,21996,4908,23880,45804,-24468,32400,30612,8676,23364,18180,6660,24060,16404,8292,-9588,1092,-8484,-21948,-9732,-1776,-19104,-15780,-22320,30624,-16224,9876,15216,49176,-3120,8208,-65184,-37836,-8472,-41688,-7440,-67116
"12","4","E   Durable goods industries","C30D0",15312,16548,-396,26796,15792,8376,22824,16608,7260,19860,-4164,24072,28980,33132,26616,22500,17796,18588,4992,19596,13044,21804,7320,1260,-22500,17364,30240,-7248,13020,-6084,20352,-7800,14472,-2508,24228,26916,-18384,11088,-8544,21492,-5940,28656,4716,13656,-7992,20172,24336,3828,28272,-2268,-39228,-780,-19452,-28224,-22656,-22668,-34380,-12276,-25512,-36144,-14616,-10524,-26952,-10200,-12060,-11736,-5988,-2940,-3300,-2352,-8004,27264,-20844,27516,-19656,-6324,-8472,-32292,-18228,-9684,-13560,14040,-14928,24816,-9504,-3804,-36,-4032,-288,13380,11748,6564,-10872,6000,16488,-2244,39828,31248,17508,5736,18312,2040,39360,-468,-3084,12612,20040,120,8424,-17772,15912,19380,1008,4848,20520,-2904,22056,19476,2028,2916,17184,-2520,-17172,-9816,-13392,-19008,-11628,-9780,12648,7860,14904,28056,5952,-3624,9228,-11436,-25620,-22080,-13404,-3840,-7236
"13","5","E   Nondurable goods industries","C30N0",4404,-660,10368,8292,6900,4188,-4800,12444,10968,14316,9516,6912,-828,7524,3876,-2664,792,96,6312,-7116,-4380,2796,12252,-15516,7800,-888,7896,9852,13080,588,3948,6384,9024,11664,15408,12492,5064,3612,-1044,5100,1356,8808,7608,-8280,1572,-948,-3420,-11928,1068,-10428,-3324,-3852,-6192,-13260,-1884,-4488,588,-1092,-1524,5232,-4716,-5712,19164,1080,-5436,4704,7944,5208,8460,-1704,-6684,-11652,-768,16164,-9360,2100,-4464,2832,-6252,4140,-7512,-8724,-1476,-26736,-2760,11616,2172,-3024,7848,4224,4584,1932,-18972,-432,11724,-10392,26064,4080,6564,-3048,-21336,13860,3948,-12444,-10284,9384,-15132,23760,37380,-6696,16488,11232,7668,18516,-2340,9564,2004,-3072,6264,-12504,-16092,-5964,-4776,84,11616,-96,-4152,-12540,17976,-24084,-5028,-12840,43224,504,-1020,-53748,-12216,13608,-28284,-3600,-59880
"14","6","E Wholesale trade industries","CWT0",46488,8712,14028,16404,22836,61440,-888,20088,29136,24096,30936,34908,13020,45456,27828,156,28836,1236,11496,42696,34224,20892,28824,11400,7164,32148,18816,6912,9432,9732,33552,18624,17844,32784,35856,7104,29448,14016,14796,28152,12972,33444,17100,20208,6336,22980,20172,-8352,4188,-504,-1020,16800,15408,-23856,-31908,-2268,-19584,-24624,-36288,-22932,-16152,-36492,6612,-16272,5076,10356,27948,-828,7848,-14376,2568,36048,-13032,7092,-768,7308,-20352,-6840,708,-3732,9192,21540,-2748,9168,-7476,27948,3828,-23688,33708,29340,51564,37068,1344,33852,38808,1464,59016,17436,12372,34416,-6840,21780,10800,6048,-10080,17028,13296,33132,11832,38112,-9444,36804,14628,15924,19392,45948,30384,27924,38568,-65892,-7224,7524,-6300,-6216,288,10260,-300,6768,44688,-34920,11580,17364,9108,3432,-36588,1776,-21576,26160,10776,22884,-16824
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","E     Durable goods industries","CWTD0",25836,10176,13416,19248,22044,45492,-12756,8784,26556,6696,11592,30828,18876,32088,25596,4560,15624,-5580,6864,33204,22176,21636,11184,19944,6816,19056,13272,-3768,19332,14136,13380,4980,16116,20004,28704,7584,12900,14796,10596,26304,11628,31368,8208,13092,-3828,14316,12504,-8388,17100,-5904,-10704,-4392,-7056,-38820,-22968,-16248,-22944,-7020,-45084,-25740,-21516,-25548,-648,-5952,-780,-264,19368,10140,6816,-5076,8112,11028,-6528,17580,-1608,6372,-14124,-7224,-10212,-6660,-1860,7272,2328,30372,9792,20172,15132,-7452,26712,26436,20664,41232,17232,13908,21600,8676,28356,22608,11256,11196,3408,18600,15384,5400,-19884,32448,20796,8712,4356,15444,-10752,38232,6240,8400,21672,24204,39276,14400,11184,-37776,13572,4584,-5568,-33240,2652,-8568,-30840,2736,22140,-23004,13044,21636,9120,8184,1788,8652,3048,-3240,21696,28380,20736
"17","8","E     Nondurable goods industries","CWTN0",20652,-1464,612,-2844,792,15948,11868,11304,2580,17400,19344,4080,-5856,13368,2232,-4404,13212,6816,4632,9492,12048,-744,17640,-8544,348,13092,5544,10680,-9900,-4404,20172,13644,1728,12780,7152,-480,16548,-780,4200,1848,1344,2076,8892,7116,10164,8664,7668,36,-12912,5400,9684,21192,22464,14964,-8940,13980,3360,-17604,8796,2808,5364,-10944,7260,-10320,5856,10620,8580,-10968,1032,-9300,-5544,25020,-6504,-10488,840,936,-6228,384,10920,2928,11052,14268,-5076,-21204,-17268,7776,-11304,-16236,6996,2904,30900,-4164,-15888,19944,17208,-7212,30660,-5172,1116,23220,-10248,3180,-4584,648,9804,-15420,-7500,24420,7476,22668,1308,-1428,8388,7524,-2280,21744,-8892,13524,27384,-28116,-20796,2940,-732,27024,-2364,18828,30540,4032,22548,-11916,-1464,-4272,-12,-4752,-38376,-6876,-24624,29400,-10920,-5496,-37560
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","E     Merchant wholesale industries","C42W0",34644,5640,17832,7512,18480,62340,-732,18192,29736,18240,29616,33396,12564,41244,24000,564,28356,1620,12000,40860,30828,14952,20988,14100,8076,30216,13740,2904,7416,6576,34680,9504,18936,30468,36948,5856,26076,12300,16056,22632,17964,25584,10812,15936,6768,16116,18300,-7740,-2592,264,3900,13596,19080,-22692,-25236,-852,-10488,-21036,-30984,-22608,-5604,-33252,1284,-15540,5448,14232,22032,2592,3936,-15648,5328,33504,-7860,6228,6360,6096,-18876,-9264,-372,-8676,15348,20940,-480,3612,-13692,31512,3684,-18396,24576,24576,57948,30768,-6048,42228,31536,6888,42000,9360,2424,29220,-2592,17292,7068,4476,3792,13356,6672,41892,-6528,32412,264,42876,14544,12324,21888,33708,21216,19152,30720,-48588,-10848,5532,-2556,-60,1620,14148,6924,17592,32088,-15432,5268,16692,21120,14880,-42384,28608,864,8916,38808,26640,-696
"20","10","E       Durable goods industries","C42WD0",14772,6324,18948,10812,17988,48264,-13104,8784,27696,1848,12792,29472,15792,28284,23172,6108,15288,-5376,7320,31272,18012,17628,4404,21312,8208,15456,10116,-8400,18324,11088,16296,-1452,17592,19044,30324,6408,9900,14292,11484,21468,17100,25272,2892,8304,-2052,7812,10452,-6828,11016,-5808,-5688,-6348,-3888,-38712,-18324,-14688,-15372,-3648,-40872,-24528,-12300,-24456,-4908,-6480,-2244,4392,15012,12720,4512,-5280,7728,12036,-6720,18684,5112,6708,-13452,-8040,-11784,-9516,3828,6072,3060,24996,2304,23232,14448,-3960,27876,21612,26556,36504,6444,20748,19548,9792,23748,12912,804,8652,1212,21192,12996,-2676,-7356,29880,11220,21612,-6696,14148,3744,41520,7788,5604,21732,11976,29520,10536,2304,-20808,3000,-1080,-4176,-24348,5700,-5208,-20748,9984,12552,-11232,8268,12636,23868,17964,2028,23736,11988,-816,37428,32496,16944
"21","11","E       Nondurable goods industries","C42WN0",19872,-684,-1116,-3300,492,14076,12372,9408,2040,16392,16824,3924,-3228,12960,828,-5544,13068,6996,4680,9588,12816,-2676,16584,-7212,-132,14760,3624,11304,-10908,-4512,18384,10956,1344,11424,6624,-552,16176,-1992,4572,1164,864,312,7920,7632,8820,8304,7848,-912,-13608,6072,9588,19944,22968,16020,-6912,13836,4884,-17388,9888,1920,6696,-8796,6192,-9060,7692,9840,7020,-10128,-576,-10368,-2400,21468,-1140,-12456,1248,-612,-5424,-1224,11412,840,11520,14868,-3540,-21384,-15996,8280,-10764,-14436,-3300,2964,31392,-5736,-12492,21480,11988,-2904,18252,-3552,1620,20568,-3804,-3900,-5928,7152,11148,-16524,-4548,20280,168,18264,-3480,1356,6756,6720,156,21732,-8304,8616,28416,-27780,-13848,6612,1620,24288,-4080,19356,27672,7608,19536,-4200,-3000,4056,-2748,-3084,-44412,4872,-11124,9732,1380,-5856,-17640
"22","12","E     Nonmerchant wholesale industries","C42N0",11844,3072,-3804,8892,4356,-900,-156,1896,-600,5856,1320,1512,456,4212,3828,-408,480,-384,-504,1836,3396,5940,7836,-2700,-912,1932,5076,4008,2016,3156,-1128,9120,-1092,2316,-1092,1248,3372,1716,-1260,5520,-4992,7860,6288,4272,-432,6864,1872,-612,6780,-768,-4920,3204,-3672,-1164,-6672,-1416,-9096,-3588,-5304,-324,-10548,-3240,5328,-732,-372,-3876,5916,-3420,3912,1272,-2760,2544,-5172,864,-7128,1212,-1476,2424,1080,4944,-6156,600,-2268,5556,6216,-3564,144,-5292,9132,4764,-6384,6300,7392,-8376,7272,-5424,17016,8076,9948,5196,-4248,4488,3732,1572,-13872,3672,6624,-8760,18360,5700,-9708,-6072,84,3600,-2496,12240,9168,8772,7848,-17304,3624,1992,-3744,-6156,-1332,-3888,-7224,-10824,12600,-19488,6312,672,-12012,-11448,5796,-26832,-22440,17244,-28032,-3756,-16128
"23","13","E       Durable goods industries","C42ND0",11064,3852,-5532,8436,4056,-2772,348,0,-1140,4848,-1200,1356,3084,3804,2424,-1548,336,-204,-456,1932,4164,4008,6780,-1368,-1392,3600,3156,4632,1008,3048,-2916,6432,-1476,960,-1620,1176,3000,504,-888,4836,-5472,6096,5316,4788,-1776,6504,2052,-1560,6084,-96,-5016,1956,-3168,-108,-4644,-1560,-7572,-3372,-4212,-1212,-9216,-1092,4260,528,1464,-4656,4356,-2580,2304,204,384,-1008,192,-1104,-6720,-336,-672,816,1572,2856,-5688,1200,-732,5376,7488,-3060,684,-3492,-1164,4824,-5892,4728,10788,-6840,2052,-1116,4608,9696,10452,2544,2196,-2592,2388,8076,-12528,2568,9576,-12900,11052,1296,-14496,-3288,-1548,2796,-60,12228,9756,3864,8880,-16968,10572,5664,-1392,-8892,-3048,-3360,-10092,-7248,9588,-11772,4776,9000,-14748,-9780,-240,-15084,-8940,-2424,-15732,-4116,3792
"24","14","E       Nondurable goods industries","C42NN0",780,-780,1728,456,300,1872,-504,1896,540,1008,2520,156,-2628,408,1404,1140,144,-180,-48,-96,-768,1932,1056,-1332,480,-1668,1920,-624,1008,108,1788,2688,384,1356,528,72,372,1212,-372,684,480,1764,972,-516,1344,360,-180,948,696,-672,96,1248,-504,-1056,-2028,144,-1524,-216,-1092,888,-1332,-2148,1068,-1260,-1836,780,1560,-840,1608,1068,-3144,3552,-5364,1968,-408,1548,-804,1608,-492,2088,-468,-600,-1536,180,-1272,-504,-540,-1800,10296,-60,-492,1572,-3396,-1536,5220,-4308,12408,-1620,-504,2652,-6444,7080,1344,-6504,-1344,1104,-2952,4140,7308,4404,4788,-2784,1632,804,-2436,12,-588,4908,-1032,-336,-6948,-3672,-2352,2736,1716,-528,2868,-3576,3012,-7716,1536,-8328,2736,-1668,6036,-11748,-13500,19668,-12300,360,-19920
"25","15","E Retail trade industries","C440",-7644,28308,-26400,46608,17664,348,33864,-9732,32604,22728,22008,14892,26088,37500,52860,47400,-16728,1944,15948,-4416,18360,2112,21540,1476,45276,18660,36300,12960,5436,18864,15720,10248,23352,39168,42420,59892,-11052,9024,26316,26196,47460,35448,27420,35640,6204,34044,18996,3696,-7620,-35676,-8088,16248,9948,-8388,1128,18672,-3768,-109380,-55560,52656,38640,16080,8220,10212,42420,32568,15180,-11328,52044,18276,53148,15156,20796,23760,26136,16704,-5628,17544,26220,-29460,61644,11004,29304,-7272,9852,23124,41076,54900,16524,15420,16236,37332,-2220,29544,17880,9204,10188,25632,-7968,-21324,-5628,-14328,-86172,31932,49512,29136,13392,19488,18480,-20880,62400,-39636,48408,24636,-4524,22812,6396,-36516,-804,44832,-28812,18036,-28788,14568,-12924,-744,47748,5484,-21960,17976,-43692,-41424,9636,-19872,-52044,-22488,-25608,-6768,58800,-54912,8040
"26","16","E   Motor vehicle dealers","C4410",-7356,8064,-12516,23712,-1896,-8412,19944,924,480,21132,17280,-1500,8424,15108,20796,33120,648,-34740,-5160,-15516,9528,2820,4008,-12672,26844,14064,21756,-2568,72,3768,11448,-540,12024,25668,17436,25284,4596,-5832,13824,27624,18492,26844,26580,11868,9564,11916,2328,-156,-14628,-35316,-13740,16116,11964,624,16548,-3168,7656,-117264,-33012,58212,32820,18684,13812,8088,24468,26928,-5088,-10248,27264,32844,47928,636,25824,11928,18108,17532,12504,16092,8580,-17856,33204,168,22236,-372,15492,10200,17184,35928,3492,4128,11688,16956,-6612,14160,-11160,-22704,-8352,16728,-12948,-20664,-14436,-26628,-73404,16440,48516,37512,2100,2772,5460,-13800,31032,-33468,31092,13236,-10524,-3036,-132,-47988,-10920,34824,-23184,-7896,-12480,18204,-25260,-4260,44472,9840,-22524,-5328,-11892,-62652,2796,-10656,-23292,-35316,-7560,3684,46800,-32604,1272
"27","17","E   Food and beverage stores","C4450",-504,384,924,-1212,1140,192,528,3864,1092,-2004,1476,-1740,3288,312,3060,3444,-252,2556,2556,-1236,-1308,60,3096,-1128,3936,468,804,-1704,3084,1224,1836,2868,3636,1692,984,3024,-348,648,324,180,1572,-6864,-912,792,2340,-156,-2064,2652,2508,2076,132,1596,-684,1248,-252,336,-1536,3540,1308,-1320,-1740,-204,-1836,168,480,408,-1644,2412,3408,-6420,2052,4884,-1764,1356,864,-1704,-1968,-1884,2364,-936,3012,-6756,-3300,-1764,1296,-1308,936,324,1884,600,1128,12,504,-264,1176,-1404,2076,-744,-1488,180,-744,288,-1956,924,-5304,3420,1356,-72,2400,2364,1524,1476,2004,540,360,-216,984,-72,-540,-624,-1884,-2208,1236,-4440,4824,3732,816,3852,1392,3144,-1248,1164,-792,1044,1080,2484,96,-96,288,264,3000
"28","18","E   General merchandise stores","C4520",-7272,3192,-4488,7428,912,1164,-1824,-4152,2364,-3516,780,7452,3804,780,1188,756,-9612,10248,4872,12,3120,-1272,-1848,-1716,-648,1344,5604,4248,-264,-1200,1644,4116,1476,-1824,12396,5340,3840,3036,-4776,-1020,2736,4296,-4296,1116,96,5916,-420,2244,4992,1140,12648,-4620,4872,732,-9660,10644,-6588,-984,-7872,-6852,-4560,120,-5964,-1560,7272,-4188,10452,456,1380,516,10320,516,-2232,-2520,2244,10008,-10212,24,3840,-8688,11484,8496,-5148,2988,3168,4500,8280,2532,1860,6492,-2004,4428,1068,1644,12576,7728,2316,2628,15456,-960,1968,-444,-4332,10236,276,-5232,-204,3684,-7332,-7536,4176,-15612,8520,1188,10788,8508,2280,10320,5616,2460,2064,4716,-900,-12,540,-708,-5844,-3420,1524,5616,-16344,7356,4644,504,-14580,5688,-2736,-2508,684,-11016,7812
