"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 24, 2008 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/23/2008 10:40:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private fixed investment in structures","A349RX0",653239,655633,667789,673879,682370,704590,713194,725403,723310,728963,729091,737575,746954,755565,753540,754850,750363,753314,759916,725177,721376,717665,709249,713179,713660,733931,758433,768564,773450,798154,805975,809084,824959,837431,836987,838109,841850,828662,806223,780962,767932,767247,757484,732516,712757,715565,710025
"10","2","Nonresidential","B009RX0",276150,273720,284168,286307,286739,297957,295473,297641,292006,294127,291822,294844,299855,312511,319723,320647,313782,310578,315129,284897,270275,256432,245849,242523,238211,246535,246012,243053,242874,246501,248699,248577,253093,252254,246247,247418,256529,268298,277400,279113,286645,298925,313200,319686,326357,340481,348439
"11","3","  Commercial and health care","W001RX0",119444,114612,120920,119433,120829,126676,124723,129469,128431,129473,129917,129866,130843,136700,140794,141867,140770,135353,126096,118892,116540,111163,107253,104238,100200,101419,103880,104718,102945,107111,106939,103228,105104,104576,103138,104205,106379,109788,113306,112964,116877,117313,121079,123673,122539,122603,119806
"12","4","    Office\1\","W031RX0",42232,40037,44789,46393,48013,51117,49785,54229,54997,54309,54371,52218,54199,59849,62444,64422,63904,59439,52312,46322,42396,39243,37196,34990,31624,31022,32461,34405,32753,33123,32865,32393,35344,34571,32297,32512,34253,37411,39361,38948,40582,39521,41405,43525,43232,43361,43609
"13","5","    Health care","W032RX0",22457,21663,22384,21888,21394,22267,21807,21487,21701,21288,21788,21670,20719,21788,22307,22755,22169,21013,20343,20542,22297,23653,24338,24673,24501,25092,24501,25346,25284,26297,25391,24720,24908,24850,26602,25479,25496,26168,26859,27026,27208,26729,27637,28146,27771,28672,29198
"14","6","      Hospitals and special care","C311RX0",17686,17049,17103,16319,16345,17156,16990,16632,16002,15908,15723,15866,15165,15937,16630,17169,16850,16342,15573,15435,17298,18458,19181,19316,18546,18902,18544,18680,18125,18537,17980,17741,17751,17765,19027,18735,19253,20229,21145,21418,21565,20939,21419,22023,21483,22169,23091
"15","7","        Hospitals","W033RX0",13450,12832,12615,11843,11742,11714,11584,11469,11613,11215,11023,10863,10524,11008,11913,12483,12924,12490,11807,11627,13432,14550,15458,15811,15277,15868,15668,15863,15442,15990,15678,15517,15653,15835,17026,16823,17186,17893,18553,18720,19143,18659,19128,19813,19025,19277,20150
"16","8","        Special care","W034RX0",4235,4217,4487,4475,4603,5442,5406,5163,4388,4693,4699,5003,4640,4928,4716,4686,3926,3852,3766,3807,3866,3907,3722,3504,3268,3033,2875,2816,2681,2546,2301,2223,2096,1929,1999,1910,2065,2335,2590,2696,2420,2279,2290,2208,2456,2890,2939
"17","9","      Medical buildings","W035RX0",4770,4612,5282,5574,5049,5111,4818,4856,5700,5380,6066,5805,5555,5852,5678,5586,5320,4671,4771,5108,4999,5197,5159,5358,5956,6190,5958,6667,7160,7762,7412,6980,7158,7085,7576,6744,6243,5938,5713,5607,5642,5789,6217,6121,6287,6502,6106
"18","10","    Multimerchandise shopping","W036RX0",13810,12698,13197,12409,12762,13749,13697,14056,14768,15252,15179,14873,14542,13475,13991,14614,15425,15435,14792,14240,14956,13996,13244,12959,12662,13188,13586,13659,14199,15294,16034,15404,15795,16067,16790,18449,19458,20111,20929,19704,21122,22094,22484,23575,22295,21778,20893
"19","11","    Food and beverage establishments","W037RX0",9809,8399,9332,9189,9371,9972,8974,9013,7194,8477,8190,8777,8730,8608,8233,7792,7503,7805,8897,7857,7026,6885,6845,7259,7323,6958,7147,7425,6958,7224,6851,5680,6276,6030,5152,5602,5505,4953,5098,4887,4815,5049,5679,5125,5966,6007,5031
"20","12","    Warehouses","W038RX0",13571,13858,13771,12652,12360,12446,13391,13790,13592,13330,13356,13754,13959,13880,13965,14481,14887,15227,14155,13128,12294,10737,9592,9529,10248,10629,11268,10447,9571,9788,10352,9423,9592,9641,9473,9708,9922,9780,10168,10482,10621,11348,10557,10533,10847,10475,10080
"21","13","    Other commercial\2\","W039RX0",17457,17845,17385,16865,16908,17118,17051,16899,16191,16811,17025,18565,18684,19093,19855,17819,16904,16449,15583,16751,17472,16547,15941,14724,13715,14388,14775,13318,14057,15239,15288,15463,13061,13279,12717,12319,11611,11208,10722,11762,12342,12404,13118,12533,12188,12089,10775
"22","14","  Manufacturing","C307RX0",42376,40888,43585,42172,44782,44644,43213,42077,38105,34259,32551,30489,30958,32999,31644,31599,32403,30235,28903,22578,19254,17258,15223,14886,14364,15703,15926,15733,15353,15057,15889,18453,19178,18560,18902,19297,19630,21138,22142,20795,21751,23028,24090,26637,27464,34045,35368
"23","15","  Power and communication","W003RX0",29083,29538,30587,31315,33994,34857,35073,35041,36705,39151,42573,44751,44679,45719,47802,49028,44058,47565,49116,52193,53492,47859,43159,43814,44390,42285,39488,37947,36931,31417,32394,34198,33631,32641,31944,32505,35430,34184,35419,36287,38656,43080,45219,46945,49459,49524,50341
"24","16","    Power","W028RX0",17051,17090,17679,18696,21201,22240,22807,22901,21161,21364,22120,23347,26281,27674,28743,29333,25066,27205,30283,34271,35066,29761,26226,26965,33234,30839,28147,26772,26414,20350,20680,21940,20071,19487,19162,19913,22012,21128,21985,22676,24043,27413,29365,30653,33785,34334,37197
"25","17","      Electric","C571RX0",12026,12054,12163,12315,12566,12844,13140,13487,13371,14307,15659,17322,20177,21714,22838,23423,19197,21263,24131,27776,28069,22499,18794,19445,26017,23619,20683,18838,19655,14681,15671,17311,15418,14749,14252,14989,17122,15964,16452,16506,16902,19539,20904,21892,25443,26645,29531
"26","18","      Other power","W029RX0",5013,5024,5509,6383,8662,9430,9701,9441,7801,7060,6461,6027,6106,5961,5905,5909,5875,5947,6152,6482,6982,7281,7466,7551,7257,7248,7476,7929,6723,5617,5038,4758,4717,4764,4893,4937,4991,5183,5529,6104,7018,7765,8351,8655,8298,7717,7784
"27","19","    Communication","C314RX0",12024,12424,12884,12632,12858,12711,12383,12260,15556,17767,20409,21360,18388,18044,19063,19701,18996,20358,18831,17922,18407,18089,16937,16858,11095,11410,11317,11155,10493,11090,11746,12283,13694,13280,12898,12689,13522,13158,13542,13725,14732,15803,15996,16437,15813,15316,13187
"28","20","  Mining exploration, shafts, and wells","E318RX0",24781,25587,25063,25660,23620,23980,23876,21750,20034,21680,20513,22838,24181,26882,28244,29369,31662,32569,34083,29698,23992,23446,25378,25350,26476,29958,30271,29224,31604,33720,33898,33834,36411,38545,35861,35180,37217,40424,42376,42924,42686,43587,46428,45414,47081,50426,55359
"29","21","    Petroleum and natural gas","C319RX0",23081,23949,23515,24217,22314,22767,22745,20690,19039,20683,19477,21732,22924,25559,26883,28006,30350,31306,32862,28550,22519,21768,23612,23670,24994,28537,28874,27783,29895,31802,31859,31735,34282,36343,33648,32875,34658,37687,39513,40007,39747,40605,43376,42412,44191,47473,52088
"30","22","    Mining","C320RX0",1713,1656,1567,1461,1320,1216,1126,1059,995,996,1035,1106,1256,1324,1361,1363,1301,1238,1173,1124,1592,1875,1965,1849,1541,1376,1339,1429,1740,1996,2182,2301,2258,2297,2408,2600,2993,3173,3318,3396,3447,3481,3468,3424,3133,3082,3441
"31","23","  Other structures","W004RX0",60651,63173,64120,67752,63521,67875,68595,69471,68851,69596,66243,66863,69159,70215,71256,68799,64638,64387,76129,61149,57902,57444,54503,53802,51659,54844,53930,53244,52771,55126,55536,54883,53547,51330,51119,51621,52604,56004,56651,58352,59907,65878,69449,71633,73823,76827,77185
"32","24","    Religious","C309RX0",5910,6362,6268,6844,7012,6433,6952,7578,7695,7581,7336,7338,7867,7756,7867,7746,7646,7832,7963,7815,7875,7723,7415,7464,7625,7688,7776,7283,6684,6939,6892,6756,6451,6022,5832,5568,5667,5608,5386,5400,5324,5074,5091,4767,4731,4572,4560
"33","25","    Educational and vocational","W044RX0",9929,10880,11587,11942,12475,12453,11199,11429,10693,11514,11417,11727,12292,12902,13647,13323,13080,13288,13883,14750,14342,14091,13109,13227,13017,13736,14015,13155,12455,11924,11820,12178,11862,11653,11474,10778,11192,11153,10805,11738,11753,12300,13335,12918,13384,12945,12604
"34","26","    Lodging","W045RX0",17585,18501,18164,17827,16729,19443,21782,21946,21762,20938,20012,19808,20487,21258,20175,18808,17537,17779,17879,15628,13001,13240,11495,10980,10921,12583,10796,10552,11015,12663,13624,13627,12764,11953,12169,12927,13259,15864,16938,17742,19303,23156,25498,27374,27897,32148,33269
"35","27","    Amusement and recreation","W046RX0",11470,11618,11671,11226,9924,11258,11550,12166,12577,12384,11510,11413,11546,10969,10406,9167,8756,9218,8970,9029,8775,8641,8347,7978,7741,8668,8691,8972,8341,8932,8850,8674,7934,6924,6699,7103,7355,8230,8623,8549,7768,8414,9208,9410,9651,9320,9275
