"","Table 5#6#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144"
"11","3","D Manufacturing industries","X300",8352,6312,1872,24780,14112,6348,10344,21828,12264,27864,1308,24996,17904,26676,15336,9132,10140,7740,-576,-36,-3492,11352,3156,-32352,-30252,1788,24960,-6648,20844,-8268,23184,1500,29532,15780,46164,49020,228,34704,8160,33612,-36,45264,22656,14808,1236,25428,26760,-5088,35460,-9612,-42504,-3024,-27684,-47700,-33336,-41748,-46776,-29664,-46428,-49644,-38244,-29136,-9540,-8520,-18768,-4548,3888,4200,10704,984,-11052,21756,-8736,61920,-12264,2472,-8496,-23232,-22956,-2136,-13524,16560,-1572,10812,3468,30624,24864,21624,41664,46584,41148,38868,8412,44544,58728,7788,86748,61344,51048,21204,4344,19644,51888,4440,17304,60744,36168,48888,67800,-1476,50844,55260,42804,59892,54504,36132,41568,27624,17904,-2484,8508,6312,3516,19488,26808,10632,6288,-8928,45336,8484,43044,49800,82272,39024,60648,792,40764,77316,36168,48768,-51096
"12","4","D   Durable goods industries","X30D0",11148,10236,-4728,21072,9768,2952,16596,10644,2580,14412,-7908,19764,22944,24252,16464,16056,12828,11388,-3144,10152,4116,12216,-4152,-10512,-32412,8304,21948,-14484,8160,-7956,19392,-7584,15852,-960,26280,31512,-12276,21660,636,22572,-7380,28176,7308,18120,-4800,20340,23436,948,27840,-3984,-42348,-1248,-21588,-32940,-27816,-30720,-40164,-19020,-33288,-43236,-24156,-18216,-27012,-10236,-12528,-8724,-5184,-4464,-3120,-2424,-8928,27972,-19500,30996,-14664,-4464,-7872,-31068,-20112,-9024,-10332,16932,-9396,29508,-2436,10380,15384,13608,20064,30780,26952,26028,12024,27564,33984,11052,50760,42252,26952,11220,18108,-1896,36528,1356,5820,27924,35124,13692,22452,96,31140,37644,25920,31488,46404,20196,39456,33492,10776,7248,22848,6252,-2316,7776,4224,-1236,732,-3768,16164,11484,21948,38028,19440,18060,37836,25224,19812,28608,33588,35232,10728
"13","5","D   Nondurable goods industries","X30N0",-2796,-3924,6600,3708,4344,3396,-6252,11184,9684,13452,9216,5232,-5040,2424,-1128,-6924,-2688,-3648,2568,-10188,-7608,-864,7308,-21840,2160,-6516,3012,7836,12684,-312,3792,9084,13680,16740,19884,17508,12504,13044,7524,11040,7344,17088,15348,-3312,6036,5088,3324,-6036,7620,-5628,-156,-1776,-6096,-14760,-5520,-11028,-6612,-10644,-13140,-6408,-14088,-10920,17472,1716,-6240,4176,9072,8664,13824,3408,-2124,-6216,10764,30924,2400,6936,-624,7836,-2844,6888,-3192,-372,7824,-18696,5904,20244,9480,8016,21600,15804,14196,12840,-3612,16980,24744,-3264,35988,19092,24096,9984,-13764,21540,15360,3084,11484,32820,1044,35196,45348,-1572,19704,17616,16884,28404,8100,15936,2112,-5868,7128,-9732,-14340,60,5832,11712,22584,11868,5556,-5160,29172,-3000,21096,11772,62832,20964,22812,-24432,20952,48708,2580,13536,-61824
"14","6","D Wholesale trade industries","XWT0",38700,3444,10944,12876,15732,51972,-11388,12108,24444,18900,25176,26640,4680,35784,18624,-7176,21984,-6396,2892,30012,22080,12324,21984,6564,1812,27300,14280,4776,7896,7140,32748,21432,20568,35832,40680,14112,38844,26136,26628,34428,15936,34344,14328,16764,5748,24756,24552,-5748,4056,-1872,-5712,13068,12000,-29136,-38700,-7368,-24504,-34596,-48228,-31512,-22776,-38076,8544,-15516,3984,12456,32724,9276,19812,-7728,2148,36048,-7188,16248,7080,8832,-20748,-4548,1776,-1284,13500,29580,12540,24864,6048,42288,19140,-4644,52368,40116,55032,43764,13596,49608,50316,6372,69132,33744,31368,47748,-2892,24060,17316,17088,6720,34320,25224,45888,27312,52236,5472,56268,38496,41760,44220,61704,36132,27804,53028,-36684,13920,28692,19272,16260,17232,23748,11592,14256,54768,-11940,47940,57876,52308,53304,18912,52824,31776,78432,55272,47052,-22668
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","D     Durable goods industries","XWTD0",21204,5232,9876,15792,16968,40104,-19284,2796,21912,876,6216,25188,14172,25752,18264,-1680,10104,-11256,1020,25260,14376,14784,5064,14556,1032,14220,8184,-8292,16332,12084,12540,5016,15756,20292,30096,10728,16956,18708,13056,26004,10428,30324,6972,11400,-6528,11016,9912,-12036,11328,-11892,-16824,-7632,-9156,-41328,-25656,-20112,-26172,-10560,-49776,-29856,-26340,-28800,-2040,-6672,-1848,540,19536,9024,6240,-5832,7368,10788,-7428,16512,-228,7560,-13704,-7032,-10692,-6420,-24,9516,5748,33996,13896,26640,23160,2736,37764,35868,27492,49392,25752,22380,28116,13344,34872,28944,17640,15936,5256,17436,13788,5280,-16440,38868,28116,16488,14304,27216,300,48408,18732,22032,35160,35208,48588,23916,17436,-31284,18780,11088,1620,-26148,9168,-1848,-25584,6132,26556,-19404,17460,27408,16272,18828,17484,27840,25884,20436,44100,49476,32892
"17","8","D     Nondurable goods industries","XWTN0",17496,-1788,1068,-2916,-1236,11868,7896,9312,2532,18024,18960,1452,-9492,10032,360,-5496,11880,4860,1872,4752,7704,-2460,16920,-7992,780,13080,6096,13068,-8436,-4944,20208,16416,4812,15540,10584,3384,21888,7428,13572,8424,5508,4020,7356,5364,12276,13740,14640,6288,-7272,10020,11112,20700,21156,12192,-13044,12744,1668,-24036,1548,-1656,3564,-9276,10584,-8844,5832,11916,13188,252,13572,-1896,-5220,25260,240,-264,7308,1272,-7044,2484,12468,5136,13524,20064,6792,-9132,-7848,15648,-4020,-7380,14604,4248,27540,-5628,-12156,27228,22200,-6972,34260,4800,13728,31812,-8148,6624,3528,11808,23160,-4548,-2892,29400,13008,25020,5172,7860,19764,19728,9060,26496,-12456,3888,35592,-5400,-4860,17604,17652,42408,8064,25596,37176,8124,28212,7464,30480,30468,36036,34476,1428,24984,5892,57996,11172,-2424,-55560
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","D     Merchant wholesale industries","X42W0",28956,2256,16296,5808,13512,54000,-9396,11760,25608,14064,24360,26220,5196,32928,17136,-5592,22008,-5400,3780,30108,19956,7752,16104,11352,4140,26280,10356,1452,5988,4068,33612,11352,20892,32592,40956,11520,33384,21108,24792,28668,21396,26040,6912,10812,5124,17724,22044,-5556,-3540,-2088,192,9948,16056,-26820,-31140,-4452,-14472,-29676,-40680,-29196,-10020,-33600,2616,-15840,4740,15516,26520,13080,15000,-9660,4500,31572,-3936,13572,11988,7224,-19632,-7860,1164,-5940,18672,27816,12624,17808,-1068,44124,17520,-2172,37776,31116,58452,33180,1728,52152,38988,10320,49140,21312,15780,38424,-276,19140,11796,11904,14352,23076,12888,50040,5772,42852,12108,58536,33360,33096,40572,44760,24516,16692,44508,-20520,9036,22584,17604,17772,14460,22332,15312,24144,38940,2568,34908,50364,57768,56580,3492,67380,39528,46200,69576,41100,-8652
"20","10","D       Durable goods industries","X42WD0",10992,3180,16452,8376,14484,43812,-17940,4248,23484,-2976,7872,24696,11424,22524,17400,456,9876,-10872,1464,24900,11160,11796,-300,17232,3360,11280,6096,-11868,15864,9396,15528,-1800,17160,19116,31668,9108,13224,16332,12072,21504,16812,24696,1500,5652,-5160,5160,7968,-10260,4980,-12492,-10920,-9768,-5940,-40344,-20580,-17796,-18516,-6828,-44496,-27792,-15528,-26316,-6024,-7152,-2400,4632,15312,12684,3984,-5820,7368,11004,-7740,17784,5748,7812,-13128,-8064,-11364,-8676,5148,8184,5736,28452,6996,29328,21960,4800,35232,28344,31860,42144,13200,26352,23712,13452,29028,17988,5496,12396,3156,21072,12120,-2856,-5232,34356,16500,27084,1596,23412,12324,49308,17256,16392,31404,19716,36684,16980,7920,-14700,7320,2736,108,-19332,10716,-768,-16788,13632,15720,-8220,11604,16872,28536,24396,12756,36792,27420,15156,52872,47016,26016
"21","11","D       Nondurable goods industries","X42WN0",17964,-924,-156,-2568,-972,10188,8544,7512,2124,17040,16488,1524,-6228,10404,-264,-6048,12132,5472,2316,5208,8796,-4044,16404,-5880,780,15000,4260,13320,-9876,-5328,18084,13152,3732,13476,9288,2412,20160,4776,12720,7164,4584,1344,5412,5160,10284,12564,14076,4704,-8520,10404,11112,19716,21996,13524,-10560,13344,4044,-22848,3816,-1404,5508,-7284,8640,-8688,7140,10884,11208,396,11016,-3840,-2868,20568,3804,-4212,6240,-588,-6504,204,12528,2736,13524,19632,6888,-10644,-8064,14796,-4440,-6972,2544,2772,26592,-8964,-11472,25800,15276,-3132,20112,3324,10284,26028,-3432,-1932,-324,14760,19584,-11280,-3612,22956,4176,19440,-216,9228,16104,16704,9168,25044,-12168,-288,36588,-5820,1716,19848,17496,37104,3744,23100,32100,10512,23220,10788,23304,33492,29232,32184,-9264,30588,12108,31044,16704,-5916,-34668
"22","12","D     Nonmerchant wholesale industries","X42N0",9744,1188,-5352,7068,2220,-2028,-1992,348,-1164,4836,816,420,-516,2856,1488,-1584,-24,-996,-888,-96,2124,4572,5880,-4788,-2328,1020,3924,3324,1908,3072,-864,10080,-324,3240,-276,2592,5460,5028,1836,5760,-5460,8304,7416,5952,624,7032,2508,-192,7596,216,-5904,3120,-4056,-2316,-7560,-2916,-10032,-4920,-7548,-2316,-12756,-4476,5928,324,-756,-3060,6204,-3804,4812,1932,-2352,4476,-3252,2676,-4908,1608,-1116,3312,612,4656,-5172,1764,-84,7056,7116,-1836,1620,-2472,14592,9000,-3420,10584,11868,-2544,11328,-3948,19992,12432,15588,9324,-2616,4920,5520,5184,-7632,11244,12336,-4152,21540,9384,-6636,-2268,5136,8664,3648,16944,11616,11112,8520,-16164,4884,6108,1668,-1512,2772,1416,-3720,-9888,15828,-14508,13032,7512,-5460,-3276,15420,-14556,-7752,32232,-14304,5952,-14016
"23","13","D       Durable goods industries","X42ND0",10212,2052,-6576,7416,2484,-3708,-1344,-1452,-1572,3852,-1656,492,2748,3228,864,-2136,228,-384,-444,360,3216,2988,5364,-2676,-2328,2940,2088,3576,468,2688,-2988,6816,-1404,1176,-1572,1620,3732,2376,984,4500,-6384,5628,5472,5748,-1368,5856,1944,-1776,6348,600,-5904,2136,-3216,-984,-5076,-2316,-7656,-3732,-5280,-2064,-10812,-2484,3984,480,552,-4092,4224,-3660,2256,-12,0,-216,312,-1272,-5976,-252,-576,1032,672,2256,-5172,1332,12,5544,6900,-2688,1200,-2064,2532,7524,-4368,7248,12552,-3972,4404,-108,5844,10956,12144,3540,2100,-3636,1668,8136,-11208,4512,11616,-10596,12708,3804,-12024,-900,1476,5640,3756,15492,11904,6936,9516,-16584,11460,8352,1512,-6816,-1548,-1080,-8796,-7500,10836,-11184,5856,10536,-12264,-5568,4728,-8952,-1536,5280,-8772,2460,6876
"24","14","D       Nondurable goods industries","X42NN0",-468,-864,1224,-348,-264,1680,-648,1800,408,984,2472,-72,-3264,-372,624,552,-252,-612,-444,-456,-1092,1584,516,-2112,0,-1920,1836,-252,1440,384,2124,3264,1080,2064,1296,972,1728,2652,852,1260,924,2676,1944,204,1992,1176,564,1584,1248,-384,0,984,-840,-1332,-2484,-600,-2376,-1188,-2268,-252,-1944,-1992,1944,-156,-1308,1032,1980,-144,2556,1944,-2352,4692,-3564,3948,1068,1860,-540,2280,-60,2400,0,432,-96,1512,216,852,420,-408,12060,1476,948,3336,-684,1428,6924,-3840,14148,1476,3444,5784,-4716,8556,3852,-2952,3576,6732,720,6444,8832,5580,5388,-1368,3660,3024,-108,1452,-288,4176,-996,420,-6576,-2244,156,5304,4320,2496,5076,-2388,4992,-3324,7176,-3024,6804,2292,10692,-5604,-6216,26952,-5532,3492,-20892
"25","15","D Retail trade industries","X440",-12252,23856,-30552,42792,13788,-4440,28584,-14844,28536,19428,18840,11064,19668,31440,47928,44280,-18492,312,13356,-8100,14736,-108,20772,1368,45000,15576,32904,11628,5304,20256,19596,15936,29736,45180,47232,63156,-9636,10788,27612,26040,49728,40500,29352,34812,6588,36516,21420,5460,-6768,-33576,-8640,20100,14832,-9624,-2964,17628,-4224,-115416,-61764,49440,34488,14220,8040,8880,39240,30144,14880,-11196,52920,20064,54276,14160,21228,28584,30648,17100,-7452,16716,26016,-29628,60816,9432,28356,-6924,10272,23304,42732,61812,27204,24960,23040,42300,5448,42192,29880,16032,16896,35160,2220,-14088,-912,-8940,-78228,41688,60120,35220,14040,19596,21252,-18432,68796,-29352,58560,34524,5016,28848,6504,-36372,3696,50952,-26184,22740,-19944,23868,-5412,5424,52848,11004,-14748,27696,-32160,-32796,17796,-9840,-40728,-10500,-9996,11628,76380,-38556,18972
"26","16","D   Motor vehicle dealers","X4410",-7812,7812,-12780,23436,-2484,-9588,18012,-1428,-1416,20304,16824,-2280,6312,13728,20016,32388,-48,-35160,-5316,-15420,9672,3312,4992,-11988,27036,12384,19380,-4224,264,5508,13596,1452,14964,29748,20904,27108,4992,-6444,12960,27420,20124,29964,28584,12456,10248,13824,4476,2256,-13500,-32496,-14148,18072,14220,-876,14316,-3852,6888,-120996,-35268,58200,31500,17868,12408,5904,22092,25176,-5964,-11340,25980,32136,48120,-624,23136,11388,20952,20628,12132,13164,5760,-20316,30288,-3816,18204,-4140,11040,7056,15924,36564,5580,6852,14436,19008,-4116,18156,-6180,-17928,-5292,19080,-11472,-19956,-13764,-25452,-71508,18420,51336,39480,1212,-1284,3588,-14028,33120,-29988,34560,16536,-7608,-1428,-540,-47772,-10320,35556,-24300,-9084,-13860,17016,-25764,-3900,45864,12696,-19356,-3432,-10908,-61344,4188,-9012,-21696,-34152,-6804,4308,47496,-31188,2712
"27","17","D   Food and beverage stores","X4450",-1128,60,1008,-960,1176,-144,0,3576,1224,-1728,1512,-1968,2856,0,3012,3672,-96,2508,2532,-1056,-1116,180,3204,-816,4692,996,780,-1920,3060,1500,2208,3216,4248,2448,1236,2844,-984,240,300,540,2100,-6516,-1080,432,2220,192,-1788,2568,3132,3240,1476,2628,144,1944,120,708,-912,4044,1368,-1284,-2184,-348,-1908,-696,-732,-432,-1956,2160,3024,-6816,1644,4416,-1668,1716,1260,-1176,-1188,-1236,2604,-648,3864,-5244,-1896,-996,1536,-1212,1524,1836,3624,1320,600,-576,804,984,2304,-1248,2112,-288,-516,1200,-36,528,-2052,852,-4980,4116,2148,744,2628,1812,792,1236,2232,852,852,540,1656,-48,-960,-576,-816,-708,2724,-3324,5028,3480,624,3948,1992,4320,0,2364,684,2316,2016,3468,1176,1200,1476,1152,3576
"28","18","D   General merchandise stores","X4520",-7368,3060,-4584,7344,900,1176,-1848,-4200,2292,-3540,744,7392,3708,720,1152,804,-9480,10368,4944,36,3120,-1284,-1860,-1716,-552,1404,5520,4080,-420,-1308,1596,4188,1584,-1620,12576,5400,3516,2676,-5052,-1212,2508,4068,-4524,828,-216,5628,-732,1944,5184,1428,12996,-4224,5244,1092,-9408,10848,-6432,-876,-7848,-6924,-4584,120,-5940,-1512,7392,-4032,10608,660,1608,708,10524,768,-2184,-2436,2328,10080,-10164,72,3912,-8664,11496,8544,-4992,3144,3180,4452,8280,2748,2280,6912,-1824,4248,744,1392,12408,7704,2652,3036,15888,-552,2280,-216,-4212,10284,300,-5148,-72,3840,-7008,-7140,4584,-15252,8796,1572,11304,9084,2772,10740,6084,3060,2688,5628,216,1092,1416,36,-5184,-2868,2016,6108,-15828,7884,5496,1764,-12996,7188,-1272,-1056,2316,-9192,9300
