"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2009 11:09:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Motor vehicle output","A953RX0",279094,284031,307784,333129,365080,359692,343753,383283,387335,402987,418937,413974,408430,333076
"9","2","        Auto output","A133RX0",138885,135679,136971,143451,148780,150472,142312,148569,133182,134955,150252,153853,151716,141175
"10","3","        Truck output","A716RX0",139528,147759,170408,189347,216022,208955,201186,234577,254151,268009,268685,260063,256658,191346
"11","4","Final sales of domestic product","AB60RX0",271741,285658,302972,331960,353156,349057,356719,369792,379319,398503,422568,417813,416372,342299
"12","5","  Personal consumption expenditures","AB61RX0",218855,228853,245150,274084,301103,311399,330893,350732,360736,365067,361601,347993,353582,300586
"13","6","    New motor vehicles","AB67RX0",144650,147195,155059,172343,192341,202823,222621,239623,251164,253675,248894,234558,237285,190528
"14","7","      Autos","A136RX0",79620,78057,78518,83493,92480,97140,96186,94602,91652,92785,97448,99083,95480,85308
"15","8","        Domestic","GAP510",54695,54298,51164,54788,60083,63638,64081,63283,60703,59800,63204,62293,59789,52679
"16","9","        Foreign","GAP540",24925,23760,27354,28705,32398,33502,32106,31319,30948,32985,34244,36790,35691,32630
"17","10","      Light trucks (including utility vehicles)","B704RX0",65027,69201,76653,88987,100009,105835,126493,145034,159487,160866,151447,135379,141862,104842
"18","11","        Domestic","ETRPDD0",NA,NA,NA,NA,NA,NA,NA,126898,136309,138144,130107,113385,118159,85970
"19","12","        Foreign","ETRPMD0",NA,NA,NA,NA,NA,NA,NA,18136,23178,22722,21340,21994,23702,18872
"20","13","    Net purchases of used autos and used light trucks","W240RX0",74115,81686,90188,101888,108805,108522,108159,111054,109516,111351,112707,113416,116273,110088
"21","14","      Used autos","A137RX0",51767,53724,56252,60139,60506,59440,57491,56985,55216,54941,55674,54246,51752,48885
"22","15","        Margin","GAP570",27441,27575,27206,26912,26921,27550,29062,25342,25378,25568,25981,25725,25379,24867
"23","16","        Net transactions","GAP600",26959,28540,31051,34787,35074,33553,30681,33225,31532,31135,31428,30199,27994,25578
"24","17","        Employee reimbursement","GAP630",-1973,-1947,-1881,-1814,-1768,-1717,-1788,-1694,-1713,-1761,-1735,-1676,-1628,-1572
"25","18","      Used light trucks (including utility vehicles","W241RX0",22544,28128,34095,41904,48416,49182,50726,54092,54309,56410,57033,59168,64514,61195
"26","19","        Margin","W491RX0",10818,12268,13700,14939,16179,16782,17572,17037,18500,19173,19018,19117,19873,18157
"27","20","        Net transactions","W492RX0",12591,16535,20905,27156,32218,32457,33274,36897,35809,37235,38015,40049,44655,43062
"28","21","  Private fixed investment","AB62RX0",102774,108202,115526,121887,137922,132714,117386,113128,108398,126828,147961,163695,142627,99903
"29","22","    New motor vehicles","AB68RX0",139242,152560,163747,179527,201419,197159,179562,178080,171610,192720,212956,229756,215614,171536
"30","23","      Autos","B139RX0",67924,70632,71287,72824,79692,81030,77519,77671,71656,73236,77764,81229,82707,71215
"31","24","        Domestic","GAP660",59117,62753,62792,63475,66319,63725,56930,52852,47955,49943,53792,55137,53703,44920
"32","25","        Foreign","GAP690",8808,7879,8496,9349,13374,17306,20590,24819,23701,23293,23972,26092,29004,26295
"33","26","      Trucks","B705RX0",70883,81551,92210,106655,121738,116085,101927,100270,99899,119482,135192,148542,132860,100206
"34","27","        Light trucks (including utility vehicles)","B196RX0",40428,53893,65762,74051,85285,84516,78955,77268,77447,89041,98785,109065,108790,81733
"35","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,67158,65587,75846,84221,90505,89649,66038
"36","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,10110,11860,13196,14564,18561,19141,15694
"37","30","        Other trucks, buses, and truck trailers","B197RX0",32821,28927,26949,33526,37395,32034,22802,22872,22294,30411,36407,39490,24908,19067
"38","31","    Net purchases of used autos and used light trucks","W242RX0",-39081,-46341,-50250,-59207,-65411,-65984,-62947,-65140,-63324,-66071,-64995,-66068,-73203,-72381
"39","32","      Used autos","B140RX0",-28420,-31079,-32715,-35532,-35819,-35306,-32037,-32183,-31370,-32732,-32735,-32179,-33067,-33475
"40","33","        Margin","GAP720",1085,1148,1189,1176,1177,1204,1271,1109,1110,1118,1136,1125,1110,1087
"41","34","        Net transactions","GAP750",-29479,-32214,-33897,-36736,-37026,-36529,-33279,-33293,-32478,-33850,-33871,-33304,-34177,-34561
"42","35","      Used light trucks (including utility vehicles)","W243RX0",-10828,-15388,-17654,-23774,-29646,-30719,-30922,-32956,-31954,-33339,-32260,-33889,-40138,-38907
"43","36","        Margin","W493RX0",1957,2391,2865,3125,3384,3510,3676,3563,3869,4010,3979,3999,4158,3799
"44","37","        Net transactions","W494RX0",-12602,-17648,-20337,-26823,-33050,-34250,-34585,-36565,-35821,-37348,-36239,-37888,-44287,-42694
"45","38","  Gross government investment","AB64RX0",10667,10553,11122,12002,12607,13156,13495,13776,14492,14258,15097,16558,15374,15320
"46","39","    Autos","B144RX0",3837,3628,3263,3406,3498,3392,3523,3291,3235,3171,3452,3749,3757,3521
"47","40","      New autos","GAP810",2388,2244,1963,2210,2359,2315,2337,2223,2155,2127,2485,2870,2950,2763
"48","41","      Net transactions in used autos","GAP840",-547,-568,-565,-613,-631,-640,-607,-625,-631,-717,-768,-794,-816,-815
"49","42","      Employee reimbursement","GAP870",1973,1947,1881,1814,1768,1717,1788,1694,1713,1761,1735,1676,1628,1572
"50","43","    Trucks","B708RX0",6749,6851,7811,8552,9068,9736,9941,10472,11257,11087,11645,12809,11616,11799
"51","44","      New trucks","W495RX0",7404,7560,8528,9327,9897,10588,10786,11374,12204,12191,12746,13923,12824,12898
"52","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,3647,4167,4378,4574,5189,5783,5467
"53","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,7749,8047,7813,8172,8739,7122,7469
"54","47","      Net transactions in used light trucks","W496RX0",-645,-691,-712,-771,-824,-851,-848,-904,-951,-1104,-1101,-1114,-1215,-1097
"55","48","  Net exports","AB63RX0",-56390,-57457,-64379,-71732,-95026,-105898,-104048,-107587,-104235,-107499,-102091,-110462,-95168,-73283
"56","49","    Exports","AB69RX0",27376,28576,30147,28652,27606,28023,27068,30409,33458,37070,43970,48760,59849,63661
"57","50","      Autos","B142RX0",13329,13690,13394,12937,12562,12822,13761,15414,16110,16597,20415,23761,31351,36564
"58","51","      Trucks","B706RX0",14000,14856,16807,15753,15075,15229,13273,14959,17332,20477,23555,24999,28505,27139
"59","52","    Imports","AB70RX0",83766,86033,94526,100384,122632,133921,131116,137995,137694,144569,146061,159222,155016,136943
"60","53","      Autos","B143RX0",51908,48209,53537,55692,65999,71970,70200,74572,71973,72128,69558,76990,75768,75335
"61","54","      Trucks","B707RX0",31514,37707,40832,44579,56570,61886,60857,63350,65681,72430,76504,82236,79256,61666
"62","55","Change in private inventories","AB65RX0",7177,-2419,4576,453,12009,10775,-13682,12992,7973,4515,-3631,-3703,-7852,-9028
"63","56","  Autos","A145RX0",3368,-3144,1644,3109,2305,3903,-3848,7188,-1252,-882,-2208,951,-4609,4432
"64","57","    New","B146RX0",2495,-5332,487,2456,1142,1180,-6472,7748,-1332,-1384,-1167,2562,-3503,5920
