"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2005) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2009 11:05:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment in structures","A349RX0",787766,843983,878945,936943,970982,1006745,1003406,960032,997628,1066571,1116920,1093379,1025356,948719
"9","2","Nonresidential","B009RX0",342027,361407,387913,407721,408207,440048,433329,356596,343011,346728,351754,384046,441435,486799
"10","3","  Commercial and health care","W001RX0",126713,136491,150831,160220,166060,177186,168601,142792,133791,137114,135923,144163,158496,155582
"11","4","    Office \1\","W031RX0",44221,47179,55152,64594,68648,76603,70582,48912,41180,41697,42838,47786,52979,53977
"12","5","    Health care","W032RX0",23739,24513,27826,27373,27222,27573,26466,29824,31309,32027,32072,33189,35230,38095
"13","6","      Hospitals and special care","C311RX0",18809,19264,21461,21096,19958,20398,20178,23270,23470,22751,23032,25762,27329,29332
"14","7","        Hospitals","W033RX0",14794,13749,15981,14620,14057,14439,15357,18560,19705,19689,20541,22717,24286,25741
"15","8","        Special care","W034RX0",4011,5512,5477,6471,5897,5955,4819,4709,3765,3061,2491,3045,3043,3590
"16","9","      Medical buildings","W035RX0",4936,5253,6367,6278,7264,7175,6289,6556,7840,9277,9040,7428,7901,8764
"17","10","    Multimerchandise shopping","W036RX0",17073,18871,16773,17650,19747,18807,20099,18699,18001,20662,22750,27184,30517,27069
"18","11","    Food and beverage establishments","W037RX0",10198,10562,11787,12107,10698,11050,10728,9470,9754,9031,7795,6924,7066,6861
"19","12","    Warehouses","W038RX0",13056,15973,17083,16666,17505,18426,18984,14085,14222,13069,12827,13481,14849,14143
"20","13","    Other commercial \2\","W039RX0",18513,19465,22328,22049,22482,24982,21979,21864,19298,20621,17641,15575,17826,15415
"21","14","  Manufacturing","C307RX0",51727,54388,51947,53695,44788,46192,44910,26221,24294,25488,29887,32952,40355,50601
"22","15","  Power and communication","W003RX0",45366,39034,37626,44170,52104,60084,61977,60477,55690,46211,45152,48690,65256,77256
"23","16","    Power","W028RX0",31447,24493,22537,29319,29337,37510,39158,39476,39794,29902,26306,29366,42491,56708
"24","17","      Electric","C571RX0",19343,14974,14776,16617,19610,28440,29833,28690,28802,21751,19192,21334,29210,40607
"25","18","      Other power","W029RX0",12843,10116,8079,13717,10075,8797,9010,10787,11019,8155,7114,8034,13408,16102
"26","19","    Communication","C314RX0",14255,14540,14954,15029,22475,22506,22779,21038,16124,16358,18846,19362,23033,21072
"27","20","  Mining exploration, shafts, and wells","E318RX0",52641,56098,65987,57714,48840,60958,71874,52571,60003,69857,77064,88270,97096,112739
"28","21","    Petroleum and natural gas","C319RX0",50622,53667,64356,56853,48024,59842,71428,49667,58083,66840,73530,83545,92081,107508
