"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 27, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2012 8:55:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Gross saving","A929RC1",198.4,192.8,209.2,237.3,292.2,301.8,296.9,342,396.7,476.3,533.2,542.7,646.1,621.5,602.4,753.4,738.4,709.3,782.3,901.5,924.1,917.6,951.3,932.3,958.4,1094.7,1219,1344.4,1525.7,1654.4,1708,1800.1,1695.7,1560.9,1552.6,1738.7,1918.8,2196.1,2047.7,1908.2,1597.3,1820.5,1964.3
"9","2","Net saving","W201RC1",99.3,84.5,91.5,110.1,151.4,138.1,106.5,133.8,164.9,214.9,234.3,198.6,252.7,187.9,151.3,279,232.9,170.8,211.2,290.5,272.7,226.4,227,187.9,180.4,275.5,349.6,431.8,561.9,633.9,613.6,615.8,439.4,255.9,198.6,305.9,377.5,535.4,280.2,54.1,-268.8,-54.5,14.2
"10","3","  Net private saving","W202RC1",82.7,92.9,113.7,119.4,147.5,143.3,174.6,180.1,197.9,225.2,235.3,246.5,301.9,325.4,322.6,426.5,389.2,344.7,348.5,411.7,386.5,396.7,451.2,491.8,461.6,487.7,546.6,557.1,585.7,553.4,473,389.4,414.9,562.8,613.8,693.7,634.5,688.1,513.2,739.8,1027.1,1244.5,1262.8
