"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5"
"1","[Billions of dollars; quarterly totals not seasonally adjusted]",NA,NA,NA,NA
"2","Annual data from 1968 To 1969",NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA
"4","Data published September 30, 2011",NA,NA,NA,NA
"5","File created 12/21/2011 10:22:09 AM",NA,NA,NA,NA
"6",NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1969
"8",NA,"      Current receipts"," ",NA,NA
"9","1","Budget receipts","M318011",153.7,187.8
"10","2","Less: Coverage differences","M318021",4.1,5.1
"11","3","        Contributions received by federal employee retirement plans \1\","M318041",1.4,1.5
"12","4","        Capital transfers received \2\","M318051",3,3.5
"13","5","        Financial transactions","M318061",0.1,0
"14","6","        Other \3\","M318071",-0.3,0.1
"15","7","Less: Netting and grossing differences","M318081",-3.7,-4.6
"16","8","        Supplementary medical insurance premiums","M318091",NA,NA
"17","9","        Interest receipts","W704MC1",-2.5,-2.5
"18","10","        Current surplus of government enterprises","W705MC1",0.5,0.4
"19","11","        Other \4\","M318111",-1.7,-2.6
"20","12","Plus: Timing differences","M318121",3.1,-1.2
"21","13","        Taxes on corporate income","M318131",2.2,-2.4
"22","14","        Federal and state unemployment insurance taxes","M318141",0,0
"23","15","        Withheld personal income tax and social security contributions","M318151",0.9,1.1
"24","16","        Excise taxes","M318161",0,0
"25","17","        Other","M318171",0,0.1
"26","18","Equals: Federal government current receipts, NIPAs","M318181",156.3,186.1
"27",NA,"      Current expenditures"," ",NA,NA
"28","19","Budget outlays","M318191",178.8,184.5
"29","20","Less: Coverage differences","M318201",16,10.2
"30","21","        Federal employee retirement plan transactions \1\","M318221",2.1,2.6
"31","22","          Interest received","M318231",-0.7,-0.8
"32","23","          Contributions received (employer)","M318241",-1.5,-1.5
"33","24","          Benefits paid","M318251",4.3,4.9
"34","25","          Administrative expenses","M318261",0,0
"35","26","        Financing disbursements from credit programs \5\","M318271",NA,NA
"36","27","        Other differences in funds covered \6\","M318281",-1.8,-2.2
"37","28","        Net investment \7\","M318291",2.9,0.5
"38","29","        Capital transfers paid \8\","M318301",5.2,6.1
