"","Table 5#4#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:23:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment in structures","A349RL1",-25,-29.2,-42.3,-21.5,21.7,23.3,29.3,18.4,-10.9,23.9,13.1,11.3,-44.5,-33.5,11,28.3,171.1,9.9,13.9,-6,25.4,-8.4,-1.2,5.7,6.3,12.6,-1.1,-3.5,-2,15.3,-1.2,0.7,7.5,7.3,7.6,4.7,-1.8,-2.9,7.5,4
"9","2","Nonresidential","B009RL1",-14.4,-35.6,-38.8,-22.4,12.7,10.9,31.3,26.8,-20,5.5,13.5,18.8,-38.2,-27.3,30.9,34.8,97.5,-9.1,5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,8,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4
"10","3","  Commercial and health care","W001RL1",-17.5,-39.7,-40.4,-41.2,15.8,22.1,31.2,21.1,-24.4,1.7,16.2,11,-64.3,-77.9,81.2,184,342.5,-34.6,28.2,-6.8,27.9,-3.8,-22.1,37,24.2,30.4,13.2,-5.2,5.3,8.5,6.4,14.1,11.4,-3.2,8.7,17.2,-2.4,-3.8,9.4,15.4
"11","4","    Office \1\","W031RL1",-20.3,-41.4,-40,-36.8,18.3,22.7,29.9,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.7,253.3,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,3.4,10.5,6.5,12.1,8.8,-4.5,5.8,20.2,-2.6,-2.8,8.8,12.8
"12","5","    Health care","W032RL1",1.1,-30.2,-42.1,-61.4,-2.9,16.6,43.8,39.1,-3,-7,8.3,22.7,-50.8,-68.3,118.7,58.3,161.3,-17.3,11.8,36,59.4,4.9,-11.1,-9.8,13.3,7.2,1.6,25.7,13.9,-0.6,6.3,23.6,22,1.1,19.3,7.4,-1.8,-7.9,12,25
"13","6","      Hospitals and special care","C311RL1",13.7,-25.5,-42.8,-69.6,-17.4,10.5,59,56.5,12.9,-11.5,3.8,30.2,-43.4,-65,126.7,36.6,96.6,-3.5,2.9,64.8,71.3,7.4,-8.3,-19.9,9.2,-2.5,-4.9,46.3,17.6,-4.2,6.3,27.8,26.2,2.7,22.8,4.5,-1.6,-9.2,12.9,28.1
"14","7","        Hospitals","W033RL1",13.7,-25.5,-42.8,-69.6,-17.4,10.5,58.9,56.5,12.9,-11.4,3.8,30.2,-43.4,-65,126.8,36.6,96.6,-3.5,2.9,64.8,71.3,7.4,-8.3,-19.9,9.2,-2.5,-4.9,46.3,17.5,-4.2,6.3,27.8,26.2,2.7,22.8,4.5,-1.6,-9.2,12.9,28.1
"15","8","        Special care","W034RL1",13.7,-25.5,-42.8,-69.6,-17.4,10.5,58.9,56.5,12.9,-11.4,3.8,30.2,-43.4,-65,126.8,36.6,96.5,-3.5,2.9,64.8,71.3,7.4,-8.3,-19.9,9.2,-2.5,-4.9,46.3,17.8,-4.2,6.3,27.8,26.2,2.7,22.8,4.5,-1.6,-9.2,12.9,28.1
"16","9","      Medical buildings","W035RL1",-20.3,-41.5,-40,-36.8,18.3,22.7,30,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.9,252.9,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,3.5,10.5,6.4,12.1,8.8,-4.4,5.8,20.2,-2.6,-2.8,8.7,12.8
"17","10","    Multimerchandise shopping","W036RL1",-20.3,-41.4,-40,-36.8,18.3,22.8,30,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.9,253.3,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,1,10.3,6.9,12.5,8.6,-5,6,20.7,-2.6,-2.8,9.2,13.3
"18","11","    Food and beverage establishments","W037RL1",-20.3,-41.4,-40,-36.8,18.3,22.7,29.9,19,-27.4,3.4,17.5,9.2,-66.7,-80.3,66,253,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,0.9,10.4,6.8,12.5,8.6,-5,5.9,20.8,-2.7,-2.7,9.2,13.3
"19","12","    Warehouses","W038RL1",-20.3,-41.4,-40,-36.7,18.3,22.8,29.9,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.9,253.1,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,0.9,10.4,6.8,12.5,8.6,-5,6,20.8,-2.6,-2.8,9.3,13.2
"20","13","    Other commercial \2\","W039RL1",-20.3,-41.5,-40,-36.8,18.3,22.8,29.9,19,-27.4,3.4,17.5,9.2,-66.7,-80.3,65.7,253.4,387.2,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,11.1,11.4,5.5,11.2,10.6,-1.7,5.6,18.9,-1.9,-2.4,7.7,11.5
"21","14","  Manufacturing","C307RL1",-37.6,-52,-62.9,134.6,-7.2,-19.1,59.7,64.5,-52.2,13.7,62.3,64.1,-62.6,-58.4,38.7,192.9,116.9,-14.9,-26.3,-28.5,9.9,75.8,6.8,-4.4,-6.4,9.5,31.4,6.1,-31.1,-10.8,35.5,-2.2,1,0.4,20.2,38.3,24.3,-12,-3.7,5.1
"22","15","  Power and communication","W003RL1",-0.4,-31.2,-43.4,-48.8,8.7,21.7,43.8,28,-3.6,13,8.2,6.3,-19.9,-41.4,32.7,15,59,51.2,19.7,5.2,-0.5,0.3,0.9,10,-8.6,-4.8,16.8,3.8,-3.8,-4.1,0.9,-6.3,0.6,6.7,8.9,10.6,14,9.4,11.2,0
"23","16","    Power","W028RL1",-2.2,-24,-44.7,-49.4,12.1,25.9,48.6,23.5,-3.2,15.9,4.6,-1.7,-19.8,-33.6,32.2,10.9,39.6,57.8,14.8,18.3,3.6,0.1,-1.6,10.9,-11.5,-9,10.4,6.7,-0.4,-5.8,-2.1,-4.4,-0.9,5.6,6.7,11.4,17.6,13.7,14,-6.1
"24","17","      Electric","C571RL1",11.8,-37.5,-45.8,-45.7,1.2,28.7,53.3,44.9,21.5,14.3,1,-8.1,-21.9,-45.4,12.9,47.7,66.8,52.8,22.4,22.5,-10.4,-4.7,14.9,11,-7.6,-15.9,10.8,13.1,3.2,-14.6,0.5,-5.8,-0.2,7.7,4.4,13.2,17.3,18.3,8.7,1.2
"25","18","      Other power","W029RL1",-15.7,-6.8,-43.7,-52.4,22.4,23.8,44.8,5.3,-32.2,19.2,12,9.9,-16.7,-16.8,50.1,-14.9,10.3,64.9,5,12.4,25.8,5.6,-19.4,10.7,-17.5,3.3,9.8,-2.6,-6.5,11,-5.9,-2.3,-1.8,2.4,10.6,8.5,18.1,5.3,24.8,-19.2
"26","19","    Communication","C314RL1",3.5,-46.1,-39.7,-47.4,-0.9,7.9,25.5,48.7,-5.4,0.6,25.4,37.8,-20,-62.9,35.5,33.9,135.2,36.2,33.1,-27,-17.5,1.5,14.4,6,5.2,12.4,38.6,-4.3,-14.9,2.4,11.5,-11.9,5.2,10.1,15.2,8.5,4.5,-3,1.6,23.6
