"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 27, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2012 8:57:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Change in private inventories","A014RC1",71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,29.1,-41.1,-160.8,66.9,46.3
"9","2","Farm","B018RC1",3.3,1.3,-2.7,-1.4,0,-2.5,0.1,8.8,0.1,-3.6,-0.7,1.6,-1.8,-1.6,-7.7
"10","3","Mining, utilities, and construction","N541RC1",1.5,5.4,-1.3,-2.2,8.2,-3.1,5.9,1.3,3.7,16.7,-0.2,-9.5,-7.6,-4.9,2.5
"11","4","Manufacturing","N150RC1",21.1,15.4,13.9,6.9,-23.5,-4.2,-7.4,5.7,21,17.7,16.7,-14.4,-34.6,23.3,31.9
"12","5","  Durable goods industries","N624RC1",14.1,16,6.3,6.2,-19.5,-4.9,-4.8,4,16.6,12.1,12,-4.5,-24.1,20.8,25.9
"13","6","  Nondurable goods industries","N625RC1",6.9,-0.6,7.6,0.7,-4,0.8,-2.6,1.7,4.5,5.5,4.7,-9.9,-10.6,2.6,6
"14","7","Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,-0.1,-0.6,19.8,18.1,13.7,4.8,8.8,-62.1,31.8,32.1
"15","8","  Durable goods industries","N661RC1",17.3,17,14.1,13.5,-16.7,0.4,0.8,17.8,13.4,9.4,0.8,9.4,-49.1,19,24.2
"16","9","  Nondurable goods industries","N664RC1",8.1,4.4,4.8,5.3,4.3,-0.5,-1.4,2,4.8,4.3,4,-0.6,-13,12.7,7.9
"17","10","Retail trade","N153RC1",14.5,14.6,24.9,20,-10.3,23,16.9,23.2,4.6,10.8,4.1,-29.2,-49.5,17.6,-14.8
"18","11","  Motor vehicle and parts dealers","N631RC1",5.1,1.8,12.4,11.9,-9.3,17.3,12.8,7.4,-2.8,-0.4,2.9,-12.4,-32.5,9.9,-16
"19","12","  Food and beverage stores","N542RC1",0.3,0.9,1.5,-0.6,0.4,0.2,-1.2,0.4,-0.1,0.9,1.1,-0.4,-0.3,-0.2,0.9
"20","13","  General merchandise stores","N543RC1",0.1,0.4,2.7,1,0.2,1.4,1,4.5,2.2,1.7,-0.2,-3.3,-2.8,3.7,1.9
"21","14","  Other retail stores","N558RC1",8.8,11.5,8.3,7.6,-1.6,4.2,4.3,10.9,5.3,8.6,0.3,-13,-13.8,4.2,-1.7
"22","15","Other industries","N154RC1",5.3,5.6,7.1,12.4,-0.4,-1.1,1.5,6.1,2.3,4.7,4.4,1.4,-5.3,0.8,2.3
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Change in private inventories","A014RC1",71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,29.1,-41.1,-160.8,66.9,46.3
"25","17","    Durable goods industries","N355RC1",40,39.3,37.4,35.6,-44.4,17.7,13,37.3,35.2,25.9,11.2,-23.1,-113.6,45.5,31.4
"26","18","    Nondurable goods industries","N357RC1",31,24.4,23.4,19,6.2,-5.6,3.3,27.6,14.7,34,17.9,-18,-47.2,21.4,14.9
"27","19","  Nonfarm industries","A015RC1",67.7,62.5,63.5,55.9,-38.3,14.5,16.3,56.1,49.8,63.6,29.8,-42.7,-159,68.6,54
"28","20","    Nonfarm change in book value \1\","B016RC1",49,39.7,70.1,79,-55.4,18.5,32.6,109.3,98,101.5,91.4,8.2,-160.3,117.6,122.1
"29","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",18.7,22.8,-6.5,-23.1,17.1,-4,-16.4,-53.2,-48.1,-37.9,-61.5,-50.9,1.3,-49,-68.2
"30","22","  Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,-0.1,-0.6,19.8,18.1,13.7,4.8,8.8,-62.1,31.8,32.1
"31","23","    Merchant wholesale trade","N151RC1",22.7,19.5,16.3,14.8,-8,0.5,-0.2,17.8,14.3,15.2,6.2,1,-46.6,25.9,23.2
"32","24","      Durable goods industries","N626RC1",15.2,15.1,12.4,10.4,-13.3,-0.2,0.9,16.8,11,10.5,1.1,7.4,-43.9,15.3,19.5
