"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2006 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2006 8:44:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","Gross domestic product","A191RL1",-8.6,-6.4,-13,-1.3,10.8,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-11,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.7,7.1,1.9,2,-1,7.1,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.5,-0.2,5.3,4.6,5.6,3.2,-0.2,2.5,-1.9,4.5,7.2,4.1,3.5,3.4,4.1,3.5,1.9,-0.2,3.3,2.7,4,2.5,3.7,4.5,4.2,4.5,3.7,0.8,1.6,2.5,3.9,3.2
"9","2","Plus: Income receipts from the rest of the world","B645RL1",-5.4,-18.9,-22.3,-15.3,-8.1,15.6,9.7,22.1,-9.3,7.9,-12.5,13.7,-8,-2.1,7.3,-5.4,14.3,30.6,19,-3.2,10.5,20.4,2.6,-2.5,5.8,11.7,8.8,5.2,-11.2,7,12.6,7.4,9.3,8.3,9,5.9,-1,4.4,11,11.1,3.4,3.3,11.2,35.6,17.2,-14.1,8.6,7.7,15.3,36.1,6.4,5.8,3.3,-3,15.5,-10.7,-3.5,6.7,19,12,1.8,-13.9,-11.9,-0.4,16.6,22.6,4.4,13.3,-0.6,10,16.4,-17.4,-6.6,7.8,18.4,21.3
"10","3","Less: Income payments to the rest of the world","A655RL1",-6.7,-17.1,-26.5,-10.7,5.8,9,63.7,5,-25.1,12.6,1.6,-8.8,-10.1,19.8,11.4,10.9,-22,2.5,9.5,13.7,9.8,9.5,1.8,5.9,0.6,9.8,4,3.1,2.1,17.5,15.9,0.4,1.1,10.4,11,9.2,11.2,6.5,16.4,33.3,8.3,-5.3,15.4,33.7,19.8,-3.1,-1.6,2.2,35.1,35.8,13,19.9,2.6,-2.9,27.7,-2.6,5.7,9,17.6,13.5,-2.5,-13.6,-13.9,-1,25.9,21,5.9,16.6,3.8,6.3,16.8,-20.5,-3,-0.4,26.3,28.2
"11","4","Equals: Gross national product","A001RL1",-8.6,-6.5,-13,-1.4,10.7,9,12.9,5.2,-3.4,8.1,8.6,17.2,18.4,16.3,8.1,-1.2,-10.9,-0.8,4.5,-0.6,8.7,7.8,3.8,4.5,-0.6,7.2,2,2,-1.1,7.1,2.5,2.4,6.1,4.4,5.8,6.4,6.4,2.5,4.8,3,0.2,3.4,5.3,6,-0.4,-0.4,5.4,4.7,5.5,3.5,-0.2,2.3,-1.9,4.4,7.1,3.8,3.2,3.3,4.2,3.5,2,-0.3,3.3,2.7,3.9,2.6,3.7,4.4,4,4.6,3.7,0.8,1.5,2.7,3.8,3.1
"12","5","Less: Consumption of fixed capital","A262RL1",2.7,-0.1,-2.3,-3.1,-2.1,-0.3,1.7,3,1.8,1.2,2.7,6.1,12.2,17.7,17.4,9.4,0.8,-2.4,-0.8,0.5,1.6,3.6,4.7,5.4,4.7,3.7,3.4,3.1,3.7,0.5,4.2,3,3.1,4.7,3.6,5.1,6.4,4.8,4.5,5.9,3.9,2.4,5.6,4.8,4.9,3,3.2,4.7,5.6,5.2,3.8,3.2,3.9,3.4,5.6,6.1,2.8,4.5,3.5,5.4,3.8,4.6,3.6,2,6,3.8,4.6,6.1,6.5,6.9,6.7,7.4,1,2.5,4.9,8.1
"13","6","        Private","A024RL1",2.5,-0.7,-3,-3.9,-2.9,-1.1,1,2.7,1.1,0.4,2.1,3.2,0.2,-2.5,-1.1,1.4,5.5,8.1,7.8,6,5.5,5,3.4,4.2,4.1,4.1,4,3.6,4.5,-0.5,4.4,3,2.7,5.1,3.7,6.1,7.6,5,4.8,7.2,4.8,3.4,7.8,6.4,6.1,3.4,3.6,5.5,6.5,5.9,4,3.3,4.1,3.3,5.8,6.1,2.1,4.2,3.2,5.5,3.6,4.7,3.7,1.9,7,4.4,5.2,7.1,7.3,7.8,7.5,8.1,0.8,2.6,5.4,8.8
