"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2006 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2006 8:49:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Gross value added of corporate business \1\","A451RC1",54.4,47.8,37.5,27.5,26.6,33.1,36.7,42.3,47.8,42.5,46.8,53.5,69.1,86.5,102.6,106.3,99.7,104.4,126,144.5,141.5,160.4,183.9,192.6,206.2,203.6,229.5,245.6,256.9,251.8,281.9,293.9,302.1,329,349.5,377.7,414.4,454.1,479.3,529.1,576.7,597.8,646.1,716.8,802.6,869.9,944.4,1062.9,1205.2,1376.4,1530.7,1666,1893.3,1971.4,2121,2378,2535.3,2649.8,2837.9,3071.3,3235,3382,3468.9,3643.1,3824.8,4103.4,4354.5,4626.5,4983.6,5313.6,5655,6051.8,6099.4,6225.8,6456.9,6873.2,7357
"9","2","Consumption of fixed capital","A438RC1",4.9,4.7,4.4,3.9,3.7,3.7,3.7,3.8,4.2,4.3,4.2,4.4,4.9,5.6,5.6,5.8,6.1,7,8.7,10.1,10.9,11.6,13.2,14,14.8,15.7,16.6,18.7,20.5,21.6,21.8,23.3,23.9,24.6,26,27.2,29.4,32.7,35.6,39.1,44.2,48.9,52.9,59.1,65.9,78.2,92.9,102.8,117.4,136,157.2,180.1,205.3,227.5,236,252.9,274,284.4,300,318.9,344.6,367.5,395.7,408.7,421.3,456.6,486.9,513.6,553.6,589,632,690,752.5,742.1,759.8,796.2,856.8
"10","3","Net value added","A439RC1",49.5,43.1,33.1,23.6,22.9,29.4,33,38.5,43.6,38.2,42.5,49,64.2,80.9,97,100.5,93.7,97.4,117.3,134.4,130.7,148.8,170.7,178.6,191.4,188,212.9,226.9,236.4,230.2,260.1,270.6,278.2,304.4,323.5,350.4,385,421.4,443.6,490.1,532.5,548.9,593.2,657.7,736.6,791.7,851.6,960.1,1087.8,1240.4,1373.4,1485.8,1688,1743.9,1885,2125.1,2261.3,2365.4,2537.9,2752.3,2890.4,3014.5,3073.2,3234.4,3403.5,3646.9,3867.6,4112.9,4430,4724.6,5023,5361.8,5346.9,5483.7,5697.1,6077.1,6500.2
"11","4","  Compensation of employees","A442RC1",34.2,30.8,25.4,19,18,21,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,341.3,378.6,400.2,425.3,472.5,533.9,587.4,614.9,695.2,784.8,901.9,1023.4,1122.6,1243.9,1297.5,1371.2,1520.3,1630.9,1728.6,1849.8,1988.9,2097.6,2208.1,2253,2377,2489.2,2633,2774.1,2916.1,3125,3397.6,3645.2,3957.7,4016.7,4044.5,4156.9,4354.6,4612.5
"12","5","    Wage and salary accruals","A443RC1",33.8,30.4,25,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78,86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.3,857,938.1,1037.3,1076.7,1136.8,1263.2,1359.8,1440.5,1546.3,1665.3,1754.7,1846.4,1870.3,1962.2,2046.3,2162.9,2299.4,2439.2,2633.9,2867.8,3080.3,3343,3375.6,3327.1,3396.2,3558.9,3761
"13","6","    Supplements to wages and salaries","A444RC1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,35.9,40.6,44.2,49.1,57.8,69.3,78.5,86.4,104,122.1,145.7,166.4,184.5,206.6,220.7,234.4,257.1,271.1,288.1,303.5,323.6,342.8,361.7,382.7,414.7,443,470.1,474.8,476.9,491.1,529.9,564.9,614.7,641.1,717.4,760.7,795.7,851.5
"14","7","  Taxes on production and imports less subsidies","W321RC1",3,3,2.8,2.9,3.5,4.1,4.2,4.4,4.6,4.6,4.8,5.1,6.1,6.4,6.8,7.5,8.3,9.8,11.5,12.7,13.4,14.8,15.9,17.3,18.5,17.9,19.8,21.5,22.8,23.1,25.6,27.8,28.9,31.2,33.2,35.6,37.8,38.9,41.4,47.8,52.9,57,62.8,67.3,74.1,78.6,84.5,91.4,100,108.7,115,128.6,154.4,161.3,177.4,195.6,209,219.6,233.4,252,267.5,284.5,307.9,325.9,343.5,375.6,384.1,397.4,415.7,429.8,449.4,477.1,473.6,502.7,528.8,567,604.9
"15","8","  Net operating surplus","W322RC1",12.3,9.2,4.9,1.7,1.4,4.3,5.8,7.8,8.4,6.3,8,11,16.5,21.7,26,25.9,21.3,17.8,23.6,30.5,28.5,35.3,40.3,38.2,38.9,37.8,48.5,47.2,47.1,43,54.2,52,53.7,62.2,67.7,75.7,87.3,94,93.8,100.9,101,91.7,105.2,117.9,128.6,125.6,152.2,173.5,203,229.8,235,234.6,289.7,285.2,336.3,409.2,421.4,417.2,454.8,511.4,525.3,521.9,512.3,531.5,570.8,638.3,709.3,799.4,889.3,897.2,928.4,926.9,856.6,936.5,1011.4,1155.4,1282.7
"16","9","    Net interest and miscellaneous payments","A453RC1",1.4,1.5,1.5,1.4,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.1,1,1,0.9,0.7,0.6,0.1,0.3,0,0,-0.1,-0.2,-0.2,0,0.2,0.2,0,0.2,0.6,-0.2,-0.2,0.4,0.7,0.4,0.8,1.2,2.3,4,3.9,7.8,11.3,11.5,11.3,13,20.7,23.4,18.8,23.3,27.5,34.9,55.9,77.7,90,86.6,98.8,96.9,107,108.3,108.7,129.4,125.3,101.7,79.3,72.1,74.9,66.4,70,95.4,143.3,142.3,178.1,171.3,135.9,120.8,78.3,56.3
"17","10","    Business current transfer payments","W323RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1.1,1.1,1,0.8,1.2,1.5,1.7,1.5,1.5,1.6,1.8,2,2.4,2.9,3.3,3,3.3,3.8,4.4,3.9,3.5,4,5,6.6,8.6,7.9,6.4,8.5,11.5,13,15.6,18.1,20.6,28.3,32.3,30.1,25.6,27.1,36.5,34.9,35.8,46,33.7,40.2,39.1,45.1,36.3,55.2,56.3,76.6,87.7,70.1,63,70.8,92.7
