"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"11","28","  Durable goods industries","KS30DW0",109443,109571,109331,109030,109087,108955,108826,108949,108431,108023,108515,110305,111097,112033,113111,114649,115491,116428,116579,117911,117218,118717,118141,118321,116245,116451,117295,116412,116442,115539,117423,116453,117092,117202,117923,117165,116608,117085,116616,116154,114923,114961,113945,113023,112396,112178,113006,112352,112137,111235,110519,111716,110448,109451,108644,108194,108595,107631,105944,104016,104413,104383,102047,101509,101312,101748,101415,101472,101377,100905,100536,102975,102433,103411,102943,103719,103778,102216,101851,101814,101040,101689,101047,102259,101934,101604,100869,100665,100320,100645,101099,100706,99192,99374,100376,99912,100667,102167,102031,101617,102358,102345,104297,103774,104159,105066,105764,106511,107126,105877,106594,107331,107151,107514,107879,106209,107402,107998,107518,108401,109312,109580,109746,110496,111340,111383,111757,112472,113571,114650,115397,117157,117298,117316,117759,117512,117165,116347,115999,115962,114898,115602,115886,116784,117055,116374,115260,114633,114579,114326,114766,113174,112640,113639,114478,113791,114729,115850,116001,116945,117269,118250,118839,119928,121623,122417,123571,125200,125890,126430,128847,129300,130850,131286,132196,132809,132055,133156,134563,134751,135400,135975,136077,136338,136605,137607
"12","29","    Wood product manufacturing","KS321W0",1789,1830,1786,1752,1792,1798,1832,1861,1864,1886,1885,1841,1819,1823,1948,1885,1950,1889,1879,1872,1888,1903,1958,1955,1967,1976,1976,2053,1987,1978,1982,2044,2029,2072,2077,2084,2253,2212,2191,2184,2151,2174,2173,2147,2129,2174,2221,2108,2086,2027,1968,1902,1926,1915,1904,1897,2295,2194,2115,1997,1989,2049,2001,1984,2000,2032,2018,1992,2022,2019,2042,2026,2030,2017,2011,2023,2024,2039,2018,2009,2041,2007,2031,2036,2066,2075,2071,2072,2079,2057,2097,2099,2157,2182,2141,2171,2208,2201,2289,2251,2269,2198,2169,2178,2171,2192,2225,2274,2249,2297,2277,2255,2371,2227,2267,2274,2245,2197,2181,2156,2137,2105,2093,2098,2170,2098,2093,2052,2011,1987,2018,2006,1973,1862,1822,1804,1776,1804,1802,1774,1786,1800,1774,1646,1613,1562,1518,1483,1442,1407,1433,1441,1426,1396,1360,1355,1361,1352,1381,1435,1403,1411,1403,1356,1428,1437,1435,1444,1461,1446,1455,1428,1451,1462,1444,1459,1439,1489,1490,1456,1467,1480,1462,1490,1481,1481
"13","30","    Nonmetallic mineral product manufacturing","KS327W0",1495,1542,1528,1494,1542,1425,1441,1514,1533,1528,1506,1492,1534,1582,1545,1488,1472,1453,1481,1450,1424,1434,1425,1443,1465,1431,1408,1436,1430,1437,1449,1494,1480,1504,1481,1493,1491,1488,1504,1563,1538,1501,1485,1488,1457,1453,1454,1543,1528,1513,1506,1491,1466,1462,1448,1402,1435,1454,1440,1387,1362,1316,1325,1350,1359,1372,1382,1375,1390,1412,1423,1425,1395,1517,1541,1474,1439,1435,1413,1379,1372,1355,1355,1364,1369,1378,1390,1333,1339,1332,1301,1319,1299,1308,1299,1302,1288,1288,1285,1255,1268,1271,1272,1262,1270,1241,1245,1254,1264,1241,1260,1278,1274,1295,1290,1295,1318,1330,1329,1329,1340,1335,1340,1355,1363,1341,1334,1328,1326,1324,1331,1346,1324,1361,1312,1303,1274,1271,1238,1215,1226,1230,1233,1227,1244,1185,1182,1167,1156,1135,1100,1113,1111,1098,1059,1017,1035,1054,1043,1017,1019,1041,1052,1051,1073,1083,1098,1087,1086,1059,1064,1070,1090,1095,1088,1083,1073,1084,1113,1123,1096,1105,1099,1120,1112,1123
"14","31","    Primary metal manufacturing","KS331W0",8999,9048,9187,9095,9175,9255,9233,9190,9192,9091,9160,9233,9416,9312,9302,9289,9262,9171,9289,9342,9389,9424,9530,9417,9633,9560,9545,9451,9760,9711,9744,9718,9688,9788,9897,9942,9977,9882,9713,9818,9765,9765,9698,9698,9683,9615,9499,9591,9284,9164,9010,8959,8838,8730,8692,8631,8611,8562,8431,8313,8147,8127,7950,7882,7874,7978,7981,8157,8175,8191,8304,8279,8297,8303,8226,8150,8095,7763,7673,7640,7395,7378,7311,7309,7471,7177,7483,7421,7218,7163,7107,7298,7489,7693,7629,7553,7983,7961,7837,7819,8044,8052,8037,7996,8046,7981,7945,8182,8156,8270,8198,8237,8241,8182,8170,8277,8418,8545,8606,8477,8528,8596,8640,8660,8572,8709,8638,8459,8297,8271,8366,8570,8511,8539,8611,8520,8721,8552,8599,8440,8413,8353,8209,7897,7453,7264,7031,6682,6529,6615,6658,6955,7053,6628,6613,6631,6800,6871,6929,7052,7299,7087,7174,7260,7279,7392,7377,7459,7556,7554,7484,7670,7682,7652,7691,7755,7683,7715,7860,7838,7810,7861,7757,7718,7707,7675
"15","32","    Fabricated metal product manufacturing","KS332W0",10612,10707,10772,10838,10793,11019,10999,10995,11009,11044,11105,11242,11121,10988,11203,11282,11294,11407,11293,11350,11290,11183,11158,11196,11156,11078,11126,11066,11211,10976,11082,11062,11132,11256,11413,11339,11558,11548,11466,11515,11606,11628,11614,11576,11499,11505,11415,11364,11593,11409,11323,11254,11271,11207,11081,11035,11301,11102,11057,10876,10609,10679,10708,10757,10740,10959,10857,10793,10853,10735,10772,10830,10549,10782,10705,10515,10482,10425,10259,10399,10314,10430,10443,10532,10596,10560,10588,10502,10522,10533,10467,10284,10177,10159,10288,10458,10412,10516,10738,10708,10850,10783,10865,10979,11065,11089,11217,11189,11418,11300,11317,11466,11421,11536,11605,11723,11717,11731,11871,11908,12117,12015,11901,12062,12088,12095,12165,12216,12422,12626,12306,12439,12400,12497,12499,12253,12270,12164,12172,12188,11576,11722,11757,11909,11829,11648,11537,11376,11264,11015,11023,10605,10699,10762,10941,10725,10704,10696,10761,10823,10596,10733,10816,10757,10761,10762,10918,10887,10881,10905,11064,11110,11188,11213,11310,11405,11360,11426,11693,11830,11845,11893,11866,11905,11906,11944
"16","33","    Machinery manufacturing","KS333W0",14604,14275,14434,14666,14507,14507,14352,14218,14123,14053,14182,14446,14430,14582,14432,14342,14371,14430,14293,14477,14512,14499,14497,14402,14188,13992,14013,14007,14222,13958,14152,14097,13861,14036,13843,13951,14180,14520,14141,13598,14196,14500,14483,14336,14462,14913,15042,15452,14925,14804,14818,14632,14513,14187,14074,13788,13674,13781,13374,13110,13020,13047,12821,12886,12666,12525,12370,12251,12144,11953,11860,12227,11847,11785,11639,11788,11525,11322,11123,11496,11540,11530,11496,11636,11554,11623,11421,11478,11622,11603,11698,11538,11396,11171,11433,11276,11524,11458,11465,11520,11516,11446,11617,11751,11652,11838,11965,11929,11918,11792,11991,11957,11985,12059,12091,11976,12085,11983,11687,12299,12192,12262,12309,12354,12390,12299,12210,12455,12487,12545,12435,12395,12377,12335,12536,12247,12062,11955,11992,12085,12502,12377,12149,12552,12685,12448,12209,12037,12056,12051,11720,11706,11551,11531,11427,11548,11595,11662,11656,11644,11413,11493,11788,11981,12130,12207,12204,12338,12339,12393,12528,12534,12917,12714,12771,12584,12416,12753,12901,12806,13271,13116,13055,13310,13123,13175
"17","34","    Computer and electronic product manufacturing","KS334W0",14922,15019,15200,15117,15200,15415,15758,15744,15836,15580,15886,16374,16256,16586,16902,17066,16988,16986,16599,16689,16310,16389,16375,16245,16213,16371,16386,16639,16721,16506,16406,16415,16334,16349,16119,16067,16369,16603,16464,17433,17501,17711,18158,18436,17477,18097,18913,19049,19411,19522,19652,20102,19175,19235,18476,18471,18076,17554,17281,16420,16622,16584,16665,16360,16399,16397,16428,16353,16613,16226,16309,16319,16385,16528,16578,17002,16983,16941,17238,17169,17137,17551,17787,18365,17881,17894,18215,18723,19206,19289,19429,19684,19672,19868,19916,19698,19740,19717,19833,19891,20055,20266,20979,20824,20881,21539,21728,21582,22185,21563,21362,21363,21222,21208,20910,20677,20459,20537,20279,20128,20311,20282,19934,19476,19880,19435,19415,19518,19681,20058,20092,19979,20278,20296,20164,20861,20815,20474,20764,20621,20618,21003,21094,20923,20995,20847,20864,20793,20763,20297,20035,19906,19954,19934,20153,20709,20428,20709,20365,20275,20364,20710,20624,21005,20937,20851,20866,20859,20396,20657,21077,21071,21030,21104,21009,20935,20865,20969,20749,20365,20401,20183,20303,20116,19580,19763
"18","35","    Electrical equipment, appliance, and component manufacturing","KS335W0",5530,5540,5568,5603,5637,5595,5658,5640,5618,5653,5645,5658,5681,5671,5612,5599,5570,5562,5625,5693,5708,5688,5675,5677,5616,5591,5643,5616,5622,5620,5512,5482,5653,5682,5663,5600,5577,5596,5480,5537,5573,5637,5664,5680,5680,5727,5750,5752,5731,5763,5733,5695,5608,5537,5514,5489,5493,5473,5400,5309,5276,5208,5247,5263,5246,5181,5127,5110,5080,5053,5048,5103,5086,5045,5028,5003,4970,4948,4951,4951,4964,4965,4977,4946,4940,4923,4877,4865,4891,4912,4856,4878,4868,4743,4826,4825,4848,4824,4811,4784,4748,4743,4763,4780,4824,4801,4784,4808,4817,4830,4881,4906,4886,4928,4916,5065,5011,5016,5017,5091,5089,5118,5141,5175,5189,5138,5195,5041,5045,5101,5282,5296,5319,5341,5291,5236,5226,5336,5216,5215,5259,5325,5322,5300,5133,5141,5111,5061,5000,4960,4909,4907,4881,4879,4885,4792,4815,4839,4764,4773,4795,4787,4813,4835,4860,4851,4850,4868,4889,4899,4898,4935,4931,4937,4927,4946,4920,4949,4978,4938,5039,4989,4965,4962,4986,4986
"19","36","    Transportation equipment manufacturing","KS336W0",46887,47128,46336,46109,46019,45390,44823,45089,44461,44446,44235,45079,46004,46588,47031,48531,49507,50449,51109,52124,51938,53533,52821,53395,51365,51733,52519,51379,50734,50623,52482,51448,52176,51899,52877,52050,50544,50444,50833,49359,47447,46829,45305,44196,44603,43184,43008,41827,41710,40991,40570,41642,41711,41192,41589,41700,42104,42069,41479,41423,42034,42085,40033,39688,39634,39965,39976,40161,39691,39901,39389,41438,41350,41909,41533,42137,42573,41457,40907,40737,40837,41039,39910,40301,40376,40146,38971,38760,37932,38140,38502,37930,36546,36382,36984,36764,36883,38127,37872,37150,37498,37577,38682,37978,38345,38530,38788,39340,39233,38698,39503,39978,39881,40231,40594,38838,40011,40466,40361,40888,41485,41748,42383,43339,43651,44218,44617,45372,46291,46686,47578,49110,49060,49123,49549,49475,49167,48837,48327,48652,47695,48024,48641,49665,50434,50623,50226,50650,51073,51628,52639,51335,50834,52302,52918,51950,52920,53575,53932,54624,55082,55700,55861,56434,57852,58515,59584,60989,61902,62182,64058,64220,65296,65906,66757,67379,67062,67563,68436,69019,69084,69974,70135,70226,71109,71923
"20","37","      Motor vehicle and parts manufacturing","KS3MVW0",7742,7840,7891,8125,8283,8043,7827,8002,8697,7923,7809,7890,7876,7839,8287,7874,7721,7478,7448,7223,7137,6658,7130,7508,7111,6644,7597,6805,6628,6752,7216,7117,7112,7346,7453,7623,7377,7467,7071,7272,7917,7581,7463,7547,7598,7656,7688,7646,7473,7394,7034,7455,7345,7187,7047,6929,6934,6795,6641,6569,6868,6503,6193,6530,6484,6828,6845,6801,6891,6936,6838,6865,6650,7154,7112,7294,7196,6914,6975,6923,6949,6941,7125,7123,7136,7117,7042,6933,6848,7013,7010,7002,6919,6850,6831,6824,6954,6986,6954,6959,6989,7148,6976,6989,6798,7165,7112,7143,7067,6723,7019,7238,7234,7288,7214,7094,6860,6912,7173,7418,7379,7124,7040,7196,7182,7052,7106,7088,7073,7308,7093,6971,7112,6895,6803,6624,6336,6349,6079,6050,5943,5781,5640,5492,5340,5537,5311,5229,5297,5104,5031,5098,5070,5049,5028,5164,5192,5506,5311,5527,5458,5399,5498,5442,5433,5460,5534,5786,5830,5835,5888,5832,5869,5852,5917,5785,6002,6101,6152,6103,6112,6269,6357,6107,6241,6321
"21","38","      Other transportation equipment manufacturing","KS3OTW0",39105,39246,38397,37926,37672,37287,36939,37026,35678,36463,36370,37134,38074,38696,38674,40606,41746,42949,43642,44893,44790,46871,45674,45862,44229,45063,44898,44548,44079,43845,45238,44304,45036,44526,45396,44402,43141,42949,43735,42060,39512,39225,37822,36631,36986,35514,35305,34166,34222,33581,33520,34170,34349,33988,34526,34755,35154,35258,34822,34837,35152,35561,33821,33146,33136,33128,33122,33350,32792,32957,32541,34559,34679,34744,34410,34834,35363,34527,33921,33801,33875,34084,32783,33173,33234,33023,31927,31823,31081,31127,31491,30929,29629,29534,30154,29940,29930,31143,30920,30191,30511,30431,31708,30989,31545,31366,31676,32197,32166,31974,32483,32740,32646,32942,33381,31741,33155,33559,33189,33471,34106,34628,35349,36149,36476,37177,37520,38296,39233,39389,40503,42166,41968,42251,42772,42882,42876,42526,42298,42654,41798,42295,43057,44233,45157,45148,44978,45483,45840,46585,47669,46298,45825,47312,47947,46847,47788,48132,48683,49159,49687,50364,50428,51056,52482,53119,54115,55270,56140,56414,58239,58457,59498,60126,60914,61670,61134,61536,62357,62992,63048,63781,63853,64198,64947,65681
"22","39","    Furniture and related product manufacturing","KS337W0",1534,1526,1494,1448,1473,1449,1500,1493,1494,1493,1487,1507,1507,1512,1564,1580,1597,1600,1642,1652,1649,1613,1609,1611,1667,1647,1635,1583,1597,1627,1614,1646,1576,1608,1654,1655,1668,1689,1697,1715,1703,1712,1708,1734,1727,1725,1739,1728,1742,1771,1799,1794,1774,1718,1690,1625,1605,1612,1597,1588,1637,1623,1645,1665,1707,1676,1699,1675,1746,1753,1710,1644,1713,1715,1739,1707,1622,1638,1636,1550,1547,1541,1543,1559,1595,1579,1578,1562,1529,1569,1568,1644,1566,1599,1629,1617,1649,1693,1660,1666,1669,1655,1622,1637,1621,1620,1661,1626,1630,1613,1623,1596,1657,1659,1644,1646,1682,1666,1685,1636,1623,1651,1588,1542,1604,1581,1617,1626,1602,1585,1594,1594,1592,1568,1544,1543,1524,1515,1483,1436,1498,1463,1446,1440,1508,1487,1512,1430,1372,1383,1358,1347,1319,1299,1299,1277,1250,1267,1279,1310,1309,1303,1297,1277,1288,1277,1281,1275,1281,1292,1304,1304,1318,1303,1306,1327,1327,1317,1331,1307,1314,1331,1382,1385,1395,1375
