"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/12/2014 3:54:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Current receipts","W021RC1",55.4,54.8,54.4,57,57.9,56.7,56.2,56.2,55.2,53.5,53.3,52.3,57.9,62.5,69.5,74.4,83.3,80.3,79.9,84.1,84.7,85.2,86.1,89.8,91.9,92.5,92,86.8,84.5,84.9,85.9,88.4,93.1,95.5,97.9,100.2,101.6,103.6,104,107.4,110.4,110.3,110.6,107.9,104.8,105.1,109.1,113.6,119.3,123.5,123,124.4,134.5,134,134,133.1,133.9,136.7,139.5,144,146.3,148.5,151.8,153.6,157.4,160.6,163,165.4,165.4,162.8,166.8,169.1,176.3,179.4,179,183.8,194.6,200.6,204.6,208.5,210.6,212.7,218.9,225.5,237.6,244.4,258,264.8,277.1,282.6,283.4,287.1
"10","2","Current tax receipts","W054RC1",48.4,48.2,48.5,51.6,52.3,51.4,50.8,50.9,49.2,47.5,47.7,46.9,51.8,56.4,63.2,67.8,75.8,72.7,72.4,76.5,76.8,77.4,78.2,81.7,83.8,84.3,83.7,78.7,75.3,75.7,76.7,79,83,85.3,87.5,89.7,90.4,92.3,92.6,95.9,97.5,97.4,97.6,95.1,91.9,92.3,96.1,100.6,104,108,107.5,108.7,114.1,113.5,113.4,112.6,112.9,115.5,118.1,121.9,122.7,124.5,127.6,129.4,130.7,133.6,135.6,137.6,137.4,134.4,138.1,140.2,146.7,149.3,148.6,153.2,157.1,162.6,165.5,168.7,169.2,170,175.1,180.9,190.7,196.6,209.3,215.7,224.8,229.1,228.6,231.3
"11","3","  Personal current taxes","W055RC1",19.2,19.5,19.7,20.8,21.2,18.9,18.2,18.4,17.8,17,16.3,15.8,16.6,17.6,18.9,22.5,24.4,26.4,27.8,29.6,30.9,31.8,32.3,33.1,33.4,33.4,33.2,32.9,30.2,30,30,30.5,31.4,32.4,33.4,34.2,35.4,36.2,36.9,37.9,38.6,39,39.2,38.8,38.2,37.7,38.9,39.4,40.8,42,42.7,43.7,45.3,46,46.5,46.4,46.5,46.9,47.4,48.1,49.4,50.9,52.3,53.6,54.1,54.3,54.6,55.2,53.8,49.7,51.6,53.2,57,58.4,57,58.3,61.5,65.6,67.9,70.6,71.2,70.9,73.8,75.9,78.6,81.7,91.9,95.9,102.6,105.7,104.1,105.6
"12","4","  Taxes on production and imports","W056RC1",17.7,17.7,18,19,19,19.7,20,20.3,20.4,20.8,21.3,21.2,21.6,22.5,24.4,23.4,25.1,24.1,24.5,25.3,26.1,26.9,27.3,28.1,28.7,29.2,29.3,29.2,28.7,28.8,28.7,29.3,30.2,31.2,31.9,32.5,33,33.6,34.6,35.7,36.1,36.6,37,36.7,36.8,37.3,37.8,38.9,39.8,40.3,41.7,42.4,43.7,44.3,44.9,45.3,45.8,46.5,47.3,48.4,49.4,49.9,50.9,51.3,52,52.9,53.9,54.7,55.7,56.7,57.9,58.8,60.2,60.3,60.5,61.8,61.4,62.8,63.7,64.9,65.6,66.8,68.7,70.6,73.4,75.4,77.7,79.1,80.6,82.9,85.2,86.7
