"","Table 5#6#5# Private Fixed Investment in Intellectual Property P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:10:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Private fixed investment in intellectual property products","Y001RC1",17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.1,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,317.7,364,409.5,412.6,406.4,420.9,442.1,475.1,504.6,537.9,563.4,550.9,564.3,596.6,625
"9","2","Software","B985RC1",1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,34.2,41.9,47.6,53.7,57.9,64.3,68.3,74.6,85.5,107.5,126,157.3,184.5,186.6,183,191,205.1,217.2,228.9,244.2,258.5,256.8,252,267.6,281.6
"10","3","  Prepackaged \1\","Y003RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5.3,5.9,7.6,10.5,13.3,14.3,16.6,18.5,19.9,22.2,26.4,34.9,42.9,49.7,54.7,55.9,60.3,63.3,67,69.2,69.1,70.3,72.8,71.3,62,66.9,72.1
"11","4","  Custom","Y004RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,8.6,9.5,11.4,13,14.2,15.7,16.8,18.6,21.4,24.7,30.7,37.8,45.2,53.6,63.9,63.4,56.5,56.1,58.5,65.5,72.8,81.7,88.5,86.5,93.7,100.1,105.9
"12","5","  Own account","Y005RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,11.7,13.6,15.1,18.4,20.1,23.8,24.4,27.3,27,27.8,28.3,34.8,37.9,54.1,65.8,67.3,66.3,71.7,79.6,82.5,87.1,92.2,97.2,99,96.3,100.6,103.7
"13","6","Research and development \2,3\","Y006RC1",11,11.5,11.9,12.9,14.6,16.4,17.5,19.6,21.8,24.9,29.1,34.2,39.7,44.8,49.6,56.9,63,66.5,69.2,75.5,82.8,89.3,96,98.6,99.2,101.3,112,123.6,134.4,143.3,155.7,169.5,171.3,165.7,167.2,173,188.1,204.5,223.3,237.7,229,240.2,255.2,269.1
"14","7","  Business","Y007RC1",10.4,10.8,11.2,12.2,13.8,15.5,16.4,18.4,20.4,23.3,27.1,32,37.1,42,46.7,53.8,59.6,62.5,64.7,70.2,77.2,83.4,89.7,92,92.4,94.4,104.8,115.8,126.2,134.2,146.2,159.7,161.3,155,156.2,161.7,176.5,192.5,210.8,224.5,214,223.5,235.3,248.7
"15","8","    Manufacturing","Y027RC1",10.2,10.6,10.9,11.9,13.5,15.1,15.9,17.6,19.3,21.7,25,29.2,33.4,37.3,40.9,46.5,50.8,52.6,54.6,57.6,61.7,64.1,67.2,69.5,68,72.4,82.4,92.5,100.5,107.7,114.2,126.2,131.7,124.2,127.2,134.2,144.7,159.6,175.4,184,177.5,185,193.6,202.2
"16","9","      Pharmaceutical and medicine manufacturing","Y009RC1",0.4,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.9,2.2,2.6,3.1,3.5,3.7,3.9,5.1,6,6.8,7.7,9,10,11.2,12,14.3,16.2,18.3,21.6,24.2,28.1,29.5,32.4,33.5,37.4,40.5,45.6,56.8,61.2,56.9,63.6,61.5,63.1
"17","10","      Chemical manufacturing, excluding pharmaceutical and medicine","Y010RC1",1.3,1.4,1.4,1.5,1.7,1.9,2,2.2,2.3,2.5,2.8,3.2,3.6,3.8,4.1,4.4,4.6,4.6,4.7,5.2,5.5,6.2,6.5,6.3,6.6,6.1,6.2,6.9,6.3,7.8,8,8.2,8.1,6.8,7.4,7.6,8,8.5,8.9,11.3,10.4,11.5,11,12.6
"18","11","      Semiconductor and other electronic component manufacturing","Y012RC1",0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1.2,1.3,1.4,1.9,2.5,3,3.5,4.5,4.6,4.7,4.8,4.9,5.2,5.2,5.8,6.8,8.1,9.9,10.8,11.4,12.6,14.8,14.5,15.1,17,18.3,18,18.9,22.4,20.9,22.9,25.4,28.8
"19","12","      Other computer and electronic product manufacturing","Y013RC1",2,2.2,2.4,2.5,2.9,3.2,3.3,3.6,3.9,4.3,4.9,5.6,6.2,6.8,7.3,8.1,8.6,8.7,8.9,9.2,9.2,9.5,9.6,10.1,10.1,11.2,13,15.4,18.8,20.5,20.9,27,31.5,23.1,21.2,20.7,21.7,27,27.9,30.6,27.9,28.2,30,31.4
"20","13","      Motor vehicles, bodies and trailers, and parts manufacturing","Y014RC1",1.4,1.4,1.6,1.9,2.3,2.4,2.3,2.7,3.2,3.8,4.2,4.7,4.7,4.8,5.3,5.9,6.7,7.8,7.8,8.4,9.3,9.1,9.6,9.9,11.3,12.6,14.3,15.5,15,14.9,16.4,16.4,15.7,15.6,16.3,16.6,17,17.5,16.9,14,12.2,12.3,14.1,14.4
"21","14","      Aerospace products and parts manufacturing","Y015RC1",1.4,1.3,1.1,1,1.2,1.3,1.4,1.6,1.8,2.1,2.6,3.2,3.8,4.4,5.1,6,6.9,7.4,7.6,7.5,7.2,6.8,6.7,7.3,6.7,6.3,6.3,6.6,6.5,6.5,6.9,6.7,7.1,6.7,6.5,7.6,8.5,9.8,10.7,11.1,11.7,9.2,7.8,7.4
"22","15","      Other manufacturing","Y016RC1",3.4,3.6,3.7,4,4.4,5.1,5.6,6,6.5,7.1,8.2,9.4,11.7,13.5,14.3,16,17.3,16.7,15.9,16.8,18.9,20.1,21,20.8,17,18.4,21.6,23.9,25.6,25.6,26.4,27.2,25,25.2,27.2,27.3,30.7,33.3,35.3,33.3,37.4,37.3,43.6,44.4
