"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",26.052,25.857,26.045,25.815,25.683,25.915,26.011,25.031,26.369,26.276,26.524,26.213,26.758,28.072,28.48,29.113,30.397,31.142,30.687,31.381,30.901,30.914,30.376,30.194,29.068,29.309,30.326,30.702,31.743,32.263,32.488,32.279,32.677,33.449,34.56,34.374,34.148,36.159,36.426,37.249,37.44,37.272,37.787,37.665,38.021,37.074,36.594,37.527,39.424,38.406,39.841,38.554,37.134,37.822,37.322,36.515,36.755,38.314,39.063,41.143,42.522,43.43,43.894,44.218,44.108,44.369,45.184,45.42,45.864,45.794,46.42,46.603,46.759,47.565,48.194,49.499,49.791,50.735,50.801,51.764,52.833,53.572,53.969,53.645,54.388,54.459,54.351,53.35,52.854,53.103,53.615,53.765,53.995,55.059,55.73,56.424,56.644,57.211,56.831,58.199,59.49,60.665,60.876,62.622,62.795,62.541,63.01,64.116,64.411,66.087,67.542,68.146,69.108,71.022,72.461,73.146,74.404,73.933,75.4,77.757,78.948,79.752,81.03,83.199,82.638,85.353,84.979,85.143,83.461,83.719,82.727,83.384,84.367,84.734,85.545,84.655,85.687,86.276,89.459,91.137,91.349,92.037,93.332,94.532,96.46,96.738,97.603,98.836,101.571,102.01,102.524,104.433,104.3,106.112,107.624,108.937,107.231,108.562,107.308,100.779,98.466,98.573,99.549,103.412,105.995,107.22,109.726,111.329,111.069,112.66,112.565,116.693,118.294,118.485,119.877,119.52,121.121,122.295,125.445,127.568
"13","5","    Final sales","A325RA3",24.685,24.607,24.722,24.784,24.904,24.912,25.005,24.571,24.975,24.956,25.242,25.517,25.796,26.611,26.965,28.02,29.013,29.264,29.289,29.37,29.444,29.35,29.317,28.397,28.696,29.118,29.562,29.838,30.203,30.397,30.705,31.001,31.215,31.661,32.141,32.635,32.237,34.18,34.376,35.13,35.441,35.192,36.324,36.368,36.598,35.765,36.632,36.69,37.078,37.026,37.39,36.772,36.678,36.799,36.06,36.598,36.667,37.398,38.015,39.275,39.291,40.244,40.62,41.613,42.324,42.479,43.33,43.148,43.645,43.993,45.123,45.412,44.548,45.667,46.675,46.323,47.83,48.632,48.671,49.512,49.917,50.915,51.958,51.509,52.272,51.839,52.02,51.807,51.453,51.76,51.839,51.278,52.183,52.668,53.397,54.022,53.823,54.67,54.88,55.881,56.409,56.698,57.619,58.774,59.228,59.608,60.663,61.572,62.155,63.233,63.853,64.97,65.771,66.334,68.309,68.712,69.273,70.351,71.424,73.629,74.283,76.007,77.124,78.098,79.214,80.093,80.538,80.768,81.148,80.935,80.427,82.24,81.363,81.147,81.782,80.863,81.793,83.113,86.004,86.827,86.821,86.919,88.396,89.438,90.556,92.496,93.644,93.108,96.191,96.48,96.997,99.735,100.081,101.124,102.595,104.59,103.931,105.442,103.973,98.975,98.636,99.642,100.879,100.842,101.933,102.193,102.941,105.948,106.626,107.499,108.86,110.381,111.636,112.692,113.495,115.042,115.7,116.442,117.887,119.958
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",18.768,18.321,18.763,18.581,17.898,18.005,18.472,16.673,18.175,17.945,18.594,18.219,19.066,19.878,20.358,21.637,23.067,23.729,23.694,23.667,23.303,23.341,23.611,23.54,21.314,21.7,22.455,22.723,23.861,24.464,24.923,25.168,25.683,26.086,26.754,26.932,27.161,29.061,28.923,30.477,30.96,30.28,30.271,30.229,30.392,28.27,28.038,29.688,30.382,30.024,30.219,28.574,27.388,28.176,27.765,26.493,26.49,29.353,30.602,32.612,33.643,34.356,34.703,35.956,34.953,35.917,36.327,36.637,37.048,37.328,38.146,38.263,38.71,39.871,40.265,41.763,42.026,43.213,43.733,44.924,45.554,45.736,46.595,46.348,47.306,46.975,46.844,45.261,43.805,44.638,45.987,45.351,45.442,47.104,47.743,48.527,49.375,50.097,50.136,51.777,52.605,53.296,54.008,55.766,56.638,56.482,57.567,59.127,59.133,60.965,62.68,62.958,64.913,67.017,69.089,70.114,72.04,71.693,73.803,76.737,78.031,78.792,81.468,83.249,84.403,86.656,86.132,86.365,84.488,84.316,82.721,83.588,84.996,85.392,86.728,85.554,86.119,87.814,91.043,93.721,93.847,94.861,96.43,97.457,100.288,101.066,103.168,103.623,105.532,106.969,108.362,108.721,110.001,111.709,113.725,117.348,113.69,113.322,113.041,105.534,98.52,98.257,100.172,103.051,108.292,110.237,112.583,113.862,115.944,117.687,119.11,121.454,123.7,124.292,125.614,125.788,126.014,127.298,129.373,131.02
"16","8","    Final sales","A326RA3",17.172,16.92,17.082,16.949,16.948,16.947,16.95,16.12,16.593,16.689,17.085,17.409,17.753,18.324,18.6,19.618,20.858,21.331,21.302,21.349,21.448,21.71,21.704,20.854,20.664,20.945,21.619,22.015,22.269,22.358,22.77,23.051,23.83,24.256,24.579,24.881,24.549,26.546,26.756,27.585,28.168,27.624,28.481,28.378,28.661,26.861,27.326,27.815,28.327,28.049,28.254,27.19,26.885,26.725,26.431,26.786,26.426,27.763,28.541,29.921,30.212,31.011,31.333,32.628,33.123,33.815,34.653,34.386,34.563,35.231,36.838,36.956,35.674,37.025,38.457,37.917,39.634,40.517,40.371,41.341,41.834,42.807,44.257,43.284,44.941,43.83,43.908,43.427,42.83,43.418,43.598,43.149,43.839,44.451,45.421,46.233,46.025,47.122,47.225,48.529,49.089,49.141,50.205,51.37,52.077,52.496,53.866,55.084,55.835,57.259,58.138,59.473,60.614,61.629,64.307,64.731,65.642,67.1,68.748,71.486,71.973,74.224,76.184,76.547,79.318,79.852,80.356,80.476,81.802,80.879,79.732,82.183,80.237,80.251,81.581,79.831,80.469,83.1,86.579,87.377,87.496,87.87,89.825,91.054,92.35,94.978,97.007,95.725,99.018,99.631,100.657,102.555,103.717,105.86,107.33,110.167,108.675,109.518,107.577,101.235,99.596,99.591,100.928,99.886,101.749,103.025,103.913,106.711,107.954,109.608,111.343,113.241,114.389,114.919,115.895,117.715,118.669,119.516,120.069,121.129
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",39.513,39.864,39.51,39.196,40.218,40.698,40.021,40.801,41.712,41.914,41.307,41.147,41.028,43.298,43.539,42.833,43.794,44.697,43.456,45.493,44.791,44.756,42.726,42.337,43.296,43.252,44.752,45.329,46.146,46.486,46.234,45.119,45.257,46.74,48.693,47.778,46.646,48.796,49.854,49.213,48.825,49.661,51.183,50.918,51.648,53.086,52.131,51.582,55.803,53.498,57.394,56.922,55.106,55.535,54.877,55.099,55.808,54.554,54.234,56.341,58.354,59.61,60.288,58.667,60.416,59.217,60.815,60.886,61.371,60.603,60.812,61.119,60.691,60.769,61.834,62.716,63.051,63.503,62.718,63.233,65.095,66.846,66.391,65.94,66.282,67.08,67.015,67.058,68.254,67.47,66.508,68.03,68.501,68.521,69.245,69.777,68.918,69.215,68.115,69.012,71.093,73.094,72.447,74.17,73.157,72.733,72.167,72.516,73.294,74.719,75.75,76.891,76.226,77.837,78.263,78.405,78.606,77.935,78.406,79.883,80.92,81.796,80.973,83.747,80.608,84.039,83.889,83.954,82.55,83.43,83.288,83.65,84.036,84.363,84.436,83.934,85.62,84.675,87.812,88.157,88.488,88.752,89.694,91.128,91.873,91.487,90.721,92.987,96.833,95.953,95.325,99.244,97.281,99.229,100.104,98.514,99.28,102.751,100.261,94.927,98.351,98.946,98.819,103.884,103.258,103.619,106.314,108.293,105.297,106.703,104.854,111.024,111.884,111.618,113.087,112.137,115.277,116.325,120.679,123.332
"19","11","    Final sales","A334RA3",38.913,39.235,39.232,39.722,40.101,40.127,40.415,40.906,41.117,40.841,40.854,40.991,41.098,42.372,42.867,43.921,44.319,44.099,44.234,44.378,44.396,43.601,43.514,42.488,43.765,44.459,44.408,44.423,44.991,45.391,45.455,45.764,44.752,45.212,45.994,46.863,46.346,48.043,48.195,48.751,48.49,48.86,50.499,50.842,50.944,52.217,53.879,53.011,53.109,53.54,54.221,54.617,54.993,55.722,54.067,54.958,55.965,55.298,55.51,56.405,55.827,57.039,57.503,57.766,58.889,57.882,58.696,58.707,59.84,59.493,59.555,60.177,60.227,60.808,60.899,60.952,61.973,62.587,62.984,63.546,63.76,64.769,65.011,65.579,64.637,65.489,65.856,66.141,66.231,66.015,65.908,65.152,66.432,66.68,66.964,67.247,67.065,67.458,67.855,68.307,68.776,69.48,70.136,71.261,71.264,71.572,72.07,72.436,72.725,73.204,73.381,74.12,74.342,74.138,74.936,75.3,75.282,75.732,75.872,77.223,78.143,79.04,78.841,80.776,79.315,80.732,81.096,81.502,80.442,81.301,81.738,82.615,83.305,82.747,82.368,82.65,84.001,83.439,85.508,86.372,86.198,85.919,86.75,87.539,88.414,89.415,89.361,89.847,92.655,92.502,92.335,96.201,95.451,95.041,96.514,97.415,97.857,100.246,99.382,96.117,97.43,99.704,100.824,102.043,102.169,101.162,101.737,104.994,104.985,104.915,105.828,106.898,108.283,109.963,110.564,111.792,112.105,112.723,115.21,118.455
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
