"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","Plus: Imports of goods and services","A021RX1",214.4,256.7,253.3,250.5,249.7,254.7,254.1,258,255,274.2,280.3,261.3,299.5,288.8,294.8,308.1,322.3,313.1,304.4,306.7,296.3,312,306.5,303.5,273,251.2,272.1,286.6,304.5,317.7,330.7,341.6,357.8,361.1,356.1,361.1,385.4,386.6,391.6,397,395.9,398,392,400.5,400.8,371.7,345,363.5,379.1,379.6,375.3,386.1,375.1,368.9,386,370.9,379.4,408.6,440.4,462,499.1,520,533.5,549.1,537,563.4,557.9,579.8,579.3,604,620.7,625.5,621.7,637.2,649.6,664.6,661.5,653.8,669.3,689.7,692.9,696.2,695.2,707.8,730.2,729,726.1,706.6,698.6,711,731,747.1,752.6,764.9,777,795.6,812.8,829.6,840.5,874.3,894.7,928,954.1,981,1002.5,1012,1015.5,1028.5,1061.9,1085.7,1120.9,1143,1191.8,1231.8,1277.2,1304.7,1353.6,1384.7,1403.4,1448.9,1485.4,1532,1586.1,1622.1,1688.9,1735.9,1795.5,1799.9,1768.5,1717.9,1675.7,1656.6,1698,1754.3,1782.5,1817,1793.5,1817.3,1837.2,1907.2,1959.7,2034,2059.8,2111,2130.4,2151.6,2157.2,2222.9,2270.7,2295.9,2315.6,2312.3,2351.8,2360.9,2362.4,2328.3,2349.9,2328.3,2285.2,2191.5,1981.9,1897.6,1969.1,2055.5,2113.9,2213.6,2289.8,2295.2,2311.3,2315.2,2342.8,2376.4,2380.6,2395.1,2398,2379.1,2382.7,2422.9,2437.3,2446.4
"12","4","Equals: Gross domestic purchases","A712RX1",4806.2,4815.8,4849,4816.4,4805,4806.9,4849.9,4801.3,4926.3,4974.1,5007.9,5026.8,5127.3,5243.3,5281.1,5370.1,5494.6,5530.3,5488.8,5523.3,5456.8,5472,5435.6,5398.3,5284.9,5307.5,5434.9,5505.5,5659.3,5716.4,5750.9,5805.1,5903.2,6010.5,6104.8,6127.6,6173.3,6363.5,6426.9,6499.6,6510.1,6519.7,6537.1,6532.6,6538,6345,6289.6,6443.2,6591.8,6541.3,6622.2,6560.2,6459.2,6481.2,6509.9,6518,6607.8,6799,6969.1,7130.9,7311.4,7452.9,7531.1,7600,7656.3,7760.6,7878.9,7949.5,8003.7,8065.4,8153.1,8179.6,8229.8,8316.3,8380.2,8511.2,8517.7,8598.1,8653.4,8770.9,8839.9,8879.4,8935.4,8958.5,9050,9072.9,9065.3,8956.5,8899.6,8954.1,9001.8,9041.4,9138.6,9253.7,9339.1,9450.4,9486.6,9551.9,9613.5,9751.5,9861,10001.7,10054.7,10176,10216,10247.8,10292.7,10364.8,10457.9,10648,10776.6,10844.6,10958.8,11118.9,11279.7,11397.5,11554.5,11710.4,11885.5,12078.6,12231.4,12366,12543.9,12757.2,12840.7,13087.8,13133.6,13216.1,13164.7,13224.5,13209.4,13255.4,13397.6,13490.1,13571,13621.6,13676.6,13828.1,14039.4,14204.4,14306.3,14466.2,14603.7,14740.4,14897.2,14966,15086.7,15195.1,15362.5,15405.7,15442,15489.1,15515.6,15610,15653.1,15624.4,15526.1,15522.3,15415.6,15103.9,14820.6,14717.9,14781.8,14920.4,15011.5,15215.4,15348.5,15402.5,15354,15451.6,15498.4,15700.5,15822.4,15864.4,15971.4,15950.8,16005.8,16104.1,16258.5,16322.4
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",212.1,256.7,250.5,261.8,260.2,273.2,269.1,269,273.8,270.3,277,253.2,283.8,275.7,290.6,306.2,333.4,358.4,373.7,404.5,427.5,451.2,437.9,459.1,465.2,443.6,427.6,447.2,445.7,450.5,460,465.5,455.2,466.5,460.7,440.3,451.8,501.5,506.4,533.6,539.4,549.2,568.2,600.7,619.1,624.5,626.6,627.3,638.5,633.4,611.2,605.2,575.1,572,535.5,502.7,509.8,510,515.4,527.9,534.1,546.2,548.7,550.8,540.7,534.1,518.6,529,539.9,542.3,548.5,569.6,567.6,594.8,617.5,645.9,684.2,711.1,726.9,740.9,762.1,787.8,786.4,789.9,814.7,819.6,824.4,833.7,835.8,857.7,866.5,882.8,892.6,887.9,901.3,898.6,897,904.7,897.9,921.7,930.6,960.5,994.8,1018.7,1043.4,1060.9,1100,1106,1111.6,1122.3,1118.5,1169.9,1183.8,1227.6,1249.9,1238.9,1232.8,1211,1192.3,1228.4,1215.1,1223.2,1250.3,1282.7,1300.5,1340.1,1368.6,1351.9,1325.4,1270.8,1198,1152.3,1163.8,1196.2,1209.6,1194.1,1183.7,1180.7,1209.1,1267.8,1302.2,1328,1334.5,1368.1,1398.2,1427.4,1422.9,1457.2,1513.5,1550.5,1556.7,1618.2,1637.6,1673.3,1735.2,1795.1,1829,1914.3,1907.6,1703.1,1524.6,1525.8,1590.5,1693.3,1728.5,1784.1,1830.8,1918.5,1972.3,2018.9,2054.9,2043.5,2067.5,2085.2,2079.8,2085.5,2079.7,2101.8,2117.4,2160.6
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",211.3,250.8,245.9,246.3,244.6,248.9,252,255.1,254.6,271.1,277.4,260.1,298.4,293.2,301.3,318.5,338.9,348.8,349,370.9,404.1,460.9,462,459,411,373.6,389.2,403.9,431.3,452,472.3,485.2,516.9,527.4,519.1,522.9,558,562.5,569.3,576.2,585.7,604.4,624.1,664.2,701.7,658.8,614.6,641.6,668.3,661.2,626.5,634.5,607.1,580.5,592.2,558.8,556.1,595,636.2,659.4,707.3,734.7,735.1,743.1,702,735.1,722.5,760.1,757,764.2,786.3,796.9,805.9,840.8,859,885.5,886.9,883.7,886.1,911.9,920.8,924.8,902.3,916.7,948.7,923,935.7,949.8,904.6,891.4,897,915.9,921.9,934.5,955.6,964.7,974.6,992.3,992.2,1022.5,1040.7,1083.6,1125.7,1155.6,1184.1,1206.3,1198.5,1198,1228.1,1244.8,1267.1,1284.9,1324.1,1337.3,1374.2,1388.7,1405.9,1418.6,1415,1455.6,1482.3,1539.5,1606.2,1656.4,1742.3,1785.3,1846.9,1848.2,1798.9,1705.9,1636.9,1578.9,1611.1,1690.5,1722,1754.5,1767.1,1764.5,1783.2,1851,1922.6,2010.5,2045.3,2124.2,2143.1,2176.9,2207.3,2293.8,2334.1,2366.4,2395.4,2360.9,2387.9,2421.7,2453.5,2494.6,2579.3,2662.5,2659.3,2298.9,1915.6,1861.9,1992.3,2132.8,2218.5,2307.1,2366,2413,2511.3,2570.2,2585.7,2612.1,2629.5,2614.5,2575.6,2571.4,2571,2579.6,2584.8,2586.1
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",4802.3,4814.9,4845.8,4825.9,4816.1,4824.4,4860.3,4809.2,4939.3,4965.7,5000.4,5013.1,5101.6,5215,5262.3,5357.2,5482.2,5526.7,5502.3,5559.8,5475.5,5465,5406.1,5388.1,5329.6,5369.8,5465.4,5541,5663.5,5705.2,5729.8,5781.8,5838.1,5936.3,6023.6,6051.3,6062.6,6293,6350.2,6447.5,6451.3,6454,6476.8,6467.1,6448.2,6304.1,6295.3,6419.4,6546.2,6504.2,6593,6521.7,6421.8,6465.1,6447.5,6457.7,6554.6,6707,6841.3,6993,7133.6,7256.6,7335.8,7402.2,7486.8,7555.3,7665.9,7712.4,7780.9,7840.2,7906.8,7940.2,7990.4,8070.3,8137.6,8274.5,8318.8,8427.2,8493.6,8594.4,8682.5,8742.2,8818.4,8833.2,8916.6,8970.3,8954.1,8838.6,8829.7,8920.2,8972.3,9010.3,9108.6,9207,9285.5,9383.5,9405,9460.9,9524.5,9652,9748.8,9877.2,9926.4,10040.1,10073.3,10099.6,10196.3,10276.6,10348.2,10532.7,10616.9,10727.4,10830.4,11000.1,11153.5,11244.6,11380.2,11499.5,11660.9,11855.3,11971.1,12046.6,12186,12377.2,12395.4,12641.1,12655,12720.2,12690.6,12789.4,12771,12827.8,12952.7,12992.9,13056.3,13061.5,13092.4,13243.3,13465.8,13618.5,13684.6,13786.1,13889.7,13981.7,14150.1,14215.1,14302.2,14358.6,14544.3,14589.5,14602.8,14744.8,14764.7,14858.5,14933.9,14926.6,14777.1,14782,14671.5,14509.1,14431.7,14382.3,14378.6,14478.7,14522,14690.4,14811.4,14906.3,14813.3,14897.1,14967.2,15132,15259.7,15335,15467.9,15469,15531,15640.3,15805,15911.7
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",53.5,54.9,56.6,57.7,58.8,59.4,58.2,54,57.7,60.3,59.1,61.9,62.8,64.7,67.9,70.3,80.5,87.4,96.6,98.6,108.7,108,105.3,96.9,88.6,86,89.6,95.9,97.4,99.1,98.7,99.2,104.8,106.5,108.2,105.9,116.6,114.7,122.4,139.5,146.8,159.4,178.1,185.1,192.7,179.3,164.8,167.9,179.2,184.3,193.9,192.1,192.9,208,194.3,183.8,176.7,184.9,195,202.1,209.4,222.7,228.5,218,199,200.8,191.9,196.9,200.7,193,186.9,182.8,189.6,203.2,209.1,219.9,237.7,237,245.9,258.9,269.3,279.2,275.8,277.3,278.2,277,274.3,297,272.4,243.9,233.1,225.5,221,222.8,209.9,206.5,211.8,213.9,217.1,217.7,226,239.3,257.8,276.2,295.4,307.7,304.1,311.6,315.3,312.6,319.8,336.7,348.3,364,367.1,359.5,371.1,374.9,359.7,358.3,374,391.8,414.5,434.8,448.8,474.6,463.6,487.7,436.2,406.2,372.2,349.5,358.2,372.9,390.6,375.5,389.5,402.3,414,446.4,480.6,494.8,515.5,543.4,594.6,607.1,633.6,670.9,705.3,760.5,781.7,807.8,832.8,895.2,934.2,933.4,912.4,897.3,865.9,743.6,631.1,618.1,640.3,685,689.3,702.8,709.1,735.2,750.8,775.1,788.3,776.7,778.2,772.9,767.9,781.7,763.9,766.9,768.2,797.8
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",22.9,25.6,28.7,29.8,30.1,29.5,28.8,27.3,25.5,26.1,28.4,29.4,29,31.3,31.6,34.1,38.2,42.1,43.5,44.8,46.2,49.6,52.5,52,51.1,48.2,48.1,45.8,48.5,48,46.8,45.9,44,46.7,48.9,53.5,55.9,64.2,67.1,75.6,81.4,86.2,90.5,98.6,105.1,98.6,89,106.7,113.6,122.7,127.8,117.3,122.3,128.6,127.2,119.2,112.5,116.1,124.8,129,141.8,154.8,161.4,158.7,153.6,152.2,152.7,152.5,162.5,166.3,155.8,162.4,165.4,172.8,179.6,187.5,196.9,200.1,213.6,222.9,234.1,245.6,238.3,230.1,233.5,229.6,234,222.9,214.8,202.5,196.8,177.8,174.2,177.3,168.7,164.1,158.8,170.3,166.1,188.2,187.4,207,227.9,247.7,254.5,263.3,278.2,270.4,265.3,273.5,285,294.9,317.4,323.6,336.5,337.6,337.5,345.1,346.5,341.7,346,357.3,383.7,391.8,410.7,433.1,427.8,422,387.3,346.5,340,241.5,297,334.3,335.2,300.5,330,326.9,338.8,341.1,355.2,398.8,408.2,465.5,480,505.5,521.8,591.2,624,685.2,720.9,736.2,760.7,800.7,781.6,734.5,729.4,712.5,665.3,622,508.1,498.1,473.8,506,488,500.3,512.5,524.3,509.4,534,527.4,516.2,542.2,527.3,533.7,539.6,540.9,535.2,522.5,533.4
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",4832.9,4844.3,4873.7,4853.8,4844.9,4854.3,4889.7,4835.9,4971.5,4999.8,5031.2,5045.5,5135.4,5248.3,5298.5,5393.5,5524.6,5572,5555.4,5613.5,5538,5523.4,5458.9,5433,5367.1,5407.6,5506.9,5591,5712.4,5756.4,5781.7,5835.1,5898.9,5996.1,6082.9,6103.6,6123.2,6343.5,6405.5,6511.4,6516.7,6527.3,6564.4,6553.5,6535.8,6384.7,6371.1,6480.5,6611.9,6565.9,6659.1,6596.4,6492.4,6544.6,6514.5,6522.3,6618.7,6775.8,6911.5,7066.1,7201.1,7324.4,7402.8,7461.5,7532.2,7603.9,7705.2,7756.7,7819.1,7866.8,7937.9,7960.6,8014.6,8100.7,8167.1,8306.9,8359.7,8464.1,8525.9,8630.4,8717.7,8775.8,8855.9,8880.4,8961.3,9017.8,8994.4,8912.7,8887.3,8961.6,9008.5,9057.9,9155.3,9252.4,9326.7,9426,9458,9504.5,9575.5,9681.4,9787.4,9909.5,9956.3,10068.6,10114.3,10144,10222.3,10317.8,10398.3,10571.8,10651.7,10769.2,10861.2,11040.6,11184.1,11266.6,11413.8,11529.3,11674.1,11871.9,11999,12081.1,12216.7,12420.2,12433.4,12682.6,12690.7,12786,12739.5,12849.1,12803.2,12935.9,13013.9,13031.5,13111.7,13136.5,13151.9,13318.8,13541,13723.9,13810,13882.1,13997.1,14059.6,14264.8,14316.7,14414,14438.3,14625.6,14664.8,14663.6,14816.4,14836.8,14953,15086.5,15125.4,14960.1,14966.8,14872.1,14630.6,14554.7,14502.3,14545,14657.8,14723.4,14893,15008,15117.2,15054.7,15138.1,15228.2,15392.4,15495.7,15580.5,15702.1,15711.1,15754,15872,16050.7,16176.1
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",4376.2,4381.9,4406.5,4378.9,4362.2,4364.4,4395.4,4337,4466.5,4488.5,4519.1,4526.9,4612.7,4723.4,4764.6,4854.3,4974.3,5011.4,4977.7,5029.1,4934,4916,4848,4822.9,4756.3,4792.3,4886,4958.8,5080.4,5117.5,5136.2,5182.8,5233.1,5326.8,5408.6,5428,5430.1,5659.9,5708.7,5798.9,5790.9,5782.1,5794.6,5773.4,5742.9,5582.6,5563.6,5683.2,5806.2,5752.9,5835.4,5750.7,5635.6,5670.7,5642.9,5644.9,5737.6,5887.3,6017.3,6164.3,6298.9,6413.9,6482.1,6535.7,6607,6662,6761,6794.4,6851.1,6897.8,6952.1,6971.6,7008.5,7076.5,7131.8,7259.2,7291.7,7390.2,7445.3,7535.7,7612.9,7660.9,7726,7728.2,7801.1,7844.1,7816.2,7687.5,7668.6,7751.7,7795.9,7825.9,7917.9,8009.3,8079.9,8169.7,8181,8227.2,8280.7,8399.1,8486,8604.2,8641,8742.6,8761.6,8773.2,8856.2,8922.3,8979.3,9150.1,9218.1,9311.9,9397.4,9549.3,9683.1,9752.2,9864.9,9961.6,10101.7,10275.9,10371.3,10419.6,10525.5,10677,10697.8,10903.5,10883,10923.7,10873.3,10956.4,10922.6,10964.3,11072.3,11096.6,11144.1,11134.2,11151.6,11289.2,11497.6,11634,11681.4,11766.3,11851.4,11923.5,12071.4,12116.6,12183,12218.1,12382.8,12405.8,12397.7,12518.3,12517,12591.7,12649.3,12625.1,12460.6,12450.2,12324.7,12148.5,12064.2,12012.9,12009.8,12110.9,12150.3,12312.6,12426.8,12514.7,12415.9,12491.6,12552.9,12707.2,12823.7,12887.1,13008.9,12998.9,13048.2,13144.4,13296.3,13389.8
"21","12","  Net domestic product","A362RX1",4260.4,4268.7,4292,4263.9,4249,4251.5,4288.6,4232.7,4357.7,4381,4414.8,4424.5,4509.1,4622.1,4663.2,4743.3,4867.6,4921.7,4882.9,4926.9,4872.4,4880,4818.8,4790.1,4717.3,4753.7,4839.5,4909.8,5032.9,5070.7,5093.8,5130.6,5191.8,5301.6,5401.4,5392.7,5404.9,5639.1,5692.3,5769.6,5771,5767.5,5804.3,5810.8,5821.9,5673.4,5653.3,5767.1,5898.4,5838.1,5906.9,5815.2,5689.2,5715.8,5681.9,5679.8,5760.3,5907.6,6034.8,6171,6303.8,6421.2,6481.3,6526.6,6586.2,6640.9,6746.7,6791.3,6851,6873.6,6940.3,6967.8,7010.3,7088.4,7149.9,7275,7309.8,7410,7446.8,7549.1,7624.9,7681.8,7735.8,7741.8,7828.3,7851.5,7842.5,7753.5,7701,7762,7796.7,7827.9,7928.2,8021.8,8103.6,8188.6,8195.8,8241.9,8277.7,8395.8,8480.3,8603.3,8649.2,8750,8770.1,8790.8,8863.6,8921.6,8974.3,9141,9222.3,9317.7,9381.4,9526.6,9646.5,9710.7,9798.3,9885.3,10013.2,10182.9,10272.2,10345.2,10464.3,10634.2,10673.5,10866.3,10847.2,10888.9,10832.3,10883.9,10829.9,10845.7,10947.7,11001.7,11047.6,11038.7,11090.4,11200.3,11408.1,11543.1,11605,11692.5,11794.5,11891.6,12023.8,12081.3,12176.5,12234.7,12388.4,12411.4,12402.7,12496,12484.1,12578.1,12660,12697.3,12581.1,12639.1,12549,12215.1,12005.4,11987.7,12033.3,12171.9,12224.9,12359,12453.3,12549.2,12494.5,12603.6,12645.6,12815.4,12943.6,12978.2,13073.6,13067.9,13099.9,13183,13330,13419.9
"22","13","  Command-basis net national product \4\","C027RX1",4407.8,4412.3,4435.4,4407.8,4391.9,4395.4,4425.9,4364.7,4499.8,4523.9,4550.9,4560.5,4647.7,4757.9,4802.2,4891.8,5018.2,5058.3,5032.7,5084.7,4998.8,4976.5,4902.8,4869.4,4795.3,4831.6,4929.1,5010.9,5131.3,5170.7,5190.2,5238.2,5296.4,5389,5470.3,5482.5,5493.3,5712.5,5766.4,5865.5,5859.2,5858.5,5885.8,5863.4,5834.1,5666.5,5642.5,5746.9,5874.6,5817.1,5904.4,5828.6,5709.3,5753.6,5712.8,5712.1,5804.4,5958.7,6090.1,6240.1,6368.9,6484.2,6551.5,6597.1,6653.9,6712.2,6801.6,6840.2,6890.6,6925.4,6984.2,6992.7,7033.5,7107.8,7162.2,7292.6,7333.8,7428.2,7478.6,7572.7,7649.1,7695.5,7764.6,7776.7,7847,7892.8,7857.5,7763.3,7727.5,7794.2,7833,7874.6,7965.6,8055.7,8121.8,8213,8235,8271.6,8332.7,8429.1,8525.3,8637.1,8671.5,8771.6,8803.2,8818.4,8882.6,8964.2,9030.2,9189.8,9253.4,9354.3,9428.7,9590.4,9714.2,9774.5,9898.9,9991.8,10115.1,10292.7,10399.7,10454.5,10556.6,10720.4,10736.2,10945.5,10919,10989.8,10922.5,11016.6,10955.1,11073.3,11133.9,11135.5,11199.8,11209.6,11211.3,11365,11573.1,11739.7,11807.1,11862.6,11959.1,12001.7,12186.5,12218.6,12295.3,12298.1,12464.5,12481.4,12458.8,12590.2,12589.5,12686.6,12802.4,12824.5,12644,12635.3,12525.4,12270.3,12187.5,12132.9,12176,12289.6,12351.2,12514.6,12622.8,12724.9,12656.3,12731.7,12812.8,12966.7,13058.7,13131.8,13242.3,13240.2,13270.6,13375.7,13541.5,13653.9
"23","14","  Net national product","A027RX1",4299.9,4307.1,4329,4300.8,4286.7,4290.2,4326.9,4268.2,4398.8,4424.1,4454.5,4465.9,4552.2,4664.8,4708.9,4788.9,4919.3,4976.5,4945.6,4990.1,4945.3,4949.4,4882.4,4845.7,4764.7,4801.6,4890.9,4970,5091.7,5131.6,5155.3,5193.5,5262.9,5371.5,5470.8,5454.9,5476,5699.7,5757.9,5844,5847.2,5852.1,5904.2,5910,5922.8,5767,5741.8,5840.2,5976.1,5911.6,5984.7,5901.8,5771.3,5807.4,5760.4,5755.5,5835.4,5987.2,6116,6255.2,6382.4,6500.2,6559.7,6597.1,6642.7,6700.1,6796.5,6846.2,6900,6910.2,6980.8,6996.9,7042.5,7126.6,7187.1,7315.2,7358.8,7454.9,7486.9,7592.9,7667.6,7722.7,7780.5,7796.2,7879.8,7905.5,7888.5,7833.6,7763.3,7807.5,7836.6,7879.5,7979,8071.6,8149.3,8235.7,8253.5,8290.2,8333.8,8430,8524,8640.7,8684.1,8783.2,8815.6,8839.6,8893.4,8966.9,9028.4,9184.1,9261,9363.5,9416.1,9571.1,9681.1,9736.4,9835.5,9918.7,10029.9,10202.7,10303.3,10382.7,10498,10680.4,10714.8,10911.5,10886.5,10958.3,10884.6,10947,10865.3,10956.9,11012.1,11043.6,11106.2,11116.8,11152.9,11278.9,11486.4,11651.5,11733.4,11791.7,11905,11972.7,12141.6,12186,12291.5,12317.3,12472.8,12489.9,12466.6,12570.7,12559.2,12675.7,12816,12899.9,12767.8,12827.3,12752.8,12338.5,12128.6,12107.6,12199.6,12351.2,12410,12546,12634.5,12744.5,12719.5,12827.7,12889.6,13058.8,13162.1,13206.5,13290.5,13292.9,13305.5,13397.1,13557.8,13666.3
"24",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Trading gains index \5\","W368RG3",102.562,102.548,102.583,102.571,102.508,102.552,102.408,102.371,102.395,102.387,102.293,102.247,102.315,102.212,102.144,102.145,102.137,101.929,101.996,101.849,101.282,100.684,100.719,100.878,100.992,100.94,101.068,101.1,101.092,101.061,100.967,101.032,100.836,100.726,100.588,100.556,100.576,100.574,100.571,100.69,100.595,100.484,100.026,99.584,99.057,98.842,98.85,99.008,98.999,98.988,99.264,99.279,99.367,99.528,99.585,99.623,99.852,99.892,99.934,100.076,100.074,100.085,100.206,100.264,100.446,100.392,100.363,100.179,100.138,100.411,100.319,100.269,100.063,99.927,99.867,99.853,99.816,99.823,100.062,99.981,99.919,99.837,99.972,99.899,99.762,99.974,99.776,99.357,99.716,99.95,100.041,100.015,99.954,99.927,99.8,99.869,99.945,99.94,100.032,100.077,100.134,100.078,99.948,99.975,99.994,99.914,99.967,100.028,100.039,100.072,100.119,100.02,100.087,100.338,100.392,100.443,100.64,100.737,100.818,100.793,100.81,100.681,100.557,100.431,100.27,100.346,100.321,100.299,100.361,100.603,100.76,100.972,100.978,100.782,100.785,100.757,100.496,100.704,100.684,100.706,100.581,100.529,100.443,100.259,100.366,100.275,100.065,99.906,99.969,99.988,99.994,100.192,100.255,100.137,99.956,99.526,99.196,98.696,98.446,99.541,100.398,100.171,99.843,99.592,99.479,99.691,99.826,99.77,99.47,99.26,99.372,99.276,99.213,99.4,99.625,99.52,99.556,99.66,99.696,99.717
"26","16","    Terms of trade index \6\","W369RG3",148.773,148.38,149.328,148.908,147.224,148.4,144.552,143.641,144.189,144.043,141.642,140.427,142.172,139.674,137.984,138.051,137.906,133.573,134.883,131.819,121.711,112.94,113.483,115.576,116.976,116.332,118.626,119.167,118.952,118.438,117.031,117.913,115.217,113.772,111.73,111.129,111.438,111.514,111.486,113.158,112.112,110.909,105.627,100.888,95.864,93.779,93.8,95.307,95.242,95.09,97.789,97.898,98.776,100.464,100.943,101.13,103.738,104.113,104.495,106.192,106.008,106.097,106.92,107.087,108.519,107.623,106.843,104.541,103.8,106.547,105.212,104.741,102.495,101.342,100.62,100.717,100.458,100.758,103.115,102.097,101.447,100.496,101.635,100.789,99.352,101.327,99.375,95.51,98.767,100.986,101.823,101.535,100.894,100.6,99.326,99.949,100.674,100.6,101.431,101.8,102.317,101.763,100.554,100.803,101.045,100.398,100.779,101.221,101.237,101.441,101.717,100.721,101.218,103.306,103.73,104.09,105.65,106.377,106.886,106.53,106.521,105.343,104.292,103.3,102.075,102.724,102.493,102.226,102.478,104.037,105.107,106.55,106.409,104.779,104.909,104.57,102.618,104.253,103.99,104.231,103.384,103.198,102.516,101.319,102.396,101.771,100.263,99.174,99.593,99.929,100.191,101.383,101.708,101.102,100.024,97.614,95.858,93.613,92.459,97.344,102.746,101.108,98.927,97.468,96.886,98.459,99.31,99.333,97.883,96.899,97.534,96.736,96.415,97.47,98.718,98.098,98.32,98.786,98.963,99.051
"27","17","      Terms of trade, goods \7\","W370RG3",166.873,165.751,167.11,166.145,165.222,167.046,160.656,158.952,160.886,161.086,157.652,156.848,155.136,151.638,149.605,150.614,152.02,147.827,150.823,147.29,133.83,122.602,123.35,126.594,128.538,127.644,130.621,131.546,130.698,129.759,128.017,129.249,125.917,124.005,121.282,120.44,120.787,121.076,121.431,123.947,123.076,121.825,115.289,109.294,103.227,100.357,100.573,102.305,101.876,101.359,104.47,104.526,105.411,106.7,106.348,106.134,108.94,109.307,109.681,111.955,112.153,111.964,111.8,110.83,112.051,111.328,110.509,107.936,107.469,111.122,109.522,109.077,105.79,104.602,103.864,104.358,104.613,105.357,108.37,106.916,105.604,104.058,105.243,104.175,102.354,105.121,102.642,97.821,101.802,104.077,104.84,104.398,103.613,103.148,101.799,102.063,102.811,102.723,103.496,103.886,104.604,103.851,102.692,103.18,103.282,102.851,103.321,103.673,103.342,103.642,103.73,102.194,102.784,105.138,105.398,105.558,106.999,107.946,108.498,108.265,108.243,106.901,105.775,104.6,102.752,103.229,102.77,102.408,102.756,104.59,105.918,107.618,107.541,105.696,106.183,105.67,103.453,106.153,105.607,105.913,104.874,104.81,103.996,102.472,102.817,102.174,100.223,98.743,99.252,99.735,100.059,101.631,101.762,101.213,100.019,97.215,95.19,93.255,91.824,96.705,102.975,101.467,98.79,97.096,96.332,98.199,99.284,99.781,98.153,97.053,97.573,96.35,95.806,96.873,98.35,97.546,97.672,98.038,98.072,98.143
