"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of chained (1972) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1962 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:28:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191CX1",845.1,881.9,932.8,993.4,1058.9,1088,1141.4,1177.2
"9","2","Personal consumption expenditures","DPCECX1",487.2,507.3,537.5,571.5,603.9,622,657.7,682.3
"10","3","  Goods","DGDSCX1",238.7,248.2,263,281.6,299.5,305.3,324.2,334.1
"11","4","    Durable goods","DDURCX1",56.9,62.1,67.9,76.3,82.7,83.9,93.2,96.7
"12","5","    Nondurable goods","DNDGCX1",183.1,187,195.8,205.7,217.1,221.7,231.1,237.5
"13","6","  Services","DSERCX1",248.5,259,274.4,289.7,304,316.4,333.1,347.9
"14","7","Gross private domestic investment","A006CX1",128.3,137,147.8,168.2,183.3,176.9,187.5,197.9
"15","8","  Fixed investment","A007CX1",121.4,130.7,142.7,157.5,167.3,165.7,177.4,187.8
"16","9","    Nonresidential","A008CX1",79.4,84,93,108.6,121.9,121.5,127.3,136.2
"17","10","      Structures","B009CX1",32.2,32.6,35.9,41.7,44.5,43.4,44,46.4
"18","11","      Equipment","Y033CX1",37.5,40.4,45.5,53.8,62.1,61.5,65.3,70.7
"19","12","      Intellectual property products","Y001CX1",10.7,11.8,12.3,13.9,15.7,16.9,18.2,19.2
"20","13","    Residential","A011CX1",42.6,47.6,50.5,49.2,45.1,43.9,49.8,51.4
"21","14","  Change in private inventories","A014CX1",7.8,7.2,6.1,11.7,16.7,12,10.9,10.8
"22","15","Net exports of goods and services","A019CX1",4.5,6.3,9.3,6.7,4,1.7,-1.7,-2.2
"23","16","  Exports","A020CX1",38.4,41.2,46,47.3,50.6,51.7,55.8,58.5
"24","17","    Goods","A253CX1",28,30.2,34.4,34.5,36.9,37.1,40,42.1
"25","18","    Services","A646CX1",10.3,10.9,11.5,12.7,13.6,14.6,15.8,16.3
"26","19","  Imports","A021CX1",33.9,34.8,36.7,40.6,46.6,50,57.5,60.7
"27","20","    Goods","A255CX1",22.7,23.6,25.1,28.7,33.2,35,42.2,44.5
"28","21","    Services","B656CX1",11.2,11.2,11.5,11.9,13.4,15,15.3,16.2
"29","22","Government consumption expenditures and gross investment","A822CX1",228.6,234.2,240,247.8,269.4,290.7,300.7,301.2
"30","23","  Federal","A823CX1",136.9,137.2,136.7,137.7,152.4,167.8,170.4,166.3
"31","24","    National defense","A824CX1",113.2,110.7,107.3,105.9,119.5,134.5,136.6,131
"32","25","    Nondefense","A825CX1",24.4,27,29.8,32.2,33.4,34,34.4,35.8
"33","26","  State and local","A829CX1",91.8,97.2,103.7,110.6,117.5,123.3,130.7,135.3
"34","27","Residual","A960CX1",-8,-7,-5.7,-3.9,-3.3,-5.2,-4.2,-3.2
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
