"","Table 6#15C# Net Interest by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:14:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Net interest","B060RC0",361102,387483,435567,442410,400213,375504,363067,357861,369000,373111,405383,468990,478804,552442
"9","2","Domestic industries","A1850C0",390270,420943,476622,481499,442345,414554,404679,407947,429101,439175,484434,548956,566506,655049
"10","3","  Agriculture, forestry, and fishing","B1851C0",13001,12165,11125,11438,10436,9442,8608,9144,9635,9782,9940,9878,10260,11010
"11","4","  Mining","B1852C0",2134,3143,2184,3357,3109,1865,1457,1516,1601,1629,1542,2156,2360,3632
"12","5","  Construction","B1853C0",3759,5770,1333,6800,5511,4035,2767,2292,3075,5481,9660,10711,13780,9161
"13","6","  Manufacturing","A1854C0",32012,47986,39677,58066,54619,33085,27157,25887,27630,16297,10344,15829,19839,36991
"14","7","    Durable goods","B1855C0",9827,18641,8102,19842,19591,7030,3825,2370,1037,-8271,-13957,-9986,-9871,2431
"15","8","    Nondurable goods","B1856C0",22185,29346,31575,38224,35028,26055,23332,23517,26593,24568,24301,25815,29710,34560
"16","9","  Transportation and public utilities","A1857C0",30215,38781,42722,48716,44713,36994,33432,31406,33404,34209,36340,40132,45500,54786
"17","10","    Transportation","B1858C0",5966,8064,6592,9759,8307,7283,5742,5231,6429,7864,11333,12310,16049,12465
"18","11","    Communications","B1859C0",8814,11662,13535,14920,13830,10268,9487,8417,9058,8889,8340,10824,12638,19332
"19","12","    Electric, gas, and sanitary services","B1860C0",15435,19056,22595,24037,22577,19443,18204,17757,17917,17456,16667,16998,16814,22989
"20","13","  Wholesale trade","B1861C0",5458,8835,5346,10404,9785,5095,2361,3233,6099,5737,8549,10604,11351,13020
"21","14","  Retail trade","B1862C0",13145,15624,17855,23219,20049,11741,8782,8735,13058,14765,16177,15998,15960,20376
"22","15","  Finance, insurance, and real estate","A1863C0",272804,266999,337272,291974,268499,293343,305133,312323,320716,336255,374559,424851,425900,482349
"23","16","    Finance","B1864C0",6602,-24683,22130,-42070,-67880,-32373,-9981,-93,-13369,-3751,30333,64714,47024,66964
"24","17","    Real estate","B1865C0",266422,291621,314696,334050,336514,325970,315248,312503,334409,340035,356336,372014,392473,431961
"25","18","    Other","B1866C0",-220,60,446,-6,-135,-254,-133,-87,-323,-28,-12110,-11877,-13597,-16575
"26","19","  Services","A1867C0",17743,21639,19108,27524,25625,18954,14981,13411,13883,15020,17323,18799,21557,23724
"27","20","Rest of the world","A1627C0",-29168,-33460,-41055,-39089,-42132,-39050,-41612,-50086,-60101,-66065,-79051,-79966,-87702,-102607
"28","21","  Receipts from the rest of the world","A2067C0",63369,79541,101172,106756,91584,71926,64831,78075,100288,104864,122306,137555,139881,175259
"29","22","  Less:  Payments to the rest of the world","B1869C0",92537,113001,142227,145845,133716,110976,106443,128160,160389,170929,201357,217521,227583,277865
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
