"","Table 6#12A# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 3:06:36 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","1","    Nonfarm proprietors' income","B046RC0",9009,7007,5323,3450,4012,4927,5679,6929,7362,6816,7700,8650,11701,14507,17191,18332,19430,23495,21992,23322
"9","2","Agricultural services, forestry, and fisheries","H1800C0",66,65,60,48,44,44,52,51,66,60,61,66,75,98,110,132,149,172,194,328
"10","3","Mining","H1801C0",66,35,-15,10,5,32,40,62,86,59,70,69,98,127,167,164,130,165,271,402
"11","4","Contract construction","H1802C0",1128,866,606,234,193,310,379,617,584,607,642,688,951,1242,1118,990,1090,1725,2123,2695
"12","5","Manufacturing","H1803C0",606,328,160,59,234,277,333,435,394,296,429,538,1014,1471,1907,2230,2394,2337,1707,1873
"13","6","  Durable goods","H1804C0",203,102,39,8,50,76,102,146,165,101,153,242,458,631,793,937,937,913,786,857
"14","7","  Nondurable goods","H1805C0",402,226,121,51,184,202,231,289,229,195,276,296,556,840,1114,1293,1457,1424,921,1016
"15","8","Transportation and public utilities","A1806C0",228,219,190,162,155,174,197,219,238,235,255,290,367,428,492,484,455,511,583,628
"16","9","  Transportation","B1807C0",219,210,183,159,154,171,194,215,231,228,248,283,357,416,477,465,432,487,556,601
"17","10","  Communication","B1808C0",3,3,2,1,0,1,1,2,3,3,3,3,4,5,6,7,8,7,8,8
"18","11","  Electric, gas, and sanitary services","B1809C0",6,6,5,2,1,2,2,2,4,4,4,4,6,7,9,12,15,17,18,18
"19","12","Wholesale trade","H1810C0",420,303,217,119,192,269,327,431,453,448,506,602,895,1190,1473,1642,1747,2334,1825,1888
"20","13","Retail trade and automobile services","H1811C0",2590,1782,1222,603,1093,1564,1865,2322,2560,2304,2791,3316,4821,5983,7327,7594,7958,9777,8694,8130
"21","14","Finance, insurance, and real estate","H1812C0",793,488,330,263,347,274,333,386,392,356,389,411,461,505,607,691,885,1016,951,1110
"22","15","Services","H1813C0",3112,2921,2553,1952,1748,1982,2153,2406,2588,2452,2557,2669,3019,3463,3990,4405,4622,5458,5644,6267
"23","16","  Health services","H1821C0",1149,1079,929,699,637,717,769,869,895,866,906,952,1020,1168,1248,1499,1531,1893,2135,2410
"24","17","  Legal services","B1822C0",572,558,575,471,448,489,507,526,550,532,554,579,615,647,669,719,763,773,828,949
"25","18","  Other","B1825C0",1391,1284,1049,782,663,776,876,1011,1143,1053,1097,1138,1384,1648,2073,2188,2328,2792,2681,2908
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
