"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","2","    Gross domestic income","A261RX1",4661,4693,4727.8,4719.4,4686.3,4686.1,4724.6,4680.3,4773.5,4804.9,4846.4,4908,4978.3,5042.1,5124.2,5255.7,5349.6,5379,5396.9,5453.5,5411.4,5389.6,5361.3,5297.4,5236.9,5281.2,5387.9,5443.2,5556.5,5591.4,5632.7,5649.9,5701.2,5846.8,5959.3,5994.2,6031.3,6210,6250.8,6306.5,6365.4,6331.4,6338.3,6364.8,6369.2,6250.5,6296.7,6457,6507.5,6507.9,6598.7,6524.1,6471.4,6497.3,6472,6445.1,6517,6627.9,6718.6,6872.2,7062.8,7177,7255.9,7334.7,7399.5,7453.5,7544.8,7587.6,7664.8,7685,7736.2,7797.4,7875.9,8000.9,8120.5,8227.1,8326.7,8423.7,8498.5,8615.8,8672.5,8655.5,8688.5,8695.1,8786,8835.8,8827.5,8785.4,8774,8797,8820.3,8853.3,9007.9,9081.5,9110.5,9199.8,9162.2,9275,9290.8,9472.2,9523.2,9673.3,9764.4,9876.7,9923.2,9980.7,10103,10167.2,10277.9,10432.5,10530.9,10662.3,10784.3,10911.4,11093.8,11238.9,11358.9,11521.7,11685.2,11793,11951.1,12025.7,12136.4,12334.7,12587.4,12657.2,12751,12728,12873.4,12851.6,12805.4,12741.1,12906.6,12984.7,13001.3,13075.6,13096.2,13220.5,13346.1,13474.1,13578.4,13724.6,13877.3,13944.5,14083.3,14188.6,14310.6,14504.7,14782,14803.9,14863.4,14919.7,14882.9,14904.7,14823.1,14816.1,14843.5,14834,14772.4,14485.6,14260.6,14258.4,14328.2,14535.4,14552.8,14653.4,14840.1,14900.5,14975.4,15061.5,15142.2,15238.8,15441.9,15418,15451.9,15636,15730.6,15855.4,15925.2,16030.6
"12","3","    Net domestic product \1\","A362RX1",4260.4,4268.7,4292,4263.9,4249,4251.5,4288.6,4232.7,4357.7,4381,4414.8,4424.5,4509.1,4622.1,4663.2,4743.3,4867.6,4921.7,4882.9,4926.9,4872.4,4880,4818.8,4790.1,4717.3,4753.7,4839.5,4909.8,5032.9,5070.7,5093.8,5130.6,5191.8,5301.6,5401.4,5392.7,5404.9,5639.1,5692.3,5769.6,5771,5767.5,5804.3,5810.8,5821.9,5673.4,5653.3,5767.1,5898.4,5838.1,5906.9,5815.2,5689.2,5715.8,5681.9,5679.8,5760.3,5907.6,6034.8,6171,6303.8,6421.2,6481.3,6526.6,6586.2,6640.9,6746.7,6791.3,6851,6873.6,6940.3,6967.8,7010.3,7088.4,7149.9,7275,7309.8,7410,7446.8,7549.1,7624.9,7681.8,7735.8,7741.8,7828.3,7851.5,7842.5,7753.5,7701,7762,7796.7,7827.9,7928.2,8021.8,8103.6,8188.6,8195.8,8241.9,8277.7,8395.8,8480.3,8603.3,8649.2,8750,8770.1,8790.8,8863.6,8921.6,8974.3,9141,9222.3,9317.7,9381.4,9526.6,9646.5,9710.7,9798.3,9885.3,10013.2,10182.9,10272.2,10345.2,10464.3,10634.2,10673.5,10866.3,10847.2,10888.9,10832.3,10883.9,10829.9,10845.7,10947.7,11001.7,11047.6,11038.7,11090.4,11200.3,11408.1,11543.1,11605,11692.5,11794.5,11891.6,12023.8,12081.3,12176.5,12234.7,12388.4,12411.4,12402.7,12496,12484.1,12578.1,12660,12697.3,12581.1,12639.1,12549,12215.1,12005.4,11987.7,12033.3,12171.9,12224.9,12359,12453.3,12549.2,12494.5,12603.6,12645.6,12815.4,12943.6,12978.2,13073.6,13067.9,13099.9,13183,13330,13419.9
"13","4","    Net domestic income \1\","W256RX1",4233.3,4259.4,4288,4272.7,4231.8,4225.5,4259.3,4208.2,4299.5,4326.8,4364.3,4422.9,4489.8,4549,4626.2,4753.8,4841.8,4863.3,4873.5,4924,4872.7,4843,4806.7,4734.1,4665.5,4705.7,4810.9,4862.6,4974.7,5004.7,5040.7,5051.2,5096.4,5239.4,5347.4,5374.4,5403.5,5579.5,5611.3,5658.2,5707.7,5660.7,5656.4,5673,5666.7,5532.2,5570.4,5728.3,5771.8,5762.6,5847.4,5758.9,5692.7,5709.6,5673.6,5637.1,5704,5810.7,5895.6,6044.5,6231.1,6336.9,6404.9,6471.3,6522.1,6562,6641.2,6670.7,6736.3,6743,6781.4,6829.7,6896,7010.8,7120.2,7216.5,7305.8,7392.6,7456.3,7563.6,7608.6,7577.6,7598.4,7592.1,7672.5,7711.7,7691.9,7638.2,7616.7,7631,7645.8,7670.9,7820.6,7886.9,7906.9,7988.1,7939.1,8043.2,8048.2,8221.6,8261.9,8402.3,8481.7,8582,8614.5,8657.9,8767.1,8817,8913.8,9054.2,9136.6,9251.6,9356.1,9464.9,9628.2,9751.8,9848.8,9989.6,10131.8,10218.2,10356.5,10403.8,10480.8,10639.2,10898.6,10925.4,10984.5,10935.1,11061.6,11023.9,10962.3,10882,11030.3,11092.2,11092.5,11151.8,11158.2,11269.1,11380.1,11491.4,11576.8,11706.4,11840.9,11888.4,12006.8,12092.8,12194.3,12368.1,12625.2,12624.7,12662.9,12698.4,12639.7,12641.5,12541.1,12516.7,12529.2,12503.4,12426,12125.7,11893.8,11889.2,11959,12167,12180.1,12274.6,12454.1,12507.4,12575.6,12653.6,12725.5,12812.2,13003.8,12968.6,12991.7,13163.9,13246.2,13358.5,13415.7,13508.2
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RX1",4725.9,4739.8,4767.9,4747.2,4739.8,4749.2,4790.5,4738.9,4870.3,4899.7,4934.2,4950.2,5039.3,5154.6,5204.7,5290.3,5425.4,5489.3,5467.4,5518.3,5482.4,5493.2,5435.1,5405.9,5333.5,5374.6,5466,5547.5,5670.1,5714.5,5743.9,5787.9,5862.4,5974.9,6079,6072.8,6102.2,6326.6,6392.8,6486.2,6500.6,6516.5,6577.4,6593.5,6616.2,6476.9,6462.4,6565.9,6704.8,6652.4,6732,6662.7,6548.4,6592.7,6556.7,6560.5,6644.8,6799.2,6932.3,7076.5,7210,7335.8,7406.6,7457.5,7517.4,7588.3,7696.4,7758.8,7824.4,7848.2,7930.6,7960.4,8018.9,8114.5,8186.7,8324.1,8379.2,8485.4,8529.4,8645.4,8731.2,8797.8,8866.8,8894.9,8988.9,9025.8,9020.3,8977.1,8918.1,8970.3,9007.8,9058.3,9164,9263.4,9349,9443.6,9471.5,9518.2,9572,9677.6,9781.5,9908.3,9964,10075.1,10121.5,10160,10227.9,10315.5,10391.6,10561.2,10654.2,10773.4,10844.2,11017,11146.9,11224.4,11346.6,11452.5,11585.3,11778.3,11899.3,12005.6,12154.3,12376.4,12406.9,12644.2,12654.6,12751.6,12698.4,12776.1,12710,12816.3,12889.2,12937,13015.6,13041.3,13091.4,13230.6,13452.6,13634.3,13735.1,13810,13941.7,14029,14218.1,14282.1,14408,14454.8,14631.1,14670.4,14668.7,14793.5,14803.5,14939.3,15097.5,15198.6,15081.9,15157.3,15098.7,14698.1,14495.3,14476.8,14568.8,14719.5,14782.7,14925.1,15020.5,15137.8,15119.2,15235.6,15306.4,15485.7,15600.2,15656.2,15751.1,15764.8,15789.7,15893.9,16067.4,16188.9
"16","6","    Gross national income","A023RX1",4699.6,4730.7,4764.1,4755.7,4723.2,4724,4762.1,4715.2,4813.8,4847.1,4885.2,4948.8,5020.5,5083.8,5169,5300.6,5400.4,5432.8,5458.3,5515.4,5482.7,5457.5,5423.5,5351.7,5283.4,5328.3,5438.4,5502,5614,5651,5692.9,5711.3,5770.5,5915.1,6027.1,6055.3,6100.8,6269.3,6314.9,6379.3,6439.8,6413.9,6435.5,6461.2,6467.4,6341.6,6382.9,6528.6,6583.4,6580,6675,6608.8,6551.8,6586.7,6548.8,6519.4,6590.7,6705.9,6798.1,6954.5,7139.9,7254.4,7332.8,7404,7455.4,7511.8,7594.1,7641.9,7713.3,7721.7,7776.5,7826.7,7908.2,8039.1,8158,8267.4,8375.4,8468.6,8538.7,8659.5,8715.3,8696.3,8733.1,8749.2,8837.2,8889.5,8873.5,8864.6,8835.8,8842.4,8860.4,8904.7,9058.7,9131.2,9156.1,9246.9,9219.6,9323.1,9346.6,9506.6,9566.8,9710.7,9799.5,9910.3,9968.8,10029.4,10133.1,10212.6,10332,10475.7,10569.8,10708.2,10819.4,10956.1,11128.8,11265,11396.6,11555.5,11702.5,11813.3,11982.6,12063.6,12170.6,12381.4,12629.4,12702.7,12790.8,12797.7,12926.2,12915,12841.3,12852.3,12971.3,13027.1,13060.3,13154.1,13159.1,13299.3,13424.6,13582.8,13707,13823.8,13987.9,14025.7,14201.2,14293.5,14425.8,14587.5,14866.8,14882.8,14927.8,14994.8,14958.4,15002.4,14979.2,15018.7,15030.2,15022.1,14975.9,14609,14383.9,14378.3,14494.5,14714.8,14738,14840.6,15021.3,15095.9,15200.5,15285.7,15386.4,15482.4,15660.5,15646.6,15669.1,15861,15936.3,16069.4,16153.1,16277.1
"17","7","    Net national product \1\","A027RX1",4299.9,4307.1,4329,4300.8,4286.7,4290.2,4326.9,4268.2,4398.8,4424.1,4454.5,4465.9,4552.2,4664.8,4708.9,4788.9,4919.3,4976.5,4945.6,4990.1,4945.3,4949.4,4882.4,4845.7,4764.7,4801.6,4890.9,4970,5091.7,5131.6,5155.3,5193.5,5262.9,5371.5,5470.8,5454.9,5476,5699.7,5757.9,5844,5847.2,5852.1,5904.2,5910,5922.8,5767,5741.8,5840.2,5976.1,5911.6,5984.7,5901.8,5771.3,5807.4,5760.4,5755.5,5835.4,5987.2,6116,6255.2,6382.4,6500.2,6559.7,6597.1,6642.7,6700.1,6796.5,6846.2,6900,6910.2,6980.8,6996.9,7042.5,7126.6,7187.1,7315.2,7358.8,7454.9,7486.9,7592.9,7667.6,7722.7,7780.5,7796.2,7879.8,7905.5,7888.5,7833.6,7763.3,7807.5,7836.6,7879.5,7979,8071.6,8149.3,8235.7,8253.5,8290.2,8333.8,8430,8524,8640.7,8684.1,8783.2,8815.6,8839.6,8893.4,8966.9,9028.4,9184.1,9261,9363.5,9416.1,9571.1,9681.1,9736.4,9835.5,9918.7,10029.9,10202.7,10303.3,10382.7,10498,10680.4,10714.8,10911.5,10886.5,10958.3,10884.6,10947,10865.3,10956.9,11012.1,11043.6,11106.2,11116.8,11152.9,11278.9,11486.4,11651.5,11733.4,11791.7,11905,11972.7,12141.6,12186,12291.5,12317.3,12472.8,12489.9,12466.6,12570.7,12559.2,12675.7,12816,12899.9,12767.8,12827.3,12752.8,12338.5,12128.6,12107.6,12199.6,12351.2,12410,12546,12634.5,12744.5,12719.5,12827.7,12889.6,13058.8,13162.1,13206.5,13290.5,13292.9,13305.5,13397.1,13557.8,13666.3
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","8","    Gross domestic purchases","A712RX1",4806.2,4815.8,4849,4816.4,4805,4806.9,4849.9,4801.3,4926.3,4974.1,5007.9,5026.8,5127.3,5243.3,5281.1,5370.1,5494.6,5530.3,5488.8,5523.3,5456.8,5472,5435.6,5398.3,5284.9,5307.5,5434.9,5505.5,5659.3,5716.4,5750.9,5805.1,5903.2,6010.5,6104.8,6127.6,6173.3,6363.5,6426.9,6499.6,6510.1,6519.7,6537.1,6532.6,6538,6345,6289.6,6443.2,6591.8,6541.3,6622.2,6560.2,6459.2,6481.2,6509.9,6518,6607.8,6799,6969.1,7130.9,7311.4,7452.9,7531.1,7600,7656.3,7760.6,7878.9,7949.5,8003.7,8065.4,8153.1,8179.6,8229.8,8316.3,8380.2,8511.2,8517.7,8598.1,8653.4,8770.9,8839.9,8879.4,8935.4,8958.5,9050,9072.9,9065.3,8956.5,8899.6,8954.1,9001.8,9041.4,9138.6,9253.7,9339.1,9450.4,9486.6,9551.9,9613.5,9751.5,9861,10001.7,10054.7,10176,10216,10247.8,10292.7,10364.8,10457.9,10648,10776.6,10844.6,10958.8,11118.9,11279.7,11397.5,11554.5,11710.4,11885.5,12078.6,12231.4,12366,12543.9,12757.2,12840.7,13087.8,13133.6,13216.1,13164.7,13224.5,13209.4,13255.4,13397.6,13490.1,13571,13621.6,13676.6,13828.1,14039.4,14204.4,14306.3,14466.2,14603.7,14740.4,14897.2,14966,15086.7,15195.1,15362.5,15405.7,15442,15489.1,15515.6,15610,15653.1,15624.4,15526.1,15522.3,15415.6,15103.9,14820.6,14717.9,14781.8,14920.4,15011.5,15215.4,15348.5,15402.5,15354,15451.6,15498.4,15700.5,15822.4,15864.4,15971.4,15950.8,16005.8,16104.1,16258.5,16322.4
"20","9","    Final sales to domestic purchasers \2\","A713RX1",4782.1,4800.8,4828.6,4818.9,4827.4,4811.9,4855.2,4847.7,4902.6,4956.3,4993.8,5057.4,5139.1,5220.1,5254.8,5377.8,5483.5,5483.5,5477.2,5466.9,5441,5448.4,5448.2,5355.2,5345.6,5382.3,5469.6,5534,5640.3,5674.6,5716,5807.3,5893,5978.5,6029.8,6101.3,6134.4,6325,6384.1,6453.9,6473.6,6477,6539.5,6546.4,6543.7,6355.9,6392.1,6488.1,6537.6,6550.8,6561.9,6542.6,6528.1,6513.4,6525.2,6621.5,6700.8,6840.5,7004,7116,7210.1,7357.2,7431,7544.4,7653.8,7752.1,7874.7,7919.3,7978.1,8066.6,8187.8,8221.3,8207.7,8315.5,8404.2,8435.5,8517.6,8591.4,8645.5,8757.8,8788.3,8845.1,8941.7,8956.5,9050.9,9043.4,9053,8989.4,8940,8998.6,9021.4,9018.6,9156.9,9240,9330.4,9439.3,9451.4,9534.5,9629.9,9749.4,9817.2,9909.2,10003.6,10094.7,10151.3,10219,10298.1,10361.2,10471.2,10631,10715.7,10813.5,10920.8,11009.9,11203.5,11307.3,11428.9,11668.6,11825.2,12014.7,12141,12326.2,12498.1,12652.5,12822.6,12979.5,13067.1,13153.6,13204.7,13241.2,13248.8,13354.7,13404.6,13468.5,13542.1,13589.8,13641.8,13829.8,14032.8,14159.8,14251.8,14385,14533.3,14664.9,14787.6,14932.7,15067.6,15099,15286.1,15323.3,15360.5,15446.8,15493.8,15557.8,15601.4,15603.7,15546.7,15552.4,15435.3,15176.9,14972.8,14908.1,14984.4,14965.5,14998.4,15164,15228,15342.3,15332.1,15402.4,15508.9,15610.2,15720.4,15797.9,15882.8,15939.7,15958.6,16041,16130.9,16195.8
"21",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10","    Command-basis gross domestic product","C191RX1",4802.3,4814.9,4845.8,4825.9,4816.1,4824.4,4860.3,4809.2,4939.3,4965.7,5000.4,5013.1,5101.6,5215,5262.3,5357.2,5482.2,5526.7,5502.3,5559.8,5475.5,5465,5406.1,5388.1,5329.6,5369.8,5465.4,5541,5663.5,5705.2,5729.8,5781.8,5838.1,5936.3,6023.6,6051.3,6062.6,6293,6350.2,6447.5,6451.3,6454,6476.8,6467.1,6448.2,6304.1,6295.3,6419.4,6546.2,6504.2,6593,6521.7,6421.8,6465.1,6447.5,6457.7,6554.6,6707,6841.3,6993,7133.6,7256.6,7335.8,7402.2,7486.8,7555.3,7665.9,7712.4,7780.9,7840.2,7906.8,7940.2,7990.4,8070.3,8137.6,8274.5,8318.8,8427.2,8493.6,8594.4,8682.5,8742.2,8818.4,8833.2,8916.6,8970.3,8954.1,8838.6,8829.7,8920.2,8972.3,9010.3,9108.6,9207,9285.5,9383.5,9405,9460.9,9524.5,9652,9748.8,9877.2,9926.4,10040.1,10073.3,10099.6,10196.3,10276.6,10348.2,10532.7,10616.9,10727.4,10830.4,11000.1,11153.5,11244.6,11380.2,11499.5,11660.9,11855.3,11971.1,12046.6,12186,12377.2,12395.4,12641.1,12655,12720.2,12690.6,12789.4,12771,12827.8,12952.7,12992.9,13056.3,13061.5,13092.4,13243.3,13465.8,13618.5,13684.6,13786.1,13889.7,13981.7,14150.1,14215.1,14302.2,14358.6,14544.3,14589.5,14602.8,14744.8,14764.7,14858.5,14933.9,14926.6,14777.1,14782,14671.5,14509.1,14431.7,14382.3,14378.6,14478.7,14522,14690.4,14811.4,14906.3,14813.3,14897.1,14967.2,15132,15259.7,15335,15467.9,15469,15531,15640.3,15805,15911.7
"23","11","    Command-basis net domestic product \1\","C362RX1",4376.2,4381.9,4406.5,4378.9,4362.2,4364.4,4395.4,4337,4466.5,4488.5,4519.1,4526.9,4612.7,4723.4,4764.6,4854.3,4974.3,5011.4,4977.7,5029.1,4934,4916,4848,4822.9,4756.3,4792.3,4886,4958.8,5080.4,5117.5,5136.2,5182.8,5233.1,5326.8,5408.6,5428,5430.1,5659.9,5708.7,5798.9,5790.9,5782.1,5794.6,5773.4,5742.9,5582.6,5563.6,5683.2,5806.2,5752.9,5835.4,5750.7,5635.6,5670.7,5642.9,5644.9,5737.6,5887.3,6017.3,6164.3,6298.9,6413.9,6482.1,6535.7,6607,6662,6761,6794.4,6851.1,6897.8,6952.1,6971.6,7008.5,7076.5,7131.8,7259.2,7291.7,7390.2,7445.3,7535.7,7612.9,7660.9,7726,7728.2,7801.1,7844.1,7816.2,7687.5,7668.6,7751.7,7795.9,7825.9,7917.9,8009.3,8079.9,8169.7,8181,8227.2,8280.7,8399.1,8486,8604.2,8641,8742.6,8761.6,8773.2,8856.2,8922.3,8979.3,9150.1,9218.1,9311.9,9397.4,9549.3,9683.1,9752.2,9864.9,9961.6,10101.7,10275.9,10371.3,10419.6,10525.5,10677,10697.8,10903.5,10883,10923.7,10873.3,10956.4,10922.6,10964.3,11072.3,11096.6,11144.1,11134.2,11151.6,11289.2,11497.6,11634,11681.4,11766.3,11851.4,11923.5,12071.4,12116.6,12183,12218.1,12382.8,12405.8,12397.7,12518.3,12517,12591.7,12649.3,12625.1,12460.6,12450.2,12324.7,12148.5,12064.2,12012.9,12009.8,12110.9,12150.3,12312.6,12426.8,12514.7,12415.9,12491.6,12552.9,12707.2,12823.7,12887.1,13008.9,12998.9,13048.2,13144.4,13296.3,13389.8
"24","12","    Command-basis gross national product","CB22RX1",4832.9,4844.3,4873.7,4853.8,4844.9,4854.3,4889.7,4835.9,4971.5,4999.8,5031.2,5045.5,5135.4,5248.3,5298.5,5393.5,5524.6,5572,5555.4,5613.5,5538,5523.4,5458.9,5433,5367.1,5407.6,5506.9,5591,5712.4,5756.4,5781.7,5835.1,5898.9,5996.1,6082.9,6103.6,6123.2,6343.5,6405.5,6511.4,6516.7,6527.3,6564.4,6553.5,6535.8,6384.7,6371.1,6480.5,6611.9,6565.9,6659.1,6596.4,6492.4,6544.6,6514.5,6522.3,6618.7,6775.8,6911.5,7066.1,7201.1,7324.4,7402.8,7461.5,7532.2,7603.9,7705.2,7756.7,7819.1,7866.8,7937.9,7960.6,8014.6,8100.7,8167.1,8306.9,8359.7,8464.1,8525.9,8630.4,8717.7,8775.8,8855.9,8880.4,8961.3,9017.8,8994.4,8912.7,8887.3,8961.6,9008.5,9057.9,9155.3,9252.4,9326.7,9426,9458,9504.5,9575.5,9681.4,9787.4,9909.5,9956.3,10068.6,10114.3,10144,10222.3,10317.8,10398.3,10571.8,10651.7,10769.2,10861.2,11040.6,11184.1,11266.6,11413.8,11529.3,11674.1,11871.9,11999,12081.1,12216.7,12420.2,12433.4,12682.6,12690.7,12786,12739.5,12849.1,12803.2,12935.9,13013.9,13031.5,13111.7,13136.5,13151.9,13318.8,13541,13723.9,13810,13882.1,13997.1,14059.6,14264.8,14316.7,14414,14438.3,14625.6,14664.8,14663.6,14816.4,14836.8,14953,15086.5,15125.4,14960.1,14966.8,14872.1,14630.6,14554.7,14502.3,14545,14657.8,14723.4,14893,15008,15117.2,15054.7,15138.1,15228.2,15392.4,15495.7,15580.5,15702.1,15711.1,15754,15872,16050.7,16176.1
"25","13","    Command-basis net national product \1\","C027RX1",4407.8,4412.3,4435.4,4407.8,4391.9,4395.4,4425.9,4364.7,4499.8,4523.9,4550.9,4560.5,4647.7,4757.9,4802.2,4891.8,5018.2,5058.3,5032.7,5084.7,4998.8,4976.5,4902.8,4869.4,4795.3,4831.6,4929.1,5010.9,5131.3,5170.7,5190.2,5238.2,5296.4,5389,5470.3,5482.5,5493.3,5712.5,5766.4,5865.5,5859.2,5858.5,5885.8,5863.4,5834.1,5666.5,5642.5,5746.9,5874.6,5817.1,5904.4,5828.6,5709.3,5753.6,5712.8,5712.1,5804.4,5958.7,6090.1,6240.1,6368.9,6484.2,6551.5,6597.1,6653.9,6712.2,6801.6,6840.2,6890.6,6925.4,6984.2,6992.7,7033.5,7107.8,7162.2,7292.6,7333.8,7428.2,7478.6,7572.7,7649.1,7695.5,7764.6,7776.7,7847,7892.8,7857.5,7763.3,7727.5,7794.2,7833,7874.6,7965.6,8055.7,8121.8,8213,8235,8271.6,8332.7,8429.1,8525.3,8637.1,8671.5,8771.6,8803.2,8818.4,8882.6,8964.2,9030.2,9189.8,9253.4,9354.3,9428.7,9590.4,9714.2,9774.5,9898.9,9991.8,10115.1,10292.7,10399.7,10454.5,10556.6,10720.4,10736.2,10945.5,10919,10989.8,10922.5,11016.6,10955.1,11073.3,11133.9,11135.5,11199.8,11209.6,11211.3,11365,11573.1,11739.7,11807.1,11862.6,11959.1,12001.7,12186.5,12218.6,12295.3,12298.1,12464.5,12481.4,12458.8,12590.2,12589.5,12686.6,12802.4,12824.5,12644,12635.3,12525.4,12270.3,12187.5,12132.9,12176,12289.6,12351.2,12514.6,12622.8,12724.9,12656.3,12731.7,12812.8,12966.7,13058.7,13131.8,13242.3,13240.2,13270.6,13375.7,13541.5,13653.9
"26",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
