"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 11, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:17:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"          Gross domestic product"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Gross domestic product","A191RC1",1019.9,1075.9,1167.8,1282.4,1428.5,1548.8,1688.9,1877.6,2086,2356.6,2632.1,2862.5,3210.9,3345,3638.1,4040.7,4346.7,4590.1,4870.2,5252.6,5657.7,5979.6,6174,6539.3,6878.7,7308.7,7664,8100.2,8608.5,9089.1,9665.7,10289.7,10625.3,10980.2,11512.2,12277,13095.4,13857.9,14480.3,14720.3,14417.9,14958.3,15533.8,16244.6
"10","2","    Imputations (153-156+165+170+171+173+175+176+179+181+182+185-186+187+190+199+202+211+212)","A2023C1",128.1,140.3,153.3,166.8,179.8,200.5,224.4,241.6,264.3,300.4,334.6,373.6,418.7,461.3,516.2,548.2,610.8,654.9,697.3,761.2,824.8,883,936.9,1015.9,1087.7,1153.7,1200.6,1244.1,1300.8,1382.3,1483.3,1607.6,1702.9,1780.6,1870.3,2005,2152.3,2255.6,2331.6,2422.4,2450.5,2506,2566.9,2617.2
"11","3","    Excluding imputations (1-2)","A2026C1",891.8,935.6,1014.4,1115.7,1248.7,1348.4,1464.6,1635.9,1821.7,2056.2,2297.6,2488.9,2792.3,2883.7,3121.9,3492.5,3735.9,3935.2,4172.9,4491.4,4832.9,5096.5,5237.1,5523.3,5791,6155.1,6463.5,6856.1,7307.7,7706.9,8182.4,8682.1,8922.4,9199.6,9641.9,10272,10943.1,11602.3,12148.7,12297.9,11967.5,12452.3,12966.9,13627.4
"12","4","  Personal consumption expenditures","DPCERC1",604.5,647.7,701,769.4,851.1,932,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6316.9,6801.6,7106.9,7385.3,7764.4,8257.8,8790.3,9297.5,9744.4,10005.5,9842.9,10201.9,10711.8,11149.6
"13","5","    Imputations (153-156+165+170+175+181+187+199+203+204+205+206-209-210)","A2042C1",46.6,56.1,54.2,53.3,58.5,79.3,96.1,94.4,89.7,104.2,129.6,175.9,210.9,251.1,256.4,263.9,308.1,315,331.6,368.5,412.9,469.4,518.3,546.7,588,611.4,656.7,665.5,691,711.9,762.9,841.5,868.5,893.3,904.3,900.6,929.2,1023,1221.8,1453.2,1583.4,1626.5,1676.4,1682
"14","6","    Excluding imputations (4-5)","A2086C1",557.9,591.5,646.8,716.1,792.6,852.7,936.6,1055.8,1187,1322,1459.9,1578.7,1726.6,1822.8,2030.1,2234.2,2414.6,2583.4,2760.5,2978.4,3179.9,3356.2,3441.9,3669,3883,4129.6,4327.5,4602.6,4869.7,5191.1,5554,5960.1,6238.4,6492,6860.1,7357.1,7861.1,8274.5,8522.7,8552.3,8259.5,8575.4,9035.4,9467.6
"15","7","  Gross private domestic investment","A006RC1",173.6,170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581,637.5,820.1,829.6,849.1,892.2,937,999.7,993.5,944.3,1013,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2232.1,2475.2
"16","8","    Imputations (209+210+211)","A2087C1",36.8,35.8,46.7,57.9,64.4,59.2,61.3,80.4,106,122.6,126.1,112.5,112.8,106.5,147.3,171.8,177.4,205.5,224.5,237.3,239.3,228.6,220.7,253.9,277.3,311.9,304,338.1,362,411.9,448.2,475.9,533,578.3,651.3,763.7,863,857,731.1,573.6,462.9,448.9,452.6,493
"17","9","    Excluding imputations (7-8)","A2088C1",136.8,134.3,150.1,170.3,202.6,215.3,196,242.8,290.6,355.7,413.6,417.6,518.4,474.5,490.2,648.3,652.3,643.6,667.7,699.6,760.4,764.8,723.7,759.1,829.5,944.6,1013.5,1094,1233.6,1323.4,1436,1557.8,1395.6,1346.7,1376.6,1513,1664.1,1823.6,1912.6,1851.2,1415.3,1651.9,1779.4,1982.2
"18","10","  Net exports of goods and services","A019RC1",1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-114,-131.9,-144.8,-109.4,-86.8,-77.9,-28.6,-34.8,-65.2,-92.5,-89.8,-96.4,-102,-162.7,-261.4,-380.1,-369,-425,-500.9,-614.8,-715.7,-762.4,-709.8,-713.2,-392.2,-518.5,-568.7,-547.2
"19","11","    Imputations (14-17)","W510RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,5.3,4.4,4.5,4.2,3.6,3.3,4.3,5.4,6.4,6.2,5.7,5.6,4.5,3.7,3.5,1.1,0.7,0.6,0.2,2.6,0.9,0,-0.8,-0.9,0.7,2.2,2.5
"20","12","    Excluding imputations (10-11)","W511RC1",0.9,3.3,0,-4.1,3.2,-2.2,14.3,-3.3,-25,-27.7,-25.6,-16.5,-16.6,-22.9,-55.7,-106.8,-120.2,-137.2,-149.2,-113.9,-90.9,-81.5,-31.9,-39.1,-70.6,-98.9,-96,-102.1,-107.6,-167.2,-265.1,-383.5,-370.2,-425.7,-501.5,-615,-718.4,-763.3,-709.8,-712.4,-391.3,-519.1,-570.9,-549.7
"21","13","    Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633,654.8,720.9,812.8,867.6,953.8,952.9,989.2,1094.3,1028.8,1004.7,1043.4,1183.1,1310.4,1478.5,1665.7,1843.1,1583.8,1843.5,2101.2,2195.9
