"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:17:56 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,"2011","2012"
"8","1","Total receipts less total deductions, IRS","B1174C1",82.1,68,81.9,99.5,122.6,148.2,146,186.6,219.5,247.4,283,235.9,212.5,154.8,190,232.5,240.1,274.4,336.8,412.1,391.6,378.8,352.1,415,507.9,585.1,717.8,797.6,905.5,834.5,925.4,914.2,590,550.5,749,1075.7,1892,1900.3,1788.7,903,828.8,1254.2,".....","....."
"9",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","  Adjustment for misreporting on income tax returns","B1633C1",6.5,7.6,7.3,7.2,9.6,10.4,10,11.6,12.2,14.8,16.5,20.1,26.3,29.8,41.4,41.2,48.8,53.8,56.6,60.9,66.7,65.2,67.6,70.7,72.5,78.1,85.7,94.1,107.7,119.5,136.1,146.8,168.2,186.5,187.1,217.1,264.9,300,287.5,286.8,313.5,401.5,".....","....."
"11","3","  Posttabulation amendments and revisions \1\","B1175C1",0.5,0.3,1.2,0.9,0.6,1.4,1.4,1,-0.6,-2.3,-0.6,2.1,4.6,14.2,11.8,3.3,-1,1.2,-19,-20.8,-20.4,-20.6,-7.8,-1.6,1.9,-5.5,1.6,1,6,11.7,16.7,30.5,42.4,38.3,29.9,30.2,2.8,11.6,68,71.7,80,78.6,".....","....."
"12","4","  Income of organizations not filing corporation income tax returns","A1629C1",3.4,3.8,3.6,3.7,5,6.4,6.2,6.6,7,8.8,10.6,12.8,16,17.4,16.5,19,18.2,15.9,17.6,20.3,23.4,25,24.6,24.5,23.4,24.5,28.8,29.6,30.5,33.4,34.7,40.2,37.8,33.5,27.6,33.7,37.4,46,47.9,46,59.5,84.9,".....","....."
"13","5","    Federal Reserve banks","B1630C1",3.1,3.5,3.3,3.3,4.5,5.7,5.6,5.9,6.1,7.6,9.4,11.8,14.4,15.2,14.6,16.4,16.3,15.5,16.2,18.1,20.7,21.9,20.8,18.4,16.8,18.6,23.1,22.7,24.4,25.8,26.8,31.4,29.2,23.9,20.5,20.5,27.1,34.4,36.5,35.4,47.6,72,".....","....."
"14","6","    Federally sponsored credit agencies \2\","B1631C1",0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.3,0.4,0.6,0.8,0.8,1,1.6,1.2,1.4,0.7,0,0.6,1.5,2.2,2,2,1.9,2.1,2.1,2.6,2.7,3.1,3.4,3.7,3.9,3.9,3.5,3.9,4,4.7,5.1,5.8,6.7,8.3,7.5,".....","....."
"15","7","    Other \3\","B1632C1",0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.4,0.2,0.6,0.5,0.7,1.2,1.1,0.4,0.7,0.7,0.5,1.1,1.8,4.2,4.5,3.8,3.2,4.2,3,4.3,4.2,5,4.7,6.1,3.1,9.1,5.5,6.5,5.6,3.9,3.6,5.4,".....","....."
"16","8","  Depletion on domestic minerals","B1176C1",4.2,4,4.2,4.5,5.8,9.3,4.5,4.8,5,5.7,6.8,7.6,6.7,5.8,6.2,6.5,6.4,7.6,6.9,6.9,7.3,7.6,6.8,7.3,6.9,7.6,8.1,8.2,8.4,8,8,8.4,7.9,7.5,7.9,9.2,12.3,11.6,14.4,16.3,16.1,17.7,".....","....."
"17","9","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1",0.3,0.2,0,0.3,0.6,1.7,2.7,3.5,4.3,6.8,9.8,13.4,19.6,19.9,10.2,11.2,7.5,-3.9,-7.2,-5.1,-7.7,-4.9,-8.1,-7.4,-6.3,-3.8,-2.1,0.6,6.4,3.7,0.5,5.1,10.7,3.4,6.6,11.5,16.2,33.9,44.3,51.4,25.1,25.1,".....","....."
"18","10","  State and local taxes on corporate income","B1179C1",3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,57.9,47.4,45.6,47.7,".....","....."
"19","11","  Interest payments of regulated investment companies","B1181C1",-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-64.7,-70.5,-78,-97.9,-105.4,-121.4,-138.2,-154.1,-187.9,-151.8,-98.6,-82.5,-91.3,-142.8,-202.8,-248.6,-201.8,-134.4,-129.7,".....","....."
"20","12","  Bad debt expense","B1182C1",5.9,6.5,7.8,8.3,10.5,12.8,13.8,13.8,14.2,15.7,17.4,18.8,22.3,26.7,30.5,33.8,43.3,53.4,54.6,58.6,68.8,83.7,100.9,89.6,80.7,67.9,67.8,74.7,83.6,86.4,100.2,107.7,142.2,168,151.1,139.7,119,105.9,130,253.9,379.4,316.3,".....","....."
"21","13","  Adjustment to depreciate expenditures for intellectual property products \4\","Y371RC1",5.4,4.9,4.6,5.4,6.1,7.3,7.6,9.4,10.5,11.8,15.3,17.5,21.9,23.9,25.5,30.3,31.7,30.1,28,30.3,35.8,38.7,39.8,36.4,32.4,29.5,36.5,46.1,60.8,64.1,80.4,89.2,66.5,41.1,34.9,37.4,49.4,60.4,73,83.7,55,55.3,".....","....."
"22","14","  Disaster adjustments (net) \5\","W779RC1",NA,NA,0,0.4,0.1,0,0,0,0.1,0,0.2,0,0,0.1,0.1,0,0,0,0,0,3.9,0,1.3,13.2,2.6,12.7,2,0,0,0,1.8,0,7.4,0,0,18,28.7,0,0,7.3,0,0,".....","....."
