"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/12/2014 3:55:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Government consumption expenditures and gross investment","B822RG3",8.372,8.352,8.188,8.291,8.436,8.541,8.713,8.768,8.899,8.839,8.761,8.864,8.834,8.804,8.97,9.041,9.43,9.363,9.432,9.562,9.474,9.595,9.704,9.808,9.748,9.764,9.737,9.778,9.837,9.937,10.002,10.088,10.14,10.314,10.423,10.544,10.722,10.888,10.987,11.053,11.242,11.356,11.43,11.52,11.598,11.704,11.785,11.84,11.894,11.881,11.873,11.883,11.923,11.94,12.057,12.166,12.171,12.244,12.246,12.314,12.406,12.463,12.501,12.545,12.734,12.759,12.706,12.929,13.021,13.055,13.185,13.2,13.292,13.367,13.505,13.714,13.809,13.906,14.12,14.188,14.243,14.386,14.546,14.772,14.955,15.142,15.351,15.607,15.726,15.988,16.337,16.578
"10","2","      Consumption expenditures \1\","A955RG3",7.201,7.169,6.956,7.04,7.163,7.242,7.369,7.422,7.555,7.521,7.496,7.591,7.603,7.576,7.709,7.687,8.022,7.891,7.931,8.052,7.969,8.093,8.181,8.313,8.267,8.31,8.285,8.371,8.46,8.545,8.604,8.674,8.789,8.972,9.022,9.113,9.231,9.363,9.421,9.472,9.653,9.75,9.815,9.927,10.077,10.176,10.237,10.289,10.34,10.337,10.331,10.349,10.412,10.429,10.56,10.693,10.7,10.779,10.778,10.836,10.949,11.003,11.025,11.051,11.303,11.318,11.253,11.515,11.624,11.65,11.811,11.822,11.93,11.994,12.154,12.395,12.503,12.555,12.807,12.855,12.918,13.082,13.239,13.484,13.654,13.846,14.086,14.316,14.396,14.618,14.997,15.202
"11","3","      Gross investment \2\","A782RG3",12.681,12.828,13.374,13.557,13.778,14.023,14.443,14.477,14.521,14.307,13.912,14.039,13.753,13.72,14.035,14.662,15.256,15.571,15.774,15.927,15.828,15.911,16.115,16.049,15.931,15.807,15.778,15.586,15.491,15.66,15.743,15.899,15.634,15.738,16.127,16.385,16.838,17.154,17.438,17.568,17.776,17.965,18.076,18.055,17.804,17.931,18.103,18.166,18.232,18.179,18.164,18.14,18.088,18.101,18.167,18.174,18.177,18.229,18.242,18.353,18.363,18.435,18.537,18.653,18.6,18.669,18.658,18.738,18.769,18.833,18.855,18.885,18.915,19.039,19.091,19.188,19.237,19.508,19.581,19.729,19.754,19.822,19.992,20.148,20.387,20.552,20.638,21,21.285,21.715,21.921,22.317
"12","4","        Structures","A760RG3",6.941,7.045,7.447,7.578,7.774,7.991,8.231,8.261,8.199,8.107,7.743,7.854,7.535,7.443,7.669,7.987,8.472,8.725,8.932,8.998,8.892,9.024,9.225,9.1,9.14,9.062,9.063,8.86,8.672,8.863,8.748,8.802,8.576,8.598,8.907,9.012,9.257,9.541,9.772,9.856,9.918,10.113,10.141,10.029,9.803,9.93,10.032,10.03,10.1,10.001,9.929,9.873,9.839,9.83,9.881,9.878,9.829,9.874,9.853,9.943,9.993,10.036,10.113,10.145,10.16,10.207,10.229,10.268,10.3,10.33,10.365,10.397,10.487,10.596,10.654,10.725,10.809,11.044,11.131,11.241,11.304,11.317,11.464,11.568,11.814,11.906,11.921,12.203,12.463,12.772,12.912,13.192
"13","5","        Equipment","Y054RG3",28.131,28.548,30,30.237,30.187,30.314,31.742,31.736,32.559,31.627,31.321,31.364,31.794,32.282,32.542,34.756,34.955,35.17,35.159,35.627,35.58,35.483,35.694,35.84,35.063,34.728,34.57,34.392,34.694,34.746,35.737,36.336,35.88,36.314,36.915,37.856,39.263,39.532,39.925,40.193,41.177,41.178,41.678,42.09,41.557,41.493,41.97,42.365,42.289,42.45,42.705,42.782,42.541,42.62,42.724,42.746,43.046,43.113,43.284,43.496,43.227,43.46,43.752,44.429,43.998,44.252,43.948,44.219,44.064,44.268,44.136,44.181,43.885,44.238,44.244,44.53,44.155,44.769,44.701,45.198,44.969,45.385,45.672,46.033,46.017,46.43,46.639,47.359,47.462,48.544,48.649,49.457
"14","6","        Intellectual property products","Y055RG3",17.392,17.433,17.537,17.7,17.915,18.062,18.156,18.197,18.171,18.152,18.153,18.18,18.233,18.406,18.703,19.124,19.668,20.075,20.345,20.482,20.484,20.514,20.572,20.657,20.767,20.834,20.86,20.843,20.785,20.772,20.803,20.878,20.999,21.139,21.3,21.484,21.693,21.876,22.035,22.167,22.272,22.389,22.515,22.652,22.799,22.933,23.053,23.157,23.245,23.325,23.401,23.473,23.542,23.599,23.648,23.684,23.71,23.739,23.771,23.807,23.847,23.869,23.873,23.859,23.827,23.831,23.871,23.947,24.06,24.129,24.159,24.145,24.089,24.064,24.069,24.106,24.172,24.224,24.259,24.277,24.278,24.323,24.409,24.542,24.718,24.912,25.127,25.361,25.608,25.883,26.198,26.539
"15","7","          Software","Y056RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.937,45.934,46.099,46.261,46.521,46.463,46.941,46.959,47.113,47.173,47.14,47.199,47.092,47.066,46.938,47.115,47.203,47.269,47.401,47.57,47.979,48.141,48.529,48.628,48.701,48.9,48.972,49.223,49.345,49.719,50.051,50.222,50.369,50.589,50.662,51.197,51.768,52.166,52.703,53.18,53.283,53.417,54.199,54.71
"16","8","          Research and development","Y057RG3",15.496,15.532,15.625,15.77,15.961,16.093,16.177,16.212,16.19,16.172,16.173,16.198,16.245,16.399,16.663,17.038,17.523,17.886,18.127,18.248,18.25,18.277,18.329,18.405,18.502,18.562,18.585,18.57,18.519,18.507,18.534,18.602,18.709,18.834,18.977,19.142,19.327,19.491,19.632,19.75,19.844,19.947,20.06,20.182,20.313,20.432,20.539,20.632,20.71,20.782,20.849,20.913,20.975,21.026,21.068,21.101,21.124,21.15,21.178,21.211,21.247,21.267,21.271,21.258,21.229,21.232,21.267,21.334,21.434,21.496,21.521,21.508,21.457,21.434,21.438,21.469,21.529,21.573,21.603,21.617,21.617,21.656,21.733,21.85,22.005,22.177,22.368,22.576,22.801,23.051,23.33,23.637
"17","9","Federal","B823RG3",11.179,11.044,10.587,10.598,10.664,10.742,10.849,10.85,11.189,11.179,11.03,11.301,11.313,11.193,11.327,11.253,11.81,11.585,11.617,11.788,11.631,11.782,11.874,12.051,11.903,11.944,11.904,11.986,12.107,12.166,12.248,12.367,12.505,12.803,12.897,13.043,13.223,13.445,13.51,13.565,13.852,13.957,14.062,14.235,14.395,14.526,14.646,14.736,14.728,14.702,14.695,14.703,14.687,14.672,14.861,15.035,14.98,15.029,14.968,15.039,15.116,15.204,15.274,15.301,15.587,15.576,15.443,15.817,15.969,15.986,16.207,16.182,16.238,16.322,16.506,16.863,16.891,16.893,17.186,17.185,17.125,17.309,17.464,17.773,17.922,18.125,18.428,18.688,18.721,18.981,19.471,19.712
"18","10","    Consumption expenditures","B957RG3",9.283,9.155,8.677,8.688,8.746,8.799,8.849,8.848,9.15,9.157,9.092,9.307,9.325,9.207,9.321,9.152,9.654,9.374,9.374,9.52,9.358,9.52,9.593,9.776,9.666,9.731,9.696,9.808,9.932,9.996,10.035,10.126,10.308,10.602,10.659,10.761,10.866,11.057,11.082,11.115,11.367,11.457,11.529,11.69,11.9,12.028,12.121,12.195,12.175,12.136,12.113,12.115,12.11,12.085,12.279,12.482,12.417,12.456,12.378,12.417,12.534,12.625,12.665,12.661,13.036,13.005,12.859,13.287,13.46,13.456,13.72,13.687,13.779,13.853,14.073,14.478,14.515,14.465,14.811,14.781,14.721,14.906,15.056,15.381,15.53,15.722,16.03,16.262,16.255,16.459,16.974,17.173
"19","11","    Gross investment","B787RG3",17.442,17.529,18.429,18.368,18.398,18.606,19.18,19.196,19.526,19.363,18.614,19.141,19.088,19.059,19.25,20.083,20.636,20.956,21.175,21.419,21.344,21.368,21.54,21.612,21.286,21.171,21.11,20.977,21.033,21.046,21.365,21.617,21.407,21.605,21.904,22.28,22.879,23.197,23.488,23.656,24.055,24.213,24.484,24.667,24.482,24.589,24.828,24.99,25.055,25.104,25.179,25.219,25.142,25.174,25.318,25.336,25.336,25.435,25.454,25.661,25.555,25.619,25.816,25.989,25.838,25.925,25.866,25.958,26.006,26.115,26.125,26.136,26.031,26.153,26.152,26.245,26.233,26.478,26.497,26.629,26.585,26.739,26.893,27.08,27.201,27.423,27.635,27.992,28.24,28.757,28.988,29.409
"20","12","      Structures","B801RG3",6.572,6.409,7.451,7.14,7.103,7.321,7.628,7.696,7.821,7.953,6.841,7.554,7.292,7.04,7.157,7.347,7.835,8.044,8.281,8.363,8.297,8.395,8.528,8.528,8.488,8.489,8.477,8.368,8.266,8.293,8.188,8.234,8.166,8.203,8.376,8.431,8.586,8.881,9.089,9.181,9.231,9.416,9.527,9.516,9.358,9.508,9.624,9.7,9.654,9.606,9.546,9.511,9.478,9.445,9.639,9.632,9.426,9.561,9.452,9.742,9.649,9.608,9.863,9.789,9.781,9.83,9.856,9.822,9.917,9.969,10.044,10.063,10.083,10.216,10.194,10.231,10.379,10.588,10.658,10.697,10.79,10.866,11.003,11.184,11.377,11.42,11.581,11.825,12.184,12.533,12.64,12.851
"21","13","      Equipment","Y058RG3",24.251,24.568,26.169,26.284,26.083,26.105,27.292,27.157,27.994,27.328,27.086,27.131,27.574,27.997,27.989,29.956,30.051,30.256,30.284,30.687,30.629,30.544,30.733,30.877,30.141,29.857,29.723,29.561,29.841,29.833,30.731,31.254,30.754,31.119,31.561,32.348,33.611,33.947,34.339,34.567,35.572,35.644,36.172,36.604,36.115,36.052,36.482,36.755,36.944,37.091,37.328,37.418,37.164,37.241,37.345,37.365,37.653,37.718,37.885,38.089,37.839,38.066,38.353,39.015,38.596,38.841,38.536,38.785,38.633,38.826,38.698,38.735,38.407,38.757,38.782,39.048,38.619,39.223,39.127,39.559,39.293,39.702,39.97,40.222,40.125,40.522,40.716,41.378,41.442,42.557,42.594,43.266
"22","14","      Intellectual property products","Y059RG3",16.828,16.868,16.972,17.134,17.346,17.493,17.587,17.629,17.605,17.587,17.587,17.613,17.663,17.83,18.118,18.527,19.056,19.453,19.718,19.854,19.86,19.894,19.953,20.039,20.147,20.213,20.237,20.22,20.161,20.147,20.177,20.251,20.37,20.506,20.661,20.837,21.034,21.209,21.362,21.49,21.594,21.708,21.833,21.967,22.112,22.242,22.358,22.457,22.537,22.612,22.684,22.753,22.82,22.876,22.922,22.957,22.982,23.009,23.039,23.073,23.111,23.131,23.134,23.119,23.087,23.09,23.128,23.201,23.311,23.379,23.406,23.391,23.334,23.309,23.312,23.345,23.408,23.456,23.488,23.503,23.502,23.544,23.626,23.754,23.922,24.107,24.313,24.536,24.773,25.038,25.34,25.671
"23","15","        Software","Y060RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.714,46.585,47.151,47.092,47.155,47.139,47.039,47.032,46.827,46.777,46.627,46.828,46.787,46.786,46.969,47.103,47.774,47.952,48.428,48.498,48.456,48.74,48.767,49.044,49.063,49.358,49.584,49.581,49.604,49.746,49.716,50.289,50.799,51.143,51.662,52.086,52.061,52.131,52.903,53.414
"24","16","        Research and development","Y061RG3",15.459,15.496,15.591,15.74,15.935,16.07,16.157,16.195,16.173,16.156,16.157,16.18,16.227,16.38,16.645,17.02,17.506,17.871,18.115,18.239,18.245,18.276,18.331,18.409,18.508,18.569,18.591,18.575,18.521,18.508,18.536,18.604,18.714,18.839,18.981,19.142,19.323,19.484,19.624,19.742,19.837,19.943,20.057,20.181,20.314,20.433,20.539,20.63,20.704,20.773,20.839,20.903,20.964,21.016,21.058,21.09,21.113,21.138,21.165,21.197,21.232,21.251,21.254,21.24,21.21,21.213,21.248,21.315,21.415,21.477,21.5,21.486,21.434,21.409,21.412,21.442,21.5,21.543,21.571,21.586,21.585,21.623,21.699,21.815,21.968,22.139,22.327,22.533,22.754,23.002,23.279,23.585
"25","17","  National defense","B824RG3",11.143,11.083,10.211,10.201,10.432,10.586,10.738,10.766,10.951,10.909,10.839,11.015,11.044,10.976,11.209,11.242,11.542,11.335,11.354,11.521,11.305,11.454,11.543,11.716,11.543,11.577,11.51,11.586,11.74,11.783,11.889,12.011,12.112,12.415,12.572,12.73,12.929,13.14,13.213,13.28,13.569,13.646,13.755,13.906,14.061,14.167,14.319,14.395,14.325,14.316,14.349,14.362,14.344,14.322,14.459,14.641,14.564,14.612,14.539,14.605,14.671,14.765,14.841,14.795,15.154,15.138,14.965,15.392,15.515,15.483,15.691,15.656,15.712,15.816,16.023,16.416,16.396,16.391,16.73,16.698,16.624,16.824,16.999,17.345,17.437,17.634,17.929,18.171,18.189,18.464,18.937,19.158
"26","18","    Consumption expenditures","B997RG3",9.397,9.341,8.512,8.48,8.689,8.818,8.921,8.944,9.103,9.098,9.036,9.212,9.223,9.146,9.357,9.301,9.551,9.294,9.29,9.423,9.199,9.371,9.446,9.625,9.494,9.548,9.488,9.594,9.757,9.799,9.863,9.951,10.1,10.408,10.535,10.648,10.769,10.955,10.99,11.036,11.289,11.358,11.438,11.578,11.774,11.881,12.011,12.068,11.982,11.964,11.989,11.994,11.995,11.964,12.096,12.311,12.216,12.253,12.162,12.192,12.306,12.406,12.448,12.351,12.816,12.779,12.592,13.079,13.222,13.173,13.413,13.367,13.457,13.539,13.778,14.2,14.192,14.137,14.518,14.459,14.395,14.591,14.76,15.113,15.208,15.392,15.687,15.895,15.884,16.099,16.592,16.777
"27","19","    Gross investment","B788RG3",17.615,17.607,17.868,18.134,18.245,18.465,18.954,19.002,19.28,18.932,18.833,18.876,19.035,19.116,19.325,20.262,20.749,21.075,21.227,21.55,21.435,21.395,21.549,21.636,21.246,21.164,21.063,20.948,21.016,21.055,21.393,21.696,21.474,21.675,21.978,22.375,23.015,23.324,23.614,23.792,24.225,24.333,24.594,24.781,24.644,24.721,24.984,25.158,25.197,25.236,25.313,25.364,25.257,25.279,25.431,25.448,25.462,25.569,25.575,25.808,25.649,25.713,25.951,26.16,25.959,26.064,25.986,26.042,26.043,26.106,26.114,26.146,26.001,26.222,26.186,26.295,26.206,26.517,26.508,26.655,26.538,26.712,26.882,27.098,27.132,27.341,27.534,27.931,28.163,28.771,28.898,29.315
"28","20","      Structures","B808RG3",7.194,4.721,5.258,5.488,5.593,5.996,6.199,6.148,6.231,6.147,5.942,5.851,5.774,5.594,5.712,6,6.517,6.686,6.9,6.976,6.885,6.947,7.028,7.022,6.999,6.975,6.933,6.867,6.762,6.789,6.678,6.762,6.727,6.746,6.896,6.911,7.039,7.299,7.479,7.563,7.588,7.729,7.783,7.744,7.724,7.865,7.976,8.061,8.008,7.958,7.902,7.874,7.824,7.792,8.023,8.001,7.701,7.866,7.695,8.114,7.913,7.828,8.224,8.056,8.011,8.088,8.14,8.005,8.139,8.173,8.199,8.213,8.111,8.415,8.159,8.147,8.398,8.712,8.751,8.698,8.708,8.737,8.935,9.279,9.4,9.321,9.497,9.784,10.295,10.714,10.639,10.786
"29","21","      Equipment","Y050RG3",20.084,20.599,20.944,21.351,21.455,21.572,22.539,22.654,23.169,22.496,22.387,22.505,22.881,23.076,23.227,24.74,24.827,25.102,25.067,25.516,25.415,25.272,25.439,25.587,24.895,24.764,24.624,24.487,24.727,24.767,25.502,25.961,25.522,25.835,26.205,26.895,27.974,28.249,28.581,28.791,29.653,29.659,30.103,30.469,30.058,29.973,30.363,30.586,30.672,30.755,30.924,31.007,30.768,30.796,30.888,30.906,31.192,31.244,31.365,31.525,31.305,31.487,31.735,32.283,31.922,32.112,31.87,31.998,31.836,31.888,31.861,31.932,31.703,32.086,32.13,32.354,31.965,32.466,32.397,32.722,32.472,32.796,33.011,33.233,33.103,33.417,33.587,34.157,34.234,35.186,35.176,35.715
"30","22","      Intellectual property products","Y052RG3",16.702,16.741,16.842,16.999,17.206,17.351,17.445,17.489,17.468,17.452,17.453,17.476,17.522,17.687,17.972,18.379,18.909,19.305,19.571,19.706,19.712,19.743,19.802,19.886,19.994,20.06,20.085,20.068,20.009,19.995,20.024,20.097,20.214,20.349,20.505,20.681,20.881,21.057,21.21,21.337,21.44,21.551,21.672,21.802,21.94,22.066,22.18,22.279,22.36,22.434,22.504,22.573,22.64,22.696,22.744,22.781,22.808,22.836,22.868,22.903,22.941,22.962,22.966,22.952,22.92,22.923,22.961,23.034,23.144,23.212,23.24,23.228,23.175,23.151,23.156,23.191,23.254,23.302,23.333,23.347,23.344,23.385,23.468,23.595,23.76,23.939,24.134,24.345,24.568,24.821,25.113,25.433
"31","23","        Software","Y053RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.844,49.824,50.797,50.861,51.111,51.155,51.094,51.133,51.003,51.09,51.057,51.509,51.598,51.675,51.903,52.052,52.809,53.013,53.593,53.711,53.748,54.13,54.192,54.567,54.646,55.031,55.334,55.354,55.403,55.61,55.59,56.304,56.91,57.321,57.937,58.423,58.322,58.379,59.288,59.864
"32","24","        Research and development","Y076RG3",15.462,15.498,15.591,15.737,15.929,16.063,16.15,16.191,16.172,16.156,16.157,16.179,16.221,16.374,16.638,17.015,17.505,17.872,18.118,18.243,18.248,18.278,18.332,18.41,18.51,18.571,18.594,18.578,18.524,18.51,18.537,18.605,18.713,18.839,18.982,19.146,19.33,19.494,19.635,19.753,19.848,19.952,20.063,20.183,20.311,20.428,20.533,20.625,20.7,20.768,20.834,20.897,20.959,21.012,21.055,21.09,21.114,21.14,21.17,21.202,21.238,21.257,21.261,21.247,21.217,21.22,21.255,21.323,21.423,21.486,21.512,21.5,21.45,21.427,21.432,21.463,21.522,21.565,21.593,21.606,21.603,21.64,21.718,21.834,21.986,22.151,22.331,22.526,22.736,22.974,23.242,23.54
"33","25","  Nondefense","B825RG3",10.383,9.899,11.098,11.268,10.571,10.387,10.368,10.299,11.063,11.146,10.793,11.321,11.299,11.061,10.836,10.316,11.988,11.595,11.657,11.8,12.182,12.338,12.446,12.625,12.709,12.792,12.957,13.069,12.929,13.099,12.993,13.077,13.437,13.661,13.339,13.383,13.409,13.667,13.668,13.623,13.866,14.162,14.209,14.509,14.679,14.974,14.852,15.049,15.428,15.311,15.103,15.089,15.076,15.094,15.551,15.666,15.737,15.785,15.796,15.888,16.018,16.067,16.099,16.458,16.392,16.404,16.451,16.59,16.849,17.053,17.309,17.319,17.37,17.378,17.473,17.696,17.885,17.914,18.022,18.14,18.144,18.256,18.315,18.451,18.83,19.046,19.36,19.678,19.77,19.959,20.489,20.786
"34","26","    Consumption expenditures","B542RG3",8.075,7.633,8.51,8.781,8.131,7.94,7.85,7.793,8.456,8.497,8.444,8.765,8.827,8.636,8.362,7.668,9.376,8.89,8.862,9.079,9.449,9.529,9.591,9.788,9.847,9.983,10.108,10.249,10.12,10.307,10.189,10.291,10.635,10.828,10.509,10.533,10.533,10.736,10.697,10.638,10.865,11.099,11.08,11.372,11.657,11.927,11.767,11.97,12.344,12.205,11.982,11.968,11.926,11.922,12.421,12.548,12.653,12.699,12.695,12.784,12.909,12.952,12.982,13.414,13.33,13.335,13.4,13.525,13.829,14.036,14.4,14.428,14.519,14.555,14.676,14.986,15.233,15.206,15.349,15.483,15.443,15.558,15.591,15.736,16.175,16.391,16.752,17.1,17.119,17.249,17.841,18.097
"35","27","    Gross investment","B798RG3",16.367,16.771,19.598,18.438,18.263,18.46,19.268,19.203,19.667,20.068,17.558,19.157,18.695,18.49,18.647,19.222,19.919,20.164,20.695,20.377,20.613,21.108,21.43,21.384,21.631,21.181,21.53,21.224,21.155,20.898,21.028,20.79,20.698,20.858,21.117,21.287,21.515,21.919,22.222,22.326,22.481,22.973,23.303,23.444,22.985,23.249,23.343,23.43,23.65,23.763,23.824,23.787,23.888,23.966,24.072,24.098,24.033,24.092,24.162,24.241,24.352,24.414,24.453,24.504,24.524,24.568,24.569,24.747,24.895,25.092,25.1,25.067,25.036,24.985,25.038,25.104,25.21,25.349,25.41,25.513,25.602,25.71,25.829,25.951,26.23,26.464,26.702,26.977,27.245,27.586,27.98,28.39
