"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Durable goods","DDURRA3",15.005,14.607,16.075,18.072,19.962,18.682,18.726,21.06,22.921,24.124,24.002,22.09,22.31,22.273,25.453,29.088,31.998,35.068,35.752,37.8,38.63,38.463,36.39,38.48,41.364,44.663,46.425,49.891,53.963,60.482,68.24,74.105,77.983,83.707,89.673,97.03,102.309,106.667,111.565,105.855,100,106.092,113.074,121.833,130.289
"12","5","      Motor vehicles and parts","DMOTRA3",33.538,30.025,35.851,40.833,44.759,37.36,37.16,44.704,49.438,51.667,48.584,42.35,43.307,44.457,52.993,61.682,69.654,74.741,71.723,75.88,75.728,74.521,65.637,71.028,74.983,79.669,78.432,82.235,87.794,96.972,105.896,109.266,114.85,120.897,124.449,127.892,126.159,121.471,123.885,107.493,100,102.002,107.048,114.798,120.545
"13","6","      Furnishings and durable household equipment","DFDHRA3",21.651,21.623,22.59,24.936,27.587,27.477,26.045,27.642,30.154,31.74,33.041,31.771,31.162,29.78,32.328,35.569,37.475,40.547,42.263,43.806,46.041,45.411,44.349,45.86,48.217,50.788,53.124,55.426,58.022,62.807,70.089,76.848,80.755,86.651,92.83,101.644,108.402,113.912,114.79,109.561,100,107.037,112.959,119.833,127.098
"14","7","      Recreational goods and vehicles","DREQRA3",2.542,2.719,2.812,3.262,3.605,3.621,3.878,4.22,4.503,4.804,5.055,4.858,4.988,5.013,5.803,6.808,7.567,8.758,9.809,10.74,11.203,11.475,11.86,12.608,14.547,16.886,19.308,22.296,25.764,30.835,37.23,43.468,47.47,52.885,59.776,68.908,78.228,88.483,98.419,101.635,100,110.873,121.966,135.248,148.668
"15","8","      Other durable goods","DODGRA3",17.043,17.871,18.689,19.708,22.386,23.49,24.853,27.366,28.924,30.508,30.111,27.541,27.952,28.002,30.517,33.987,36.533,40.704,42.168,43.583,44.137,44.364,42.436,43.296,45.478,47.562,48.672,51.906,54.505,59.859,67.002,72.956,71.388,75.79,82.903,90.263,96.935,103.953,108.865,105.261,100,104.237,109.798,116.098,124.52
"16","9","    Nondurable goods","DNDGRA3",40.845,41.753,42.536,44.257,45.528,44.42,44.802,46.932,48.001,49.734,51.017,50.931,51.57,52.105,53.801,56.028,57.72,59.775,60.802,62.401,64.087,64.834,64.644,65.9,67.576,70.211,71.949,74.028,76.206,79.041,83.029,85.678,87.168,88.781,91.882,94.875,98.033,101.243,102.952,101.818,100,102.226,104.177,105.594,107.672
"17","10","      Food and beverages purchased for off-premises consumption","DFXARA3",58.647,60.286,61.004,62.221,61.137,59.904,60.985,63.975,64.921,64.638,65.537,66.212,65.988,67.268,68.968,70.355,72.431,73.91,73.438,75.378,76.318,77.899,77.802,77.499,78.132,80.309,80.723,81.533,82.243,83.389,86.774,88.907,90.131,90.528,92.636,94.78,98.397,101.411,102.769,101.547,100,102.145,103.75,105.12,106.527
"18","11","      Clothing and footwear","DCLORA3",21.637,21.388,22.288,23.874,25.592,25.103,25.736,26.922,28.364,31.353,33.179,34.208,36.386,36.991,39.524,42.795,44.704,48.054,49.836,51.302,54.018,53.645,53.682,56.533,58.941,62.243,64.8,67.943,70.177,74.456,79.345,83.184,83.971,86.535,90.805,94.996,100.089,103.571,105.678,105.159,100,105.274,109.283,110.562,112.007
"19","12","      Gasoline and other energy goods","DGOERA3",70.806,73.51,76.076,79.933,84.526,77.646,79.451,83.706,85.208,86.581,84.082,76.648,75.654,75.778,77.446,79.539,81.078,85.202,86.83,89.302,90.729,89.102,88.379,91.908,94.212,95.719,97.505,99.047,101.046,103.877,106.264,103.492,103.393,104.198,104.309,105.199,104.744,104.545,104.337,99.614,100,99.199,96.739,95.419,95.7
"20","13","      Other nondurable goods","DONGRA3",29.601,30.587,30.717,32.205,34.386,34.266,33.153,34.549,35.091,37.574,39.751,40.447,41.362,41.214,42.261,44.567,45.764,46.798,48.527,49.64,51.302,52.606,52.318,53.374,55.314,58.112,60.487,63.169,66.643,70.151,74.41,78.131,80.579,82.998,87.15,90.963,94.073,98.67,101.349,101.738,100,102.31,105.822,108.709,112.57
"21","14","  Services","DSERRA3",28.028,29.131,30.14,31.873,33.385,34.03,35.31,36.83,38.356,40.131,41.357,42.024,42.754,43.608,45.878,47.65,50.154,51.77,54.097,56.531,58.329,60.083,61.064,63.534,65.49,67.503,69.524,71.563,73.85,77.251,80.439,84.454,86.331,87.892,89.783,92.62,95.559,98.123,100.089,100.845,100,101.244,103.411,105.09,106.37
"22","15","    Household consumption expenditures (for services)","DHCERA3",29.706,30.852,31.896,33.737,35.382,36.108,37.505,39.097,40.747,42.633,43.931,44.59,45.272,45.963,48.203,49.881,52.461,53.988,56.358,58.715,60.371,61.847,62.613,64.82,66.707,68.635,70.648,72.655,75.255,78.597,81.744,85.725,87.433,88.717,90.472,93.377,96.465,98.688,100.64,100.921,100,101.262,103.51,105.039,106.47
"23","16","      Housing and utilities","DHUTRA3",33.425,34.708,36.203,38.139,39.922,41.809,43.149,44.37,45.605,47.775,49.472,51.179,51.939,52.339,53.438,55.23,57.409,58.783,60.397,62.455,64.016,65.224,66.638,67.991,69.838,72.123,74.318,76.036,77.663,80.056,82.428,85.089,87.35,87.923,89.101,91.33,95.076,96.927,97.862,98.889,100,101.237,102.521,103.328,104.232
"24","17","      Health care","DHLCRA3",26.686,28.119,30.142,32.206,34.522,35.709,37.547,39.191,41.092,42.975,44.422,45.7,47.903,48.019,49.454,50.255,51.789,53.406,55.626,57.813,58.474,60.443,61.601,63.46,63.782,64.281,65.613,66.969,69.049,71.292,72.405,74.894,78.628,83.298,85.568,88.625,91.585,93.724,96.058,98.245,100,101.34,104.05,106.82,109.386
"25","18","      Transportation services","DTRSRA3",35.459,36.699,38.252,40.449,41.122,41.351,41.908,44.002,47.111,48.247,49.704,46.758,45.018,44.038,47.357,52.909,58.454,60.996,63.498,67.166,68.676,68.604,65.346,68.651,72.538,79.414,85.4,92.399,99.369,103.719,109.586,114.873,114.097,110.744,111.479,114.439,115.536,115.821,117.023,110.904,100,99.107,101.593,102.863,103.696
"26","19","      Recreation services","DRCARA3",17.077,17.684,18.289,19.261,20.9,22.314,23.465,25.083,26.669,27.963,29.325,30.316,32.888,34.483,37.428,39.915,42.801,44.781,46.815,51.262,54.46,56.821,56.415,60.145,63.938,67.207,72.32,75.589,77.989,80.448,84.262,86.69,86.549,87.048,89.987,94.624,96.988,100.379,104.275,103.45,100,101.318,103.403,104.889,105.714
"27","20","      Food services and accommodations","DFSARA3",39.247,40.607,40.564,43.661,45.839,45.419,47.308,50.161,51.502,53.685,55.35,55.375,55.927,56.297,58.147,59.757,60.553,62.303,65.559,69.459,71.378,73.919,73.966,75.85,77.532,78.721,78.862,79.323,81.018,83.132,85.179,89.059,88.893,90.236,93.548,97.314,100.794,104.053,105.373,104.294,100,101.545,105.614,109.403,112.468
"28","21","      Financial services and insurance","DIFSRA3",17.611,18.261,18.929,20.03,21.181,21.693,23.767,25.062,26.624,27.976,28.833,29.199,28.963,31.23,35.72,36.055,39.959,41.819,44.168,45.131,47.565,48.665,52.783,56.5,60.473,61.898,63.987,66.257,69.715,75.856,83.269,91.694,89.849,89.252,89.446,93.015,97.932,100.154,103.28,102.569,100,102.083,105.148,103.764,105.379
"29","22","      Other services","DOTSRA3",34.935,36.06,36.207,37.783,38.852,37.604,37.912,39.358,41.289,43.474,43.86,43.614,43.397,44.3,47.193,49.562,52.996,53.578,57.34,59.645,61.499,62.567,60.315,62.695,64.067,66.568,67.945,70.294,74.272,79.826,83.812,89.529,92.562,92.643,94.853,96.951,97.883,100.484,102.691,102.186,100,100.989,102.469,104.208,103.82
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.24,5.568,5.893,6.196,6.248,6.149,6.183,6.559,6.673,6.985,7.22,7.595,8.226,9.65,11.201,13.04,14.075,15.982,17.252,19.834,22.811,27.766,31.714,38.301,41.443,45.073,47.225,49.921,45.951,50.456,54.38,58.925,63.79,70.346,74.748,76.198,76.063,85.722,88.005,99.124,100,100.821,101.044,106.38,103.868
"31","24","      Gross output of nonprofit institutions \2\","DNPERA3",23.098,24.276,26.005,27.489,28.277,28.645,29.742,31.341,32.543,34.327,35.296,36.359,37.862,39.496,40.995,42.423,43.895,46.063,47.925,50.511,52.342,55.48,57.527,60.636,62.138,63.474,64.321,65.963,66.913,70.125,72.512,75.264,78.863,83.542,85.256,87.489,89.66,93.149,95.304,98.382,100,101.255,102.555,105.55,106.925
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",36.036,37.714,40.585,42.988,44.543,45.592,47.872,50.334,52.613,55.63,57.108,58.442,60.123,60.538,60.798,60.747,62.063,63.616,65.472,67.264,67.608,68.847,69.438,70.441,71.103,71.369,71.634,72.817,75.903,78.513,80.165,82.041,84.987,88.722,89.221,91.771,94.863,95.928,98.034,98.117,100,101.402,103.059,105.299,107.889
"33","26","Gross private domestic investment","B006RA3",33.176,31.159,34.37,38.242,42.426,39.616,33.199,39.534,45.175,50.401,52.167,46.918,51.048,44.39,48.532,61.778,61.738,61.836,63.593,65.163,67.802,66.055,61.699,66.218,71.513,79.988,82.573,89.807,100.046,109.596,118.809,126.484,118.813,118.11,122.926,133.716,142.302,145.361,140.787,127.574,100,112.901,118.449,129.705,136.647
"34","27","  Fixed investment","B007RA3",30.042,29.426,31.446,35.032,38.035,35.92,32.397,35.582,40.407,45.088,47.685,44.85,46.055,42.976,46.212,53.693,56.649,57.674,58.03,59.945,61.846,60.955,57.819,60.986,65.663,71.036,75.378,82.06,89.128,98.245,106.922,114.343,112.555,108.662,113.023,120.644,128.892,131.436,128.825,120.087,100,101.504,107.844,116.766,121.978
"35","28","    Nonresidential","B008RA3",21.846,21.652,21.642,23.528,26.64,26.858,24.44,25.821,28.601,32.554,35.806,35.813,38.01,36.648,36.486,42.568,45.376,44.594,44.634,46.867,49.52,50.055,48.09,49.494,53.201,57.401,62.965,68.695,76.09,84.273,92.449,100.871,98.467,91.708,93.428,98.281,105.143,112.618,119.282,118.428,100,102.471,110.225,118.263,121.485
"36","29","      Structures","B009RA3",71.777,71.975,70.799,73.001,78.971,77.272,69.157,70.832,73.744,84.387,95.087,100.652,108.721,106.943,95.387,108.686,116.407,103.654,100.671,101.336,103.346,104.867,93.199,87.577,87.34,88.941,94.607,99.969,107.305,112.803,112.929,121.74,119.895,98.708,94.895,94.502,96.125,103.03,116.164,123.271,100,83.585,85.36,96.212,97.416
"37","30","      Equipment","Y033RA3",18.627,18.296,18.445,20.796,24.644,25.156,22.522,23.906,27.616,31.789,34.391,32.873,34.095,31.502,32.964,39.359,41.52,41.996,42.148,44.928,47.307,46.326,44.202,46.827,52.773,59.238,66.4,72.724,80.814,91.418,102.813,112.824,107.97,102.129,105.388,113.483,124.413,135.152,139.426,129.766,100,115.892,130.639,140.604,145.024
"38","31","        Information processing equipment","Y034RA3",1.221,1.351,1.442,1.649,1.953,2.234,2.16,2.477,3.083,4.035,4.86,5.665,6.551,6.616,7.685,9.756,10.711,11.498,12.002,13.103,14.377,14.572,14.869,17.034,19.374,22.046,26.547,32.073,38.682,47.848,58.363,70.432,69.588,66.341,72.544,79.877,86.77,97.989,109.288,109.733,100,109.903,112.415,115.46,119.374
"39","32","          Computers and peripheral equipment","B935RA3",0.006,0.008,0.01,0.016,0.017,0.023,0.023,0.034,0.05,0.098,0.159,0.251,0.39,0.398,0.605,0.989,1.241,1.427,1.793,2.049,2.491,2.462,2.674,3.658,4.688,5.826,8.785,12.685,18.395,26.741,37.994,46.072,47.221,49.505,54.358,60.983,67.909,83.765,94.749,100.367,100,110.275,108.643,114.515,113.678
"40","33","          Other","A937RA3",8.376,9.025,9.133,9.682,11.738,12.985,12.469,13.653,16.424,19.581,21.986,23.652,25.011,25.182,26.467,30.14,31.1,32.369,31.069,33.209,34.702,35.579,35.362,37.508,40.408,44.167,47.536,52.078,56.557,63.672,70.986,85.428,82.813,75.285,82.152,89.651,96.283,104.573,115.927,113.882,100,109.75,113.94,115.876,121.658
"41","34","        Industrial equipment","A680RA3",65.178,66.103,60.712,65.461,77.394,83.338,70.661,71.01,75.258,83.734,89.719,85.861,84.497,77.188,71.061,81.327,85.083,84.686,82.579,86.723,92.771,87.407,81.807,83.301,90.373,98.433,108.037,112.045,114.463,119.446,120.182,130.563,120.935,112.812,113.264,111.199,120.745,130.907,135.016,128.531,100,99.504,115.104,121.38,125.361
"42","35","        Transportation equipment","A681RA3",110.046,90.293,97.519,113.293,136.243,123.322,106.243,118.122,143.558,158.661,165.631,135.212,131.482,116.497,131.178,156.26,162.384,156.179,148.506,157.248,141.758,139.853,136.026,139.143,165.782,194.317,208.954,215.885,231.45,250.301,295.3,289.275,262.064,236.999,219.384,250.074,280.467,301.256,288.502,222.281,100,194.038,256.436,313.25,314.577
"43","36","        Other equipment","A862RA3",44.537,46.459,46.315,52.489,61.336,60.55,56.065,56.522,63.592,70.051,71.426,64.202,65.934,57.048,54.972,62.251,62.845,61.701,63.437,66.499,74.227,71.414,61.025,60.7,66.453,71.808,75.675,78.558,86.151,94.959,97.462,102.94,102.154,101.39,108.293,116.211,127.385,132.608,131.036,124.726,100,108.56,121.854,126.606,133.475
"44","37","      Intellectual property products","Y001RA3",8.762,8.751,8.786,9.399,9.872,10.158,10.248,11.36,12.108,12.968,14.483,15.203,16.859,17.899,19.313,21.952,23.927,25.595,26.6,28.493,31.838,34.522,36.738,38.949,40.585,42.227,45.297,50.409,56.984,63.14,70.996,77.334,77.686,77.309,80.261,84.384,89.849,93.926,98.445,101.43,100,101.887,106.388,109.962,113.408
"45","38","        Software \4\","B985RA3",0.551,0.703,0.747,0.877,0.997,1.166,1.368,1.486,1.548,1.834,2.284,2.695,3.133,3.618,4.264,5.391,6.404,7.164,8.167,9.735,12.545,14.786,16.746,19.675,21.999,24.161,26.576,31.181,40.374,48.784,60.168,68.486,68.978,68.884,73.586,80.971,86.14,89.704,95.095,99.785,100,99.011,105.082,111.326,116.365
"46","39","        Research and development \5\","Y006RA3",21.347,21.429,21.401,22.403,23.903,24.001,23.611,25.104,26.446,28.515,30.626,32.673,34.777,36.593,38.647,42.601,46.251,48.161,49.083,51.101,54.414,57.298,59.879,60.045,59.682,59.67,62.729,68.245,72.05,75.681,80.293,84.29,85.401,83.167,82.566,83.413,88.33,93.878,99.501,102.839,100,102.351,105.595,107.269,109.504
"47","40","        Entertainment, literary, and artistic originals","Y020RA3",26.456,23.189,22.878,24.625,23.566,23.885,23.116,29.371,32.768,32.223,36.969,33.501,40.458,40.777,42.998,47.935,47.705,52.68,51.811,52.336,54.707,56.649,57.246,60.014,63.252,66.604,72.116,77.346,79.616,83.357,85.886,90.975,88.214,92.608,99.564,101.055,109.5,110.661,107.957,102.97,100,111.553,114.498,114.816,116.766
"48","41","    Residential","B011RA3",71.861,68.11,86.247,101.215,100.565,80.844,71.088,86.803,104.603,111.582,107.399,84.928,77.941,63.821,90.616,103.989,106.372,119.566,121.918,120.841,116.931,106.999,97.465,110.901,119.977,130.74,126.313,136.63,139.942,152.035,161.577,162.641,164.103,174.043,189.815,208.773,222.467,205.631,166.934,126.886,100,97.496,97.964,110.581,124.06
"49","42","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","  Exports","B020RA3",10.631,11.774,11.973,12.872,15.299,16.508,16.403,17.12,17.532,19.38,21.301,23.595,23.885,22.06,21.491,23.245,24.022,25.87,28.689,33.339,37.196,40.477,43.159,46.149,47.658,51.867,57.196,61.876,69.249,70.868,74.131,80.337,75.797,74.385,75.591,82.667,87.662,95.493,104.01,109.979,100,111.476,119.367,123.59,126.912
"54","47","    Goods","B253RA3",10.135,11.291,11.247,12.456,15.317,16.533,16.149,16.915,17.136,19.052,21.303,23.841,23.583,21.452,20.835,22.482,23.311,24.508,27.225,32.355,36.211,39.258,41.967,45.108,46.578,51.109,57.089,62.124,71.056,72.641,76.927,84.723,79.507,76.744,78.183,84.791,91.029,99.608,107.11,113.69,100,114.321,122.47,127.1,130.089
"55","48","    Services","B646RA3",11.949,13.013,14.016,13.928,14.913,16.076,17.064,17.569,18.702,20.266,20.89,22.194,24.557,23.876,23.479,25.573,26.178,29.973,33.104,36.311,40.166,44.143,46.762,49.368,50.995,54.423,58.123,61.951,65.616,67.329,68.271,70.921,67.867,69.444,70.144,78.27,80.594,86.84,97.517,102.191,100,105.586,112.939,116.297,120.35
"56","49","  Imports","B021RA3",12.334,12.86,13.547,15.071,15.77,15.413,13.7,16.379,18.17,19.744,20.072,18.739,19.231,18.989,21.385,26.591,28.316,30.736,32.555,33.834,35.324,36.588,36.534,39.095,42.476,47.543,51.347,55.813,63.33,70.732,78.765,88.819,86.268,89.219,93.056,103.297,109.591,116.326,118.97,115.825,100,112.759,118.239,120.86,122.588
"57","50","    Goods","B255RA3",10.889,11.315,12.264,13.933,14.916,14.502,12.674,15.54,17.433,18.997,19.323,17.888,18.257,17.798,20.216,25.107,26.677,29.412,30.775,32.022,33.401,34.373,34.529,37.784,41.565,47.116,51.36,56.174,64.27,71.885,81.021,91.626,88.659,91.97,96.469,107.185,114.322,121.098,123.319,118.76,100,115.162,121.176,123.75,125.259
"58","51","    Services","B656RA3",19.812,20.845,20.252,21.11,20.398,20.375,19.492,20.837,21.876,23.435,23.758,23.227,24.566,25.875,27.964,34.975,37.636,38.061,42.546,43.992,46.124,49.138,47.862,46.573,47.817,50.365,51.883,54.597,59.343,65.795,68.879,76.475,75.817,77.174,78.172,86.359,89.037,95.596,100.071,103.182,100,102.751,105.934,108.779,111.517
"59","52","Government consumption expenditures and gross investment","B822RA3",48.171,47.189,46.323,46.103,45.954,46.999,48.034,48.285,48.856,50.297,51.232,52.199,52.703,53.674,55.731,57.727,61.637,64.992,66.911,67.812,69.764,72.004,72.865,73.228,72.62,72.693,73.08,73.781,75.169,76.738,79.366,80.872,83.921,87.591,89.485,90.907,91.489,92.884,94.345,96.946,100,100.074,96.868,95.921,93.779
"60","53","  Federal","B823RA3",56.034,52.6,49.245,47.695,45.987,46.309,46.554,46.644,47.658,48.859,50.003,52.185,54.528,56.558,60.242,62.246,67.181,71.136,73.814,72.848,74.053,75.634,75.621,74.524,71.925,69.378,67.554,66.758,66.222,65.656,66.959,67.154,69.792,74.801,79.902,83.529,84.982,87.123,88.586,94.631,100,104.35,101.66,100.212,95.051
"61","54","    National defense","B824RA3",69.292,63.637,57.169,53.224,50.505,50.025,49.537,49.304,49.781,50.184,51.536,53.528,56.867,60.967,65.392,68.822,74.873,80.065,84.125,83.915,83.71,83.925,83.1,79.402,75.391,71.73,68.873,67.804,65.962,64.581,65.579,64.984,67.234,71.967,78.073,82.795,84.427,86.114,88.245,94.9,100,103.203,100.802,97.562,90.702
"62","55","      Consumption expenditures","B997RA3",82.458,75.8,70.102,65.68,61.162,59.506,58.273,57.049,57.392,57.82,58.337,60.035,63.023,66.523,69.535,71.283,75.059,79.065,81.91,83.798,84.323,84.656,85.95,82.392,79.627,76.13,73.111,71.829,70.774,68.85,70.01,69.013,70.986,74.836,80.653,84.779,85.721,86.577,87.964,94.034,100,103.705,102.259,99.523,91.887
"63","56","      Gross investment","B788RA3",38.612,35.317,27.63,24.848,25.884,27.809,28.875,30.682,31.407,31.737,34.738,37.266,41.248,46.523,53.918,60.983,72.001,79.785,86.656,81.212,79.173,79.079,72.812,68.872,61.726,57.764,55.43,54.952,51.083,51.202,51.734,52.259,55.256,62.538,69.494,76.111,80.019,84.525,89.238,97.948,100,101.432,95.622,90.571,86.503
"64","57","    Nondefense","B825RA3",33.441,33.759,35.636,38.197,38.272,40.026,41.57,42.234,44.209,46.855,47.632,50.183,50.692,48.847,51.165,50.47,53.344,55.011,55.135,52.761,56.576,60.687,62.167,65.841,65.81,65.269,65.295,64.986,66.783,67.668,69.514,71.117,74.449,79.958,83.251,84.888,86.015,88.993,89.219,94.135,100,106.447,103.23,105.068,103.042
"65","58","      Consumption expenditures","B542RA3",31.613,32.852,35.757,38.976,39.033,41.61,43.429,43.254,44.992,46.731,47.565,50.827,52.059,51.087,54.631,52.857,55.931,57.835,56.338,53.109,57.544,61.602,61.97,65.617,64.952,65.63,65.005,63.678,66.402,66.037,66.819,69.504,73.477,79.043,82.418,84.39,85.525,88.18,88.103,93.554,100,105.859,101.618,105.146,103.469
"66","59","      Gross investment","B798RA3",37.217,35.788,35.658,36.921,37.033,37.162,38.175,40.507,42.971,47.455,48.124,49.28,48.364,44.788,44.722,46.149,48.649,49.853,53.251,52.576,55.181,59.44,63.211,66.981,68.309,65.09,66.561,68.538,68.222,72.037,76.424,75.411,77.174,82.56,85.644,86.378,87.483,91.374,92.474,95.838,100,108.186,108.036,104.788,101.721
"67","60","  State and local","B829RA3",41.177,42.358,43.688,44.656,45.916,47.605,49.331,49.724,49.905,51.557,52.31,52.23,51.163,51.228,51.896,53.885,56.93,59.784,61.087,63.439,65.951,68.672,70.183,71.633,72.508,74.518,76.542,78.347,81.14,84.258,87.829,90.261,93.591,96.312,95.933,95.798,95.774,96.657,98.115,98.452,100,97.293,93.751,93.128,92.934
"68","61","    Consumption expenditures","B991RA3",39.149,41.524,43.597,45.243,46.788,48.876,51.261,51.995,52.994,54.063,54.395,54.211,53.974,54.829,55.529,56.695,59.243,61.928,63.19,65.42,67.788,70,71.512,73.111,74.364,76.411,78.234,79.688,81.806,85.138,88.018,89.865,92.904,95.436,94.827,94.919,95.466,96.179,97.729,97.945,100,97.438,94.593,94.616,94.943
"69","62","    Gross investment","B799RA3",46.543,43.729,42.557,41.231,41.504,41.867,41.527,40.858,38.465,41.925,43.997,44.25,40.628,38.24,38.787,43.432,48.122,51.516,52.947,55.697,58.706,63.284,64.782,65.645,65.01,66.871,69.698,72.908,78.423,80.67,87.097,91.996,96.578,100.12,100.753,99.602,97.048,98.668,99.736,100.585,100,96.684,90.156,86.787,84.401
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
