"","Table 5#7#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2015 10:34:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Nonfarm industries","INF0",18718,22756,-6509,-23078,17052,2845,-14266,-55222,-46060,-35792,-57197,-47783,7715,-58213,-84941,-15056,-5940,1747
"9","2","Mining, utilities, and construction","ICMU0",216,1380,-2425,-4902,5099,-3269,-1773,-7500,-11781,6364,-6824,-6329,2669,-2622,-4998,791,-4975,-881
"10","3","Manufacturing industries","I300",7703,10015,-92,-10417,5073,4940,-7577,-25144,-17910,-18495,-21234,-19887,7259,-25884,-30730,-2812,-4606,-14
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","I30D0",5268,6630,647,-3663,2874,4304,-870,-14926,-5815,-13460,-5024,-15968,6987,-10819,-11802,-245,-1395,-1915
"13","5","      Wood product manufacturing","I3210",-255,246,29,116,169,232,-226,-503,-183,-67,-462,-495,186,-44,-23,-261,-347,-197
"14","6","      Nonmetallic mineral product manufacturing","I3270",-25,-74,-163,-384,-139,39,-137,-257,-547,-514,-396,-844,-226,-268,-259,-144,-188,-118
"15","7","      Primary metal manufacturing","I3310",68,1811,259,-464,594,258,-592,-3383,-995,-3389,-1069,-1960,1666,-2653,-1417,868,1159,160
"16","8","      Fabricated metal product manufacturing","I3320",12,418,135,-509,740,476,-326,-3987,-894,-2543,-1404,-3592,2503,-2318,-2193,278,57,51
"17","9","      Machinery manufacturing","I3330",38,-121,-234,-533,237,1001,-576,-2473,-961,-1757,-1450,-3676,1219,-1267,-2416,-257,-496,-241
"18","10","      Computer and electronic product manufacturing","I3340",5167,3469,1190,479,798,1516,2237,398,335,-646,1515,-100,472,-374,-420,327,120,-462
"19","11","      Electrical equipment, appliance, and component manufacturing","I3350",-10,423,-36,-177,49,336,-50,-842,-550,-1027,-378,-648,325,-865,-732,-191,-193,104
"20","12","      Transportation equipment manufacturing","I3360",330,171,-314,-2003,312,-25,-550,-2635,-1295,-2477,-697,-3626,115,-2017,-3077,-410,-1092,-1179
"21","13","        Motor vehicle and parts manufacturing","I336MV0",304,136,181,-418,91,132,35,-1096,-652,-894,-453,-1019,533,-770,-950,-207,-253,-137
"22","14","        Other transportation equipment manufacturing","I336OT0",26,35,-495,-1585,221,-157,-585,-1539,-643,-1583,-244,-2606,-418,-1247,-2126,-202,-839,-1042
"23","15","      Furniture and related product manufacturing","I3370",-26,30,-60,-9,70,120,-382,-350,-183,-108,-88,-371,169,-250,-218,-164,-200,-95
"24","16","      Miscellaneous durable goods manufacturing","I3390",-31,257,-159,-179,44,351,-267,-893,-542,-932,-595,-657,558,-762,-1049,-293,-217,62
"25","17","    Nondurable goods industries","I30N0",2434,3385,-739,-6754,2199,637,-6707,-10218,-12095,-5035,-16210,-3919,272,-15065,-18927,-2568,-3211,1901
"26","18","      Food manufacturing","I3110",147,401,96,-745,-461,50,-2479,-1285,-179,-1417,-4927,-872,1346,-3737,-4587,-2262,-11,-619
"27","19","      Beverage and tobacco product manufacturing","I3120",-186,-139,-55,-203,70,-78,-41,-632,1104,-158,-545,-609,-213,-465,-522,-526,-482,-26
"28","20","      Textile mills","I3130",59,23,213,-54,408,167,-42,63,-136,-49,-129,-157,78,-103,-287,-1,-48,19
"29","21","      Textile product mills","I3140",24,79,144,-58,226,31,80,-34,-51,-27,-56,-94,70,-59,-232,7,-50,-5
"30","22","      Apparel manufacturing","I3150",38,152,274,-29,127,353,85,-98,-35,-81,-130,-236,-71,-51,-121,20,3,6
"31","23","      Leather and allied product manufacturing","I3160",4,62,-5,-59,-3,-2,-27,-8,1,-20,-45,-56,14,-11,-59,-10,-50,-37
"32","24","      Paper manufacturing","I3220",410,-158,566,-796,171,864,-313,-701,-530,-449,-72,-1143,800,-788,-643,-306,-428,-11
"33","25","      Printing and related support activities","I3230",-3,-176,443,-383,99,456,-136,-252,-285,-200,316,-669,508,-207,-217,-100,17,23
"34","26","      Petroleum and coal product manufacturing","I3240",1470,1937,-2177,-1530,1048,-2163,-1974,-2907,-6748,-865,-6946,9270,-4075,-6152,-4972,1172,-55,1981
"35","27","      Chemical manufacturing","I3250",333,674,-85,-2128,-84,671,-1246,-3008,-3747,-1628,-3310,-7900,1129,-2523,-5889,-155,-1443,1014
"36","28","      Plastics and rubber product manufacturing","I3260",139,530,-153,-769,599,287,-614,-1356,-1488,-142,-365,-1453,687,-969,-1397,-406,-664,-444
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","I30M0",2876,4058,612,-3140,2368,538,-3110,-10396,-7233,-6871,-7846,-6801,4288,-10387,-10413,-549,-1589,199
"39","30","      Durable goods industries","I30DM0",1884,2712,615,-836,1616,595,-369,-6443,-2749,-5141,-2338,-5990,3881,-4959,-4774,295,-435,-543
"40","31","      Nondurable goods industries","I30NM0",992,1346,-3,-2305,752,-58,-2741,-3953,-4484,-1730,-5508,-811,407,-5428,-5639,-844,-1154,742
"41","32","    Work-in-process","I30W0",2630,3062,-192,-2913,1234,1203,-888,-5903,-4042,-5467,-4838,-3675,279,-6255,-8030,194,-1336,-536
"42","33","      Durable goods industries","I30DW0",2285,2285,87,-1844,772,1323,-102,-4272,-1613,-4288,-1053,-4792,1285,-3335,-3942,31,-498,-1048
"43","34","      Nondurable goods industries","I30NW0",345,777,-278,-1069,462,-120,-786,-1631,-2429,-1178,-3785,1117,-1006,-2920,-4088,163,-838,512
"44","35","    Finished goods","I30F0",2196,2895,-512,-4363,1470,3199,-3578,-8844,-6634,-6158,-8550,-9411,2692,-9242,-12287,-2457,-1681,323
"45","36","      Durable goods industries","I30DF0",1099,1632,-55,-983,485,2385,-399,-4210,-1453,-4031,-1633,-5186,1821,-2525,-3086,-571,-462,-324
"46","37","      Nondurable goods industries","I30NF0",1097,1263,-458,-3380,985,814,-3180,-4634,-5182,-2127,-6917,-4225,871,-6717,-9201,-1886,-1220,647
"47","38","Wholesale trade industries","IWT0",6483,8252,-480,-4706,4406,-4202,-5785,-13964,-8495,-16635,-17978,-10423,77,-19925,-29240,-5002,4864,3470
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","IWTD0",5237,6091,1513,103,3102,-1174,-904,-9142,-1406,-5094,-4091,-8696,4975,-5217,-7840,-391,224,-1517
"50","40","    Nondurable goods industries","IWTN0",1246,2161,-1993,-4809,1304,-3029,-4881,-4822,-7089,-11541,-13887,-1727,-4898,-14709,-21400,-4611,4639,4987
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","I42W0",5150,6991,-210,-3186,3920,-2956,-4369,-9739,-4515,-12194,-16192,-11653,3330,-18332,-23510,-4852,5731,2779
"53","42","      Durable goods industries","I42WD0",4059,5353,1343,384,2984,-1455,-959,-7244,356,-7179,-3846,-7998,3901,-4877,-6635,-197,468,-1201
"54","43","        Motor vehicles, parts, and supplies wholesalers","I42110",719,-64,-213,-315,309,-671,-65,-114,1017,-349,-360,-625,907,-628,-615,-265,-51,-66
"55","44","        Furniture and home furnishings wholesalers","I42120",44,-58,-32,-82,1,-49,-35,-86,-244,-178,-169,-371,-128,-23,-305,-111,-87,-125
"56","45","        Lumber and other construction materials wholesalers","I42130",-56,257,-376,238,-25,-229,-375,-956,254,5,-70,-560,244,-241,-190,-367,-596,-324
"57","46","        Professional and commercial equipment wholesalers","I42140",2826,3761,2392,1323,2199,-1166,565,293,3442,1050,1121,509,742,448,614,567,344,239
"58","47","          Computers and software wholesalers","I421430",2925,3792,2472,1465,2314,475,1002,885,1418,1210,1109,781,982,516,894,594,421,343
"59","48","          Other professional and commercial equipment wholesalers","I4214X0",-99,-31,-80,-142,-115,-1641,-437,-592,2024,-160,12,-272,-240,-68,-280,-27,-77,-104
"60","49","        Metal and mineral (except petroleum) wholesalers","I42150",19,642,140,-362,438,64,-347,-3576,-1422,-2808,-86,-2259,3292,-1760,-1917,1345,839,-87
"61","50","        Electrical goods wholesalers","I42160",491,345,331,241,506,133,416,328,-189,-712,-91,-581,58,306,-265,-283,-4,102
"62","51","        Hardware and plumbing and heating equipment wholesalers","I42170",-58,-6,-123,-115,-203,144,-80,-418,-628,-589,-396,-920,-64,-471,-417,-260,-167,-235
"63","52","        Machinery, equipment, and supplies wholesalers","I42180",93,-425,-203,-325,-393,187,-530,-1542,-1320,-1758,-1988,-3640,-293,-108,-2194,-1423,-613,-952
"64","53","        Miscellaneous durable goods wholesalers","I42190",-19,901,-573,-219,152,132,-508,-1173,-554,-1839,-1807,450,-856,-2400,-1346,600,803,247
"65","54","      Nondurable goods industries","I42WN0",1091,1638,-1553,-3570,936,-1502,-3410,-2495,-4871,-5015,-12346,-3655,-571,-13456,-16875,-4655,5262,3980
"66","55","        Paper and paper products wholesalers","I42210",14,90,-189,-427,198,359,44,-197,-362,-403,-167,-568,262,-351,-122,40,-93,-8
"67","56","        Drugs and druggists' sundries wholesalers","I42220",-65,-1114,-117,-155,93,-932,-544,-426,617,-235,-390,-989,-784,-586,-284,-532,-395,-786
"68","57","        Apparel, piece goods, and notions wholesalers","I42230",-109,-8,63,15,-47,911,147,252,-1209,162,62,-546,55,-226,-1413,-276,125,-207
"69","58","        Grocery and related products wholesalers","I42240",154,-153,-34,-116,-305,444,-1105,-747,-280,-242,-1403,-991,5,-971,-1345,-493,-323,-1202
"70","59","        Farm product raw material wholesalers","I42250",662,1623,1129,-622,130,-1005,-841,1331,378,-3134,-4583,667,1135,-6095,-7717,-2924,5643,2455
"71","60","        Chemical and allied products wholesalers","I42260",32,149,-65,-273,193,-170,-190,-838,-793,-235,-708,-554,264,-446,-685,10,-122,-198
"72","61","        Petroleum and petroleum products wholesalers","I42270",610,1132,-1546,-1209,1492,-1102,-730,-1336,-2822,-486,-3593,2039,-2236,-3756,-3600,366,331,4446
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-51,-120,-52,-200,-90,-214,-19,-95,-111,-60,-109,-272,-192,-58,-173,-178,-43,-64
"74","63","        Miscellaneous nondurable goods wholesalers","I42290",-156,39,-742,-583,-728,207,-172,-439,-289,-382,-1455,-2441,920,-967,-1536,-668,139,-456
"75","64","    Nonmerchant wholesale industries","I42N0",1333,1261,-270,-1520,486,-1246,-1416,-4225,-3980,-4441,-1786,1230,-3253,-1593,-5730,-150,-867,691
"76","65","      Durable goods industries","I42ND0",1178,738,170,-281,118,281,55,-1898,-1762,2085,-245,-698,1074,-340,-1205,-194,-244,-316
"77","66","      Nondurable goods industries","I42NN0",155,523,-440,-1239,368,-1527,-1471,-2327,-2218,-6526,-1541,1928,-4327,-1253,-4525,44,-623,1007
"78","67","Retail trade industries","I440",3877,2389,-3003,-2101,2084,4854,1100,-5970,-5757,-4952,-7525,-8635,-1867,-7569,-16507,-6861,-448,-832
"79","68","  Motor vehicle and parts dealers","I4410",899,343,-1028,-1066,458,1410,2037,-1672,-1366,-1614,-730,-855,115,-1697,-2804,-1358,444,740
"80","69","  Furniture, furnishings, electronics, and appliance stores","I44230",1384,1103,425,410,928,815,664,444,651,496,283,-327,287,556,242,55,290,107
"81","70","  Building material and garden equipment and supplies dealers","I4440",-80,41,-127,-119,-28,284,-394,-1923,-1245,-1661,-1002,-2904,823,-399,-1337,-695,-331,-511
"82","71","  Food and beverage stores","I4450",126,-16,-335,-49,-707,1180,-787,-607,-497,-3,-654,-1231,-202,-985,-1651,-781,-320,-806
