"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"11","3","Less: Income payments to the rest of the world","A655RC1",4.8,5.4,6.1,6.4,6.6,6.5,6.4,6.2,5.9,6.1,6.7,7,7,7.6,7.8,8.5,9.6,10.8,11.4,11.9,12.6,13.9,15.2,15.5,15.5,14.9,15.1,14.6,15.6,15.6,15.4,15.4,15,16.2,17.2,19.2,20.4,23.8,25.3,29.1,31.9,34.7,37.3,41.6,45.6,43.8,40.5,49.8,54.3,59.7,63.2,59.1,62.3,66.3,66.4,62.9,59.8,62.1,67.4,70,77.8,85.7,89.9,88.9,86.9,86.7,87.5,88.1,94.3,96.6,91,95.5,98,103.2,108.1,113.8,120.5,123.7,133.3,140.4,149,158.1,154.4,150.1,154.2,152.9,157.6,151.9,147.3,139.4,136.4,123.9,122.1,125,119.7,117.1,113.9,122.9,120.4,137.2,137.1,152.4,168.8,184.4,190.6,198.3,210.2,205.2,202.4,209.3,219,227.8,246.2,251.5,262.3,263.8,263.7,269.9,271.7,268.8,273.1,283.6,306,314.4,332.6,352.3,350.3,347.5,320.9,288.3,283.4,201.5,248.5,281.4,283.4,255.5,284,281.6,293.5,296.9,312.2,353.4,364.5,419.2,435.7,462.4,482.8,552,586.5,649.2,687.6,703.3,734.4,778.5,763.6,723.8,725.8,715.1,674.1,624.6,507.5,497.9,475.4,510.6,493,506.7,520.8,535.7,537,560.1,555.8,531.1,558.5,555,567.8,574.4,584.1,578.6,569.3,571.2,581.2,593.3,597.8,592.3,589.5,614.7
"12","4","Equals: Gross national product","A001RC1",1001.8,1017.5,1038,1046.8,1059.8,1076.7,1095,1097.5,1145.2,1167.3,1187.6,1201.3,1242,1278.2,1302.8,1341,1391.4,1429.2,1450.7,1493.4,1511.7,1550.6,1578.7,1616.3,1630.9,1668.1,1726.8,1781.8,1840.3,1873.6,1907.6,1956.3,2013.3,2080.9,2143.3,2187.5,2230.8,2355.3,2419.8,2506.8,2557.2,2625.4,2706.5,2767.2,2834.5,2835.7,2894.5,3022.1,3163.2,3197.3,3293.9,3321.2,3309.8,3372.2,3402.1,3441.9,3514.4,3620.6,3730.1,3835.8,3949.8,4052.5,4124.7,4180.8,4262.7,4330,4417.1,4478.7,4538.5,4570.7,4637.8,4681.4,4750.6,4839.6,4918.3,5042.4,5115.6,5230.5,5319.6,5435.4,5549.7,5650.1,5735.9,5794.2,5920.4,6006.3,6056.6,6073.8,6094.3,6172.2,6243.5,6312.5,6413.5,6524.4,6615.8,6727.9,6786.2,6861.1,6941.2,7054.3,7164.5,7293.6,7374.4,7497.9,7575.9,7638.4,7726.2,7830.8,7931.3,8091.5,8185.8,8319.4,8426,8583.4,8715.6,8805.5,8915.9,9018.1,9156.9,9338.7,9469.2,9584.4,9736.8,9960.6,10061.8,10312.2,10386.7,10526.4,10548.6,10688.1,10666.3,10791.5,10885.6,10967.3,11083.9,11167.7,11280.2,11434.5,11689.1,11907.4,12097.3,12265.3,12462.4,12631.2,12916.6,13065.8,13307.8,13454.9,13724.3,13870.2,13965.6,14133.9,14301.9,14512.9,14717.8,14880.3,14848.7,14997.5,15045.2,14671,14512.3,14465.1,14563.6,14738.1,14884.7,15093.9,15257.4,15445.4,15466.5,15692,15842.6,16057.1,16225.1,16353.3,16465,16528,16661.7,16774,16991.4,17226.9,17243.1,17527,17794,17880.6,17876.8,18144.3
"13","5","Less: Consumption of fixed capital","A262RC1",120.5,123.5,126.3,129.2,132.2,135.2,138.3,141.4,144.6,147.5,150.3,153.1,156.1,159,162.4,166,170.2,175.1,180.4,186.6,193.6,201.6,210.3,219.1,227.7,235,241.1,246.4,250.8,255.8,261.7,268.5,276.2,284.1,292.2,300.9,309.9,319.7,330,340.7,352.2,364.5,377.3,390.5,404.2,418.5,433.2,448.2,463.3,478.3,492.4,506.2,519.6,531.1,540,546.7,551.3,556.6,563.4,570.9,580,589.3,599,609.1,620.1,630.9,642.1,653.5,665,676.6,687.8,699.3,709.8,721.2,733.7,747.1,761.6,775.6,789.4,803,816.4,829.7,842.8,855.5,868.2,880.8,893.3,905,917.2,927.8,936.6,942.9,947.4,954.6,963,973.9,985.8,997.7,1009.3,1021.6,1033.2,1046.8,1062.4,1079.9,1099.5,1116.1,1131.3,1144.3,1156,1168.3,1182.3,1197.4,1214.2,1231.7,1248.5,1265.5,1281.9,1300.1,1319.3,1339.7,1360.2,1385.1,1412.8,1445.4,1481.2,1508.9,1528.1,1538.7,1570.8,1598.7,1616,1630.4,1640.2,1652.5,1669.3,1686.3,1702,1716.5,1735,1755.4,1783.3,1813.2,1846.1,1884.3,1922,1959.3,2000.9,2045.5,2082.2,2119.1,2152.8,2190,2227.4,2253.7,2276.5,2299.8,2327.7,2353,2379.7,2393,2385.6,2367,2355.2,2365.8,2369.8,2374.9,2382.5,2399.1,2419.4,2442.9,2462.6,2477.7,2501.2,2524.4,2546.5,2564.7,2589.7,2618.3,2645.7,2677.6,2708.3,2732.8,2761.5,2784.2,2792.7,2804.3
"14","6","  Private","A024RC1",86.1,88.3,90.6,92.8,94.9,97.1,99.4,101.7,104.1,106.5,108.8,111.1,113.4,116,118.8,121.8,125.2,129,133.4,138.3,143.8,149.7,156.1,163,170.3,176.6,182,186.3,189.6,193.7,198.6,204.2,210.7,217.5,224.5,231.8,239.4,247.5,256.2,265.4,275.2,285.3,295.8,306.6,317.7,329,340.7,352.5,364.7,376.4,387.8,398.8,409.4,418,424.7,429.5,432.3,436,440.6,446.2,452.6,459.5,467,474.9,483.4,492,500.7,509.6,518.6,527.4,536,544.3,552.3,561.2,570.7,581,592.1,603,613.8,624.4,634.9,645.1,655.2,665.1,674.8,684.4,693.8,703,712.1,719.9,726.2,731.2,734.8,740,746.7,755.1,765,774.9,784.9,795,805.1,816.9,830.2,845.1,861.7,876.6,890.1,902,912.3,923.9,936.9,951.1,966.6,982.2,997.9,1013.6,1029.5,1046,1063.2,1081,1099.5,1121.5,1146.9,1175.8,1208.2,1232.5,1248.7,1256.8,1287,1313.2,1328.9,1341.6,1349.3,1359.6,1374.1,1389,1401.6,1413.2,1428.6,1446,1470.1,1494.4,1520.7,1552,1584.9,1616,1650.8,1689.5,1721.4,1751.1,1779,1808.6,1837.5,1857.5,1874,1891,1911.7,1930.3,1949.6,1955.9,1944.4,1924.8,1912.6,1920.7,1919.7,1918.9,1921.9,1933.6,1947.8,1965.5,1979.8,1991.1,2010.2,2029.1,2047.9,2064.7,2087.6,2113.4,2138.4,2167.1,2195.2,2217.3,2243.1,2264,2271.9,2284.1
"15","7","    Domestic business","W276RC1",71.4,73.3,75.1,77,78.9,80.8,82.7,84.7,86.6,88.5,90.4,92.2,94,96,98.1,100.5,103.1,106.2,109.7,113.7,118.2,123.2,128.6,134.5,140.8,146.1,150.6,154.1,156.7,160,163.8,168.3,173.4,178.7,184.2,189.8,195.6,201.9,208.7,216,223.8,232,240.4,249.2,258.2,267.7,277.5,287.7,298.3,308.6,318.6,328.4,337.8,345.5,351.4,355.4,357.6,360.6,364.2,368.6,373.7,379.3,385.5,392.2,399.4,406.7,413.9,421.1,428.2,435,441.6,447.8,453.6,460.3,467.8,476.1,485.3,494.2,502.9,511.4,519.6,527.8,535.9,544,552,559.9,567.8,575.7,583.4,589.9,595,598.8,601.2,604.9,609.7,615.8,623,630.4,637.9,645.6,653.4,662.8,673.7,686.2,700.2,712.8,724.1,734,742.6,752.3,763.2,775.3,788.4,801.5,814.5,827.3,840.1,853.3,867,881.2,895.8,913.3,933.7,957.1,983.5,1003.2,1016.4,1023,1045.8,1065.1,1074.9,1084.3,1089.8,1095.7,1105.8,1114.2,1119.3,1126.2,1135.7,1145.2,1160.6,1176,1192.5,1214.5,1238.7,1260.7,1282.7,1310.7,1334.1,1357.1,1379.6,1404.3,1427.7,1444.9,1458.6,1473.8,1494.4,1513.6,1535.6,1545.6,1537.8,1521.8,1512.2,1517.8,1517.4,1519.4,1522.7,1532.7,1548.8,1567.5,1582.2,1592.8,1610.9,1627.2,1641.6,1653.9,1670.4,1690.2,1708.3,1728.7,1747.2,1766.4,1785.7,1801.3,1807.4,1818
"16","8","      Capital consumption allowances","Y0000C1",77.1,78.9,80.6,82.2,83.7,85.1,86.6,88,88.9,91.1,93.4,95.9,98.6,101.2,103.6,105.9,108,110.4,113.1,116,119.2,122.4,125.5,128.7,131.8,134.7,137.4,139.8,142,145.1,148.9,153.5,159,164.3,169.7,175,180.2,186,192.3,199,206.4,213.1,219.5,225.5,230.6,239,250,263.7,280.9,295.5,308.5,319.7,328.4,338.1,348,358.1,369,379.9,391,402.5,414,427.3,442.2,458.8,476.8,490.8,500.5,505.8,507.5,509.7,513.1,517.9,522.9,529.4,536.3,543.7,552.1,559.9,567.7,575.1,583.3,588.6,592.2,594.1,593,594.2,596.5,600.1,605.3,609.8,613.8,617.4,620.6,625,630.6,637.4,645.3,654,663.2,673.2,683.8,695.1,707.3,720.3,734.1,747.6,760.6,773.3,785.6,799.6,815.3,832.7,851.7,869.4,885.9,901.1,915.1,931.2,949.5,969.8,992.2,1013.8,1034.6,1054.6,1073.9,1090.5,1104.3,1115.5,1140.1,1158.4,1189.1,1232.8,1282.7,1285.6,1286.6,1284.6,1269.1,1306.7,1319.6,1326.3,1322.5,1330.9,1339.5,1348.5,1158.4,1168.1,1179.3,1191,1230.1,1243.6,1256.7,1269.7,1304.4,1319.7,1337.4,1358.5,1559.3,1580.2,1595.7,1603.5,1562,1558.7,1556.5,1557,1533.8,1531.8,1598.9,1735.3,1795.2,1811.6,1831.7,1855.2,1613.8,1638,1664.2,1692.9,1696.8,1725.2,1748.9,1769.2,1787.6,1804.9,1824.5,1845.3,1560.1,1579.4
"17","9","      Less: Capital consumption adjustment","Y0004C1",5.7,5.6,5.5,5.2,4.8,4.3,3.9,3.4,2.3,2.6,3.1,3.7,4.7,5.2,5.5,5.4,4.9,4.3,3.4,2.3,1,-0.8,-3.1,-5.8,-9,-11.5,-13.2,-14.3,-14.7,-14.9,-14.9,-14.8,-14.5,-14.4,-14.5,-14.8,-15.3,-15.9,-16.4,-17,-17.5,-18.9,-20.9,-23.6,-27.6,-28.7,-27.5,-24,-17.4,-13.1,-10.1,-8.7,-9.5,-7.4,-3.4,2.7,11.4,19.3,26.8,33.9,40.3,48,56.8,66.6,77.4,84.1,86.6,84.8,79.3,74.6,71.6,70.1,69.2,69.1,68.5,67.6,66.8,65.8,64.8,63.8,63.6,60.8,56.3,50.1,41,34.3,28.7,24.4,21.9,19.9,18.9,18.7,19.4,20.1,20.9,21.6,22.3,23.6,25.3,27.5,30.3,32.3,33.6,34.2,34,34.8,36.5,39.3,43,47.3,52.1,57.4,63.3,67.9,71.4,73.8,75,77.9,82.5,88.7,96.5,100.5,100.9,97.5,90.5,87.3,88,92.5,94.3,93.4,114.2,148.5,193,189.8,180.7,170.3,149.9,180.5,184,181.1,161.9,154.8,147,134,-80.3,-92.6,-103.4,-119.7,-104,-113.5,-123,-134.6,-123.3,-125.2,-121.2,-115.4,64.9,66.5,60.1,57.9,24.3,36.9,44.3,39.2,16.4,12.4,76.2,202.6,246.4,244.1,249.4,262.5,2.9,10.8,22.6,39.1,26.4,34.9,40.5,40.5,40.4,38.5,38.8,44,-247.3,-238.6
"18","10","    Households and institutions","W279RC1",14.7,15.1,15.4,15.7,16,16.3,16.6,17,17.5,18,18.5,18.9,19.4,20,20.6,21.3,22.1,22.9,23.7,24.6,25.6,26.5,27.5,28.5,29.5,30.5,31.4,32.1,32.8,33.7,34.8,36,37.3,38.8,40.3,42,43.8,45.6,47.5,49.4,51.4,53.4,55.4,57.4,59.4,61.4,63.2,64.8,66.4,67.9,69.2,70.4,71.5,72.5,73.4,74.1,74.7,75.4,76.4,77.6,78.9,80.3,81.5,82.8,83.9,85.3,86.8,88.5,90.4,92.4,94.4,96.5,98.7,100.8,102.9,104.9,106.8,108.8,110.9,113,115.2,117.3,119.3,121.1,122.8,124.4,125.9,127.4,128.7,130,131.2,132.4,133.6,135.1,137,139.3,142,144.5,147,149.4,151.7,154,156.5,158.9,161.5,163.8,166,167.9,169.7,171.6,173.6,175.8,178.2,180.7,183.4,186.3,189.4,192.7,196.2,199.9,203.7,208.2,213.2,218.7,224.7,229.3,232.3,233.9,241.2,248.1,254.1,257.3,259.6,263.9,268.2,274.8,282.3,287,292.9,300.8,309.5,318.4,328.1,337.5,346.2,355.3,368.1,378.7,387.2,394,399.3,404.3,409.8,412.6,415.4,417.2,417.3,416.7,414,410.2,406.7,403,400.5,402.9,402.3,399.5,399.3,400.9,399,398,397.6,398.4,399.4,401.9,406.3,410.8,417.2,423.1,430.1,438.4,448,450.9,457.4,462.8,464.5,466.1
"19","11","  Government","A264RC1",34.4,35.1,35.7,36.5,37.3,38.1,38.9,39.7,40.5,41,41.5,41.9,42.7,43.1,43.6,44.2,45.1,46.1,47,48.2,49.8,51.9,54.2,56.1,57.4,58.3,59.1,60.1,61.2,62.1,63.2,64.3,65.5,66.6,67.7,69.1,70.6,72.2,73.8,75.2,77,79.1,81.5,84,86.5,89.4,92.5,95.6,98.6,101.8,104.6,107.4,110.2,113.1,115.3,117.2,119,120.6,122.7,124.7,127.4,129.7,132,134.2,136.7,138.9,141.4,143.9,146.3,149.2,151.9,155,157.5,160.1,163,166,169.5,172.6,175.6,178.6,181.5,184.6,187.6,190.4,193.4,196.4,199.5,202,205.1,207.9,210.4,211.7,212.6,214.6,216.3,218.8,220.8,222.8,224.4,226.6,228,229.9,232.2,234.8,237.9,239.4,241.2,242.3,243.7,244.4,245.5,246.3,247.7,249.5,250.6,251.8,252.4,254.1,256.1,258.6,260.7,263.6,265.9,269.6,273,276.4,279.4,281.9,283.8,285.6,287,288.8,290.8,292.9,295.2,297.3,300.4,303.2,306.4,309.4,313.2,318.7,325.4,332.3,337.1,343.3,350.1,356.1,360.9,368,373.8,381.4,389.9,396.2,402.5,408.9,416,422.7,430.1,437.2,441.2,442.1,442.5,445.1,450.2,456,460.5,465.5,471.6,477.4,482.7,486.6,491,495.3,498.6,500,502.1,505,507.3,510.5,513.1,515.5,518.4,520.2,520.8,520.3
"20","12","    General government","A265RC1",32.3,33,33.5,34.2,34.9,35.7,36.4,37.2,37.8,38.3,38.7,39,39.7,40,40.5,41,41.7,42.6,43.4,44.6,46,47.8,49.8,51.4,52.5,53.3,54,54.9,55.9,56.7,57.6,58.6,59.7,60.7,61.6,62.9,64.2,65.6,67,68.3,69.8,71.7,73.8,75.9,78.2,80.8,83.6,86.4,89.1,92,94.4,97.1,99.7,102.3,104.3,106,107.7,109.1,111.2,113,115.6,117.6,119.7,121.7,124,126.1,128.5,130.7,132.9,135.5,138,140.9,143.2,145.6,148.2,151.1,154.3,157.2,159.8,162.6,165.3,168,170.7,173.3,176.1,178.7,181.4,183.8,186.6,189.2,191.4,192.6,193.3,195,196.3,198.5,200.1,201.8,203.1,205,206.1,207.7,209.7,212,214.7,216,217.4,218.2,219.4,219.9,220.7,221.3,222.7,224.3,225.2,226.1,226.5,227.9,229.6,231.7,233.3,235.8,237.7,240.9,243.8,246.6,249.2,251.3,252.8,254.3,255.5,256.9,258.5,260.2,262.1,263.9,266.4,268.9,271.6,274.1,277.3,281.8,287.4,293.1,297.4,302.7,308.5,313.8,318,323.9,329,335.5,343.2,348.7,354.2,359.7,366.1,372.2,378.8,385.1,388.8,389.9,390.1,392.2,396.9,402.1,405.8,410.2,415.4,420.4,424.8,427.9,431.8,435.4,438.2,439.2,440.8,443.1,445,447.7,449.8,451.6,453.8,455.2,455.5,454.9
"21","13","    Government enterprises","A266RC1",2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.7,2.8,2.9,3,3.1,3.2,3.2,3.3,3.5,3.6,3.7,3.9,4.1,4.4,4.7,4.9,5,5.1,5.3,5.3,5.5,5.6,5.7,5.8,5.9,6.1,6.2,6.3,6.6,6.8,7,7.2,7.4,7.7,8,8.3,8.6,8.9,9.3,9.6,9.8,10.1,10.3,10.5,10.8,11,11.2,11.3,11.4,11.6,11.7,11.8,12.1,12.3,12.5,12.7,12.8,13,13.2,13.4,13.7,13.9,14.1,14.3,14.5,14.7,14.9,15.2,15.5,15.8,16,16.3,16.6,16.9,17.1,17.4,17.7,18.1,18.3,18.5,18.7,19,19.1,19.3,19.6,19.9,20.3,20.7,21,21.2,21.6,22,22.3,22.5,22.8,23.1,23.4,23.8,24.1,24.3,24.5,24.7,25,25,25.2,25.4,25.7,25.9,26.2,26.5,27,27.4,27.8,28.2,28.7,29.2,29.8,30.2,30.7,31,31.3,31.6,31.9,32.3,32.7,33.1,33.4,33.9,34.3,34.8,35.3,35.9,36.9,38.1,39.2,39.7,40.6,41.6,42.3,42.9,44.1,44.8,45.9,46.8,47.5,48.3,49.2,49.9,50.5,51.3,52.1,52.4,52.3,52.4,52.8,53.3,53.9,54.7,55.3,56.2,57,57.9,58.7,59.3,59.9,60.4,60.9,61.3,61.9,62.3,62.8,63.3,63.9,64.5,65,65.3,65.3
"22","14","Equals: Net national product","A027RC1",881.3,894.1,911.7,917.5,927.6,941.5,956.8,956.1,1000.7,1019.8,1037.3,1048.3,1085.9,1119.2,1140.4,1175,1221.1,1254.1,1270.3,1306.8,1318.1,1349,1368.3,1397.3,1403.3,1433.1,1485.7,1535.4,1589.5,1617.8,1645.9,1687.7,1737.1,1796.8,1851.1,1886.6,1920.9,2035.6,2089.8,2166.1,2205,2260.9,2329.1,2376.7,2430.3,2417.3,2461.3,2573.9,2699.9,2719,2801.5,2815,2790.3,2841.1,2862.1,2895.3,2963.1,3064,3166.7,3264.9,3369.8,3463.3,3525.8,3571.7,3642.6,3699.1,3774.9,3825.2,3873.6,3894.1,3950,3982.1,4040.8,4118.4,4184.6,4295.3,4354,4454.9,4530.3,4632.4,4733.3,4820.4,4893.1,4938.7,5052.1,5125.5,5163.4,5168.8,5177.1,5244.4,5306.9,5369.6,5466.1,5569.8,5652.7,5754,5800.4,5863.3,5931.9,6032.8,6131.4,6246.9,6312,6418,6476.4,6522.3,6594.9,6686.5,6775.3,6923.1,7003.5,7122,7211.8,7351.8,7467.1,7540,7634,7717.9,7837.6,7999,8109,8199.3,8324,8515.2,8580.6,8803.2,8858.6,8987.7,8977.8,9089.4,9050.4,9161.1,9245.5,9314.8,9414.6,9481.3,9578.2,9718,9954.1,10151.9,10314.1,10452.1,10616.3,10746.9,10994.6,11106.5,11306.9,11409.4,11642.1,11751.1,11812.8,11943.9,12074.4,12259.3,12441.3,12580.4,12521,12644.5,12665.5,12278,12126.7,12098.1,12208.5,12372.4,12514.8,12719,12874.9,13046.3,13047.1,13249.1,13380.1,13579.4,13723.8,13828.9,13918.5,13963.3,14072.1,14155.7,14345.7,14549.3,14534.8,14794.3,15032.5,15096.3,15084.1,15340
"23","15","Less: Statistical discrepancy","A030RC1",5.6,1.9,0.8,-1.9,3.7,5.7,6.5,5.5,13.3,12.5,11.8,0.3,4.6,17.6,9,-2.6,6.4,14.7,2.4,0.8,-0.1,10.1,3.4,16.2,15.3,14.4,8.7,14.6,18.2,20.9,17,25.9,31.6,20.9,18.3,6.3,0.5,21.3,29.5,41.3,23.9,41.3,58.4,55.5,63.7,59.3,35.6,17.1,57.3,34.8,27.9,26.9,-1.7,3.1,4.1,21.6,28.6,49.7,72.2,66.1,38.5,45,41.1,30,35.2,43.6,58.7,67.5,64.5,73.7,90.1,78.7,65.6,44.9,17.3,34.4,2.4,10.4,-5.8,-8.8,10.2,65.1,86.5,94.9,99.9,90.7,98.6,76.1,56.2,88,102.2,107.1,73.7,93.2,136.5,140.2,180.5,140.6,163.5,124.7,157.2,145.5,121.8,122.8,114.4,98.2,71.6,78.1,45.5,65.5,64.9,50.4,19.3,47.5,14.2,-31.8,-39.2,-81.1,-92.6,-27.7,-69.6,-50.8,-19.5,-10.1,-185.6,-53.1,-118.3,-41,-193.7,-119.4,-115.2,-31.7,-72.1,-79.7,-40.9,-98.4,-59,-60,21.1,43.4,21.8,-14.4,-43,1.3,13,-12,-17.5,-125.3,-222.1,-203.9,-248.7,-194.4,-151.4,-63.5,113.3,171.6,46.5,129.6,124.2,97.3,117.3,96.2,74.2,13.6,57.8,98.2,6.1,34.8,-44.1,-6.8,-74.7,-27.7,-218.7,-168.3,-143.8,-282.2,-185.5,-260.3,-155.1,-109.6,-175.3,-187,-224,-261.8,-252.3,-114.4
"24","16","Equals: National income","A032RC1",875.7,892.1,910.8,919.4,923.9,935.8,950.3,950.6,987.4,1007.3,1025.5,1047.9,1081.2,1101.7,1131.4,1177.6,1214.7,1239.4,1267.8,1306,1318.2,1338.9,1364.9,1381.1,1388,1418.8,1477,1520.8,1571.3,1596.9,1628.9,1661.9,1705.6,1776,1832.8,1880.3,1920.3,2014.3,2060.3,2124.8,2181.1,2219.6,2270.7,2321.2,2366.6,2358,2425.7,2556.8,2642.6,2684.2,2773.6,2788.1,2791.9,2838.1,2858,2873.7,2934.4,3014.3,3094.5,3198.8,3331.3,3418.3,3484.7,3541.8,3607.4,3655.4,3716.2,3757.7,3809.1,3820.4,3859.9,3903.4,3975.2,4073.4,4167.3,4260.9,4351.7,4444.5,4536.1,4641.2,4723.2,4755.2,4806.5,4843.8,4952.2,5034.8,5064.7,5092.6,5120.9,5156.4,5204.7,5262.5,5392.4,5476.6,5516.2,5613.8,5619.9,5722.7,5768.5,5908.1,5974.2,6101.4,6190.2,6295.2,6362,6424.1,6523.3,6608.4,6729.8,6857.6,6938.5,7071.6,7192.4,7304.3,7453,7571.8,7673.1,7799,7930.2,8026.8,8178.6,8250.1,8343.6,8525.4,8766.2,8856.3,8976.8,9028.7,9171.5,9208.8,9165.5,9192.7,9317.6,9394.5,9455.5,9579.7,9637.2,9778.1,9933,10108.5,10292.3,10466.5,10659.3,10745.7,10981.6,11118.5,11324.4,11534.7,11864.2,11955,12061.5,12138.2,12225.8,12322.8,12328.1,12408.8,12474.5,12514.9,12541.2,12180.7,12009.4,12002,12134.2,12358.8,12457,12620.8,12868.8,13011.5,13091.2,13255.9,13454.8,13607.2,13942.5,13997.2,14062.3,14245.5,14257.6,14416,14500.8,14658.9,14710.1,14981.3,15256.5,15358.2,15336.4,15454.3
"25",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",103.5,100.3,97.4,92.4,84.7,88.5,88.4,83.5,96.6,98.7,101.4,105.8,111.5,113.4,118.2,125.7,133.5,131.3,133,135.8,130.3,128.9,124.3,119.3,117.8,128.9,149.8,159,175.1,173.2,174.7,174.3,184.1,204.9,219.6,214.5,209.9,239.7,246.2,258.4,249.7,252.1,250.1,244,237.5,207,214.6,235.1,244.4,240.8,257.8,246.9,221.8,236.2,233.7,227.7,244.6,274.7,291.2,308.6,336.6,338.2,333.6,343.1,347.9,351.5,368.9,349.7,340.7,326.6,315.6,314.7,325.9,362.9,386.4,388.8,394.5,409.1,415.7,440.2,423.9,415.9,416.5,400.7,413.5,433.4,407.1,414.6,454,451.5,449.4,450.5,476.5,477.8,463.2,483.5,481.3,509.4,523.6,573.7,581.6,604.5,638.5,663.1,664.7,689.2,723.2,735,768.9,781.4,786.6,807.3,835.3,857.7,892.6,877.5,808.5,805.2,813.2,789.6,842.2,835.6,819.2,823.9,803.3,792.8,775.8,753,743.6,774,742.3,756.2,850.7,881,910.1,986.8,988.2,1028.9,1076.4,1132.1,1238.7,1266.8,1325.7,1302.2,1427.8,1446,1474.3,1562.9,1627.4,1649.2,1693.5,1615.9,1530.9,1596.9,1518.1,1470,1383.4,1367.6,1371.3,1017.9,1259,1301,1463.3,1564.7,1658.5,1666.4,1814,1846.7,1677.4,1790,1826.6,1972.5,2016,1993.6,1999,1984,1997.3,2045.4,2042.1,2064.7,1924.7,2070.5,2161,2135.5,2012.5,2083
"27","18","  Taxes on production and imports less subsidies \1\","W254RC1",76.2,78.4,80.5,82.1,83.7,85.7,87.8,89.3,92.9,94.1,97.2,99.1,98.5,100.6,101.7,104.4,108.7,110.5,113.7,115.1,117.3,121.2,123.9,124.1,124.6,128.7,133.6,136.2,136.5,140,142.6,145.9,149,152.2,155.1,154,158.2,164.7,161.4,163.5,168.1,169.7,172.8,175.7,180.3,187.3,194.2,200.3,220.3,224.8,226.3,225.3,223.4,224.7,228.7,226.9,230.8,239.7,245.3,252.2,260.4,266.8,271.3,276.4,279.9,284.7,290.5,291.9,294.4,295.3,300.7,303.5,307.8,313.9,321.1,326.3,334.7,342.7,348.4,354,363.1,370,376.7,375.9,392.2,392.6,399.9,407.3,417.1,424.4,433.7,443.2,447.7,451.8,455.5,458.1,454.3,460.4,467.3,483.8,498.3,511.8,518.2,522.5,520.9,519.1,524,528.4,535.3,542.3,546.4,558.1,561.3,576.6,583.1,590.2,595.3,600.5,606.2,610.4,615,622,632.6,643.9,653.5,661.8,665.5,670,668.8,662.1,654.2,690.7,702.3,716.8,730.5,735.3,743.6,743.6,767.8,780.7,798.6,811.8,823.4,836.3,851.9,868.8,882.5,891.3,920,936.7,946.9,958.3,972.5,973.8,982.8,990.8,986.2,996.3,997.2,977.7,958.9,963.9,963.1,985.3,987.3,998.7,1006.9,1012.1,1029.1,1044.3,1043,1053.8,1070.7,1071.3,1070.6,1083.5,1109.4,1111.6,1123.7,1129.8,1137.9,1152.3,1163.5,1169.5,1169.2,1175.7
