"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:36:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private fixed investment","B007RG3",15.363,15.942,16.34,16.676,16.842,17.21,17.731,17.921,17.892,17.866,17.672,17.607,17.605,17.889,18.39,18.735,19.353,19.645,19.799,20.002,20.095,20.184,20.219,20.178,20.196,20.307,20.465,20.416,20.433,20.512,20.513,20.533,20.552,20.69,20.94,21.209,21.643,21.877,22.239,22.404,22.618,22.72,22.873,22.968,22.785,22.886,22.921,22.964,22.996,23.095,23.167,23.209,23.241,23.282,23.277,23.243,23.198,23.216,23.208,23.211,23.228,23.249,23.242,23.22,23.224,23.19,23.119,23.181,23.114,23.314,23.347,23.581,23.596,23.642,23.691,23.954,23.852,24.244,24.246,24.531,24.628,24.748,24.906,25.204,25.472,25.714,25.869,26.424,26.728,27.016,27.263,27.618
"10","2","Nonresidential","B008RG3",18.876,19.449,19.963,20.326,20.435,21.005,21.723,22.015,21.871,21.835,21.749,21.623,21.649,21.859,22.321,23.057,23.818,24.223,24.443,24.705,24.816,24.872,24.809,24.815,24.84,25.032,25.215,25.178,25.282,25.395,25.236,25.283,25.247,25.391,25.78,26.292,27,27.232,27.884,28.243,28.671,28.825,29.019,29.236,28.963,29.135,29.201,29.27,29.309,29.492,29.637,29.707,29.723,29.744,29.731,29.652,29.612,29.592,29.573,29.59,29.597,29.638,29.632,29.608,29.611,29.603,29.637,29.655,29.666,29.811,29.829,29.97,30.013,30.086,30.18,30.325,30.305,30.585,30.654,30.915,31.056,31.225,31.434,31.738,31.995,32.306,32.569,33.053,33.324,33.639,34.01,34.429
"11","3","  Structures","B009RG3",6.211,6.291,6.511,6.73,6.909,7.099,7.282,7.35,7.225,7.125,7.088,7.102,7.088,7.066,7.217,7.524,7.827,8.019,8.151,8.227,8.296,8.268,8.25,8.268,8.293,8.41,8.519,8.506,8.389,8.304,8.307,8.319,8.342,8.409,8.523,8.713,9.099,9.07,9.316,9.409,9.51,9.629,9.681,9.657,9.395,9.454,9.491,9.52,9.456,9.51,9.546,9.554,9.587,9.529,9.484,9.42,9.42,9.438,9.448,9.482,9.496,9.527,9.517,9.546,9.575,9.593,9.618,9.626,9.612,9.723,9.736,9.889,9.907,9.979,10.004,10.201,10.177,10.4,10.413,10.546,10.589,10.647,10.721,10.87,11.024,11.163,11.253,11.537,11.701,11.894,12.058,12.288
"12","4","    Commercial and health care","W001RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.98,10.068,10.072,10.079,9.982,9.982,9.937,9.942,10.012,9.964,9.922,9.834,9.824,9.866,9.905,9.954,9.944,9.986,9.982,10.062,10.106,10.152,10.189,10.232,10.187,10.36,10.363,10.576,10.571,10.654,10.653,10.906,10.811,11.106,11.104,11.271,11.316,11.361,11.404,11.583,11.745,11.874,11.958,12.349,12.563,12.788,12.965,13.216
"13","5","    Manufacturing","B307RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.258,10.345,10.343,10.341,10.251,10.251,10.206,10.208,10.296,10.25,10.206,10.12,10.118,10.164,10.207,10.25,10.248,10.292,10.293,10.382,10.427,10.472,10.516,10.557,10.513,10.693,10.691,10.914,10.919,11.011,11.014,11.283,11.195,11.511,11.514,11.698,11.744,11.791,11.832,12.013,12.182,12.311,12.4,12.809,13.038,13.265,13.444,13.714
"14","6","    Power and communication","W003RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.065,13.033,13.189,13.301,13.266,13.37,13.565,13.54,13.55,13.489,13.51,13.495,13.514,13.504,13.45,13.451,13.404,13.387,13.303,13.245,13.315,13.355,13.442,13.409,13.406,13.362,13.423,13.491,13.607,13.678,13.762,13.92,14.014,14.095,14.071,14.136,14.25,14.392,14.612,14.773,14.937,15.193,15.341,15.482,15.637,15.808,16.022,16.357
"15","7","    Mining exploration, shafts, and wells \1\","E318RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,4.376,4.376,4.376,4.374,4.509,4.617,4.644,4.593,4.511,4.429,4.399,4.399,4.373,4.348,4.376,4.457,4.486,4.486,4.407,4.381,4.329,4.277,4.226,4.278,4.309,4.308,4.341,4.341,4.371,4.424,4.457,4.535,4.65,4.729,4.789,4.789,4.817,4.845,4.93,4.961,5.043,5.1,5.192,5.2,5.286,5.37,5.406
"16","8","    Other structures \2\","W004RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.945,11.074,11.096,11.126,11.02,11.009,10.964,10.984,11.066,11.025,10.977,10.888,10.888,10.928,10.967,11.004,11.013,11.055,11.069,11.171,11.205,11.24,11.282,11.314,11.278,11.454,11.469,11.677,11.69,11.776,11.786,12.042,11.99,12.265,12.279,12.465,12.503,12.558,12.628,12.787,13.035,13.165,13.252,13.658,13.871,14.149,14.339,14.624
"17","9","  Equipment","Y033RG3",31.625,32.963,33.703,34.015,33.829,34.823,36.269,36.926,36.872,37.092,36.969,36.559,36.673,37.292,38.07,39.174,40.411,40.923,41.112,41.605,41.744,41.992,41.836,41.786,41.72,41.903,42.09,42.009,42.673,43.336,42.814,42.914,42.589,42.79,43.566,44.468,45.277,46.012,47.132,47.89,48.804,48.829,49.214,49.955,49.888,50.187,50.237,50.325,50.687,50.999,51.254,51.374,51.287,51.543,51.629,51.578,51.438,51.286,51.144,51.048,51.023,51.024,51.039,50.86,50.816,50.716,50.693,50.662,50.686,50.727,50.704,50.66,50.745,50.715,50.886,50.692,50.642,50.795,50.942,51.319,51.609,51.893,52.236,52.618,52.815,53.276,53.719,54.265,54.456,54.738,55.226,55.707
"18","10","    Information processing equipment","Y034RG3",406.762,421.076,429.004,431.889,426.765,429.354,433.731,435.76,435.806,433.326,432.555,436.224,442.517,437.969,443.227,451.656,467.652,470.663,473.597,469.584,472.886,468.594,456.684,449.938,455.768,459.994,461.882,464.069,457.03,462.464,463.4,476.903,474.874,468.161,467.379,470.912,484.162,465.572,495.125,489.883,503.809,501.904,500.676,522.078,510.469,513.617,514.375,513.484,513.769,515.887,519.389,521.301,515.698,518.065,514.524,512.116,509.603,512.484,504.714,505.484,501.459,500.56,494.671,488.569,482.746,480.489,477.086,474.033,473.787,472.804,467.804,467.606,465.384,457.577,460.802,448.859,442.714,437.041,430.488,427.59,427.766,427.853,429.514,428.276,425.182,424.33,423.601,426.279,427.463,427.431,428.408,430.049
"19","11","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954527.701,789858.33,663915.595,615655.488,493975.843,682354.798,632322.362,565627.35,478664.631,517032.359,373545.839,384793.963,343007.054,354063.658,297608.508,249546.224,219008.323,209039.346,198716.231,190436.129,186458.623,180548.762,162695.024,153897.363,155346.088,138480.882,146624.8,124410.87,114319.594,102959.748,92213.923,86435.448,82835.134,80817.003,80623.013,77416.537,73128.759,69818.849,66285.116,65282.368,64287.951,62906.557,61191.213,60167.041
"20","12","      Other \3\","A937RG3",48.528,50.236,51.182,51.526,50.915,51.224,51.746,51.988,51.993,51.697,51.605,52.043,52.794,52.251,52.879,53.884,55.793,56.152,56.502,56.023,56.417,55.905,54.484,53.679,54.375,54.879,55.104,55.365,54.525,55.174,55.285,56.896,56.654,55.854,55.76,56.181,57.762,55.544,59.07,58.446,60.11,59.882,59.732,62.279,60.886,61.27,61.37,61.278,61.253,61.529,62.014,62.364,62.119,61.895,61.716,61.744,61.856,61.892,61.95,61.916,61.786,61.604,61.608,61.796,61.973,62.111,62.098,62.028,62.136,62.271,62.503,62.985,62.553,62.54,62.503,62.546,62.627,63.062,63.453,63.914,64.613,65.012,65.367,65.739,65.982,66.498,67.152,67.92,68.405,68.747,69.386,69.968
"21","13","    Industrial equipment","A680RG3",8.419,8.798,8.971,9.237,9.151,9.326,9.798,10.111,10.173,10.143,10.047,9.868,10.009,10.182,10.601,11.09,11.789,11.831,11.757,11.857,11.727,11.981,11.887,11.937,12.024,12.222,12.323,12.311,12.533,12.509,12.35,12.389,12.588,12.697,12.907,13.41,13.635,14.149,14.391,14.82,15.107,15.104,15.38,15.669,15.585,15.673,15.711,15.739,15.811,15.96,16.123,16.238,16.332,16.362,16.38,16.34,16.3,16.221,16.186,16.163,16.142,16.188,16.252,16.285,16.274,16.256,16.257,16.287,16.333,16.376,16.438,16.507,16.565,16.625,16.688,16.755,16.844,16.977,17.175,17.403,17.606,17.767,17.919,18.081,18.232,18.481,18.711,18.946,19.036,19.111,19.255,19.483
"22","14","    Transportation equipment","A681RG3",15.149,15.365,15.592,15.907,15.961,16.164,16.872,17.448,17.381,17.436,17.319,17.385,17.449,17.646,17.708,17.95,18.303,18.589,18.949,19.403,19.821,20.035,20.028,19.855,19.552,19.203,19.134,18.865,19.588,20.47,19.979,20.099,19.199,19.403,19.923,20.035,20.864,21.361,21.845,22.177,22.676,22.67,22.568,22.209,22.675,22.894,22.888,22.972,23.297,23.352,23.34,23.348,23.125,23.293,23.415,23.359,23.378,23.251,23.252,23.109,23.087,22.966,23.031,22.905,22.965,22.907,22.895,22.792,22.714,22.7,22.714,22.628,22.601,22.68,22.673,22.56,22.484,22.562,22.613,22.761,22.754,22.849,23.007,23.277,23.326,23.509,23.672,23.925,23.92,24.109,24.517,24.756
"23","15","    Other equipment \4\","A862RG3",10.364,11.164,11.575,11.303,11.202,11.945,12.45,12.399,12.322,12.574,12.639,12.24,12.121,12.53,12.89,13.361,13.541,13.805,13.77,13.918,13.888,13.762,13.859,13.942,13.897,14.085,14.215,14.334,14.346,14.449,14.39,14.186,14.273,14.291,14.549,14.892,14.745,14.873,15.114,15.295,15.449,15.521,15.744,16.234,16.08,16.114,16.106,16.128,16.235,16.356,16.431,16.401,16.454,16.559,16.622,16.711,16.624,16.557,16.597,16.594,16.705,16.778,16.8,16.785,16.835,16.832,16.897,16.976,17.022,17.06,17.068,16.999,17.12,17.138,17.221,17.293,17.359,17.509,17.628,17.846,18.002,18.118,18.223,18.37,18.523,18.746,18.987,19.168,19.316,19.463,19.586,19.74
"24","16","  Intellectual property products","Y001RG3",21.841,22.066,22.529,23.052,23.126,23.507,23.821,23.675,23.701,23.582,23.514,23.501,23.518,23.786,24.316,24.884,25.154,25.545,25.761,25.975,25.869,25.862,25.972,26.03,26.274,26.38,26.45,26.44,26.578,26.531,26.546,26.576,27.044,27.121,27.301,27.484,27.853,28.14,28.423,28.613,28.915,29.095,29.265,29.342,29.687,29.829,29.918,30.01,29.996,30.248,30.474,30.672,30.737,30.759,30.843,30.899,30.921,30.95,31.046,31.121,31.118,31.176,31.173,31.177,31.082,31.117,31.228,31.378,31.509,31.672,31.765,31.784,31.757,31.842,31.968,32.054,32.227,32.363,32.436,32.531,32.571,32.74,32.959,33.259,33.639,33.875,34.13,34.485,34.929,35.293,35.756,36.148
"25","17","    Software \5\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.81,155.199,154.662,153.539,150.265,147.511,145.397,143.844,143.989,144.099,144.232,144.287,141.084,139.651,137.823,135.901,134.807,133.4,132.746,132.491,133.839,134.384,134.906,134.679,132.627,131.739,130.445,129.309,127.873,127.228,126.441,125.865,125.731,125.411,124.978,124.874,125.096,125.134,125.493,125.929,126.114,125.991,126.705,127.383
"26","18","    Research and development \6\","Y006RG3",15.317,15.423,15.635,15.953,16.378,16.642,16.748,16.694,16.469,16.299,16.249,16.306,16.471,16.728,17.077,17.515,18.043,18.411,18.626,18.689,18.598,18.56,18.574,18.64,18.759,18.825,18.84,18.803,18.719,18.68,18.697,18.769,18.872,18.96,19.105,19.294,19.533,19.747,19.924,20.062,20.158,20.239,20.308,20.364,20.41,20.474,20.555,20.653,20.767,20.862,20.937,20.993,21.029,21.052,21.062,21.059,21.042,21.035,21.035,21.044,21.061,21.065,21.054,21.029,20.99,20.977,20.989,21.027,21.09,21.118,21.111,21.069,20.992,20.947,20.935,20.955,21.008,21.049,21.08,21.1,21.109,21.143,21.202,21.286,21.395,21.533,21.7,21.896,22.122,22.349,22.577,22.806
"27","19","    Entertainment, literary, and artistic originals","Y020RG3",11.545,11.707,12.047,12.371,12.076,12.284,12.56,12.44,12.651,12.648,12.61,12.553,12.45,12.535,12.833,13.099,12.931,13.051,13.103,13.305,13.264,13.297,13.43,13.43,13.632,13.7,13.784,13.817,14.147,14.129,14.13,14.078,14.624,14.626,14.7,14.719,14.938,15.068,15.253,15.345,15.699,15.868,16.038,16.076,16.575,16.709,16.725,16.721,16.517,16.779,17.033,17.279,17.344,17.361,17.521,17.643,17.71,17.773,17.936,18.051,18.044,18.161,18.197,18.277,18.187,18.306,18.511,18.742,18.849,19.12,19.318,19.457,19.618,19.922,20.262,20.45,20.778,21.017,21.147,21.346,21.419,21.759,22.171,22.708,23.37,23.611,23.814,24.189,24.744,25.115,25.708,26.107
"28","20","Residential","B011RG3",8.999,9.499,9.707,9.948,10.126,10.235,10.471,10.527,10.609,10.597,10.349,10.354,10.34,10.605,11.009,10.989,11.349,11.481,11.542,11.648,11.708,11.809,11.921,11.848,11.856,11.87,11.973,11.926,11.861,11.895,12.034,12.029,12.083,12.185,12.268,12.275,12.376,12.565,12.586,12.53,12.493,12.524,12.61,12.562,12.504,12.517,12.518,12.528,12.547,12.555,12.552,12.56,12.598,12.646,12.648,12.662,12.622,12.671,12.675,12.664,12.686,12.685,12.68,12.663,12.667,12.617,12.475,12.557,12.44,12.639,12.679,12.952,12.939,12.952,12.945,13.297,13.115,13.59,13.509,13.806,13.835,13.878,13.956,14.212,14.465,14.594,14.602,15.176,15.485,15.707,15.772,16.008
"29","21","  Structures","B012RG3",8.677,9.17,9.374,9.608,9.781,9.885,10.112,10.168,10.253,10.246,10.006,10.013,9.999,10.26,10.653,10.629,10.976,11.105,11.167,11.273,11.33,11.43,11.54,11.47,11.478,11.491,11.593,11.546,11.484,11.518,11.657,11.656,11.71,11.81,11.894,11.904,12.006,12.197,12.218,12.166,12.132,12.165,12.244,12.185,12.141,12.157,12.156,12.168,12.175,12.183,12.179,12.189,12.227,12.275,12.278,12.294,12.255,12.305,12.309,12.3,12.323,12.323,12.32,12.304,12.31,12.26,12.12,12.202,12.086,12.284,12.324,12.596,12.584,12.597,12.595,12.946,12.766,13.238,13.156,13.453,13.482,13.525,13.601,13.855,14.104,14.231,14.237,14.807,15.114,15.335,15.397,15.632
"30","22","    Permanent site","B943RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.608,11.608,11.609,11.609,11.609,11.609,11.609,11.608,11.648,11.696,11.697,11.706,11.649,11.699,11.699,11.71,11.747,11.746,11.746,11.746,11.745,11.695,11.511,11.592,11.456,11.687,11.703,12.037,12.009,12.046,12.005,12.459,12.209,12.763,12.631,12.974,12.948,13.012,13.068,13.373,13.584,13.724,13.671,14.342,14.54,14.686,14.684,14.891
"31","23","      Single family","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.073,12.073,12.074,12.074,12.074,12.074,12.074,12.074,12.123,12.173,12.173,12.174,12.123,12.174,12.173,12.173,12.223,12.223,12.223,12.223,12.224,12.173,11.974,12.074,11.924,12.173,12.173,12.523,12.473,12.523,12.473,12.972,12.722,13.321,13.171,13.521,13.471,13.52,13.57,13.87,14.119,14.269,14.219,14.918,15.117,15.266,15.266,15.517
"32","24","      Multifamily","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.426,10.426,10.428,10.427,10.427,10.427,10.427,10.426,10.427,10.475,10.474,10.521,10.427,10.474,10.474,10.522,10.521,10.521,10.521,10.522,10.521,10.474,10.333,10.38,10.286,10.474,10.521,10.803,10.803,10.803,10.803,11.179,10.99,11.46,11.366,11.648,11.601,11.649,11.695,12.025,12.165,12.306,12.259,12.869,13.057,13.198,13.198,13.339
"33","25","    Other structures \7\","A863RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.882,12.93,12.922,12.963,12.99,13.019,13.01,13.044,13.074,13.118,13.13,13.161,13.161,13.209,13.223,13.169,13.16,13.159,13.151,13.097,13.117,13.072,13.047,13.127,13.076,13.175,13.273,13.371,13.399,13.356,13.45,13.524,13.533,13.781,13.817,14.022,14.155,14.158,14.275,14.404,14.732,14.822,14.966,15.281,15.83,16.211,16.415,16.695
"34","26","  Equipment","B013RG3",55.498,56.02,56.65,57.751,58.244,59.397,60.631,60.442,59.475,58.115,56.833,56.255,56.12,56.47,57.756,59.329,61.487,61.68,61.443,61.027,61.272,61.309,61.428,60.996,60.921,61.01,61.264,61.126,60.854,60.537,59.967,58.936,58.724,58.826,58.294,57.357,56.634,55.941,55.814,55.029,54.37,53.935,55.18,57.869,54.764,54.319,54.583,54.335,56.667,56.872,56.801,56.706,56.514,56.329,56.053,55.655,55.411,55.312,55.041,54.73,54.484,54.158,53.648,53.385,53.062,53.048,52.999,52.888,52.701,52.485,52.389,52.251,52.08,51.742,51.018,50.581,50.53,50.528,50.627,50.587,50.498,50.539,50.698,50.938,51.287,51.592,51.863,52.275,52.542,52.789,53.052,53.315
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Private fixed investment in structures","A349RG3",7.611,7.895,8.112,8.341,8.521,8.667,8.879,8.944,8.929,8.876,8.73,8.738,8.721,8.863,9.154,9.265,9.593,9.753,9.853,9.945,10.008,10.047,10.097,10.068,10.084,10.149,10.256,10.226,10.134,10.11,10.186,10.192,10.233,10.318,10.415,10.51,10.753,10.837,10.975,10.998,11.033,11.112,11.178,11.138,10.976,11.017,11.036,11.056,11.029,11.057,11.072,11.082,11.119,11.117,11.097,11.073,11.053,11.087,11.094,11.106,11.125,11.14,11.134,11.14,11.157,11.138,11.073,11.122,11.052,11.212,11.24,11.457,11.459,11.502,11.514,11.792,11.692,12.041,12.01,12.221,12.26,12.313,12.39,12.593,12.797,12.934,12.985,13.416,13.654,13.864,13.982,14.22
