"","Table 7#25# Transactions of Defined Contribution Pension Plans","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1984 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/24/2015 3:04:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Current receipts","Y338RC1",82.6,102.2,120.5,135.8,142.1,164.2,177.7,191.1,204.3,215.4,227.7,248.4,274.7,299.7,317.6,348.1,370.1,375.7,379.5,375.9,407.7,448.5,509,566.6,602.4,575.1,587.8,604.9,638.7,674.8,723.5
"9","2","  Output \1\","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,5.1,5.7,6.2
"10","3","  Contributions","Y339RC1",65.4,81.4,97.2,108.8,112.4,128.4,137,146.4,158,168.4,176.8,193.1,214,234.7,250.8,278.7,297.6,304.5,310.9,311.8,338,370.1,416.9,459.1,484.8,464.1,478.1,494.7,522.5,547.8,582.5
