"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:36:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment","A007RA3",11.644,12.743,11.685,13.884,13.321,13.235,14.269,14.537,16.375,16.607,16.491,15.465,17.551,17.761,17.879,19.41,20.911,22.822,25.189,26.752,26.505,28.367,30.042
"9","2","Nonresidential","A008RA3",8.002,8.374,7.635,8.331,8.678,8.669,9.539,9.402,10.411,11.115,11.311,10.256,11.083,11.694,11.786,12.739,13.48,14.926,17.419,19.559,19.491,20.426,21.846
"10","3","  Structures","B009RA3",28.853,30.362,29.354,31.454,33.861,33.729,36.725,37.984,40.707,44.98,44.956,42.504,43.522,46.98,47.623,49.798,50.375,55.613,64.482,68.894,67.161,68.102,71.777
"11","4","    Commercial and health care","W001RA3",11.582,14.853,13.838,17.706,17.03,13.274,18.182,22.589,29.451,33.342,31.608,33.279,36.104,38.431,43.844,48.86,47.314,51.433,60.292,58.86,56.6,61.948,71.473
"12","5","    Manufacturing","B307RA3",40.068,29.537,21.127,23.219,40.812,43.599,41.689,39.001,42.698,56.099,59.52,41.015,36.578,49.578,48.499,48.987,49.177,59.108,81.729,101.582,89.354,86.048,90.479
"13","6","    Power and communication","W003RA3",24.65,29.506,31.04,30.887,30.982,31.273,34.396,31.426,29.919,34.957,36.295,34.912,33.471,33.778,31.641,31.836,33.983,36.985,40.915,46.653,51.051,56.74,56.733
"14","7","    Mining exploration, shafts, and wells \1\","E318RA3",37.712,46.296,46.865,55.621,58.469,65.054,71.081,78.609,84.56,81.824,77.235,72.214,74.139,69.592,70.872,74.339,69.772,74.759,73.847,69.98,66.897,67.298,70.139
"15","8","    Other structures \2\","W004RA3",40.762,40.767,41.275,40.751,39.86,40.064,41.544,43.761,43.851,43.405,43.422,45.43,50.16,55.698,54.434,55.555,58.773,64.449,72.471,75.196,73.595,65.007,64.485
"16","9","  Equipment","Y033RA3",7.286,7.668,6.714,7.409,7.625,7.407,8.08,7.628,8.67,8.899,9.134,7.802,8.73,9.064,8.876,9.89,10.659,12.004,14.187,16.379,16.215,17.204,18.627
"17","10","    Information processing equipment","Y034RA3",0.167,0.171,0.153,0.169,0.187,0.215,0.237,0.213,0.245,0.283,0.321,0.287,0.313,0.375,0.409,0.451,0.519,0.591,0.698,0.906,0.962,1.017,1.221
"18","11","      Computers and peripheral equipment \3\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.001,0.001,0.001,0.003,0.004,0.004,0.006
"19","12","      Other \4\","A937RA3",1.908,1.96,1.752,1.939,2.136,2.459,2.707,2.437,2.801,3.243,3.671,3.279,3.568,4.102,4.354,4.645,4.818,5.264,5.954,7.012,7.046,7.23,8.376
"20","13","    Industrial equipment","A680RA3",34.15,31.59,24.342,28.118,31.571,32.811,36.136,37.251,36.967,40.817,41.329,34.443,34.964,37.7,35.686,37.519,40.531,45.808,54.005,62.107,62.355,61.119,65.178
"21","14","    Transportation equipment","A681RA3",44.935,46.767,46.5,51.473,49.442,40.819,48.572,42.533,54.137,48.642,51.984,37.912,50.243,51.756,48.924,60.32,58.393,66.062,82.759,91.013,88.005,105.82,110.046
"22","15","    Other equipment \5\","A862RA3",22.183,27.072,22.702,23.993,24.11,24.364,23.813,22.421,26.298,27.135,25.669,26.037,27.964,25.677,25.416,27.117,31.524,34.916,38.792,43.621,41.206,41.718,44.537
"23","16","  Intellectual property products","Y001RA3",1.674,1.635,1.581,1.713,1.684,2.102,2.54,2.676,2.887,3.363,3.485,3.646,3.966,4.208,4.671,4.892,5.377,5.619,6.335,7.174,7.73,8.311,8.762
"24","17","    Software \6\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.034,0.045,0.062,0.126,0.157,0.201,0.31,0.364,0.409,0.551
"25","18","    Research and development \7\","Y006RA3",2.994,3.041,2.632,3.097,3.285,4.467,5.624,5.967,6.166,7.87,8.023,8.492,9.161,10.095,10.708,11.596,12.451,13.422,15.039,16.762,18.523,20.035,21.347
"26","19","    Entertainment, literary, and artistic originals","Y020RA3",12.73,11.886,12.94,12.889,11.52,12.595,14.128,14.688,17.083,16.752,17.955,18.353,20.29,18.888,22.798,21.86,23.51,22.263,24.793,27.014,26.81,28.058,26.456
"27","20","Residential","A011RA3",32.632,38.978,36.113,49.261,41.352,40.67,42.18,45.727,53.074,48.868,45.983,46.486,58.14,54.173,54.402,59.608,66.588,70.588,68.783,63.011,61.367,69.675,71.861
"28","21","  Structures","B012RA3",33.687,40.37,37.393,51.086,42.803,42.088,43.639,47.355,54.983,50.454,47.416,47.885,59.995,55.893,56.131,61.541,68.75,72.865,70.817,64.727,62.969,71.417,73.491
"29","22","    Permanent site","B943RA3",70.773,87.804,82.894,121.969,97.393,91.753,94.765,104.208,123.131,106.602,96.912,99.381,126.585,111.835,111.223,126.843,143.889,153.58,146.85,128.85,122.825,144.33,148.497
"30","23","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.249,131.28,116.066,109.982,117.309,125.259,137.435,134.294,119.596,117.209,128.856,122.344
"31","24","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.767,100.044,88.026,110.898,161.265,216.451,215.003,193.255,162.028,140.742,203.328,252.939
"32","25","    Other structures \8\","A863RA3",14.594,16.078,14.152,15.206,15.016,16.668,17.457,18.29,20.219,21.602,21.865,21.356,25.764,26.913,27.545,27.866,30.087,31.375,31.648,31.543,31.927,33.73,34.721
"33","26","  Equipment","B013RA3",6.409,6.65,6.235,7.854,7.265,7.225,7.6,7.827,8.911,9.861,9.887,10.503,12.076,11.332,11.366,12.043,13.432,14.397,16.087,16.456,16.874,20.122,22.949
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Private fixed investment in structures","A349RA3",30.517,34.747,32.718,40.982,37.592,37.154,39.295,41.82,47.072,46.584,45.004,44.118,50.816,50.286,50.701,54.489,58.465,62.99,66.036,64.955,63.254,68.027,70.782
"36","28","  Private fixed investment in new structures","W040RA3",33.143,38.604,36.514,45.996,42.094,41.417,43.842,46.513,52.203,52.112,50.503,49.63,56.619,56.068,56.64,60.704,64.747,69.797,73.058,71.986,69.881,74.895,77.954
"37","29","    Nonresidential structures \9\","A771RA3",27.35,29.687,29.074,31.337,33.897,33.748,36.753,38.017,40.187,45.251,45.069,42.597,43.851,47.407,48.232,50.625,51.211,56.397,64.908,69.054,67.1,68.032,71.776
"38","30","    Residential structures \10\","A756RA3",42.174,51.443,47.59,65.537,54.39,53.083,55.06,59.484,69.454,63.608,60.223,61.187,75.392,69.979,70.295,76.58,84.958,90.167,87.375,80.023,77.606,87.761,90.209
"39","31","  Private fixed investment in information processing equipment and software","B679RA3",0.125,0.129,0.115,0.127,0.14,0.162,0.178,0.16,0.184,0.213,0.241,0.216,0.235,0.289,0.317,0.352,0.417,0.478,0.568,0.748,0.802,0.854,1.039
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and recreational structures, net purchases of used structures, and brokers' commissions on the sale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Annual chain-type quantity indexes for computers and peripheral equipment: 1959, .0000041; 1960,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",".000051; 1961, .000093; 1962, .00017; 1963, .00056. Quarterly chain-type quantity indexes for computers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and peripheral equipment: 1959:1, .0000006; 1959:2, .0000003; 1959:3, .0000033; 1959:4, .0000123; 1960:1,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",".000035; 1960:2, .000040, 1960:3, .000054; 1960:4, .000073; 1961:1, .000073; 1961:2, .000077; 1961:3,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",".000110; 1961:4, .000111; 1962:1, .00013; 1962:2, .00013; 1962:3, .00018, 1962:4, .00027; 1963:1, .00040;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1963:2, .00053; 1963:3, .00063; 1963:4, .00069.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and related equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","and oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","6. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","7. Research and development investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
