"","Table 1#3#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 25, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/24/2015 2:22:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic product","A191RL1",3.1,0.2,3.3,5.2,5.6,-0.5,-0.2,5.4,4.6,5.6,3.2,-0.2,2.6,-1.9,4.6,7.3,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.6,2.7,4,2.7,3.8,4.5,4.5,4.7,4.1,1,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.2,1.5,2.4
"9","2","Business \1\","A195RL1",3.1,-0.1,3.8,6.5,6.9,-1.5,-1,6.7,5.7,6.3,3.5,-0.9,3,-3,5.5,8.8,4.6,3.7,3.5,4.3,3.8,1.6,-0.6,4.2,2.9,4.9,3.1,4.7,5.3,5.1,5.6,4.5,0.6,1.8,3.2,4.5,3.8,3.2,2.1,-1.2,-4.1,3.2,2.1,2.9,2,3
"10","3","  Nonfarm \2\","A358RL1",3.1,-0.1,3.7,6.7,7.2,-1.5,-1.7,7.1,5.7,6.6,3.3,-0.9,2.3,-3.2,6.5,8.4,4.3,3.8,3.6,4.6,3.7,1.5,-0.6,4.1,3.1,4.6,3.5,4.5,5.2,5.3,5.6,4.4,0.7,1.8,3.1,4.5,3.8,3.2,2.3,-1.3,-4.3,3.2,2.2,3.1,1.7,3
"11","4","  Farm","B359RL1",3.5,2.8,5.3,0,-1.1,-2.3,19.2,-4.6,5.5,-3.5,8.9,-3.1,32.1,5,-34.9,35.5,23.2,-4,1.1,-10.9,13.8,7.2,0.2,15.9,-11.9,21.6,-20.5,15.8,11.9,-4.9,4.5,18.6,-7.4,4.2,11,7,5.8,0.8,-15.9,9.9,15.9,1.5,-5.2,-11.4,22.7,2.3
"12","5","Households and institutions","A193RL1",4.5,1.9,4.5,4.1,3.5,4.2,3.6,1.4,0.9,4.4,3.5,3.4,2.2,2.8,3.2,3,2.7,3.3,4.1,5.3,4,3.2,2.2,2.8,5,3.2,3,2,3,3.4,2.8,3.9,2.3,1.6,2,2.5,3,1.4,0.1,2.8,0.2,0.9,0.8,0.9,0.7,1.3
"13","6","  Households","B701RL1",4.3,2.5,4.9,4.3,3.5,4.6,3,1.5,0.2,5.8,3.2,3.5,1.5,1,2.4,3,3.9,2.2,3.2,4.1,3,2,1.8,2.7,4.6,4.8,3.5,2.1,2.8,2.7,4.1,4.5,3.4,0.8,2.7,3.9,5,2.5,-0.7,2.9,-0.5,0.5,0.5,-0.2,0.9,2.1
"14","7","  Nonprofit institutions serving households \3\","B702RL1",4.9,0.9,3.7,3.6,3.6,3.5,4.5,1.3,2.1,2.1,4,3.3,3.3,5.8,4.5,2.9,0.9,4.9,5.6,7.1,5.4,5,2.8,2.9,5.5,1.2,2.3,1.9,3.4,4.4,1.2,3.1,0.8,2.8,1.1,0.5,0.3,-0.1,1.3,2.8,1.2,1.4,1.1,2.4,0.5,0.4
"15","8","General government \4\","A765RL1",2.7,0.5,0.2,0,0.5,2,1.6,0.9,1.1,2,1.2,1.6,0.8,1.2,0.9,1.5,3.1,2.8,2.5,2.8,2.5,2.5,1,0.4,0.3,0.1,0.2,0.2,0.8,1.1,0.9,1.6,1.8,1.9,1.2,0.7,0.9,0.8,1.4,2.1,1.9,0.6,-0.4,-0.4,-0.8,0.1
