"","Table 5#4#5AU# Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/31/2007 7:44:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","    Private fixed investment in structures","A349RC0",45687,45324,45594,49214,52743,57383,61851,62943,63157,71410,79308,80531,97165,115302,128590,125319,122161,146276,182478,222449,255527,255985,286260,279555,302977,353267,377633,391142,402083,416035,427077,420889,382968,402983,437046,482387,503778,552385,593176
"9","2","Nonresidential","B009RC0",18149,19568,19715,20778,21199,23737,28321,31349,31511,33557,37698,40287,42679,47173,54983,61237,61350,65915,74578,93584,117701,136170,167314,177564,154344,177397,194517,176527,174202,182789,193716,202917,183605,172572,177152,186757,207274,224621,250343
"10","3","  Commercial and health care","W001RC0",4556,4836,5492,6186,6096,6758,8170,8257,8186,9403,11665,12539,14889,17554,19818,20643,17662,18050,20301,25332,33505,40968,48271,55785,55836,70594,84135,80856,80827,86322,88269,87465,68922,64488,69363,75384,83056,91495,104304
"11","4","    Commercial, including office","C308RC0",3986,4231,4721,5201,5066,5467,6776,6834,6854,7824,9490,9904,11824,14075,16268,16952,13872,13979,16239,21074,28891,35566,41639,46588,45463,60442,74868,71724,70900,74696,76462,74478,56720,51685,55440,61711,70520,78366,89207
"12","5","      Office, including medical buildings\1\","B346RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5671,6522,6777,5714,5608,6260,8067,11778,16724,22086,29285,26893,33641,41089,37544,34731,36591,36911,35100,28091,23588,24343,25807,29804,32449,39918
"13","6","      Commercial\2\","B347RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8404,9746,10175,8158,8371,9979,13008,17112,18842,19553,17303,18569,26800,33779,34180,36169,38105,39551,39378,28629,28097,31097,35904,40716,45917,49289
"14","7","    Hospitals and special care","C311RC0",570,605,771,985,1030,1291,1394,1423,1332,1579,2175,2635,3065,3479,3550,3691,3790,4071,4062,4257,4614,5402,6632,9197,10373,10153,9267,9132,9927,11626,11807,12987,12202,12803,13923,13673,12536,13129,15097
"15","8","  Manufacturing","C307RC0",2106,2851,2780,2842,2906,3565,5092,6566,5956,6021,6807,6986,6260,5914,7919,10025,10551,10090,11064,16155,22034,20522,25413,26082,19454,20901,24139,20984,21210,23203,28786,33636,31424,29029,23562,28947,35498,38166,37624
"16","9","  Power and communication","W003RC0",4307,4371,4085,4066,4355,4754,5385,6291,7093,8281,8670,10215,10990,12073,13817,15078,15665,18155,19274,21442,24622,27295,29954,29602,25781,26496,26526,28288,25411,25030,27479,26333,31560,33879,33173,31164,33099,29223,28778
"17","10","    Power","W028RC0",3357,3285,3108,3073,3232,3446,3928,4690,5464,6588,6482,7272,8020,8807,9892,10842,11894,14249,14780,15846,17739,19570,21795,21148,18206,18526,18267,19319,16217,15474,17865,16530,22598,24886,23554,21043,22006,17413,16362
"18","11","      Electric","C571RC0",1997,2006,1858,1862,2021,2162,2535,2986,3669,4270,4484,5333,6001,6667,7640,8118,8347,9788,11748,13023,14296,15348,17027,17066,15293,15482,14581,15844,12660,11441,13137,11299,16293,17136,16260,14884,14274,11256,11325
"19","12","      Other power","W029RC0",1360,1279,1250,1211,1211,1284,1393,1704,1795,2318,1998,1939,2019,2140,2252,2724,3547,4461,3032,2823,3443,4222,4768,4082,2913,3044,3686,3475,3557,4033,4728,5231,6305,7750,7294,6159,7732,6157,5037
"20","13","    Communication","C314RC0",950,1086,977,993,1123,1308,1457,1601,1629,1693,2188,2943,2970,3266,3925,4236,3771,3906,4494,5596,6883,7725,8159,8454,7575,7970,8259,8969,9194,9556,9614,9803,8962,8993,9619,10121,11093,11810,12416
"21","14","  Mining exploration, shafts, and wells","E318RC0",2521,2339,2324,2485,2251,2415,2435,2453,2430,2560,2795,2786,2661,3069,3483,5163,7362,8615,11462,15419,19034,27377,42458,44751,29998,31284,27923,15682,13056,15721,14909,17920,18544,14197,16590,16393,15048,16777,22387
"22","15","    Petroleum and natural gas","C319RC0",2405,2214,2189,2341,2097,2257,2272,2285,2258,2345,2537,2484,2316,2686,3023,4484,6505,7498,10079,14094,17677,25591,39959,42687,28459,29564,26256,14619,12255,14864,13928,16790,17244,12942,15253,14609,13762,15297,20970
"23","16","    Mining","C320RC0",116,125,135,144,154,158,163,168,172,215,258,302,345,383,460,679,857,1117,1383,1325,1357,1786,2499,2064,1539,1720,1667,1063,801,857,981,1130,1300,1255,1337,1784,1286,1480,1417
"24","17","  Other structures","W004RC0",4659,5171,5034,5199,5591,6245,7239,7782,7846,7292,7761,7761,7879,8563,9946,10328,10110,11005,12477,15236,18507,20008,21217,21344,23275,28122,31795,30717,33698,32513,34273,37563,33155,30979,34464,34868,40573,48960,57250
"25","18","    Religious","C309RC0",947,1013,1003,1033,1001,992,1201,1145,1063,1079,993,939,824,862,833,944,894,988,1088,1366,1748,1918,2025,1945,2270,2719,3096,3471,3715,3949,4277,4083,3776,3392,3783,3766,4211,4413,5623
"26","19","    Educational","C310RC0",525,566,609,680,678,751,787,987,1048,1147,1083,925,1008,1063,983,737,653,717,742,878,1088,1585,1707,1936,2127,2257,2677,3230,4700,3776,4278,4800,4934,5134,5319,5500,6246,7643,9825
"27","20","    Other buildings\3\","C312RC0",1308,1566,1642,1637,1934,2416,2816,2817,2673,1815,2117,2129,2187,2887,3410,2715,2073,2109,2232,2949,4372,5742,6866,7545,9109,11668,12903,13320,13718,14505,14310,16116,12351,8715,11012,11956,15077,21413,25496
"28","21","    Railroads","C573RC0",614,634,536,537,602,644,690,793,733,894,960,857,955,1044,1167,1448,1418,1866,2201,2669,2906,2936,3073,2934,2951,3513,4046,2891,2451,2382,2650,2600,2406,2928,3108,3340,3509,4398,4922
"29","22","    Farm","C316RC0",1115,1201,1156,1283,1321,1331,1387,1484,1702,1598,1689,1875,1916,1785,2525,3249,3731,3971,4431,5209,5789,5213,4713,3757,3279,3256,2256,2139,2605,2392,2530,2801,2753,2398,3392,3226,3014,3658,3815
"30","23","    Other\4\","C317RC0",207,281,250,277,310,338,416,484,454,573,741,946,992,941,962,1099,1217,1275,1549,1830,2333,2395,2718,3021,3485,4535,6490,5416,6256,5049,5856,7040,7006,8499,7811,6880,8142,6678,5695
"31","24","    Brokers' commissions on sale of structures","C321RC0",155,178,188,204,204,227,289,320,308,275,265,228,202,194,315,415,403,402,564,571,580,582,586,586,627,832,1027,1059,1146,1278,1424,1519,1330,1290,1302,1439,1635,1827,2017
"32","25","    Net purchases of used structures","E322RC0",-212,-268,-350,-452,-459,-454,-347,-248,-135,-89,-87,-138,-205,-213,-249,-279,-279,-323,-330,-236,-310,-363,-471,-380,-573,-658,-700,-809,-893,-818,-1052,-1396,-1401,-1377,-1263,-1239,-1262,-1070,-143
"33","26","Residential","A012RC0",27538,25756,25879,28436,31544,33646,33530,31594,31646,37853,41610,40244,54486,68129,73607,64082,60811,80361,107900,128865,137826,119815,118946,101991,148633,175870,183116,214615,227881,233245,233361,217973,199363,230411,259893,295630,296504,327764,342833
"34","27","  Permanent site","A943RC0",19673,17497,17405,19946,22414,24098,23846,21811,21541,26723,29224,27059,38670,50095,54619,43420,36318,50770,72231,85601,89272,69629,69425,57000,94961,114616,115889,135169,142668,142391,143233,132136,114575,135070,150911,176390,171404,191114,198062
"35","28","    Single-family structures","A944RC0",16696,14866,14089,15104,15976,17649,17839,16568,16817,19520,19696,17541,25806,32848,35181,29701,29639,43860,62214,72769,72257,52921,51965,41462,72514,86395,87350,104131,117216,120093,120929,112886,99427,121976,140123,162309,153515,170790,175179
"36","29","    Multifamily structures","C292RC0",2977,2631,3316,4842,6438,6449,6007,5243,4724,7203,9528,9518,12864,17247,19438,13720,6679,6910,10017,12832,17015,16708,17460,15538,22447,28221,28539,31038,25452,22298,22304,19250,15148,13094,10788,14081,17889,20324,22883
"37","30","  Other structures","A863RC0",7865,8259,8474,8490,9130,9548,9684,9783,10105,11130,12386,13185,15816,18034,18988,20662,24493,29591,35669,43264,48554,50186,49521,44991,53672,61254,67227,79446,85213,90854,90128,85837,84788,95341,108982,119240,125100,136650,144771
"38","31","    Manufactured homes","A945RC0",561,529,510,564,638,856,1025,1084,1209,1725,2333,2316,3152,3944,4386,3338,2536,3223,4161,4651,5104,4604,4936,4810,6266,6346,6110,5325,5288,5220,5093,4898,4375,5542,7348,9567,11604,13191,13864
"39","32","    Dormitories","C295RC0",238,233,315,519,443,550,615,594,481,416,346,232,166,107,135,116,210,122,60,104,66,99,202,263,328,401,366,423,632,605,650,751,263,345,535,324,490,574,790
"40","33","    Improvements","A946RC0",6062,6548,6740,6226,6508,6613,6574,6984,7384,7631,8183,8994,10114,10869,10836,13218,16355,19011,21773,26625,30234,34145,34606,31621,34290,40024,43814,53954,58099,60767,60993,57861,56860,63843,73961,78888,81302,87031,90951
"41","34","    Brokers' commissions on sale of structures","A758RC0",1353,1242,1268,1495,1729,1808,1882,1751,1792,2110,2275,2506,3483,4238,4722,4882,5759,7589,10183,12549,13675,12013,10532,9139,13483,15437,18236,22055,23474,25226,24652,23887,24782,27117,29156,31716,32952,37532,41522
"42","35","    Net purchases of used structures","A759RC0",-349,-293,-359,-314,-188,-279,-412,-630,-761,-752,-751,-863,-1099,-1124,-1091,-893,-367,-354,-508,-665,-525,-675,-755,-842,-695,-954,-1299,-2311,-2280,-964,-1260,-1560,-1492,-1506,-2018,-1255,-1248,-1678,-2356
"43","36","  Private fixed investment in new structures\5\","W040RC0",44740,44465,44847,48281,51457,56081,60439,61750,61953,69866,77606,78798,94784,112207,124893,121194,116645,138962,172569,210230,242107,244428,276368,271052,290135,338610,360369,371148,380636,391312,403313,398440,359749,377459,409868,451726,471701,515774,552136
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","    Nonresidential structures","A771RC0",18206,19658,19877,21026,21454,23964,28379,31277,31338,33371,37520,40197,42682,47192,54917,61101,61226,65836,74344,93249,117431,135951,167199,177358,154290,177223,194190,176277,173949,182329,193344,202794,183676,172659,177113,186557,206901,223864,248469
"46","38","    Residential structures","A756RC0",26534,24807,24970,27255,30003,32117,32060,30473,30615,36495,40086,38601,52102,65015,69976,60093,55419,73126,98225,116981,124676,108477,109169,93694,135845,161387,166179,194871,206687,208983,209969,195646,176073,204800,232755,265169,264800,291910,303667
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Also includes medical buildings; in table 5.4.5B, these buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
