"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2007     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/31/2007 7:45:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Private fixed investment in structures","A349RX0",653239,655633,667789,673879,682370,704590,713194,725403,723310,728963,729091,737575,746954,755565,753540,754850,750363,753314,759916,725177,721376,717665,709249,713179,713660,733931,758433,768564,773450,798154,805975,809084,817891,834624,840186,843536,851214,843732,819908,800871,783581,787849
"10","2","Nonresidential","B009RX0",276150,273720,284168,286307,286739,297957,295473,297641,292006,294127,291822,294844,299855,312511,319723,320647,313782,310578,315129,284897,270275,256432,245849,242523,238211,246535,246012,243053,242874,246501,248699,248577,249846,248856,244844,247710,256491,266404,273316,278261,282620,297077
"11","3","  Commercial and health care","W001RX0",119444,114612,120920,119433,120829,126676,124723,129469,128431,129473,129917,129866,130843,136700,140794,141867,140770,135353,126096,118892,116540,111163,107253,104238,100200,101419,103880,104718,102945,107111,106939,103228,104841,104749,103510,104244,106004,109630,115464,116506,120574,119756
"12","4","    Office\1\","W031RX0",42232,40037,44789,46393,48013,51117,49785,54229,54997,54309,54371,52218,54199,59849,62444,64422,63904,59439,52312,46322,42396,39243,37196,34990,31624,31022,32461,34405,32753,33123,32865,32393,35251,34627,32391,32450,34246,37134,39966,40293,41912,40059
"13","5","    Health care","W032RX0",22457,21663,22384,21888,21394,22267,21807,21487,21701,21288,21788,21670,20719,21788,22307,22755,22169,21013,20343,20542,22297,23653,24338,24673,24501,25092,24501,25346,25284,26297,25391,24720,24837,24917,26782,25637,26220,27516,28557,28726,29333,29672
"14","6","      Hospitals and special care","C311RX0",17686,17049,17103,16319,16345,17156,16990,16632,16002,15908,15723,15866,15165,15937,16630,17169,16850,16342,15573,15435,17298,18458,19181,19316,18546,18902,18544,18680,18125,18537,17980,17741,17701,17815,19156,18849,19868,21271,22574,23031,23500,23801
"15","7","        Hospitals","W033RX0",13450,12832,12615,11843,11742,11714,11584,11469,11613,11215,11023,10863,10524,11008,11913,12483,12924,12490,11807,11627,13432,14550,15458,15811,15277,15868,15668,15863,15442,15990,15678,15517,15610,15879,17142,16925,17722,18817,19819,20229,20788,20959
"16","8","        Special care","W034RX0",4235,4217,4487,4475,4603,5442,5406,5163,4388,4693,4699,5003,4640,4928,4716,4686,3926,3852,3766,3807,3866,3907,3722,3504,3268,3033,2875,2816,2681,2546,2301,2223,2090,1934,2012,1923,2144,2452,2754,2800,2710,2840
"17","9","      Medical buildings","W035RX0",4770,4612,5282,5574,5049,5111,4818,4856,5700,5380,6066,5805,5555,5852,5678,5586,5320,4671,4771,5108,4999,5197,5159,5358,5956,6190,5958,6667,7160,7762,7412,6980,7137,7104,7627,6788,6352,6245,5981,5694,5831,5869
"18","10","    Multimerchandise shopping","W036RX0",13810,12698,13197,12409,12762,13749,13697,14056,14768,15252,15179,14873,14542,13475,13991,14614,15425,15435,14792,14240,14956,13996,13244,12959,12662,13188,13586,13659,14199,15294,16034,15404,15751,16092,16841,18417,19065,19491,20919,20446,21367,22799
"19","11","    Food and beverage establishments","W037RX0",9809,8399,9332,9189,9371,9972,8974,9013,7194,8477,8190,8777,8730,8608,8233,7792,7503,7805,8897,7857,7026,6885,6845,7259,7323,6958,7147,7425,6958,7224,6851,5680,6258,6039,5167,5592,5341,4835,5197,4993,4946,4733
"20","12","    Warehouses","W038RX0",13571,13858,13771,12652,12360,12446,13391,13790,13592,13330,13356,13754,13959,13880,13965,14481,14887,15227,14155,13128,12294,10737,9592,9529,10248,10629,11268,10447,9571,9788,10352,9423,9593,9643,9473,9706,9867,9692,10075,10175,10609,10666
"21","13","    Other commercial\2\","W039RX0",17457,17845,17385,16865,16908,17118,17051,16899,16191,16811,17025,18565,18684,19093,19855,17819,16904,16449,15583,16751,17472,16547,15941,14724,13715,14388,14775,13318,14057,15239,15288,15463,13021,13293,12753,12308,11145,10834,10596,11720,12233,11719
"22","14","  Manufacturing","C307RX0",42376,40888,43585,42172,44782,44644,43213,42077,38105,34259,32551,30489,30958,32999,31644,31599,32403,30235,28903,22578,19254,17258,15223,14886,14364,15703,15926,15733,15353,15057,15889,18453,19129,18595,18959,19252,19102,20578,21609,20483,20370,21525
"23","15","  Power and communication","W003RX0",29083,29538,30587,31315,33994,34857,35073,35041,36705,39151,42573,44751,44679,45719,47802,49028,44058,47565,49116,52193,53492,47859,43159,43814,44390,42285,39488,37947,36931,31417,32394,34198,33449,32470,31939,32833,34652,34779,35245,36064,37064,40539
"24","16","    Power","W028RX0",17051,17090,17679,18696,21201,22240,22807,22901,21161,21364,22120,23347,26281,27674,28743,29333,25066,27205,30283,34271,35066,29761,26226,26965,33234,30839,28147,26772,26414,20350,20680,21940,19994,19407,19157,20075,21093,21333,21340,22226,22250,24804
"25","17","      Electric","C571RX0",12026,12054,12163,12315,12566,12844,13140,13487,13371,14307,15659,17322,20177,21714,22838,23423,19197,21263,24131,27776,28069,22499,18794,19445,26017,23619,20683,18838,19655,14681,15671,17311,15438,14772,14253,14947,15595,15537,15366,16207,15872,17082
"26","18","      Other power","W029RX0",5013,5024,5509,6383,8662,9430,9701,9441,7801,7060,6461,6027,6106,5961,5905,5909,5875,5947,6152,6482,6982,7281,7466,7551,7257,7248,7476,7929,6723,5617,5038,4758,4631,4675,4889,5116,5465,5725,5877,5947,6256,7504
"27","19","    Communication","C314RX0",12024,12424,12884,12632,12858,12711,12383,12260,15556,17767,20409,21360,18388,18044,19063,19701,18996,20358,18831,17922,18407,18089,16937,16858,11095,11410,11317,11155,10493,11090,11746,12283,13583,13186,12898,12857,13667,13549,14021,13942,14942,15856
"28","20","  Mining exploration, shafts, and wells","E318RX0",24781,25587,25063,25660,23620,23980,23876,21750,20034,21680,20513,22838,24181,26882,28244,29369,31662,32569,34083,29698,23992,23446,25378,25350,26476,29958,30271,29224,31604,33720,33898,33834,34551,36248,34643,35017,38190,39958,39969,41247,40870,45069
