"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"12","5","      Computers and peripheral equipment","B935RG3",262389.608,206017.017,152198.279,107961.805,70908.675,59316.151,49013.29,34354.85,27913.281,23819.753,21566.993,19372.365,14750.216,11897.44,11279.978,9209.691,8519.406,7115.332,6191.973,4188.316,3470.456,2708.602,2380.406,2130.131,1775.924,1436.769,1221.439,1052.188,896.227,832.476,777.36,705.322,633.63,540.749,459.505,404.107,338.192,257.899,198.813,147.625,114.709,100,82.192,70.95,63.234,58.619,51.442,44.843,40.051
"13","6","      Software \1\","B985RG3",147.443,139.782,137.303,132.029,127.025,128.064,124.805,120.825,119.298,119.461,120.538,122.538,119.62,117.496,119.764,124.434,129.662,129.953,131.216,128.314,132.104,135.367,140.241,143.969,142.527,140.105,137.647,132.634,131.707,130.238,123.807,119.504,119,109.084,108.383,104.808,104.179,101.689,98.755,95.82,97.047,100,100.496,98.792,96.705,94.525,94.253,95.459,95.838
"14","7","      Communication equipment","B275RG3",54.114,53.734,53.406,52.945,53.309,54.077,53.84,54.406,56.185,58.963,62.185,65.066,68.333,71.551,73.29,79.424,87.334,92,89.414,93.198,95.017,101.479,109.675,115.872,119.055,122.789,125.139,125.616,126.54,126.54,126.605,126.552,126.984,126.007,124.649,122.632,118.896,116.717,115.83,109.17,104.105,100,95.996,93.429,89.448,84.963,83.348,82.514,82.737
"15","8","    Medical equipment and instruments","W176RG3",29.172,29.522,29.601,29.692,29.628,29.462,29.599,30.434,31.111,31.914,32.855,34.385,35.391,35.692,36.613,39.445,45.582,48.521,51.271,55.327,60.143,66.267,72.479,76.539,78.955,80.919,81.311,84.776,88.431,90.252,92.187,94.746,96.843,99.324,101.08,101.907,103.143,103.568,102.196,101.307,100.633,100,100.436,101.04,102.379,102.325,102.415,102.426,102.524
"16","9","    Nonmedical instruments","W177RG3",23.94,24.66,25.035,25.375,25.63,25.45,25.499,26.612,27.983,28.946,29.9,30.97,32.416,33.103,33.648,35.808,40.881,43.775,46.817,49.438,52.329,56.372,61.28,65.282,68.801,69.33,71.348,73.966,76.356,79.134,81.699,84.859,87.28,89.724,91.585,93.099,94.723,96.247,97.888,98.597,98.953,100,100.864,102.057,103.365,104.378,105.972,107.792,110.409
"17","10","    Photocopy and related equipment","B285RG3",75.467,76.016,77.711,79.248,78.989,78.699,79.696,79.547,81.515,78.884,77.388,77.707,77.706,76.751,77.084,78.848,82.029,85.3,86.39,89.709,93.68,105.666,109.861,110.77,112.935,114.363,116.892,123.121,128.109,132.62,137.004,139.936,142.702,147.485,142.469,140.134,142.521,132.337,122.017,108.369,103.857,100,97.273,91.648,91.042,90.259,89.701,89.658,92.609
"18","11","    Office and accounting equipment","B936RG3",67.658,67.661,67.831,67.428,67.975,68.316,68.585,68.992,70.503,70.577,71.378,72.964,73.887,73.848,75.381,78.009,82.615,81.857,85.373,83.778,81.233,82.152,83.663,85.546,86.284,86.448,85.445,90.423,95.048,97.153,98.24,97.419,97.629,98.754,100.39,102.059,103.119,101.801,101.023,100.802,100.552,100,98.356,97.998,98.055,98.799,98.45,98.143,98.666
"19","12","  Industrial equipment","B680RG3",19.522,19.912,19.747,19.746,19.808,19.985,20.283,20.821,21.726,22.638,23.404,24.567,25.664,26.188,26.924,29.457,35.5,38.474,41.964,45.642,50.122,56.645,62.054,65.009,66.344,67.086,68.199,71.305,74.381,77.725,80.549,84.409,87.418,89.356,90.578,92.423,95.578,97.561,98.226,98.823,99.425,100,100.677,100.852,101.652,104.253,108.149,111.442,115.43
"20","13","    Fabricated metal products","B263RG3",23.188,23.877,23.319,23.308,23.441,23.358,23.382,23.64,24.234,24.848,25.554,26.741,28.186,29.2,30.141,33.515,40.93,43.188,47.236,52.673,58.764,66.689,72.277,77.621,79.245,78.982,79.701,78.979,78.581,83.87,88.119,90.475,92.193,93.43,92.686,92.905,97.105,100.447,100.728,100.694,100.239,100,101.599,103.256,105.012,112.516,120.784,128.608,136.156
"21","14","    Engines and turbines","B668RG3",18.526,18.567,18.077,17.126,17.036,17.216,17.381,17.526,18.256,19.271,20.21,21.915,23.69,24.484,25.296,26.625,31.662,36.886,40.667,45.088,47.386,57.901,63.153,63.562,65.061,65.289,65.466,66.611,68.241,70.173,75.998,83.999,87.475,88.958,89.029,91.769,94.471,96.156,97.584,98.018,99.483,100,100.247,101.111,101.907,102.661,103.102,105.682,110.102
"22","15","      Steam engines","BA13RG3",18.151,18.091,17.448,16.223,16.094,16.241,16.329,16.401,17.307,18.427,19.35,21.103,22.916,23.689,24.551,25.656,30.279,35.755,39.754,44.238,45.273,57.519,61.917,60.134,61.101,61.098,61.101,61.967,63.138,64.987,72.002,82.509,85.833,86.966,86.868,89.787,93.343,94.468,97.164,97.917,99.654,100,99.984,100.599,101.283,101.435,100.283,102.287,108.996
"23","16","      Internal combustion engines","BA14RG3",19.365,19.392,19.604,19.727,19.671,19.929,20.317,20.528,20.648,21.176,22.013,23.274,24.598,25.311,25.9,28.372,34.871,38.861,41.998,45.81,49.913,57.402,65.191,65.735,66.608,67.755,67.569,68.85,72.324,74.793,77.886,80.297,83.367,85.558,87.441,90.123,93.251,95.666,97.32,97.386,99.129,100,101.075,102.934,104.197,105.929,107.88,111.083,113.297
"24","17","    Metalworking machinery","B271RG3",16.624,17.362,17.475,17.853,17.901,18.151,18.611,19.223,19.932,20.846,21.542,22.681,23.19,23.703,24.473,27.041,32.402,34.75,38.358,42.252,47.495,54.379,59.439,62.898,63.677,64.571,65.964,70.072,73.428,76.528,78.669,82.025,85.534,87.63,89.418,91.852,95.165,97.32,97.993,98.79,99.31,100,100.263,100.002,100.167,101.882,105.658,107.093,108.439
"25","18","    Special industry machinery, n.e.c.","B272RG3",14.744,15.125,15.174,15.314,15.674,16.032,16.318,16.803,17.705,18.501,19.344,20.292,21.266,21.837,22.659,25.794,31.033,33.742,37.222,40.789,45.103,50.601,56.088,58.684,60.56,62.07,63.337,67.657,71.732,75.463,77.775,81.789,85.444,88.092,89.606,91.615,95.052,97.346,98.166,98.876,99.903,100,100.325,99.969,100.785,103.626,106.286,108.897,112.977
"26","19","    General industrial, including materials handling, equipment","B273RG3",19.562,19.969,20.015,20.058,20.207,20.409,20.855,21.596,22.46,23.349,24.284,25.695,27.004,27.606,28.223,30.211,36.388,39.733,42.995,46.199,50.387,56.53,61.986,63.831,64.757,65.359,66.341,70.038,73.698,77.484,79.875,83.73,86.52,88.632,90.307,92.383,95.124,96.917,97.779,98.58,99.386,100,101.084,101.99,103.268,106.007,110.409,113.515,117.195
"27","20","    Electrical transmission, distribution, and industrial apparatus","B276RG3",31.18,31.05,30.059,29.581,28.898,28.681,28.608,28.95,30.539,31.809,32.109,32.85,33.908,33.502,34.005,36.447,44.005,47.757,51.15,53.916,57.224,63.424,69.458,73.139,75.006,75.619,76.943,78.506,80.786,81.968,85.853,90.014,92.488,93.289,93.895,94.928,97.743,98.537,98.538,98.538,98.503,100,100.549,99.266,99.144,99.957,102.829,107.483,113.26
"28","21","  Transportation equipment","B681RG3",28.506,28.462,28.4,28.095,27.964,27.718,27.644,27.616,28.064,28.841,29.717,31.141,32.686,33.387,33.749,36.891,41.011,43.952,47.366,51.635,56.065,61.951,66.567,69.579,70.622,71.357,73.513,78.113,79.346,80.563,83.396,86.366,90.741,93.132,94.025,96.696,96.271,98.194,99.752,99.057,99.972,100,99.211,100.236,103.988,109.421,109.902,110.759,112.717
"29","22","    Trucks, buses, and truck trailers","B279RG3",23.741,23.169,23.173,23.091,22.843,22.761,23.092,23.177,23.671,24.333,24.995,26.159,27.966,28.92,29.279,32.172,36.268,39.445,43.465,47.337,51.349,56.563,64.087,67.998,69.874,72.33,73.599,76.894,76.61,78.275,81.692,83.346,87.165,90.902,94.065,97.653,98.329,99.334,99.832,98.424,100.614,100,97.438,97.239,101.035,105.998,105.811,105.481,106.916
"30","23","      Light trucks (including utility vehicles)","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.028,79.363,82.735,84.576,90.814,95.505,98.455,102.718,99.91,101.416,102.446,99.473,101.709,100,96.035,95.138,100.491,106.705,104.338,101.853,101.524
"31","24","      Other trucks, buses, and truck trailers","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.254,75.461,78.814,80.296,82.329,85.346,88.53,91.509,95.469,95.877,95.464,96.77,98.888,100,99.943,101.006,101.974,104.582,108.281,111.88,117.182
"32","25","    Autos","B280RG3",50.339,50.48,49.95,48.522,48.039,47.266,46.047,45.374,45.397,46.583,47.735,49.482,51.357,50.962,50.134,53.508,56.24,58.378,61.074,67.15,72.238,79.496,78.654,77.655,77.149,75.646,79.253,87.094,90.266,90.722,92.525,96.334,101.721,102.644,100.444,102.04,97.819,100.77,104.881,104.908,102.7,100,96.905,99.637,102.704,109.025,106.308,107.878,110.003
"33","26","    Aircraft","B281RG3",17.059,17.133,17.3,17.866,18.682,18.274,18.682,18.923,19.656,20.222,20.954,22.253,23.227,23.719,24.609,27.29,29.238,32.893,35.49,38.198,42.488,47.607,52.214,57.872,59.635,60.917,62.483,64.193,65.309,66.655,69.607,73.921,78.196,81.579,83.509,86.099,89.777,92.84,94.204,94.376,95.506,100,105.229,106.927,111.684,117.591,124.343,129.931,133.89
"34","27","    Ships and boats","B282RG3",17.457,18.056,18.069,18.133,18.406,18.688,18.922,19.377,19.947,20.727,21.744,23.03,24.102,25.231,26.938,30.631,34.209,36.183,38.852,42.044,45.994,50.378,55.213,61.815,63.73,66.399,68.379,70.853,72.274,74.029,77.196,80.167,82.301,83.956,86.822,88.947,90.412,92.721,94.902,96.17,97.368,100,102.584,105.333,109.836,113.867,117.272,121.457,126.541
"35","28","    Railroad equipment","B283RG3",19.842,20.375,20.716,20.716,20.716,20.716,20.716,20.807,21.068,21.601,22.566,24.053,24.586,26.687,28.185,31.431,40.92,45.041,49.695,53.436,58.217,64.866,71.086,73.92,75.599,76.105,77.154,76.778,76.376,79.091,84.407,87.063,88.9,89.104,89.715,92.669,98.197,100.642,98.967,99.443,99.528,100,99.798,99.857,101.39,107.329,121.338,128.92,135.185
"36","29","  Other equipment","B682RG3",20.292,20.521,20.548,20.673,20.808,21.098,21.342,21.815,22.45,23.234,24.173,25.158,26.168,26.918,27.85,31.17,36.559,39.296,42.45,45.958,50.122,56.084,62.196,66.345,67.843,69.147,70.496,72.626,74.847,78.045,81.044,84.086,86.428,88.146,89.802,91.918,94.308,96.231,97.469,98.301,99.229,100,101.161,102.052,103.389,105.807,109.803,113.008,116.177
"37","30","    Furniture and fixtures","B667RG3",22.729,22.816,22.706,22.727,22.69,22.979,23.092,23.543,24.432,25.361,26.662,27.802,28.825,29.525,31.435,35.883,39.57,41.509,45.053,49.357,53.326,56.932,61.025,64.037,65.931,67.802,70.243,72.701,74.971,79.133,82.141,85.216,86.965,87.855,89.25,92.153,94.87,97.006,98.513,98.979,99.27,100,101.253,102.101,103.644,106.622,111.901,114.121,117.372
"38","31","      Household furniture","BA15RG3",24.168,24.253,24.676,24.836,25.09,25.26,25.354,26.106,26.953,28.054,29.23,30.161,31.008,31.734,33.129,36.388,39.576,41.323,44.15,47.053,50.893,56.441,60.951,65.189,66.535,68.514,70.591,72.584,74.941,78.263,80.884,83.504,85.782,87.636,89.507,91.91,94.394,96.599,98.211,98.966,99.303,100,100.85,101.712,103.083,105.624,110.681,113.408,114.895
"39","32","      Other furniture","BA16RG3",22.022,22.101,21.914,21.893,21.731,22.095,22.247,22.674,23.611,24.502,25.824,27.013,28.016,28.577,30.636,35.357,39.246,41.094,44.951,50.166,54.04,57.432,61.354,63.316,65.303,67.176,69.685,72.217,74.498,78.108,82.335,84.886,86.05,86.634,88.364,91.33,94.218,96.694,98.174,98.783,99.233,100,101.279,102.125,103.682,106.693,111.988,114.173,117.537
"40","33","    Agricultural machinery","B268RG3",16.35,16.653,16.938,17.331,17.616,17.926,18.405,18.993,19.655,20.206,21.054,21.871,22.866,23.917,24.646,27.967,32.825,35.495,38.362,41.477,45.663,52.261,58.71,64.233,67.016,68.733,68.987,71.546,73.035,75.212,78.33,81.147,84.517,88.008,89.953,92.333,94.405,96.56,97.473,98.37,99.434,100,101.055,102.298,104.075,107.389,111.856,114.78,118
"41","34","      Farm tractors","BA17RG3",15.745,15.917,16.323,16.735,16.983,17.315,17.56,18.136,18.714,19.448,20.352,21.177,22.075,22.976,23.539,26.743,31.775,34.391,37.035,40.415,44.109,50.761,57.804,64.106,65.927,67.03,65.75,70.609,72.784,75.183,78.513,81.802,86.075,92.266,92.841,95.859,97.603,99.094,98.279,99.078,99.846,100,100.063,100.239,101.879,104.987,108.631,111.682,114.317
"42","35","      Other agricultural machinery","W213RG3",17.188,17.6,17.917,18.261,18.611,18.808,19.477,20.101,20.834,21.295,22.318,23.116,24.197,25.289,26.123,29.663,34.647,37.46,40.82,42.021,47.669,54.878,60.794,65.493,68.236,70.426,70.741,72.344,73.276,75.346,78.496,81.03,83.527,86.218,88.057,90.897,93.211,95.656,96.975,97.898,99.236,100,101.562,103.343,105.192,108.616,113.546,116.398,119.898
"43","36","    Construction machinery","B269RG3",14.919,15.299,15.511,15.568,15.841,16.306,16.648,17.116,17.688,18.663,19.559,20.523,21.691,22.541,23.34,26.094,32.456,35.214,39.327,42.964,47.312,53.042,58.83,62.145,63.27,63.521,64.339,66.578,70.48,74.502,77.187,80.717,82.924,84.946,87.061,89.144,91.754,93.658,95.277,96.912,99.259,100,100.751,101.85,103.655,106.638,111.228,115.557,118.102
"44","37","      Construction tractors","BA18RG3",14.272,14.561,14.835,14.904,15.249,15.81,16.164,16.479,17.116,18.447,18.882,19.627,20.831,21.662,22.295,26.399,32.409,35.036,39.234,43.264,48.072,53.142,60.071,65.381,67.034,66.857,68.175,65.958,68.002,71.819,75.363,77.788,79.033,87.906,89.457,92.457,93.43,93.803,95.528,96.921,99.724,100,101.08,101.871,105.767,108.028,111.748,115.573,117.253
"45","38","      Other construction machinery","W214RG3",16.489,16.859,17.084,17.092,17.307,17.808,18.063,18.625,19.28,20.239,21.213,22.274,23.471,24.582,25.507,27.943,34.696,37.965,41.7,44.614,49.238,55.267,60.906,64.104,64.652,63.468,62.631,64.641,68.905,73.156,76.19,80.124,82.696,84.607,86.895,88.645,91.518,93.635,95.247,96.882,99.169,100,100.699,101.846,103.331,106.419,111.133,115.534,118.208
"46","39","    Mining and oilfield machinery","B270RG3",15.795,16.219,16.165,16.383,16.412,16.642,16.782,17.03,17.688,18.432,19.351,20.263,21.001,21.65,22.417,25.132,32.18,36.026,40.511,44.403,48.929,57.846,67.59,72.739,70.522,70.112,70.841,70.963,70.695,73.973,76.643,80.004,83.338,84.514,85.645,87.531,90.468,92.916,96.177,97.76,98.704,100,103.375,104.739,106.921,111.941,120.929,129.044,135.123
"47","40","    Service industry machinery","B570RG3",27.248,27.304,26.907,26.865,26.859,27.007,26.966,27.338,27.929,28.792,29.562,30.618,31.695,32.044,32.577,35.19,40.552,43.234,46.157,49.136,52.291,57.977,63.085,66.417,68.337,70.069,71.947,73.648,75.066,77.545,80.712,83.742,86.171,88.032,89.766,91.48,94.074,95.981,97.463,98.218,99.297,100,100.985,101.963,102.826,104.528,107.984,110.827,115.374
"48","41","    Electrical equipment, n.e.c.","B670RG3",37.217,36.728,36.277,35.793,35.089,34.93,34.596,34.99,34.746,35.36,36.21,37.658,38.853,39.023,40.072,43.838,50.167,53.134,56.535,60.114,64.251,69.287,74.751,77.882,78.42,80.999,82.731,84.592,88.117,90.457,92.567,94.318,95.245,96.579,96.806,97.468,99.572,100.196,100.018,99.878,99.743,100,100.288,99.863,100.279,101.376,102.772,104.571,108.203
"49","42","      Household appliances","BA19RG3",49.88,48.588,47.904,47.641,47.031,47.028,45.239,45.046,43.222,40.582,42.672,44.005,44.42,45.347,47.768,52.656,59.852,62.043,66.345,69.356,72.965,79.285,85.308,77.088,80.568,80.765,81.025,81.3,83.98,87.22,91.52,93.311,95.303,96.375,96.134,96.68,98.775,99.888,99.178,99.405,99.868,100,99.755,100.461,101.221,103.567,106.829,108.82,112.476
"50","43","      Miscellaneous electrical","BA20RG3",39.131,39.129,38.871,38.274,37.843,37.511,37.824,38.947,36.812,36.679,39.595,41.875,43.433,43.731,44.305,48.201,54.082,57.551,58.415,58.542,62.926,67.676,72.895,76.455,75.991,78.424,80.456,82.159,84.527,87.151,89.439,90.749,91.715,93.116,94.032,95.971,98.667,98.773,99.134,99.783,99.667,100,100.397,99.759,100.113,101.002,102.105,103.873,107.487
"51","44","    Other","B286RG3",27.47,27.539,27.485,27.495,27.628,27.764,27.859,28.307,28.759,29.448,30.381,31.433,32.222,32.769,33.627,37.338,41.799,44.137,44.904,47.957,52.216,58.545,65.281,70.077,71.6,72.645,73.488,75.561,77.31,80.041,83.264,86.212,88.628,90.03,91.758,93.4,95.384,97.103,97.798,98.484,99.063,100,101.218,101.964,102.958,104.437,106.828,109.843,111.96
"52","45","  Less: Sale of equipment scrap, excluding autos","B287RG3",24.205,20.987,21.838,18.645,18.397,21.83,23.481,23.614,21.334,20.392,24.564,28.691,23.707,24.75,37.461,63.578,43.312,47.54,44.384,48.021,55.095,59.619,63.765,63.215,64.974,66.731,66.409,65.551,78.254,110.848,107.966,105.572,93.696,89.705,95.15,111.412,126.647,114.232,116.533,99.199,90.438,100,88.671,94.133,115.277,187.934,178.229,214.656,254.996
"53","46","Residential equipment","B013RG3",56.099,55.483,54.48,53.29,52.381,51.845,50.756,49.978,50.078,51.151,52.307,53.323,54.188,54.366,54.698,58.08,63.661,66.902,69.056,72.402,76.55,81.528,87.412,92.801,95.11,95.871,95.294,95.79,97.148,98.112,99.006,99.737,99.309,99.225,99.753,101.646,101.965,102.506,102.38,101.801,100.189,100,100.118,99.558,96.799,94.226,96.842,99.222,100.897
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
