"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"11","3","  Durable goods manufacturing industries","KS30D0",270110,270994,271080,272935,274475,275372,277440,278397,279402,281655,280984,284054,286983,289645,292012,293683,294764,296549,296737,298196,299091,301471,302126,301451,299866,300990,303222,302435,302667,302206,304620,303876,305121,304509,306793,308625,307328,308904,308182,309735,308815,310964,311542,313203,312208,314000,316282,315734,317355,315376,311954,311930,310668,308629,306205,304712,302602,300832,298091,294909,293883,292715,290579,290140,288642,288781,288094,288251,287962,287710,286454,289113,287910,290722,289660,289397,289262,286989,285146,284246,282719,283486,282144,283791,282896,282987,282995,282792,282979,284600,285845,286317,285375,286122,287888,287806,290772,293323,294766,295165,296241,296196,299300,299294,299547,301571,303825,304391,305646,304846,306375,308096,308494,309377,311357,311500,313508,315332,315653,316044,317116,316593,315642,315072,314162,313488,313234,312420,313188,313552,314387,316230,315632,316770,319214,319402,318285,318082,318556,319598,319776,321892,324662,327743,327146,325357,321867,319698,317482,314202,311503,306611,302122,300564,299491,298607,298210,299516,300072,300717
"12","4","    Wood product manufacturing","KS3210",8763,8830,8776,8799,8761,8777,8905,9092,9270,9390,9407,9320,9188,9223,9202,9339,9486,9387,9500,9623,9733,9871,9974,9851,9993,9968,9924,9842,9902,10008,10258,10229,10066,10149,10273,10523,10712,10699,10637,10743,10586,10729,10796,10736,10606,10731,10726,10706,10681,10582,10428,10381,10558,10789,10776,10695,10682,10587,10454,10154,10319,10267,10441,10400,10481,10470,10387,10422,10639,10644,10662,10479,10588,10777,10727,10707,10531,10369,10257,10112,10090,10199,10351,10340,10325,10571,10822,10989,11051,10909,10906,11016,11286,11154,11252,11098,11606,11738,12017,11986,11874,11806,11716,11664,11691,11872,11820,11880,11637,11827,11751,11878,11991,12122,12069,12164,12136,11978,11842,11843,11736,11682,11588,11414,11326,11292,11278,11164,11030,10940,10802,10692,10568,10372,10150,10029,9954,9955,10015,9974,9998,9946,9783,9707,9747,9674,9802,9667,9468,9331,9254,9210,9094,8987,8946,8987,9175,9296,9341,9254
"13","5","    Nonmetallic mineral product manufacturing","KS3270",11257,11312,11287,11370,11403,11447,11366,11344,11323,11235,11307,11375,11375,11401,11421,11391,11379,11345,11300,11313,11359,11356,11411,11325,11338,11276,11169,11120,11231,11154,11194,11456,11444,11554,11495,11606,11659,11652,11454,11627,11558,11553,11536,11584,11589,11527,11599,11777,11728,11628,11649,11599,11499,11550,11477,11421,11451,11440,11372,11220,11093,11003,11015,11038,11005,11156,11082,11160,11199,11303,11323,11393,11320,11520,11683,11699,11791,11809,11777,11672,11610,11438,11227,11240,11237,11297,11337,11333,11410,11357,11342,11408,11353,11611,11641,11557,11592,11657,11613,11575,11589,11635,11703,11679,11590,11588,11587,11666,11734,11701,11687,11808,11762,11805,11908,11944,12070,12157,12165,12135,12080,12100,12052,12059,12010,11917,11832,11858,11893,11869,11812,11851,11803,11812,11944,11978,11855,11760,11707,11746,11773,11831,11823,11786,11779,11633,11504,11365,11345,11312,11129,11094,11071,10992,10797,10680,10604,10587,10660,10567
"14","6","    Primary metal manufacturing","KS3310",25689,25877,26278,26131,26259,26390,26414,26644,26679,26864,26968,27151,27356,27178,27206,27433,27640,27920,28187,28562,28875,28855,28957,28968,28975,28880,28612,28587,28957,28903,28969,29010,28920,29089,29291,29410,29542,29327,29155,29243,29211,29051,29131,28972,28949,29007,28858,28661,28626,28330,27955,27764,27325,26914,26641,26469,26433,26435,26157,25927,25554,25316,25019,24960,24871,25193,25153,25452,25495,25577,25742,25800,25862,26005,25796,25650,25498,24771,24433,24349,23926,23652,23762,23540,23717,23723,23912,23899,23916,24221,24303,24776,25156,25928,26199,26271,26917,27093,27594,27598,27791,27723,27712,27686,27516,27540,27614,27834,28028,28152,27940,27998,28111,27932,28055,28284,28903,29255,29128,29031,28795,28561,28467,28241,27720,27768,27753,27591,27381,27028,26783,26727,26763,26964,27279,27234,27221,27175,27030,27486,27491,27551,27448,26821,26814,26536,25903,25241,24648,24036,23378,23074,22924,22560,22519,22610,22778,23158,23518,24325
"15","7","    Fabricated metal product manufacturing","KS3320",35433,35515,35747,35837,35904,36265,36205,36246,36331,36420,36602,37009,36939,37156,37164,37439,37401,37991,37711,37843,37981,37987,38139,38076,38259,38009,38169,38274,38354,38059,38280,38258,38433,38664,38814,38953,39055,39093,38938,39076,39422,39687,39672,39839,39758,39861,40054,39934,40167,39839,39680,39645,39774,39541,39258,39258,39315,39364,39013,38513,38512,38280,38245,38162,37541,38367,37978,38091,38275,38111,38039,38143,37774,39294,39466,38745,38662,38336,37680,37502,37255,37334,37462,37373,37259,37342,37309,36989,37188,37266,37475,37579,37353,37076,37125,37302,37542,37999,38266,38514,38913,38879,39153,39204,39116,39104,39491,39590,39947,39987,40084,40089,40054,40174,40201,40410,40602,40775,40880,41148,41468,41157,40883,40668,40327,40163,40135,39763,39937,40082,40000,40268,39895,39822,39772,39787,39346,39017,39177,39189,39239,39306,39682,40149,40347,40258,39876,39389,39023,38472,37868,37385,36762,36501,36632,36288,36163,36324,36469,36462
"16","8","    Machinery manufacturing","KS3330",40227,39861,39794,40233,40442,40595,40460,40426,40383,40794,40970,41229,41323,41999,41989,41893,41843,41763,42078,42434,42672,42591,42902,42475,42704,42411,42481,42684,42501,42037,42256,42042,42017,42397,42639,42647,42739,43168,42799,43758,43332,43764,44209,44634,44516,45108,45034,45547,45724,45162,45183,44954,44199,43744,43252,42612,42369,41652,41139,40782,40569,40442,40549,40360,40180,39773,39838,39657,39544,39458,39310,40050,39500,39545,39106,39165,38969,38607,38301,37986,37828,38019,37532,37953,37778,37740,37625,37443,37625,37860,37929,37944,37717,37408,37850,37869,38197,38409,38538,38965,39158,39085,39633,39876,39937,40034,40287,40472,40730,40644,40937,41161,41419,41378,41478,41630,42215,42401,42184,42972,43057,43113,42910,42921,42798,42915,43109,43092,43325,43549,43651,43819,43681,43827,44299,44046,43722,43509,43432,43329,43387,43629,44225,44612,45058,44438,43524,42986,42570,42171,41168,40651,39925,39443,39219,39052,38594,38262,38152,37979
"17","9","    Computer and electronic product manufacturing","KS3340",38083,38240,38533,39196,39800,40309,41639,42147,42512,42978,43396,43741,44211,44771,45530,45761,45770,45605,44952,44733,44488,44723,44588,44132,43956,44768,46200,46356,46434,46677,46380,46691,46886,46226,46594,47694,47209,47941,48407,49314,50328,51417,52182,53477,52882,54403,56311,57131,58135,58213,56914,56457,56412,56304,55242,54829,53150,52325,51983,50525,50736,50180,49890,49752,49422,48922,48787,48781,48187,47900,47775,47282,47236,47680,47770,47795,47980,47873,47898,47760,47806,48353,48344,49018,48289,48244,48974,49446,49493,50182,50487,50455,50495,51148,51005,51178,51818,51857,51590,51673,51952,51943,52690,52763,53103,53676,54503,54313,54889,53721,54519,54928,54798,54807,55088,55322,54960,55032,55210,54790,55239,54894,54675,54563,54647,54204,53216,53295,53908,54017,54136,54218,54440,54910,55726,56038,56079,55982,56075,56532,56521,57037,56994,57609,57123,57198,56614,56473,56267,55116,54563,54417,54345,54138,54035,54488,53867,53965,54062,54273
"18","10","    Electrical equipment, appliance, and component manufacturing","KS3350",14588,14717,14761,15001,15154,15239,15417,15411,15412,15379,15422,15418,15549,15588,15672,15574,15501,15515,15601,15720,15724,15856,15892,15884,15736,15674,15668,15763,15785,15773,15738,15654,15896,15950,15931,15845,15876,15970,15842,15919,15983,15982,16174,16478,16600,16720,16555,16772,16695,16798,16670,16613,16390,16127,15798,15826,15753,15836,15637,15653,15542,15590,15520,15571,15532,15476,15512,15395,15405,15361,15346,15211,15225,15165,15130,15115,15098,14965,14797,14728,14641,14645,14668,14683,14633,14383,14384,14273,14393,14464,14504,14638,14585,14429,14338,14316,14342,14339,14409,14479,14419,14356,14317,14277,14397,14353,14314,14334,14484,14438,14548,14527,14378,14503,14576,14813,14603,14634,14702,14979,14957,14922,14921,14892,14699,14584,14671,14664,14499,14743,14877,14933,14998,15121,14904,14942,14672,14693,14558,14577,14664,14605,14538,14528,14231,14066,14026,13864,13724,13490,13377,13189,12986,12787,12686,12533,12563,12535,12552,12486
"19","11","    Transportation equipment manufacturing","KS3360",75889,76496,75625,76073,76178,75434,75861,75459,75693,76549,74573,76363,78518,79595,80709,81609,82414,84055,84449,85289,85677,87622,87651,88471,86599,87339,87790,86441,86123,86216,88261,87168,87798,86922,88021,87778,86275,86532,86109,84944,82913,82985,81791,80794,80546,79489,79487,77542,77455,76414,75183,76539,76397,75497,76049,76043,76208,76426,75696,75698,75162,75302,73671,73656,73252,73143,72994,73061,72667,73066,72178,74465,74033,74409,73501,74013,74130,73488,72973,73142,72781,72914,71897,72264,72355,72395,71451,71532,70904,71153,71697,71220,70263,69911,71077,70767,71407,72768,73280,72654,72893,72892,74222,73546,73572,74700,75177,75105,75002,75208,75713,76442,76747,77507,78571,77274,78113,79089,79572,78989,79743,80119,80269,81054,81188,81197,81666,81625,81801,81824,82774,84200,84115,84678,85951,86281,86554,87139,87821,88199,88044,89406,91438,93820,93132,92865,91966,92385,92247,92264,93190,90371,88160,88570,88184,87816,88266,89129,89153,89149
"20","12","      Motor vehicle and parts manufacturing","KS3MV0",24551,24852,25039,25323,25736,24991,25139,25097,25447,25026,24846,24978,25201,25172,25737,25123,24995,25542,25044,24745,25018,24984,25629,25696,25419,25236,26133,25612,25586,25932,26330,26326,26188,26417,27136,27392,27202,27356,26986,27097,27342,27323,27430,27430,27415,27520,27426,27122,26754,26422,25866,26274,25978,25834,25671,25304,25095,25003,24458,24361,23975,23810,23990,24577,24766,24938,25327,25120,25635,25754,25485,25552,25439,26044,25576,25775,25747,25705,25816,26064,25815,25809,25865,26119,26536,26426,26315,26077,25860,26304,26161,26182,26532,26368,26609,26297,26661,26830,27197,27125,26991,27247,26889,26976,26553,27204,27401,27059,27037,27089,27195,27323,27308,27448,27487,27408,27204,27533,27954,27698,27869,27818,27496,27185,27103,26792,26843,26605,26456,26333,26036,25983,25553,25299,25266,24783,24447,24268,23918,23606,23294,23335,23066,22674,22148,21793,21228,20915,20660,20519,20346,20090,19849,19705,19803,20082,20283,21377,21363,21398
"21","13","      Other transportation equipment manufacturing","KS3OT0",51244,51545,50473,50632,50314,50330,50608,50248,50124,51421,49613,51282,53224,54335,54872,56409,57353,58444,59357,60508,60614,62598,61970,62719,61123,62043,61599,60772,60479,60227,61874,60782,61551,60446,60826,60328,59015,59115,59062,57786,55519,55607,54312,53320,53089,51933,52023,50383,50662,49954,49277,50223,50376,49619,50333,50695,51069,51380,51192,51290,51135,51433,49635,49042,48455,48175,47642,47911,47012,47291,46670,48878,48558,48339,47895,48208,48351,47754,47135,47060,46945,47083,46020,46136,45820,45965,45138,45449,45038,44849,45528,45032,43738,43547,44471,44471,44747,45942,46086,45532,45907,45650,47335,46575,47019,47498,47777,48047,47965,48120,48518,49119,49438,50059,51089,49865,50915,51561,51621,51294,51877,52302,52778,53881,54098,54422,54840,55041,55367,55515,56769,58258,58604,59425,60736,61563,62186,62964,64020,64723,64880,66210,68525,71319,71160,71250,70915,71645,71756,71912,73005,70444,68476,69027,68545,67905,68157,67948,67985,67947
"22","14","    Furniture and related product manufacturing","KS3370",7927,7878,7863,7833,8025,8014,8061,7964,7989,7959,7989,8069,8034,8080,8077,8160,8235,8161,8150,8148,8170,8211,8210,8189,8222,8227,8238,8209,8229,8249,8311,8330,8280,8425,8443,8556,8614,8677,8691,8669,8718,8778,8760,8877,8926,8902,8968,8858,8918,8914,9139,9034,8891,8770,8641,8554,8608,8565,8537,8379,8377,8369,8336,8300,8379,8429,8503,8541,8785,8762,8794,8820,8907,8796,8803,8764,8706,8655,8709,8542,8331,8358,8378,8406,8473,8428,8306,8383,8399,8488,8546,8627,8597,8682,8641,8694,8680,8710,8713,8724,8734,8756,8763,8803,8884,8845,8997,9029,9021,8976,9105,9060,9026,9067,9048,9121,9141,9195,9228,9067,9043,9041,8861,8778,8738,8685,8650,8600,8562,8550,8549,8508,8447,8391,8364,8271,8247,8134,8115,8062,8023,7949,7935,7853,7802,7609,7501,7325,7200,7044,6926,6846,6776,6714,6690,6654,6606,6622,6595,6629
"23","15","    Miscellaneous durable goods manufacturing","KS3390",15613,15613,15655,15461,15355,15539,15177,15529,15547,15733,15804,15892,15973,16024,16212,16257,16313,16236,16509,16431,16490,16455,16561,16367,16410,16469,16538,16685,16744,16587,16579,16563,16891,16895,17023,17089,17269,17271,17372,17506,17595,17599,17728,17975,18131,18236,18223,18148,18360,18523,18385,18231,18422,18486,18290,18265,18258,18002,17867,18020,17866,17862,17809,17868,17899,17995,17994,17882,18103,17908,17723,17985,17964,18104,18231,18205,18293,18396,18492,18604,18528,18559,18549,18903,18823,18853,18838,18420,18529,18625,18573,18608,18548,18775,18764,18754,18669,18754,18749,18996,18919,19123,19385,19792,19735,19857,20045,20168,20171,20158,20098,20234,20240,20150,20446,20573,20732,20755,20705,21011,20978,21005,21019,20524,20872,20885,20955,20837,21014,21142,21256,21284,21227,21202,21242,21262,21183,21313,21283,21135,21233,21315,21464,21640,21832,21859,21951,21832,21835,21711,21365,21197,21003,20822,20748,20553,20557,20574,20473,20443
"24","16","  Nondurable goods manufacturing industries","KS30N0",197824,198288,199352,200428,201150,201643,201009,202282,203444,204748,205519,206205,206250,206904,206824,206506,206494,206345,206748,206120,205511,205759,206905,205152,206308,206689,207124,208499,210069,209907,210072,210567,211213,212409,213759,214546,214498,214676,213997,214483,214563,215271,216286,215622,215761,216023,216105,215206,216830,213908,213580,213562,212994,211681,211350,210906,211267,211206,210891,210511,210338,207291,207385,208098,207942,208277,209264,209949,211027,211286,211633,211341,210465,212005,211030,211420,210943,211058,210494,210977,210201,209433,210058,208266,207591,208510,208581,207877,208262,208679,209405,210024,208676,209228,210759,210171,212424,212959,213677,213440,211649,212773,213261,212588,212415,213749,212801,214632,217092,216351,217312,218073,218643,220118,219975,220734,220781,220240,220618,219995,219129,219137,219507,220584,222538,223516,224041,223690,225526,224251,224598,224513,227379,228525,228873,225706,224635,224482,221506,220243,215832,214332,215557,210329,209983,208349,208939,207118,207090,206598,206358,207224,204700,206736,207501,206550,207009,209070,208929,209177
"25","17","    Food manufacturing","KS3110",37307,37614,37861,37921,37956,38307,38227,38377,38450,38668,38699,38840,39028,39225,38895,38861,38752,38714,38623,38375,38449,38398,38288,38448,38792,38736,38761,39016,39044,38966,39085,38990,39486,39737,39916,39997,40319,40512,40733,40502,40546,40515,40626,40657,40533,40182,40212,40497,41629,39828,39857,39894,39973,39740,39826,39560,39697,39547,40114,39999,40217,39978,39686,40324,40309,40742,40869,40982,40794,40661,40860,40881,40882,41079,41211,40767,41010,40697,40537,40493,40164,40090,40291,39923,39788,39534,39319,38643,38562,38590,38996,39174,39220,39001,38821,38980,38798,38992,39205,39836,39615,39759,39964,39994,40200,40216,40294,40362,40874,40955,41005,40955,40857,40966,40745,40490,40414,40581,40570,40585,40074,39565,39180,39168,39397,39320,39549,39728,39513,38645,38292,38099,37852,37760,37606,37516,37490,37452,37193,36895,37029,37483,38023,38185,38440,38408,38804,38734,38743,38334,38500,38728,38106,38410,38485,38379,37853,37735,37468,37447
