"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2010 9:45:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Nonfarm industries","XNF0",48951,39697,70055,79021,-55372,18508,32637,109311,97965,101503,73401,17645,-129451
"9","2","Mining, utilities, and construction","XCMU0",1303,4012,1153,2705,3095,374,7793,8743,15341,10038,3510,3376,-258
"10","3","Manufacturing industries","X300",13365,5408,13979,17298,-28579,-5148,503,30705,38647,36919,26978,9827,-46605
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","X30D0",8878,9388,5671,9882,-22388,-7061,-3730,18782,22320,25872,8377,22033,-39459
"13","5","      Wood product manufacturing","X3210",618,245,604,53,-666,198,111,1232,952,14,-708,-817,-1030
"14","6","      Nonmetallic mineral product manufacturing","X3270",205,34,402,521,-370,209,4,555,646,1060,205,106,-1330
"15","7","      Primary metal manufacturing","X3310",388,-424,16,-111,-2696,-85,-1151,5996,2559,4832,-367,1325,-6181
"16","8","      Fabricated metal product manufacturing","X3320",1298,451,583,1298,-1939,-172,-280,3901,3200,4292,923,2032,-7330
"17","9","      Machinery manufacturing","X3330",1415,1248,320,3089,-4616,-999,-1237,2419,3572,4560,2572,2980,-7286
"18","10","      Computer and electronic product manufacturing","X3340",2985,-2980,2773,10184,-8427,-4822,-464,1818,2771,1018,-2056,2794,-4455
"19","11","      Electrical equipment, appliance, and component manufacturing","X3350",498,-22,8,993,-1018,-513,-366,538,562,1792,453,-151,-2572
"20","12","      Transportation equipment manufacturing","X3360",1030,10596,-235,-7581,-2012,-867,-1480,964,5579,6443,6874,13291,-5963
"21","13","        Motor vehicle and parts manufacturing","X336MV0",252,468,1337,182,-2630,1020,563,1197,1385,1503,-1297,-2622,-3231
"22","14","        Other transportation equipment manufacturing","X336OT0",778,10128,-1572,-7763,618,-1887,-2043,-233,4194,4940,8171,15913,-2732
"23","15","      Furniture and related product manufacturing","X3370",166,73,384,279,-497,296,13,614,516,134,-373,-451,-1476
"24","16","      Miscellaneous durable goods manufacturing","X3390",275,167,816,1157,-147,-306,1120,745,1963,1727,854,924,-1836
"25","17","    Nondurable goods industries","X30N0",4487,-3980,8308,7416,-6191,1913,4233,11923,16327,11047,18601,-12206,-7146
"26","18","      Food manufacturing","X3110",672,-737,1232,1233,-16,1027,1669,334,1534,1688,2087,17,-563
"27","19","      Beverage and tobacco product manufacturing","X3120",886,107,-127,164,525,150,-163,518,-715,173,177,271,197
"28","20","      Textile mills","X3130",-42,45,-35,-405,-832,-383,-100,-121,87,-107,-232,-107,-668
"29","21","      Textile product mills","X3140",267,-307,195,480,-49,-958,55,27,247,51,-138,-124,-513
"30","22","      Apparel manufacturing","X3150",418,-157,340,-283,-1807,-284,-63,-141,-97,72,283,-139,-762
"31","23","      Leather and allied product manufacturing","X3160",41,-53,9,-41,-156,-114,-24,3,52,147,-32,42,-124
"32","24","      Paper manufacturing","X3220",148,-352,344,173,-256,258,-368,793,480,519,312,-391,-1421
"33","25","      Printing and related support activities","X3230",223,-408,182,52,-399,-39,-177,281,257,313,321,-45,-1437
"34","26","      Petroleum and coal product manufacturing","X3240",-517,-2391,2285,1465,-372,1645,1937,3646,7732,2043,12224,-11809,5336
"35","27","      Chemical manufacturing","X3250",1985,253,2863,3818,-1572,369,1069,4914,5030,4815,2429,699,-4313
"36","28","      Plastics and rubber product manufacturing","X3260",406,20,1020,760,-1257,242,398,1669,1720,1333,1170,-620,-2878
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","X30M0",7033,-574,6910,8328,-11585,-1933,-1171,14762,13520,13073,3798,1256,-17141
"39","30","      Durable goods industries","X30DM0",5972,1379,4218,8088,-9733,-2671,-2437,10668,7920,10220,-37,6437,-15950
"40","31","      Nondurable goods industries","X30NM0",1061,-1953,2692,240,-1852,738,1266,4094,5600,2853,3835,-5181,-1191
"41","32","    Work-in-process","X30W0",591,3667,462,-1704,-10091,-784,244,3959,11462,9514,12566,13969,-6683
"42","33","      Durable goods industries","X30DW0",-1064,5057,-1135,-2948,-8592,-1478,-554,1942,8161,6444,7256,15918,-8742
"43","34","      Nondurable goods industries","X30NW0",1655,-1390,1597,1244,-1499,694,798,2017,3301,3070,5310,-1949,2059
"44","35","    Finished goods","X30F0",5741,2315,6607,10674,-6903,-2431,1430,11984,13665,14332,10614,-5398,-22781
"45","36","      Durable goods industries","X30DF0",3970,2952,2588,4742,-4063,-2912,-739,6172,6239,9208,1158,-322,-14767
"46","37","      Nondurable goods industries","X30NF0",1771,-637,4019,5932,-2840,481,2169,5812,7426,5124,9456,-5076,-8014
"47","38","Wholesale trade industries","XWT0",18847,13180,19391,23560,-16741,3511,5845,33865,29395,32283,23761,5638,-52997
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","XWTD0",12015,10930,12559,13421,-19765,-736,1620,26660,17145,19168,5269,13446,-48634
"50","40","    Nondurable goods industries","XWTN0",6832,2250,6831,10139,3023,4247,4225,7205,12250,13115,18492,-7808,-4363
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
