"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"20","2","Less: Exports of goods and services","A020RX1","40,336.0","33,338.0","27,706.0","21,710.0","21,844.0","24,280.0","25,601.0","26,895.0","33,874.0","33,510.0","35,375.0","40,241.0","41,260.0","27,252.0","22,971.0","24,673.0","34,568.0","74,663.0","85,125.0","67,047.0","66,424.0","58,161.0","71,271.0","68,188.0","63,620.0","66,699.0","73,821.0","86,008.0","93,507.0","80,866.0","89,202.0","104,687.0","105,243.0","110,551.0","118,457.0","132,404.0","136,115.0","145,547.0","148,902.0","160,605.0","168,372.0"
"21","3","Plus: Imports of goods and services","A021RX1","52,768.0","45,901.0","40,038.0","33,220.0","34,609.0","35,358.0","46,326.0","45,793.0","51,531.0","40,052.0","42,062.0","43,081.0","52,971.0","48,095.0","60,644.0","63,468.0","67,486.0","55,933.0","53,107.0","61,967.0","59,776.0","70,653.0","73,428.0","79,891.0","87,400.0","83,091.0","93,103.0","100,661.0","104,888.0","109,870.0","121,428.0","123,043.0","122,218.0","136,088.0","139,757.0","147,182.0","162,849.0","187,050.0","200,678.0","230,584.0","243,722.0"
"22","4","Equals: Gross domestic purchases","A712RX1","1,076,785.0","987,997.0","926,842.0","809,020.0","799,734.0","883,450.0","969,917.0","1,092,632.0","1,143,283.0","1,095,292.0","1,182,725.0","1,281,669.0","1,520,379.0","1,828,533.0","2,160,892.0","2,331,535.0","2,293,937.0","1,944,934.0","1,901,762.0","2,026,571.0","2,013,722.0","2,218,535.0","2,379,855.0","2,491,322.0","2,625,688.0","2,600,641.0","2,787,209.0","2,836,671.0","2,889,869.0","2,893,740.0","3,093,570.0","3,151,365.0","3,230,795.0","3,436,859.0","3,579,539.0","3,774,819.0","4,033,810.0","4,313,410.0","4,441,612.0","4,673,380.0","4,821,840.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","61,425.0","47,936.0","34,738.0","26,721.0","27,662.0","34,026.0","36,076.0","38,657.0","49,990.0","48,100.0","50,620.0","61,974.0","65,204.0","48,137.0","42,376.0","50,130.0","67,887.0","125,082.0","149,008.0","116,892.0","108,773.0","91,581.0","118,479.0","111,792.0","102,858.0","105,172.0","115,802.0","134,888.0","147,233.0","123,332.0","134,482.0","157,893.0","159,496.0","165,999.0","175,320.0","194,477.0","202,751.0","217,320.0","224,686.0","237,590.0","245,508.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","57,464.0","44,452.0","34,726.0","26,139.0","26,854.0","29,748.0","38,851.0","40,547.0","49,025.0","35,908.0","39,996.0","43,358.0","52,917.0","50,910.0","65,969.0","70,922.0","75,556.0","61,622.0","63,078.0","75,637.0","69,459.0","86,108.0","101,067.0","103,886.0","107,567.0","102,489.0","112,670.0","119,925.0","122,252.0","120,103.0","132,133.0","133,351.0","131,103.0","142,577.0","147,455.0","156,078.0","172,090.0","196,805.0","206,309.0","230,896.0","238,743.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,081,430.0","994,179.0","925,322.0","805,488.0","795,867.0","887,700.0","967,503.0","1,090,879.0","1,151,442.0","1,102,997.0","1,192,156.0","1,302,814.0","1,538,577.0","1,826,389.0","2,133,817.0","2,306,707.0","2,284,295.0","2,012,936.0","1,987,391.0","2,066,180.0","2,048,913.0","2,226,070.0","2,406,432.0","2,497,726.0","2,617,893.0","2,597,759.0","2,791,859.0","2,852,723.0","2,911,018.0","2,891,616.0","3,091,780.0","3,171,804.0","3,255,066.0","3,455,886.0","3,602,863.0","3,808,469.0","4,059,425.0","4,328,539.0","4,454,387.0","4,674,234.0","4,822,391.0"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,791.0","11,229.0","9,169.0","7,144.0","6,098.0","5,819.0","6,801.0","7,328.0","9,010.0","8,078.0","8,711.0","7,720.0","8,695.0","7,790.0","7,343.0","7,787.0","7,569.0","9,649.0","12,698.0","15,270.0","14,599.0","16,210.0","19,096.0","19,405.0","19,097.0","20,181.0","22,974.0","24,925.0","26,164.0","23,209.0","25,263.0","28,537.0","30,665.0","33,925.0","36,842.0","40,200.0","43,016.0","42,865.0","44,880.0","50,101.0","55,696.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,868.0","3,581.0","3,012.0","2,219.0","1,921.0","2,113.0","2,358.0","3,960.0","4,443.0","3,294.0","3,954.0","4,176.0","3,747.0","3,268.0","3,866.0","4,458.0","4,916.0","3,888.0","3,872.0","4,323.0","4,985.0","5,532.0","5,987.0","5,921.0","6,339.0","6,269.0","6,933.0","7,207.0","7,438.0","7,441.0","8,926.0","10,364.0","10,332.0","10,547.0","11,584.0","12,879.0","14,202.0","15,939.0","17,000.0","19,922.0","26,782.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,089,353.0","1,001,827.0","931,478.0","810,413.0","800,043.0","891,407.0","971,946.0","1,094,247.0","1,156,010.0","1,107,781.0","1,196,913.0","1,306,357.0","1,543,525.0","1,830,911.0","2,137,294.0","2,310,036.0","2,286,948.0","2,018,697.0","1,996,217.0","2,077,127.0","2,058,528.0","2,236,748.0","2,419,542.0","2,511,210.0","2,630,650.0","2,611,671.0","2,807,901.0","2,870,441.0","2,929,745.0","2,907,383.0","3,108,118.0","3,189,977.0","3,275,399.0","3,479,264.0","3,628,120.0","3,835,791.0","4,088,239.0","4,355,465.0","4,482,267.0","4,704,413.0","4,851,306.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","988,437.0","897,340.0","827,241.0","707,573.0","700,439.0","796,439.0","877,664.0","1,002,031.0","1,060,464.0","1,008,369.0","1,098,691.0","1,209,702.0","1,445,431.0","1,726,156.0","2,017,649.0","2,165,108.0","2,121,777.0","1,838,960.0","1,815,843.0","1,897,101.0","1,876,437.0","2,055,411.0","2,233,034.0","2,314,198.0","2,422,652.0","2,385,770.0","2,573,319.0","2,621,651.0","2,666,645.0","2,628,588.0","2,824,825.0","2,895,695.0","2,966,683.0","3,157,681.0","3,289,833.0","3,481,487.0","3,716,353.0","3,965,641.0","4,065,235.0","4,262,884.0","4,385,906.0"
"31","12","  Net domestic product","A362RX1","962,947.0","869,481.0","806,712.0","690,597.0","683,115.0","770,630.0","848,519.0","970,565.0","1,022,225.0","982,190.0","1,068,967.0","1,171,255.0","1,394,346.0","1,668,117.0","1,953,677.0","2,094,026.0","2,052,222.0","1,785,136.0","1,765,852.0","1,848,505.0","1,834,316.0","2,010,712.0","2,183,497.0","2,269,672.0","2,373,050.0","2,342,344.0","2,517,261.0","2,563,128.0","2,608,823.0","2,569,653.0","2,760,832.0","2,829,393.0","2,896,516.0","3,081,220.0","3,213,774.0","3,403,330.0","3,629,382.0","3,871,457.0","3,961,560.0","4,152,916.0","4,271,240.0"
"32","13","  Command-basis net national product \4\","C027RX1","996,477.0","905,101.0","833,514.0","712,601.0","704,713.0","800,243.0","882,212.0","1,005,482.0","1,065,163.0","1,013,309.0","1,103,606.0","1,213,368.0","1,450,557.0","1,730,851.0","2,021,256.0","2,168,561.0","2,124,520.0","1,844,895.0","1,824,974.0","1,908,448.0","1,886,426.0","2,066,507.0","2,246,683.0","2,328,243.0","2,435,940.0","2,400,249.0","2,590,021.0","2,640,159.0","2,686,230.0","2,645,054.0","2,841,889.0","2,914,656.0","2,987,870.0","3,182,023.0","3,316,105.0","3,509,872.0","3,746,271.0","3,993,576.0","4,094,153.0","4,294,168.0","4,415,872.0"
"33","14","  Net national product","A027RX1","973,377.0","879,290.0","814,863.0","697,211.0","688,854.0","775,947.0","854,716.0","976,163.0","1,029,367.0","989,507.0","1,076,721.0","1,178,132.0","1,403,283.0","1,677,550.0","1,963,160.0","2,104,038.0","2,061,191.0","1,795,554.0","1,779,102.0","1,864,039.0","1,848,721.0","2,026,616.0","2,202,658.0","2,289,464.0","2,392,254.0","2,362,561.0","2,539,720.0","2,587,484.0","2,634,389.0","2,591,976.0","2,783,933.0","2,854,448.0","2,923,851.0","3,111,758.0","3,246,357.0","3,438,389.0","3,666,131.0","3,906,645.0","3,997,791.0","4,191,712.0","4,309,180.0"
"34",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Trading gains index \5\","W368RG3","102.384","102.664","102.528","102.810","102.956","103.058","103.092","102.949","102.761","102.865","102.652","102.797","102.944","103.139","103.156","103.277","103.180","102.528","102.596","102.474","102.300","101.934","101.681","101.857","102.029","101.918","101.974","102.039","102.153","102.274","102.243","102.262","102.330","102.382","102.281","102.221","102.309","102.340","102.504","102.530","102.566"
"36","16","    Terms of trade index \6\","W369RG3","139.835","148.470","144.556","156.418","163.197","166.564","168.024","162.327","155.115","160.104","150.484","153.019","158.185","166.864","169.574","181.817","175.404","152.056","147.371","142.828","140.923","129.194","120.774","126.075","131.361","127.834","129.621","131.634","135.088","139.515","138.542","139.160","141.275","143.317","140.271","138.506","140.952","141.906","146.771","147.729","148.849"
"37","17","      Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","165.667","166.003","166.467"
"38","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115.772","115.795","115.836"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
