"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","    Gross domestic product","A191RC1","243,080.0","246,267.0","250,115.0","260,309.0","266,173.0","272,897.0","279,497.0","280,656.0","275,370.0","271,692.0","273,262.0","270,984.0","281,209.0","290,735.0","308,510.0","320,320.0","336,372.0","344,455.0","351,774.0","356,579.0","360,195.0","361,414.0","368,084.0","381,241.0","388,472.0","392,259.0","391,696.0","386,521.0","385,924.0","386,716.0","391,596.0","400,348.0","413,753.0","422,226.0","430,925.0","437,787.0","440,491.0","446,771.0","451,983.0","461,278.0","470,578.0","472,835.0","480,315.0","475,681.0","468,353.0","472,786.0","486,653.0","500,380.0","511,063.0","524,241.0","525,196.0","529,322.0","543,347.0","542,697.0","546,012.0","541,063.0","545,949.0","557,430.0","568,228.0","581,624.0","595,176.0","602,580.0","609,575.0","613,131.0","622,680.0","631,835.0","644,960.0","654,840.0","671,150.0","680,758.0","692,806.0","698,424.0","719,247.0","732,368.0","750,184.0","773,105.0","797,327.0","807,153.0","820,799.0","834,864.0","846,046.0","851,058.0","866,614.0","883,201.0","911,135.0","936,297.0","952,347.0","970,129.0","995,419.0","1,011,361.0"
"22","2","    Gross domestic income","A261RC1","240,322.0","243,550.0","247,993.0","256,495.0","265,499.0","274,022.0","279,270.0","281,522.0","274,543.0","271,028.0","271,248.0","267,603.0","277,912.0","290,310.0","307,889.0","319,688.0","332,928.0","341,041.0","347,231.0","354,282.0","356,464.0","359,045.0","366,412.0","378,704.0","385,599.0","389,041.0","388,160.0","381,100.0","383,193.0","384,239.0","388,172.0","397,468.0","410,338.0","420,467.0","428,963.0","436,495.0","441,350.0","448,523.0","454,597.0","464,326.0","471,797.0","474,704.0","479,692.0","474,774.0","469,574.0","472,259.0","485,629.0","498,265.0","511,037.0","525,691.0","523,399.0","529,100.0","543,109.0","544,327.0","546,217.0","544,910.0","547,280.0","557,883.0","568,310.0","583,652.0","593,731.0","601,307.0","608,687.0","617,060.0","625,033.0","635,222.0","644,610.0","655,529.0","668,565.0","680,009.0","692,405.0","702,219.0","721,490.0","734,061.0","747,347.0","768,911.0","790,841.0","802,626.0","816,001.0","830,188.0","838,532.0","847,416.0","864,495.0","882,835.0","906,080.0","929,622.0","951,045.0","970,447.0","989,849.0","1,009,426.0"
"23","3","    Net domestic product \1\","A362RC1","215,332.0","217,511.0","220,313.0","229,812.0","235,387.0","241,738.0","247,825.0","248,703.0","243,081.0","239,388.0","240,942.0","238,552.0","248,745.0","257,937.0","274,916.0","285,453.0","300,095.0","307,093.0","313,466.0","317,498.0","320,641.0","321,204.0","327,082.0","339,536.0","345,981.0","349,011.0","347,890.0","342,144.0","340,951.0","341,009.0","345,313.0","353,388.0","366,303.0","374,036.0","381,601.0","387,213.0","388,351.0","393,270.0","397,159.0","405,244.0","413,270.0","414,420.0","420,827.0","415,243.0","407,291.0","410,824.0","423,736.0","436,619.0","446,593.0","459,115.0","459,424.0","462,935.0","476,374.0","475,137.0","477,813.0","472,221.0","476,444.0","487,236.0","497,279.0","509,845.0","522,462.0","529,061.0","535,016.0","537,521.0","546,169.0","554,327.0","566,496.0","575,315.0","590,548.0","599,008.0","609,855.0","614,213.0","633,660.0","645,253.0","661,428.0","682,642.0","705,029.0","712,841.0","724,531.0","736,570.0","745,802.0","748,737.0","762,030.0","776,271.0","801,697.0","824,383.0","837,823.0","852,709.0","874,962.0","887,899.0"
"24","4","    Net domestic income \1\","W256RC1","212,574.0","214,794.0","218,191.0","225,998.0","234,713.0","242,863.0","247,598.0","249,569.0","242,254.0","238,724.0","238,928.0","235,171.0","245,448.0","257,512.0","274,295.0","284,821.0","296,651.0","303,679.0","308,923.0","315,201.0","316,910.0","318,835.0","325,410.0","336,999.0","343,108.0","345,793.0","344,354.0","336,723.0","338,220.0","338,532.0","341,889.0","350,508.0","362,888.0","372,277.0","379,639.0","385,921.0","389,210.0","395,022.0","399,773.0","408,292.0","414,489.0","416,289.0","420,204.0","414,336.0","408,512.0","410,297.0","422,712.0","434,504.0","446,567.0","460,565.0","457,627.0","462,713.0","476,136.0","476,767.0","478,018.0","476,068.0","477,775.0","487,689.0","497,361.0","511,873.0","521,017.0","527,788.0","534,128.0","541,450.0","548,522.0","557,714.0","566,146.0","576,004.0","587,963.0","598,259.0","609,454.0","618,008.0","635,903.0","646,946.0","658,591.0","678,448.0","698,543.0","708,314.0","719,733.0","731,894.0","738,288.0","745,095.0","759,911.0","775,905.0","796,642.0","817,708.0","836,521.0","853,027.0","869,392.0","885,964.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RC1","244,058.0","247,362.0","251,246.0","261,545.0","267,564.0","274,376.0","280,980.0","282,127.0","276,756.0","273,021.0","274,535.0","272,117.0","282,437.0","292,051.0","310,117.0","321,929.0","337,909.0","346,338.0","353,770.0","358,731.0","362,196.0","363,433.0","370,066.0","383,180.0","390,380.0","394,311.0","393,505.0","388,349.0","387,924.0","388,714.0","393,634.0","402,691.0","416,176.0","424,624.0","433,372.0","440,314.0","443,342.0","449,609.0","454,917.0","463,838.0","473,663.0","476,202.0","483,548.0","478,215.0","470,983.0","475,480.0","489,258.0","502,965.0","513,646.0","526,841.0","528,026.0","532,352.0","546,274.0","545,701.0","549,176.0","544,419.0","549,525.0","560,830.0","571,730.0","585,221.0","598,777.0","606,572.0","613,626.0","617,861.0","627,187.0","636,172.0","649,398.0","659,465.0","676,208.0","685,633.0","697,854.0","703,122.0","724,682.0","738,009.0","755,437.0","777,892.0","802,325.0","812,205.0","825,766.0","840,127.0","851,267.0","856,138.0","872,303.0","888,785.0","916,952.0","942,297.0","958,599.0","976,400.0","1,001,753.0","1,017,522.0"
"27","6","    Gross national income","A023RC1","241,300.0","244,645.0","249,124.0","257,731.0","266,890.0","275,501.0","280,753.0","282,993.0","275,929.0","272,357.0","272,521.0","268,736.0","279,140.0","291,626.0","309,496.0","321,297.0","334,465.0","342,924.0","349,227.0","356,434.0","358,465.0","361,064.0","368,394.0","380,643.0","387,507.0","391,093.0","389,969.0","382,928.0","385,193.0","386,237.0","390,210.0","399,811.0","412,761.0","422,865.0","431,410.0","439,022.0","444,201.0","451,361.0","457,531.0","466,886.0","474,882.0","478,071.0","482,925.0","477,308.0","472,204.0","474,953.0","488,234.0","500,850.0","513,620.0","528,291.0","526,229.0","532,130.0","546,036.0","547,331.0","549,381.0","548,266.0","550,856.0","561,283.0","571,812.0","587,249.0","597,332.0","605,299.0","612,738.0","621,790.0","629,540.0","639,559.0","649,048.0","660,154.0","673,623.0","684,884.0","697,453.0","706,917.0","726,925.0","739,702.0","752,600.0","773,698.0","795,839.0","807,678.0","820,968.0","835,451.0","843,753.0","852,496.0","870,184.0","888,419.0","911,897.0","935,622.0","957,297.0","976,718.0","996,183.0","1,015,587.0"
"28","7","    Net national product \1\","A027RC1","216,310.0","218,606.0","221,444.0","231,048.0","236,778.0","243,217.0","249,308.0","250,174.0","244,467.0","240,717.0","242,215.0","239,685.0","249,973.0","259,253.0","276,523.0","287,062.0","301,632.0","308,976.0","315,462.0","319,650.0","322,642.0","323,223.0","329,064.0","341,475.0","347,889.0","351,063.0","349,699.0","343,972.0","342,951.0","343,007.0","347,351.0","355,731.0","368,726.0","376,434.0","384,048.0","389,740.0","391,202.0","396,108.0","400,093.0","407,804.0","416,355.0","417,787.0","424,060.0","417,777.0","409,921.0","413,518.0","426,341.0","439,204.0","449,176.0","461,715.0","462,254.0","465,965.0","479,301.0","478,141.0","480,977.0","475,577.0","480,020.0","490,636.0","500,781.0","513,442.0","526,063.0","533,053.0","539,067.0","542,251.0","550,676.0","558,664.0","570,934.0","579,940.0","595,606.0","603,883.0","614,903.0","618,911.0","639,095.0","650,894.0","666,681.0","687,429.0","710,027.0","717,893.0","729,498.0","741,833.0","751,023.0","753,817.0","767,719.0","781,855.0","807,514.0","830,383.0","844,075.0","858,980.0","881,296.0","894,060.0"
"29","8","    National income \2\","A032RC1","213,552.0","215,889.0","219,322.0","227,234.0","236,104.0","244,342.0","249,081.0","251,040.0","243,640.0","240,053.0","240,201.0","236,304.0","246,676.0","258,828.0","275,902.0","286,430.0","298,188.0","305,562.0","310,919.0","317,353.0","318,911.0","320,854.0","327,392.0","338,938.0","345,016.0","347,845.0","346,163.0","338,551.0","340,220.0","340,530.0","343,927.0","352,851.0","365,311.0","374,675.0","382,086.0","388,448.0","392,061.0","397,860.0","402,707.0","410,852.0","417,574.0","419,656.0","423,437.0","416,870.0","411,142.0","412,991.0","425,317.0","437,089.0","449,150.0","463,165.0","460,457.0","465,743.0","479,063.0","479,771.0","481,182.0","479,424.0","481,351.0","491,089.0","500,863.0","515,470.0","524,618.0","531,780.0","538,179.0","546,180.0","553,029.0","562,051.0","570,584.0","580,629.0","593,021.0","603,134.0","614,502.0","622,706.0","641,338.0","652,587.0","663,844.0","683,235.0","703,541.0","713,366.0","724,700.0","737,157.0","743,509.0","750,175.0","765,600.0","781,489.0","802,459.0","823,708.0","842,773.0","859,298.0","875,726.0","892,125.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","9","    Gross domestic purchases","A712RC1","232,205.0","234,973.0","238,345.0","251,020.0","258,880.0","267,692.0","274,548.0","276,155.0","268,892.0","265,409.0","268,083.0","267,985.0","279,006.0","289,092.0","309,250.0","320,474.0","336,195.0","342,512.0","348,032.0","352,389.0","356,474.0","359,463.0","368,088.0","382,254.0","389,139.0","393,510.0","392,248.0","386,856.0","386,280.0","386,462.0","391,022.0","399,203.0","412,649.0","422,381.0","430,201.0","437,547.0","440,051.0","444,862.0","449,414.0","456,751.0","465,759.0","468,736.0","476,318.0","472,293.0","467,274.0","472,315.0","485,797.0","500,640.0","510,658.0","524,229.0","524,598.0","528,748.0","540,630.0","538,538.0","541,847.0","535,289.0","540,152.0","551,897.0","564,319.0","577,208.0","591,226.0","596,780.0","605,736.0","610,318.0","618,796.0","625,302.0","641,045.0","649,417.0","663,886.0","673,687.0","686,430.0","691,476.0","714,647.0","724,912.0","745,283.0","767,592.0","792,911.0","801,921.0","818,593.0","831,268.0","841,483.0","846,538.0","863,718.0","880,962.0","910,036.0","934,355.0","951,059.0","969,062.0","995,248.0","1,010,117.0"
"32","10","    Final sales to domestic purchasers \3\","A713RC1","231,710.0","236,213.0","241,262.0","249,564.0","255,254.0","261,833.0","267,396.0","270,158.0","268,504.0","270,557.0","269,390.0","272,684.0","276,982.0","286,259.0","305,073.0","306,430.0","325,809.0","327,720.0","338,292.0","347,670.0","351,742.0","360,986.0","362,514.0","376,980.0","385,249.0","389,933.0","389,917.0","388,862.0","388,246.0","389,840.0","393,113.0","399,519.0","408,845.0","417,761.0","425,906.0","430,314.0","433,653.0","441,277.0","445,845.0","454,507.0","463,597.0","466,079.0","473,510.0","476,811.0","471,283.0","476,550.0","484,250.0","495,405.0","506,782.0","516,941.0","524,214.0","524,628.0","529,430.0","535,314.0","537,527.0","541,101.0","542,700.0","550,105.0","557,663.0","571,212.0","581,818.0","591,336.0","599,548.0","606,954.0","611,928.0","620,466.0","635,329.0","644,353.0","658,762.0","669,231.0","681,738.0","686,460.0","703,103.0","716,344.0","735,991.0","760,008.0","779,039.0","789,605.0","806,741.0","814,764.0","826,060.0","840,197.0","854,455.0","872,529.0","901,598.0","920,273.0","943,378.0","963,055.0","983,759.0","1,000,895.0"
"33",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","11","    Disposable personal income","A067RC1","170,989.0","170,412.0","178,041.0","179,846.0","185,423.0","193,190.0","199,361.0","199,856.0","194,411.0","194,167.0","194,274.0","195,190.0","209,866.0","210,226.0","217,309.0","222,567.0","229,935.0","236,959.0","239,983.0","242,712.0","243,603.0","246,634.0","253,244.0","259,116.0","263,286.0","267,131.0","267,312.0","267,572.0","270,296.0","270,192.0","272,157.0","277,090.0","282,520.0","289,051.0","295,529.0","299,805.0","304,135.0","309,099.0","313,701.0","320,348.0","324,179.0","328,541.0","332,983.0","332,703.0","334,244.0","337,089.0","344,140.0","348,233.0","353,634.0","360,706.0","362,351.0","366,933.0","371,809.0","376,097.0","378,212.0","379,743.0","384,139.0","389,955.0","396,568.0","404,670.0","410,327.0","416,111.0","419,364.0","424,328.0","429,172.0","433,795.0","440,663.0","449,518.0","460,550.0","474,004.0","481,748.0","488,849.0","496,179.0","504,323.0","520,063.0","532,157.0","541,610.0","547,482.0","558,405.0","569,276.0","579,473.0","586,742.0","597,730.0","607,193.0","624,074.0","640,936.0","649,143.0","660,843.0","668,721.0","684,766.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
