"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"21","2","Business \1\","A195RX1","3,101,446.0","3,105,420.0","3,123,026.0","3,100,798.0","3,097,292.0","3,103,854.0","3,135,936.0","3,088,017.0","3,191,374.0","3,212,949.0","3,241,397.0","3,249,342.0","3,324,743.0","3,423,031.0","3,458,149.0","3,526,586.0","3,639,869.0","3,690,144.0","3,658,658.0","3,694,168.0","3,642,269.0","3,648,576.0","3,596,673.0","3,570,700.0","3,505,317.0","3,535,550.0","3,607,766.0","3,669,029.0","3,775,626.0","3,809,790.0","3,830,547.0","3,864,250.0","3,925,303.0","4,020,794.0","4,103,766.0","4,099,270.0","4,105,490.0","4,304,624.0","4,349,191.0","4,412,434.0","4,418,248.0","4,423,342.0","4,459,911.0","4,466,300.0","4,474,389.0","4,349,503.0","4,336,152.0","4,439,102.0","4,554,050.0","4,507,488.0","4,567,009.0","4,490,706.0","4,388,037.0","4,413,060.0","4,386,612.0","4,388,165.0","4,455,131.0","4,581,882.0","4,691,982.0","4,809,116.0","4,927,515.0","5,034,676.0","5,084,690.0","5,123,419.0","5,180,518.0","5,232,056.0","5,324,310.0","5,363,841.0","5,415,860.0","5,437,581.0","5,497,946.0","5,522,814.0","5,561,388.0","5,631,408.0","5,675,476.0","5,779,086.0","5,802,945.0","5,891,768.0","5,920,783.0","6,002,430.0","6,070,725.0","6,118,742.0","6,165,354.0","6,170,727.0","6,241,621.0","6,261,296.0","6,250,608.0","6,173,101.0","6,124,460.0","6,185,245.0","6,220,208.0","6,249,555.0","6,342,089.0","6,424,529.0","6,492,996.0","6,569,581.0","6,565,830.0","6,607,890.0","6,640,432.0","6,753,915.0","6,833,225.0","6,946,874.0","6,988,575.0","7,088,991.0","7,108,443.0","7,131,979.0","7,208,017.0","7,275,887.0","7,336,472.0","7,487,010.0","7,572,116.0","7,669,463.0","7,735,106.0","7,875,984.0","7,991,899.0","8,058,820.0","8,148,878.0","8,237,830.0","8,365,475.0","8,535,574.0","8,629,898.0","8,712,702.0","8,842,768.0","9,022,000.0","9,035,359.0","9,233,857.0","9,237,230.0","9,282,042.0","9,236,409.0","9,285,688.0","9,234,537.0","9,257,107.0","9,357,722.0","9,406,832.0","9,456,434.0","9,452,660.0","9,543,790.0","9,691,337.0","9,926,940.0","10,060,897.0","10,116,757.0","10,195,674.0","10,294,187.0","10,389,007.0","10,522,802.0","10,585,838.0","10,682,521.0","10,747,527.0","10,903,057.0","10,932,645.0","10,928,035.0","11,028,678.0","11,028,780.0","11,128,995.0","11,213,556.0","11,249,249.0","11,134,063.0","11,191,087.0","11,101,019.0","10,772,391.0","10,568,747.0","10,540,467.0","10,576,757.0","10,700,864.0","10,749,706.0","10,881,005.0","10,992,372.0","11,093,967.0","11,040,247.0","11,150,648.0","11,200,510.0","11,374,611.0","11,510,532.0","11,557,281.0","11,658,630.0","11,665,456.0","11,705,466.0","11,803,530.0"
"22","3","  Nonfarm \2\","A358RX1","3,079,776.0","3,083,312.0","3,100,007.0","3,077,594.0","3,073,816.0","3,079,483.0","3,110,847.0","3,060,697.0","3,164,467.0","3,185,312.0","3,213,665.0","3,222,199.0","3,306,773.0","3,398,452.0","3,436,140.0","3,500,728.0","3,633,077.0","3,674,495.0","3,663,452.0","3,657,892.0","3,634,882.0","3,634,780.0","3,583,670.0","3,555,610.0","3,471,264.0","3,496,656.0","3,568,608.0","3,633,208.0","3,747,673.0","3,784,969.0","3,806,940.0","3,839,663.0","3,904,027.0","3,995,607.0","4,078,556.0","4,065,474.0","4,087,388.0","4,289,011.0","4,324,912.0","4,404,983.0","4,396,811.0","4,402,559.0","4,434,769.0","4,439,640.0","4,450,063.0","4,324,953.0","4,319,594.0","4,421,700.0","4,521,327.0","4,466,374.0","4,502,559.0","4,432,177.0","4,329,433.0","4,355,261.0","4,332,706.0","4,332,560.0","4,416,056.0","4,568,223.0","4,691,664.0","4,802,566.0","4,902,818.0","4,998,616.0","5,042,960.0","5,079,393.0","5,129,448.0","5,180,138.0","5,260,682.0","5,308,532.0","5,363,425.0","5,392,039.0","5,445,524.0","5,473,458.0","5,511,939.0","5,583,333.0","5,623,654.0","5,730,610.0","5,755,436.0","5,853,666.0","5,887,101.0","5,975,613.0","6,025,431.0","6,072,320.0","6,117,748.0","6,121,977.0","6,189,209.0","6,210,639.0","6,196,991.0","6,115,536.0","6,070,130.0","6,131,599.0","6,167,878.0","6,193,639.0","6,277,690.0","6,354,759.0","6,423,154.0","6,505,184.0","6,510,216.0","6,549,130.0","6,599,384.0","6,694,950.0","6,759,847.0","6,873,554.0","6,915,138.0","7,024,912.0","7,057,471.0","7,083,095.0","7,163,923.0","7,226,839.0","7,277,049.0","7,422,867.0","7,513,540.0","7,608,690.0","7,668,939.0","7,805,924.0","7,917,042.0","7,987,265.0","8,083,742.0","8,175,274.0","8,301,021.0","8,471,696.0","8,566,731.0","8,644,229.0","8,777,091.0","8,953,120.0","8,956,545.0","9,153,492.0","9,154,099.0","9,201,898.0","9,159,167.0","9,217,498.0","9,169,095.0","9,173,166.0","9,298,614.0","9,330,219.0","9,371,918.0","9,364,625.0","9,453,850.0","9,595,598.0","9,841,268.0","9,986,650.0","10,015,618.0","10,114,520.0","10,204,529.0","10,288,656.0","10,426,495.0","10,485,705.0","10,581,987.0","10,648,944.0","10,807,431.0","10,822,522.0","10,827,674.0","10,936,967.0","10,941,163.0","11,047,648.0","11,140,034.0","11,169,499.0","11,039,081.0","11,104,132.0","11,016,583.0","10,669,869.0","10,465,924.0","10,436,160.0","10,458,169.0","10,587,382.0","10,641,566.0","10,764,896.0","10,876,695.0","10,988,483.0","10,930,303.0","11,056,255.0","11,103,875.0","11,264,280.0","11,402,113.0","11,447,042.0","11,564,004.0","11,583,294.0","11,575,620.0","11,682,227.0"
"23","4","  Farm","B359RX1","27,022.0","27,182.0","27,565.0","27,464.0","27,520.0","27,835.0","28,269.0","28,646.0","29,180.0","29,553.0","29,779.0","29,667.0","27,433.0","30,057.0","29,590.0","31,116.0","27,652.0","29,840.0","26,222.0","33,190.0","27,809.0","29,081.0","28,539.0","28,831.0","32,825.0","34,295.0","34,780.0","34,258.0","32,904.0","32,306.0","32,122.0","32,616.0","31,923.0","33,702.0","34,236.0","37,167.0","32,207.0","32,885.0","35,613.0","31,507.0","35,231.0","35,123.0","36,574.0","37,055.0","36,414.0","35,894.0","33,025.0","34,121.0","39,693.0","42,547.0","52,349.0","49,621.0","49,497.0","49,314.0","47,152.0","47,456.0","39,720.0","30,641.0","26,243.0","29,407.0","37,145.0","42,325.0","45,076.0","46,257.0","49,735.0","50,328.0","57,425.0","52,877.0","51,652.0","47,812.0","51,940.0","50,487.0","50,650.0","50,169.0","52,381.0","50,951.0","50,525.0","46,123.0","44,124.0","41,183.0","50,560.0","51,380.0","52,218.0","52,819.0","54,929.0","54,113.0","55,566.0","57,353.0","55,389.0","55,297.0","54,721.0","57,002.0","62,387.0","65,956.0","66,269.0","63,158.0","57,603.0","59,780.0","48,931.0","60,795.0","69,847.0","70,420.0","70,890.0","65,003.0","56,389.0","55,224.0","52,343.0","55,728.0","62,116.0","65,367.0","62,701.0","64,259.0","67,708.0","70,623.0","74,194.0","72,091.0","67,927.0","66,449.0","68,179.0","68,219.0","67,903.0","72,236.0","69,915.0","72,880.0","82,183.0","83,708.0","86,280.0","83,416.0","80,722.0","72,940.0","70,555.0","86,551.0","64,064.0","80,417.0","88,146.0","91,079.0","92,261.0","97,446.0","88,920.0","80,697.0","100,390.0","87,442.0","93,924.0","102,560.0","99,445.0","102,795.0","103,136.0","101,210.0","98,274.0","113,417.0","103,074.0","94,889.0","91,358.0","86,613.0","81,031.0","85,690.0","96,120.0","90,896.0","88,905.0","102,929.0","102,944.0","104,242.0","118,681.0","113,334.0","108,223.0","115,508.0","115,147.0","106,943.0","110,037.0","100,170.0","101,773.0","111,292.0","110,444.0","111,834.0","101,992.0","94,272.0","121,900.0","117,387.0"
"24","5","Households and institutions","A193RX1","623,197.0","630,705.0","635,847.0","639,529.0","639,088.0","639,605.0","645,350.0","654,009.0","663,664.0","669,810.0","676,970.0","683,456.0","691,908.0","698,233.0","703,844.0","709,166.0","714,085.0","720,820.0","728,899.0","737,722.0","746,427.0","752,821.0","758,865.0","765,523.0","773,592.0","781,205.0","787,130.0","790,372.0","790,537.0","793,817.0","796,730.0","798,113.0","792,015.0","797,813.0","806,829.0","811,397.0","824,896.0","832,766.0","839,225.0","850,830.0","858,162.0","863,171.0","869,557.0","874,289.0","885,190.0","893,098.0","900,765.0","904,635.0","908,347.0","912,217.0","915,700.0","924,833.0","931,107.0","937,082.0","946,196.0","950,194.0","958,461.0","965,554.0","973,139.0","987,246.0","991,330.0","990,281.0","1,001,679.0","1,015,968.0","1,019,032.0","1,023,348.0","1,027,184.0","1,038,588.0","1,049,718.0","1,057,359.0","1,064,744.0","1,070,223.0","1,081,348.0","1,090,545.0","1,117,019.0","1,128,797.0","1,142,847.0","1,154,167.0","1,168,246.0","1,186,998.0","1,194,378.0","1,206,083.0","1,213,638.0","1,222,211.0","1,233,358.0","1,243,868.0","1,253,701.0","1,261,223.0","1,266,295.0","1,270,073.0","1,278,289.0","1,287,082.0","1,289,389.0","1,301,987.0","1,318,450.0","1,333,679.0","1,357,182.0","1,370,823.0","1,384,047.0","1,392,739.0","1,401,711.0","1,413,112.0","1,428,453.0","1,438,495.0","1,449,945.0","1,460,348.0","1,466,383.0","1,475,774.0","1,479,883.0","1,488,217.0","1,496,303.0","1,506,131.0","1,517,109.0","1,529,688.0","1,544,352.0","1,560,681.0","1,572,776.0","1,585,249.0","1,596,562.0","1,605,623.0","1,614,215.0","1,628,044.0","1,640,460.0","1,657,981.0","1,673,803.0","1,689,679.0","1,706,849.0","1,727,236.0","1,729,180.0","1,735,948.0","1,742,927.0","1,745,374.0","1,753,180.0","1,765,595.0","1,769,877.0","1,777,633.0","1,737,689.0","1,703,263.0","1,683,877.0","1,698,683.0","1,719,900.0","1,741,863.0","1,759,325.0","1,773,681.0","1,786,649.0","1,798,610.0","1,812,363.0","1,823,788.0","1,840,939.0","1,852,776.0","1,860,195.0","1,865,519.0","1,872,380.0","1,879,390.0","1,886,299.0","1,894,708.0","1,901,000.0","1,910,207.0","1,913,019.0","1,913,891.0","1,907,272.0","1,907,319.0","1,915,262.0","1,924,608.0","1,930,778.0","1,931,177.0","1,928,777.0","1,932,188.0","1,938,682.0","1,948,125.0","1,952,464.0","1,957,316.0","1,959,171.0","1,959,988.0","1,961,726.0","1,962,681.0","1,968,641.0","1,968,030.0"
"25","6","  Households","B701RX1","346,884.0","351,703.0","355,136.0","358,258.0","358,203.0","358,938.0","362,082.0","367,596.0","372,590.0","376,164.0","381,723.0","387,735.0","391,663.0","394,714.0","396,913.0","400,259.0","403,001.0","406,893.0","411,953.0","417,245.0","423,461.0","426,940.0","430,338.0","434,303.0","436,991.0","440,841.0","443,480.0","445,077.0","445,783.0","448,239.0","449,765.0","449,559.0","441,526.0","445,840.0","452,956.0","456,130.0","467,459.0","472,028.0","476,381.0","484,501.0","487,548.0","488,277.0","491,259.0","494,579.0","501,293.0","507,238.0","510,028.0","511,829.0","513,004.0","514,564.0","514,872.0","517,778.0","518,424.0","518,830.0","522,073.0","522,349.0","526,738.0","529,400.0","532,575.0","542,311.0","543,131.0","539,821.0","550,038.0","561,417.0","566,206.0","568,883.0","570,051.0","575,515.0","579,927.0","581,215.0","584,853.0","585,583.0","591,537.0","593,336.0","608,342.0","613,302.0","618,228.0","621,766.0","627,365.0","637,866.0","639,336.0","644,426.0","646,915.0","648,580.0","652,147.0","656,195.0","659,340.0","662,593.0","664,519.0","665,534.0","671,389.0","675,750.0","675,214.0","683,427.0","691,927.0","698,217.0","710,469.0","714,300.0","721,292.0","728,384.0","738,633.0","747,508.0","759,143.0","766,181.0","772,178.0","777,986.0","780,597.0","786,185.0","788,888.0","792,647.0","797,413.0","802,612.0","807,780.0","813,481.0","820,203.0","827,783.0","829,597.0","835,922.0","842,010.0","848,513.0","857,737.0","868,621.0","878,026.0","888,348.0","897,943.0","907,112.0","917,439.0","928,814.0","935,316.0","942,597.0","948,884.0","947,224.0","947,093.0","951,005.0","950,712.0","956,326.0","967,127.0","972,923.0","975,929.0","991,639.0","998,339.0","1,009,067.0","1,020,723.0","1,033,683.0","1,050,011.0","1,062,032.0","1,072,339.0","1,081,186.0","1,091,412.0","1,095,328.0","1,094,277.0","1,089,428.0","1,082,747.0","1,079,896.0","1,083,540.0","1,092,731.0","1,104,318.0","1,116,515.0","1,120,466.0","1,121,328.0","1,110,836.0","1,106,213.0","1,108,782.0","1,114,516.0","1,118,173.0","1,117,251.0","1,113,144.0","1,113,232.0","1,117,554.0","1,120,584.0","1,118,423.0","1,119,368.0","1,117,543.0","1,115,805.0","1,116,145.0","1,114,446.0","1,117,732.0","1,116,412.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","276,588.0","278,889.0","280,282.0","280,324.0","279,872.0","279,465.0","282,091.0","284,930.0","289,732.0","292,234.0","293,203.0","292,768.0","297,601.0","301,062.0","304,811.0","306,647.0","308,802.0","311,586.0","314,417.0","317,825.0","319,909.0","322,847.0","325,482.0","328,103.0","333,938.0","337,795.0","341,243.0","342,936.0","342,240.0","342,898.0","344,303.0","346,133.0","349,297.0","350,478.0","351,813.0","353,081.0","354,179.0","357,455.0","359,405.0","362,549.0","367,016.0","371,749.0","375,282.0","376,517.0","380,541.0","382,142.0","387,347.0","389,496.0","392,233.0","394,673.0","398,231.0","404,996.0","411,374.0","417,739.0","424,109.0","428,386.0","432,316.0","437,110.0","441,805.0","445,619.0","449,257.0","452,251.0","452,399.0","454,426.0","452,017.0","453,610.0","456,510.0","462,647.0","469,772.0","476,850.0","480,699.0","486,026.0","491,239.0","499,456.0","510,825.0","518,011.0","527,802.0","536,253.0","545,248.0","553,472.0","560,001.0","566,950.0","572,428.0","580,102.0","588,333.0","595,231.0","602,490.0","606,975.0","610,328.0","613,339.0","615,399.0","619,944.0","623,192.0","627,323.0","635,425.0","644,821.0","656,249.0","666,896.0","673,204.0","674,291.0","671,860.0","673,838.0","676,877.0","679,572.0","685,101.0","689,688.0","693,275.0","696,993.0","698,304.0","703,075.0","706,334.0","711,022.0","717,041.0","724,211.0","732,479.0","741,572.0","753,055.0","759,338.0","764,597.0","766,787.0","765,096.0","767,308.0","769,755.0","776,819.0","782,870.0","789,512.0","796,208.0","805,233.0","799,488.0","798,213.0","798,404.0","803,176.0","812,097.0","821,217.0","826,282.0","828,052.0","772,064.0","729,889.0","707,246.0","706,485.0","721,117.0","732,478.0","738,342.0","739,745.0","736,316.0","736,227.0","739,656.0","742,222.0","749,125.0","757,016.0","765,521.0","775,879.0","789,815.0","800,012.0","803,283.0","802,286.0","796,736.0","793,641.0","792,501.0","792,532.0","796,406.0","801,107.0","806,493.0","810,106.0","812,610.0","813,930.0","815,613.0","818,921.0","821,109.0","827,506.0","833,975.0","837,874.0","841,533.0","844,066.0","845,456.0","848,084.0","850,757.0","851,457.0"
"27","8","General government \4\","A765RX1","1,129,002.0","1,138,403.0","1,147,767.0","1,152,386.0","1,146,130.0","1,146,753.0","1,148,254.0","1,149,209.0","1,150,836.0","1,148,932.0","1,149,928.0","1,151,289.0","1,145,422.0","1,145,365.0","1,150,629.0","1,157,472.0","1,154,267.0","1,153,758.0","1,154,824.0","1,161,297.0","1,172,836.0","1,177,158.0","1,181,295.0","1,187,284.0","1,194,996.0","1,197,061.0","1,199,697.0","1,201,105.0","1,204,179.0","1,206,144.0","1,210,939.0","1,215,909.0","1,217,215.0","1,218,968.0","1,225,288.0","1,229,473.0","1,237,212.0","1,241,166.0","1,250,717.0","1,258,728.0","1,260,771.0","1,258,857.0","1,259,354.0","1,269,074.0","1,276,162.0","1,283,929.0","1,284,701.0","1,282,116.0","1,283,930.0","1,286,938.0","1,295,203.0","1,299,821.0","1,303,395.0","1,307,692.0","1,308,305.0","1,310,908.0","1,316,044.0","1,318,771.0","1,321,940.0","1,321,473.0","1,326,118.0","1,334,668.0","1,345,475.0","1,352,768.0","1,363,281.0","1,374,168.0","1,390,444.0","1,397,822.0","1,405,679.0","1,414,249.0","1,423,089.0","1,436,077.0","1,442,423.0","1,449,979.0","1,456,730.0","1,472,526.0","1,485,885.0","1,491,091.0","1,499,488.0","1,511,061.0","1,519,434.0","1,528,601.0","1,540,163.0","1,548,662.0","1,563,103.0","1,569,817.0","1,578,295.0","1,581,276.0","1,591,026.0","1,590,357.0","1,588,189.0","1,588,664.0","1,594,166.0","1,595,939.0","1,599,282.0","1,597,380.0","1,601,292.0","1,601,073.0","1,601,898.0","1,598,973.0","1,601,399.0","1,603,482.0","1,604,880.0","1,600,809.0","1,606,198.0","1,608,232.0","1,608,345.0","1,598,418.0","1,597,357.0","1,612,989.0","1,612,494.0","1,612,513.0","1,615,870.0","1,618,803.0","1,623,738.0","1,625,525.0","1,631,445.0","1,637,160.0","1,642,483.0","1,644,950.0","1,648,350.0","1,649,371.0","1,655,047.0","1,662,389.0","1,671,349.0","1,684,834.0","1,682,188.0","1,685,164.0","1,696,374.0","1,707,521.0","1,717,332.0","1,723,460.0","1,732,488.0","1,741,301.0","1,748,561.0","1,751,562.0","1,760,581.0","1,765,635.0","1,766,641.0","1,767,882.0","1,771,869.0","1,774,980.0","1,778,784.0","1,785,671.0","1,790,122.0","1,791,604.0","1,796,216.0","1,798,496.0","1,798,804.0","1,802,898.0","1,813,624.0","1,820,867.0","1,823,809.0","1,829,297.0","1,837,372.0","1,848,154.0","1,857,951.0","1,865,711.0","1,879,711.0","1,888,350.0","1,896,261.0","1,909,137.0","1,910,396.0","1,914,681.0","1,917,192.0","1,925,819.0","1,918,359.0","1,916,530.0","1,915,398.0","1,912,998.0","1,909,776.0","1,910,664.0","1,912,173.0","1,910,696.0","1,913,742.0","1,911,613.0","1,909,983.0","1,909,424.0"
"28","9","  Federal","A766RX1","493,238.0","496,411.0","499,388.0","497,640.0","487,426.0","482,764.0","478,661.0","474,397.0","471,118.0","465,583.0","461,108.0","456,568.0","450,392.0","444,827.0","444,651.0","445,565.0","439,482.0","434,816.0","430,924.0","431,216.0","435,265.0","434,856.0","434,183.0","434,800.0","434,362.0","433,505.0","433,420.0","433,676.0","434,749.0","435,176.0","435,668.0","436,406.0","436,273.0","437,116.0","438,869.0","439,309.0","442,079.0","444,299.0","445,846.0","445,331.0","445,244.0","445,608.0","446,627.0","446,634.0","449,480.0","455,168.0","456,377.0","455,223.0","458,918.0","461,120.0","463,895.0","465,642.0","467,341.0","470,078.0","473,192.0","476,092.0","480,047.0","483,089.0","486,498.0","487,749.0","491,595.0","495,883.0","500,076.0","503,060.0","507,801.0","512,874.0","517,976.0","519,956.0","523,616.0","526,107.0","529,430.0","532,685.0","538,121.0","541,914.0","548,006.0","552,778.0","554,284.0","553,749.0","556,443.0","560,360.0","561,491.0","563,636.0","566,780.0","568,964.0","573,555.0","574,859.0","576,993.0","576,890.0","584,058.0","580,873.0","577,138.0","574,682.0","573,488.0","571,218.0","568,987.0","566,267.0","566,312.0","563,055.0","559,601.0","553,836.0","552,159.0","547,506.0","543,883.0","537,575.0","534,470.0","532,738.0","529,721.0","515,246.0","515,538.0","519,208.0","516,624.0","511,553.0","510,180.0","508,435.0","507,007.0","502,342.0","502,278.0","501,662.0","501,712.0","501,305.0","501,213.0","497,840.0","496,661.0","496,479.0","499,059.0","507,088.0","499,601.0","497,678.0","501,478.0","503,418.0","504,194.0","502,955.0","507,278.0","510,294.0","513,441.0","515,487.0","521,361.0","525,427.0","526,623.0","527,651.0","530,545.0","531,228.0","534,079.0","537,882.0","539,606.0","539,653.0","540,504.0","543,384.0","541,534.0","542,894.0","547,717.0","549,031.0","549,368.0","549,984.0","555,165.0","557,994.0","563,358.0","569,255.0","577,728.0","586,304.0","592,588.0","603,628.0","607,521.0","610,780.0","617,488.0","627,415.0","625,415.0","626,714.0","629,340.0","630,323.0","630,333.0","631,815.0","631,678.0","630,481.0","629,556.0","628,536.0","626,608.0","624,207.0"
"29","10","  State and local","A767RX1","603,593.0","609,832.0","616,280.0","623,682.0","630,239.0","637,174.0","644,339.0","651,118.0","657,392.0","662,787.0","670,000.0","677,746.0","679,627.0","687,339.0","693,572.0","700,104.0","704,953.0","710,890.0","717,542.0","724,550.0","732,077.0","737,565.0","743,181.0","749,128.0","758,504.0","762,017.0","765,106.0","766,351.0","768,370.0","770,015.0","774,760.0","779,378.0","781,037.0","781,865.0","786,610.0","790,731.0","795,712.0","797,171.0","805,816.0","815,527.0","817,931.0","815,286.0","814,487.0","825,325.0","829,463.0","830,608.0","829,889.0","828,533.0","825,637.0","826,092.0","831,644.0","834,489.0","836,218.0","837,377.0","833,933.0","833,005.0","833,526.0","832,609.0","831,732.0","829,626.0","829,823.0","833,747.0","840,277.0","844,491.0","850,015.0","855,536.0","866,877.0","872,430.0","876,440.0","882,636.0","888,098.0","898,067.0","898,368.0","901,918.0","901,991.0","913,111.0","925,453.0","931,580.0","937,319.0","944,986.0","952,475.0","959,636.0","968,156.0","974,550.0","984,427.0","989,935.0","996,343.0","999,524.0","1,001,748.0","1,004,542.0","1,006,372.0","1,009,508.0","1,016,420.0","1,020,664.0","1,026,452.0","1,027,397.0","1,031,335.0","1,034,539.0","1,039,008.0","1,042,098.0","1,046,315.0","1,053,321.0","1,058,540.0","1,061,009.0","1,069,770.0","1,073,677.0","1,076,966.0","1,082,180.0","1,080,785.0","1,092,822.0","1,095,044.0","1,100,389.0","1,105,258.0","1,110,089.0","1,116,599.0","1,123,291.0","1,129,351.0","1,135,780.0","1,141,109.0","1,144,018.0","1,147,549.0","1,152,055.0","1,158,982.0","1,166,554.0","1,172,945.0","1,178,328.0","1,183,269.0","1,188,204.0","1,195,608.0","1,204,819.0","1,213,850.0","1,221,212.0","1,225,928.0","1,231,739.0","1,235,857.0","1,236,811.0","1,239,859.0","1,240,734.0","1,240,510.0","1,240,705.0","1,241,742.0","1,244,177.0","1,245,075.0","1,248,120.0","1,250,826.0","1,252,271.0","1,256,048.0","1,255,367.0","1,257,602.0","1,260,329.0","1,266,182.0","1,272,133.0","1,274,758.0","1,279,668.0","1,282,484.0","1,290,444.0","1,294,822.0","1,296,599.0","1,302,054.0","1,302,091.0","1,303,699.0","1,305,492.0","1,302,866.0","1,303,903.0","1,299,708.0","1,298,380.0","1,292,919.0","1,289,787.0","1,286,016.0","1,282,621.0","1,279,384.0","1,278,785.0","1,280,437.0","1,280,160.0","1,284,134.0","1,283,026.0","1,283,325.0","1,285,182.0"
"30","11","Residual","A961RX1","-140,000.0","-145,200.0","-147,200.0","-154,000.0","-154,200.0","-154,600.0","-153,500.0","-163,400.0","-154,600.0","-154,300.0","-154,200.0","-157,200.0","-156,500.0","-143,800.0","-145,900.0","-138,900.0","-142,400.0","-132,900.0","-158,400.0","-125,400.0","-162,300.0","-160,700.0","-172,600.0","-179,300.0","-181,200.0","-177,700.0","-171,100.0","-167,100.0","-159,300.0","-158,800.0","-160,000.0","-157,600.0","-151,100.0","-138,000.0","-132,000.0","-130,200.0","-146,500.0","-125,700.0","-119,400.0","-131,000.0","-123,500.0","-124,700.0","-119,000.0","-122,900.0","-129,400.0","-150,300.0","-160,200.0","-146,700.0","-122,100.0","-125,200.0","-107,800.0","-126,700.0","-144,200.0","-145,300.0","-153,400.0","-153,700.0","-157,200.0","-159,900.0","-157,800.0","-143,200.0","-120,800.0","-104,400.0","-101,300.0","-101,000.0","-93,600.0","-91,400.0","-82,600.0","-87,500.0","-89,000.0","-95,100.0","-90,400.0","-95,400.0","-95,400.0","-94,000.0","-95,800.0","-95,000.0","-101,300.0","-102,700.0","-108,300.0","-112,000.0","-100,900.0","-101,600.0","-102,100.0","-106,400.0","-105,000.0","-108,800.0","-113,400.0","-121,100.0","-130,000.0","-126,200.0","-125,200.0","-123,700.0","-115,200.0","-109,700.0","-109,000.0","-108,600.0","-118,100.0","-117,800.0","-125,300.0","-111,300.0","-101,000.0","-95,400.0","-95,500.0","-92,700.0","-99,600.0","-101,300.0","-99,100.0","-93,000.0","-85,200.0","-78,100.0","-76,300.0","-71,200.0","-67,800.0","-60,500.0","-55,500.0","-56,200.0","-57,000.0","-55,700.0","-50,500.0","-42,600.0","-38,300.0","-34,500.0","-30,400.0","-24,400.0","-26,300.0","-20,500.0","-22,100.0","-23,200.0","-26,100.0","-26,600.0","-31,000.0","-29,200.0","-30,500.0","-30,100.0","-29,600.0","-29,500.0","-18,100.0","-10,100.0","-6,400.0","-8,200.0","-1,000.0","-8,200.0","-5,600.0","-3,000.0","-2,400.0","-1,500.0","-700.0","-300.0","1,100.0","200.0","-100.0","100.0","-1,200.0","-2,300.0","-4,000.0","-2,500.0","1,000.0","-1,800.0","-3,200.0","-400.0","-200.0","100.0","-100.0","200.0","-100.0","600.0","500.0","-1,600.0","-300.0","-6,200.0","-5,700.0","-1,400.0","-2,000.0","-1,700.0","-7,300.0","-12,000.0","8,000.0","4,100.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
