"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RX1","4,707,931.0","4,717,667.0","4,873,010.0","5,128,774.0","5,418,206.0","5,390,187.0","5,379,527.0","5,669,275.0","5,930,551.0","6,260,390.0","6,459,211.0","6,443,411.0","6,610,640.0","6,484,313.0","6,784,705.0","7,277,229.0","7,585,699.0","7,852,072.0","8,123,937.0","8,465,447.0","8,776,978.0","8,945,439.0","8,938,883.0","9,256,661.0","9,510,774.0","9,894,702.0","10,163,690.0","10,549,488.0","11,022,879.0","11,513,417.0","12,071,355.0","12,565,164.0","12,684,428.0","12,909,717.0","13,270,043.0","13,773,988.0","14,235,557.0","14,615,196.0","14,876,787.0","14,833,557.0","14,417,943.0","14,779,350.0","15,052,373.0","15,470,712.0"
"21","2","    Gross domestic income","A261RX1","4,700,494.0","4,694,317.0","4,833,446.0","5,100,240.0","5,394,982.0","5,364,436.0","5,337,414.0","5,607,443.0","5,875,800.0","6,198,818.0","6,349,337.0","6,344,567.0","6,535,129.0","6,471,170.0","6,683,653.0","7,207,620.0","7,496,208.0","7,720,772.0","8,056,285.0","8,466,191.0","8,677,498.0","8,808,785.0","8,810,992.0","9,099,706.0","9,300,220.0","9,709,519.0","10,043,632.0","10,475,798.0","11,007,251.0","11,589,629.0","12,111,912.0","12,680,578.0","12,817,622.0","12,992,090.0","13,283,875.0","13,781,255.0","14,272,272.0","14,842,293.0","14,856,053.0","14,733,815.0","14,345,697.0","14,736,700.0","15,104,307.0","15,486,969.0"
"22","3","    Net domestic product \1\","A362RX1","4,271,240.0","4,255,448.0","4,394,497.0","4,634,414.0","4,899,755.0","4,840,321.0","4,805,064.0","5,082,017.0","5,321,892.0","5,626,485.0","5,788,385.0","5,728,914.0","5,864,641.0","5,691,690.0","5,968,415.0","6,433,234.0","6,691,289.0","6,908,175.0","7,130,893.0","7,428,911.0","7,696,070.0","7,818,937.0","7,771,904.0","8,060,516.0","8,277,796.0","8,620,692.0","8,836,527.0","9,163,805.0","9,566,262.0","9,969,914.0","10,428,973.0","10,818,969.0","10,847,951.0","11,008,921.0","11,310,468.0","11,745,901.0","12,129,088.0","12,424,634.0","12,604,874.0","12,496,087.0","12,049,562.0","12,396,633.0","12,639,785.0","13,015,820.0"
"23","4","    Net domestic income \1\","W256RX1","4,263,649.0","4,231,267.0","4,353,584.0","4,604,843.0","4,875,832.0","4,813,616.0","4,761,278.0","5,017,805.0","5,264,850.0","5,562,394.0","5,673,746.0","5,625,598.0","5,785,708.0","5,677,984.0","5,863,449.0","6,361,085.0","6,598,896.0","6,772,576.0","7,061,079.0","7,429,769.0","7,593,623.0","7,678,754.0","7,640,882.0","7,900,306.0","8,063,215.0","8,432,061.0","8,714,242.0","9,088,952.0","9,550,370.0","10,047,096.0","10,469,871.0","10,935,511.0","10,982,107.0","11,091,685.0","11,324,394.0","11,753,114.0","12,165,901.0","12,652,788.0","12,584,006.0","12,395,967.0","11,977,315.0","12,354,187.0","12,691,603.0","13,031,977.0"
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RX1","4,745,177.0","4,754,605.0","4,913,591.0","5,172,237.0","5,475,101.0","5,454,136.0","5,430,383.0","5,729,089.0","5,997,258.0","6,326,938.0","6,546,980.0","6,530,349.0","6,687,961.0","6,564,569.0","6,863,183.0","7,352,460.0","7,640,205.0","7,890,902.0","8,161,049.0","8,509,874.0","8,822,645.0","9,003,034.0","8,988,624.0","9,305,002.0","9,559,803.0","9,932,246.0","10,206,227.0","10,595,094.0","11,058,142.0","11,540,702.0","12,108,900.0","12,614,346.0","12,750,186.0","12,970,768.0","13,352,227.0","13,878,967.0","14,340,766.0","14,690,924.0","15,009,734.0","15,008,994.0","14,565,122.0","14,966,535.0","15,286,710.0","15,693,075.0"
"26","6","    Gross national income","A023RX1","4,737,688.0","4,731,064.0","4,873,881.0","5,143,722.0","5,451,941.0","5,428,272.0","5,388,102.0","5,667,209.0","5,942,446.0","6,265,303.0","6,436,857.0","6,431,361.0","6,612,329.0","6,551,471.0","6,762,017.0","7,282,684.0","7,550,619.0","7,759,469.0","8,093,421.0","8,510,661.0","8,722,991.0","8,866,255.0","8,860,700.0","9,147,970.0","9,349,115.0","9,746,974.0","10,086,183.0","10,521,438.0","11,042,497.0","11,616,994.0","12,149,437.0","12,729,810.0","12,883,463.0","13,053,219.0","13,366,161.0","13,886,221.0","14,377,538.0","14,917,941.0","14,989,056.0","14,909,152.0","14,492,876.0","14,923,983.0","15,338,709.0","15,709,221.0"
"27","7","    Net national product \1\","A027RX1","4,309,180.0","4,293,019.0","4,435,812.0","4,678,692.0","4,957,884.0","4,905,688.0","4,856,800.0","5,143,036.0","5,390,038.0","5,694,402.0","5,878,362.0","5,817,960.0","5,943,577.0","5,773,645.0","6,048,457.0","6,509,842.0","6,746,373.0","6,946,990.0","7,167,870.0","7,473,378.0","7,741,762.0","7,876,845.0","7,821,742.0","8,108,892.0","8,326,847.0","8,658,011.0","8,878,898.0","9,209,261.0","9,601,178.0","9,996,705.0","10,466,091.0","10,867,795.0","10,913,467.0","11,069,681.0","11,392,424.0","11,850,696.0","12,234,094.0","12,500,001.0","12,737,707.0","12,671,571.0","12,196,741.0","12,583,744.0","12,873,904.0","13,237,980.0"
"28",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","8","    Gross domestic purchases","A712RX1","4,821,840.0","4,815,809.0","4,983,778.0","5,255,451.0","5,509,239.0","5,440,700.0","5,383,174.0","5,732,918.0","6,036,520.0","6,365,821.0","6,524,898.0","6,403,952.0","6,578,856.0","6,492,059.0","6,876,694.0","7,473,864.0","7,811,338.0","8,100,435.0","8,359,391.0","8,635,024.0","8,903,311.0","9,036,162.0","8,974,226.0","9,295,444.0","9,600,880.0","10,023,343.0","10,280,339.0","10,681,780.0","11,188,714.0","11,807,226.0","12,474,640.0","13,069,536.0","13,213,516.0","13,520,061.0","13,937,111.0","14,529,147.0","15,036,248.0","15,424,831.0","15,600,784.0","15,391,964.0","14,810,144.0","15,244,470.0","15,501,126.0","15,902,253.0"
"30","9","    Final sales to domestic purchasers \2\","A713RX1","4,807,591.0","4,835,551.0","4,977,521.0","5,247,924.0","5,477,784.0","5,423,210.0","5,432,857.0","5,709,544.0","6,000,655.0","6,324,356.0","6,509,141.0","6,444,954.0","6,548,205.0","6,547,042.0","6,915,319.0","7,385,659.0","7,799,975.0","8,113,438.0","8,340,721.0","8,628,054.0","8,882,902.0","9,034,171.0","8,994,660.0","9,291,639.0","9,591,283.0","9,956,166.0","10,257,387.0","10,657,859.0","11,110,392.0","11,734,359.0","12,404,459.0","13,005,692.0","13,262,358.0","13,501,252.0","13,916,064.0","14,458,739.0","14,971,741.0","15,354,195.0","15,564,179.0","15,427,849.0","14,957,714.0","15,183,154.0","15,463,406.0","15,835,177.0"
"31",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10","    Command-basis gross domestic product","C191RX1","4,822,391.0","4,827,463.0","4,979,972.0","5,234,930.0","5,518,218.0","5,432,509.0","5,427,887.0","5,720,716.0","5,963,781.0","6,291,087.0","6,462,535.0","6,366,503.0","6,541,303.0","6,448,144.0","6,775,362.0","7,282,840.0","7,605,770.0","7,867,294.0","8,119,089.0","8,459,572.0","8,769,596.0","8,919,564.0","8,933,517.0","9,246,846.0","9,511,096.0","9,898,790.0","10,161,814.0","10,556,955.0","11,057,565.0","11,599,445.0","12,146,132.0","12,603,612.0","12,769,820.0","13,016,088.0","13,355,931.0","13,836,538.0","14,257,385.0","14,620,757.0","14,871,381.0","14,684,643.0","14,417,943.0","14,733,116.0","14,953,046.0","15,383,214.0"
"33","11","    Command-basis net domestic product \1\","C362RX1","4,385,906.0","4,364,619.0","4,500,555.0","4,739,611.0","4,998,415.0","4,878,814.0","4,849,715.0","5,129,753.0","5,350,422.0","5,652,005.0","5,785,148.0","5,642,529.0","5,786,135.0","5,648,535.0","5,953,111.0","6,433,414.0","6,706,683.0","6,918,390.0","7,119,816.0","7,416,707.0","7,682,450.0","7,786,661.0","7,760,902.0","8,044,906.0","8,272,461.0","8,619,031.0","8,828,617.0","9,165,461.0","9,595,937.0","10,051,490.0","10,499,163.0","10,852,568.0","10,929,214.0","11,111,941.0","11,394,006.0","11,806,466.0","12,147,875.0","12,426,341.0","12,596,114.0","12,345,686.0","12,049,562.0","12,351,697.0","12,542,454.0","12,929,897.0"
"34","12","    Command-basis gross national product","CB22RX1","4,851,306.0","4,856,148.0","5,012,358.0","5,269,864.0","5,566,963.0","5,486,946.0","5,469,679.0","5,772,045.0","6,021,797.0","6,348,699.0","6,540,933.0","6,442,534.0","6,608,397.0","6,518,525.0","6,844,426.0","7,348,248.0","7,650,153.0","7,896,357.0","8,148,242.0","8,496,062.0","8,808,020.0","8,971,313.0","8,979,221.0","9,290,791.0","9,555,339.0","9,931,112.0","10,199,945.0","10,598,376.0","11,088,524.0","11,622,715.0","12,180,227.0","12,648,941.0","12,832,079.0","13,073,697.0","13,434,873.0","13,938,068.0","14,359,212.0","14,692,971.0","15,001,257.0","14,857,177.0","14,565,122.0","14,935,984.0","15,204,063.0","15,622,656.0"
"35","13","    Command-basis net national product \1\","C027RX1","4,415,872.0","4,394,331.0","4,534,099.0","4,775,778.0","5,048,855.0","4,935,209.0","4,893,167.0","5,183,151.0","5,410,819.0","5,712,047.0","5,866,848.0","5,721,696.0","5,856,044.0","5,721,908.0","6,024,846.0","6,501,157.0","6,752,535.0","6,948,410.0","7,149,874.0","7,454,298.0","7,721,948.0","7,839,704.0","7,807,658.0","8,089,715.0","8,317,516.0","8,651,925.0","8,867,431.0","9,207,531.0","9,627,324.0","10,075,051.0","10,533,630.0","10,898,335.0","10,991,974.0","11,169,895.0","11,473,240.0","11,908,292.0","12,250,108.0","12,498,901.0","12,726,510.0","12,518,482.0","12,196,741.0","12,553,981.0","12,792,480.0","13,168,503.0"
"36",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","14","    Disposable personal income","A067RX1","3,264,449.0","3,413,393.0","3,570,368.0","3,741,307.0","3,968,594.0","3,923,736.0","4,020,169.0","4,143,963.0","4,274,827.0","4,470,485.0","4,557,845.0","4,590,632.0","4,705,676.0","4,803,435.0","4,971,027.0","5,314,034.0","5,476,252.0","5,687,885.0","5,811,125.0","6,083,949.0","6,268,779.0","6,393,560.0","6,438,511.0","6,714,295.0","6,823,647.0","7,010,791.0","7,245,947.0","7,476,207.0","7,751,369.0","8,208,348.0","8,477,843.0","8,902,537.0","9,149,267.0","9,431,703.0","9,691,018.0","10,036,713.0","10,190,514.0","10,596,366.0","10,821,801.0","10,988,444.0","10,937,156.0","11,060,779.0","11,324,630.0","11,551,635.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
