"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"21","2","Business \1\","A195RX1","1,283,373.0","1,287,601.0","1,285,997.0","1,312,672.0","1,335,658.0","1,363,453.0","1,369,557.0","1,368,142.0","1,344,245.0","1,337,360.0","1,354,073.0","1,340,398.0","1,405,559.0","1,451,753.0","1,512,851.0","1,529,099.0","1,545,190.0","1,559,418.0","1,585,330.0","1,585,276.0","1,599,018.0","1,597,575.0","1,608,097.0","1,672,021.0","1,706,472.0","1,719,524.0","1,704,625.0","1,672,106.0","1,661,151.0","1,660,951.0","1,680,895.0","1,718,035.0","1,775,905.0","1,809,996.0","1,835,549.0","1,845,117.0","1,833,123.0","1,848,220.0","1,840,814.0","1,873,990.0","1,885,408.0","1,875,910.0","1,893,803.0","1,868,764.0","1,805,438.0","1,815,439.0","1,862,067.0","1,913,002.0","1,957,417.0","2,013,090.0","2,002,765.0","2,006,350.0","2,055,915.0","2,036,725.0","2,038,678.0","2,001,402.0","2,012,928.0","2,058,330.0","2,095,281.0","2,137,936.0","2,180,718.0","2,204,602.0","2,225,264.0","2,231,443.0","2,258,583.0","2,290,117.0","2,339,843.0","2,356,752.0","2,416,090.0","2,444,721.0","2,480,803.0","2,485,555.0","2,560,448.0","2,596,445.0","2,653,020.0","2,721,866.0","2,798,932.0","2,803,842.0","2,814,402.0","2,832,142.0","2,856,924.0","2,853,559.0","2,874,473.0","2,896,143.0","2,961,566.0","3,015,660.0","3,035,163.0","3,049,031.0","3,101,446.0","3,105,420.0"
"22","3","  Nonfarm \2\","A358RX1","1,236,243.0","1,265,010.0","1,231,106.0","1,295,148.0","1,308,438.0","1,304,490.0","1,315,577.0","1,308,565.0","1,299,099.0","1,290,797.0","1,307,942.0","1,295,737.0","1,351,008.0","1,399,981.0","1,475,435.0","1,491,221.0","1,519,410.0","1,526,219.0","1,545,786.0","1,550,155.0","1,566,886.0","1,559,195.0","1,564,235.0","1,638,004.0","1,668,065.0","1,676,326.0","1,667,773.0","1,635,354.0","1,616,177.0","1,615,426.0","1,638,354.0","1,678,243.0","1,737,953.0","1,765,692.0","1,791,298.0","1,807,434.0","1,795,995.0","1,808,098.0","1,800,980.0","1,830,073.0","1,852,708.0","1,841,845.0","1,859,119.0","1,826,520.0","1,760,398.0","1,769,320.0","1,823,915.0","1,882,383.0","1,920,147.0","1,980,063.0","1,970,259.0","1,967,158.0","2,025,222.0","2,001,475.0","1,995,765.0","1,953,135.0","1,967,125.0","2,018,588.0","2,058,410.0","2,104,165.0","2,146,973.0","2,168,951.0","2,192,675.0","2,197,165.0","2,217,855.0","2,254,522.0","2,308,714.0","2,326,564.0","2,391,031.0","2,417,738.0","2,451,610.0","2,453,232.0","2,528,565.0","2,568,896.0","2,621,091.0","2,693,979.0","2,771,096.0","2,781,305.0","2,798,601.0","2,810,165.0","2,830,736.0","2,824,956.0","2,845,770.0","2,868,934.0","2,938,171.0","2,994,755.0","3,014,736.0","3,028,048.0","3,079,776.0","3,083,312.0"
"23","4","  Farm","B359RX1","19,812.0","16,620.0","21,297.0","16,062.0","17,538.0","22,611.0","21,923.0","22,952.0","20,232.0","20,517.0","20,632.0","20,224.0","22,629.0","22,431.0","20,409.0","20,631.0","18,908.0","20,185.0","21,480.0","20,761.0","20,393.0","21,485.0","22,573.0","21,285.0","22,466.0","23,586.0","22,088.0","21,809.0","23,587.0","23,699.0","23,151.0","22,783.0","22,794.0","24,579.0","24,770.0","23,162.0","22,910.0","23,807.0","23,685.0","25,019.0","22,104.0","22,426.0","22,719.0","24,480.0","24,730.0","25,062.0","23,389.0","21,791.0","23,839.0","23,086.0","22,869.0","24,685.0","22,659.0","23,793.0","25,994.0","27,300.0","26,676.0","25,231.0","24,658.0","24,088.0","24,374.0","25,071.0","24,374.0","24,902.0","26,922.0","25,669.0","24,717.0","24,543.0","23,413.0","24,152.0","25,037.0","26,003.0","26,373.0","25,353.0","26,969.0","26,277.0","26,761.0","25,388.0","23,677.0","25,459.0","26,820.0","27,509.0","27,662.0","27,341.0","26,601.0","26,209.0","26,209.0","26,474.0","27,022.0","27,182.0"
"24","5","Households and institutions","A193RX1","181,914.0","182,802.0","184,680.0","187,397.0","190,883.0","194,190.0","197,278.0","200,102.0","202,640.0","205,727.0","209,345.0","213,463.0","218,014.0","222,369.0","226,505.0","230,430.0","233,993.0","237,683.0","241,349.0","244,961.0","248,943.0","252,712.0","256,606.0","260,747.0","264,703.0","268,857.0","272,715.0","276,308.0","280,023.0","284,323.0","289,476.0","295,483.0","302,262.0","308,516.0","314,224.0","319,417.0","323,999.0","328,568.0","333,003.0","337,311.0","341,673.0","346,202.0","351,065.0","356,285.0","361,650.0","366,985.0","372,073.0","376,953.0","381,230.0","387,337.0","394,126.0","401,865.0","408,536.0","415,681.0","421,552.0","427,740.0","431,599.0","432,275.0","436,775.0","445,794.0","451,543.0","457,592.0","464,426.0","471,440.0","474,098.0","477,696.0","483,234.0","487,336.0","492,310.0","499,390.0","504,095.0","509,637.0","515,280.0","522,225.0","531,301.0","539,209.0","544,097.0","547,237.0","556,141.0","562,116.0","566,019.0","572,180.0","579,735.0","588,005.0","594,221.0","601,487.0","608,972.0","615,464.0","623,197.0","630,705.0"
"25","6","  Households","B701RX1","101,934.0","102,396.0","103,110.0","104,026.0","105,129.0","106,410.0","107,823.0","109,354.0","111,000.0","112,973.0","115,255.0","117,836.0","120,663.0","123,419.0","126,066.0","128,613.0","130,977.0","133,385.0","135,756.0","138,075.0","140,649.0","143,009.0","145,385.0","147,883.0","150,197.0","152,685.0","154,992.0","157,149.0","159,427.0","162,066.0","165,241.0","168,957.0","173,143.0","176,989.0","180,482.0","183,637.0","186,411.0","189,179.0","191,878.0","194,508.0","197,199.0","199,868.0","202,639.0","205,538.0","208,371.0","211,407.0","214,442.0","217,495.0","220,316.0","223,923.0","227,588.0","231,632.0","234,530.0","238,242.0","241,560.0","245,662.0","248,668.0","248,830.0","251,592.0","257,513.0","260,352.0","263,690.0","267,773.0","272,346.0","273,585.0","275,488.0","278,862.0","281,011.0","283,621.0","288,171.0","290,377.0","293,504.0","296,212.0","299,999.0","305,243.0","309,893.0","311,289.0","312,426.0","318,137.0","322,218.0","324,766.0","328,004.0","331,179.0","333,985.0","334,738.0","336,801.0","339,500.0","342,571.0","346,884.0","351,703.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","81,224.0","81,698.0","83,259.0","85,810.0","89,284.0","92,045.0","94,119.0","95,487.0","96,122.0","96,966.0","98,013.0","99,240.0","100,660.0","101,907.0","103,021.0","104,015.0","104,815.0","105,721.0","106,653.0","107,619.0","108,675.0","109,826.0","111,128.0","112,585.0","114,143.0","115,655.0","117,060.0","118,350.0","119,577.0","120,995.0","122,666.0","124,590.0","126,771.0","128,817.0","130,734.0","132,525.0","134,128.0","135,720.0","137,243.0","138,707.0","140,138.0","141,881.0","143,950.0","146,332.0","149,067.0","151,342.0","153,232.0","154,747.0","155,788.0","158,135.0","161,433.0","165,459.0","170,088.0","173,825.0","176,366.0","177,862.0","177,924.0","178,646.0","180,171.0","182,491.0","185,768.0","188,543.0","191,089.0","192,987.0","194,630.0","196,428.0","198,373.0","200,453.0","202,962.0","205,038.0","207,881.0","210,286.0","213,572.0","216,806.0","220,509.0","223,588.0","228,007.0","230,441.0","233,159.0","234,602.0","235,757.0","238,804.0","243,782.0","250,300.0","257,400.0","263,822.0","269,500.0","273,219.0","276,588.0","278,889.0"
"27","8","General government \4\","A765RX1","542,522.0","525,800.0","523,522.0","514,026.0","510,465.0","501,545.0","506,119.0","511,358.0","512,039.0","512,043.0","510,503.0","502,336.0","496,172.0","504,024.0","515,105.0","560,423.0","580,453.0","625,364.0","656,990.0","664,236.0","677,658.0","687,810.0","692,851.0","691,231.0","696,460.0","699,914.0","702,881.0","699,577.0","698,167.0","698,614.0","701,050.0","702,843.0","702,417.0","699,025.0","703,426.0","707,181.0","709,274.0","712,821.0","720,996.0","726,632.0","730,239.0","735,196.0","741,416.0","736,710.0","735,811.0","741,576.0","751,713.0","756,447.0","753,047.0","756,219.0","760,958.0","766,695.0","775,241.0","788,353.0","791,680.0","797,476.0","806,440.0","811,916.0","822,678.0","838,743.0","846,985.0","853,886.0","859,871.0","862,509.0","870,007.0","879,760.0","890,388.0","895,537.0","903,422.0","912,974.0","921,620.0","929,161.0","931,280.0","942,042.0","954,910.0","969,687.0","982,936.0","999,401.0","1,020,233.0","1,040,695.0","1,054,188.0","1,060,560.0","1,074,217.0","1,081,807.0","1,096,818.0","1,110,257.0","1,119,166.0","1,119,422.0","1,129,002.0","1,138,403.0"
"28","9","  Federal","A766RX1","288,206.0","274,230.0","270,894.0","262,368.0","259,661.0","252,623.0","255,028.0","257,110.0","254,750.0","251,712.0","247,669.0","239,199.0","233,845.0","239,408.0","247,508.0","282,358.0","297,014.0","331,170.0","354,903.0","359,098.0","368,853.0","375,830.0","378,260.0","375,038.0","377,338.0","378,023.0","377,921.0","373,056.0","369,969.0","368,477.0","368,329.0","367,228.0","365,207.0","360,347.0","360,585.0","360,284.0","359,807.0","358,153.0","361,035.0","362,339.0","363,389.0","364,763.0","366,119.0","358,481.0","355,084.0","355,366.0","359,579.0","360,313.0","356,422.0","357,190.0","358,384.0","360,194.0","363,276.0","370,055.0","368,665.0","369,991.0","372,318.0","375,149.0","380,370.0","391,143.0","396,780.0","398,873.0","399,813.0","398,270.0","400,748.0","405,017.0","408,322.0","408,612.0","409,536.0","412,588.0","415,821.0","416,236.0","414,769.0","416,673.0","420,806.0","427,310.0","434,300.0","442,446.0","454,107.0","464,520.0","475,596.0","477,343.0","482,342.0","483,040.0","486,928.0","492,936.0","495,000.0","490,444.0","493,238.0","496,411.0"
"29","10","  State and local","A767RX1","213,154.0","216,495.0","219,463.0","221,653.0","221,460.0","221,598.0","223,427.0","226,628.0","231,251.0","236,185.0","240,767.0","244,229.0","245,127.0","245,843.0","246,606.0","247,737.0","249,460.0","251,498.0","253,839.0","256,266.0","257,850.0","259,632.0","262,048.0","264,847.0","267,626.0","270,654.0","274,248.0","277,398.0","280,177.0","282,817.0","285,825.0","289,433.0","291,820.0","294,892.0","299,721.0","304,558.0","307,671.0","314,206.0","319,578.0","324,253.0","326,938.0","330,736.0","336,030.0","341,571.0","345,498.0","351,902.0","357,678.0","362,209.0","363,964.0","366,586.0","370,448.0","374,581.0","380,153.0","385,654.0","391,578.0","396,431.0","403,513.0","405,787.0","410,796.0","414,103.0","415,684.0","420,662.0","426,203.0","431,408.0","436,540.0","441,741.0","449,289.0","454,791.0","462,582.0","469,291.0","474,699.0","482,847.0","487,390.0","497,109.0","506,107.0","513,946.0","519,312.0","526,780.0","534,355.0","543,286.0","543,496.0","548,319.0","556,921.0","564,480.0","576,080.0","583,072.0","590,263.0","596,631.0","603,593.0","609,832.0"
"30","11","Residual","A961RX1","-7,900.0","-26,000.0","-800.0","-26,300.0","-13,900.0","20,200.0","13,400.0","13,100.0","-6,900.0","-10,400.0","-9,500.0","-13,600.0","8,600.0","12,600.0","9,200.0","-3,300.0","-18,300.0","-25,900.0","-28,000.0","-36,300.0","-42,300.0","-42,700.0","-39,900.0","-35,700.0","-28,900.0","-26,000.0","-37,700.0","-45,900.0","-43,400.0","-45,200.0","-46,700.0","-44,400.0","-36,500.0","-26,500.0","-26,100.0","-33,500.0","-39,500.0","-39,000.0","-46,500.0","-41,400.0","-50,600.0","-56,000.0","-57,300.0","-59,200.0","-73,200.0","-76,100.0","-79,500.0","-79,400.0","-66,600.0","-62,900.0","-70,800.0","-71,600.0","-75,800.0","-84,700.0","-84,000.0","-92,000.0","-96,900.0","-95,200.0","-96,500.0","-98,900.0","-96,500.0","-96,400.0","-100,400.0","-102,300.0","-97,400.0","-101,000.0","-102,200.0","-104,500.0","-103,900.0","-104,100.0","-102,100.0","-105,400.0","-97,200.0","-102,200.0","-98,300.0","-98,300.0","-92,900.0","-103,600.0","-116,900.0","-118,700.0","-116,300.0","-120,200.0","-125,700.0","-130,900.0","-133,500.0","-135,400.0","-140,200.0","-141,900.0","-140,000.0","-145,200.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","12","  Gross housing value added","A2009X1","126,931.0","127,778.0","128,968.0","130,441.0","132,140.0","134,039.0","136,100.0","138,287.0","140,575.0","142,924.0","145,321.0","147,758.0","150,157.0","152,732.0","155,411.0","158,195.0","161,019.0","164,038.0","167,172.0","170,393.0","173,945.0","177,067.0","180,016.0","182,788.0","185,076.0","187,792.0","190,637.0","193,624.0","196,956.0","200,037.0","203,055.0","206,002.0","208,870.0","211,701.0","214,503.0","217,299.0","219,905.0","222,921.0","226,137.0","229,558.0","233,529.0","237,069.0","240,526.0","243,911.0","246,774.0","250,411.0","254,370.0","258,654.0","264,418.0","268,261.0","273,418.0","278,262.0","282,400.0","286,059.0","290,346.0","295,630.0","299,413.0","302,640.0","306,921.0","313,023.0","316,595.0","322,587.0","327,179.0","333,447.0","335,523.0","338,912.0","343,253.0","347,593.0","350,812.0","354,711.0","359,009.0","365,089.0","369,452.0","373,992.0","379,628.0","384,800.0","388,090.0","391,735.0","397,414.0","402,640.0","407,212.0","411,778.0","417,234.0","421,694.0","424,822.0","426,437.0","430,870.0","436,591.0","441,983.0","448,137.0"
