"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"20","2","       Final sales of domestic product","A190RX1","1,066,581.0","994,571.0","936,896.0","831,560.0","806,708.0","882,904.0","938,194.0","1,061,146.0","1,105,316.0","1,090,678.0","1,170,331.0","1,250,534.0","1,459,467.0","1,769,642.0","2,098,848.0","2,266,970.0","2,251,829.0","1,930,793.0","1,965,810.0","1,999,199.0","2,044,858.0","2,164,981.0","2,326,260.0","2,455,063.0","2,578,040.0","2,586,405.0","2,731,296.0","2,797,811.0","2,871,888.0","2,855,803.0","3,028,986.0","3,111,128.0","3,192,665.0","3,371,204.0","3,521,979.0","3,731,237.0","3,951,396.0","4,192,931.0","4,329,996.0","4,549,028.0","4,693,107.0"
"21","3","       Change in private inventories","A014RX1","11,353.0","-5,022.0","-11,655.0","-26,247.0","-13,444.0","-6,433.0","8,339.0","8,548.0","14,284.0","-3,360.0","1,711.0","17,758.0","29,072.0","11,327.0","-3,978.0","-4,725.0","-8,869.0","28,008.0","-3,924.0","21,290.0","-11,233.0","21,234.0","29,461.0","11,851.0","7,387.0","-7,078.0","17,571.0","13,127.0","3,226.0","-819.0","15,340.0","13,033.0","11,693.0","24,110.0","22,308.0","19,011.0","36,239.0","51,924.0","37,321.0","33,908.0","33,346.0"
"22","4","       Residual","A958RX1","-22,400.0","-23,800.0","-21,100.0","-17,900.0","-15,700.0","-15,100.0","-8,300.0","-10,000.0","-6,000.0","-10,600.0","-9,400.0","-3,300.0","300.0","-10,600.0","-22,800.0","-24,800.0","-27,000.0","200.0","-24,300.0","-2,500.0","-26,700.0","-4,300.0","1,900.0","-13,300.0","-16,500.0","-24,900.0","-12,500.0","-16,200.0","-21,600.0","-22,400.0","-16,200.0","-18,300.0","-19,300.0","-15,400.0","-17,200.0","-19,700.0","-14,700.0","-9,900.0","-16,100.0","-18,200.0","-18,500.0"
"23","5","Goods","A353RX1","227,731.0","198,244.0","181,866.0","149,255.0","154,126.0","176,502.0","201,484.0","231,942.0","248,420.0","230,869.0","250,946.0","283,561.0","332,400.0","350,227.0","402,880.0","428,098.0","419,327.0","449,174.0","453,573.0","472,409.0","454,045.0","501,882.0","531,077.0","532,723.0","558,701.0","547,961.0","611,830.0","625,778.0","635,565.0","608,964.0","660,511.0","683,832.0","693,411.0","740,102.0","773,448.0","824,943.0","893,538.0","972,561.0","979,600.0","1,019,728.0","1,053,242.0"
"24","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","14","Services \2\","A341RX1","635,875.0","630,795.0","622,804.0","592,924.0","580,834.0","619,342.0","637,444.0","679,007.0","701,077.0","708,418.0","746,033.0","782,487.0","907,601.0","1,268,703.0","1,687,001.0","1,915,782.0","1,909,677.0","1,292,277.0","1,210,419.0","1,222,828.0","1,265,885.0","1,298,804.0","1,489,424.0","1,626,243.0","1,695,237.0","1,678,239.0","1,711,100.0","1,757,508.0","1,820,990.0","1,862,356.0","1,940,574.0","1,989,575.0","2,062,166.0","2,177,707.0","2,256,117.0","2,360,982.0","2,481,585.0","2,631,367.0","2,782,205.0","2,931,389.0","3,031,426.0"
"33","15","Structures","A755RX1","276,413.0","235,142.0","190,842.0","133,175.0","104,519.0","122,155.0","138,677.0","191,329.0","196,103.0","191,549.0","224,175.0","236,369.0","300,927.0","323,864.0","185,725.0","127,784.0","132,291.0","260,177.0","296,257.0","346,709.0","350,245.0","430,715.0","417,886.0","427,199.0","451,326.0","480,955.0","524,870.0","522,972.0","517,456.0","526,577.0","586,048.0","581,031.0","597,432.0","631,870.0","674,751.0","720,684.0","757,325.0","759,209.0","749,533.0","796,126.0","807,022.0"
"34","16","Residual","A959RX1","-84,400.0","-98,300.0","-91,400.0","-87,900.0","-61,800.0","-56,600.0","-39,400.0","-42,600.0","-32,000.0","-54,100.0","-58,500.0","-37,500.0","-52,000.0","-172,500.0","-203,600.0","-234,200.0","-245,400.0","-42,700.0","-22,700.0","-23,900.0","-63,100.0","-49,500.0","-80,700.0","-132,400.0","-136,300.0","-152,800.0","-111,400.0","-111,600.0","-120,600.0","-165,400.0","-159,000.0","-148,600.0","-167,900.0","-169,800.0","-177,200.0","-176,100.0","-159,500.0","-128,300.0","-160,100.0","-182,500.0","-183,700.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"38","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"40","21","  Research and development","Y694RX1","2,620.0","3,072.0","3,710.0","4,001.0","3,986.0","4,109.0","4,354.0","4,517.0","4,543.0","5,110.0","5,066.0","5,790.0","9,817.0","10,762.0","11,655.0","14,933.0","14,952.0","15,949.0","15,859.0","16,973.0","16,780.0","18,569.0","19,374.0","23,375.0","27,555.0","30,300.0","33,330.0","43,133.0","48,097.0","51,190.0","55,017.0","60,575.0","66,355.0","73,177.0","83,641.0","90,895.0","98,704.0","109,350.0","116,258.0","121,452.0","123,664.0"
"41","22","  Gross domestic product excluding research and development","Y695RX1","1,057,489.0","966,851.0","904,200.0","786,870.0","776,928.0","860,991.0","937,804.0","1,059,515.0","1,113,725.0","1,076,160.0","1,162,448.0","1,264,543.0","1,485,190.0","1,766,833.0","2,069,086.0","2,231,285.0","2,209,516.0","1,949,947.0","1,928,474.0","2,007,990.0","1,997,140.0","2,170,785.0","2,346,576.0","2,438,198.0","2,548,871.0","2,530,934.0","2,710,211.0","2,756,927.0","2,809,992.0","2,785,257.0","2,977,088.0","3,048,475.0","3,121,290.0","3,308,887.0","3,444,450.0","3,640,292.0","3,874,649.0","4,125,596.0","4,234,562.0","4,442,922.0","4,583,998.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","chained-dollar estimates are usually not additive. The residual line following change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","is the difference between gross domestic product and the sum of final sales of domestic product and of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","change in private inventories; the residual line following structures is the difference between gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","domestic product and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
