"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/30/2009 9:07:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERG3",10.513,10.068,8.991,7.93,7.649,7.995,8.19,8.265,8.566,8.372,8.291,8.361,8.879,9.984,10.902,11.529,11.989,12.825,14.126,14.925,14.811,14.989,16.009,16.337,16.555,16.697,16.764,17.1,17.62,18.035,18.305,18.606,18.801,19.023,19.245,19.527,19.81,20.313,20.824,21.636,22.616,23.674,24.68,25.525,26.901,29.703,32.184,33.95,36.155,38.687,42.118,46.641,50.81,53.615,55.923,58.038,59.938,61.399,63.589,66.121,68.994,72.147,74.755,76.954,78.643,80.265,82.041,83.826,85.395,86.207,87.596,89.777,91.488,92.736,94.622,97.098,100,102.746,105.502,109.031
"9","2","Household consumption expenditures \1\","DPHCRG3",10.335,9.897,8.834,7.782,7.506,7.845,8.038,8.109,8.404,8.214,8.133,8.203,8.713,9.803,10.707,11.324,11.778,12.593,13.859,14.641,14.525,14.695,15.693,16.019,16.232,16.366,16.428,16.752,17.258,17.663,17.94,18.259,18.451,18.668,18.884,19.164,19.437,19.927,20.427,21.223,22.178,23.218,24.2,25.024,26.369,29.097,31.523,33.254,35.412,37.895,41.249,45.688,49.804,52.655,55.042,57.209,59.141,60.645,62.871,65.435,68.423,71.735,74.499,76.889,78.701,80.362,82.178,83.972,85.503,86.215,87.567,89.685,91.332,92.591,94.569,97.121,100,102.762,105.555,109.154
"10","3","  Food and beverages purchased for off-premises consumption","DFXARG3",11.474,10.737,8.672,7.093,7.132,8.017,8.641,8.655,8.92,8.245,8.164,8.212,9.078,10.856,12.502,12.836,13.227,14.601,16.814,17.647,16.939,17.024,18.814,19.271,18.897,18.886,18.541,18.677,19.242,20.045,19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.623,111.926
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRG3",10.136,9.52,7.739,6.369,6.438,7.328,7.876,7.876,8.15,7.465,7.397,7.396,8.15,9.794,11.3,11.369,11.711,13.149,15.478,16.437,15.82,16.026,17.806,18.149,17.806,17.806,17.464,17.601,18.149,18.971,18.755,18.911,19.011,19.158,19.374,19.817,20.231,21.146,21.149,21.805,22.838,24.188,24.721,25.99,29.687,34.694,37.352,38.029,40.522,44.592,49.065,53.236,57.09,58.466,58.927,60.794,61.368,62.767,64.867,66.862,70.602,74.119,75.582,75.958,77.157,78.656,80.577,83.107,84.733,85.903,87.253,89.21,91.944,93.297,95.097,98.171,100,101.778,105.941,112.795
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRG3",NA,NA,NA,NA,16.495,15.69,15.351,15.163,15.316,15.465,15.616,15.997,16.991,19.362,21.503,24.207,24.703,25.626,26.366,25.992,25.645,25.037,25.963,27.944,27.484,28.092,27.936,28.205,28.819,28.979,29.242,29.703,29.804,29.944,30.236,30.411,30.592,30.939,31.387,32.096,32.797,33.904,34.874,35.458,36.044,38.273,40.895,41.771,42.422,44.702,48.203,52.223,55.693,57.992,60.167,61.311,62.693,64.489,65.639,67.19,69.248,72.136,80.551,82.767,82.851,82.749,82.969,85.003,86.298,86.749,88.581,91.244,93.197,95.027,96.556,98.854,100,101.326,103.806,107.058
"13","6","    Food produced and consumed on farms","DFFDRG3",18.713,16.931,12.88,9.964,9.558,11.017,14.094,14.661,15.147,12.799,12.07,12.394,15.552,19.684,23.979,24.384,25.76,27.623,31.997,33.051,28.678,27.135,31.995,31.755,30.541,28.026,27.054,26.571,27.543,29.407,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.647,103.178
"14","7","  Clothing, footwear, and related services","DCAFRG3",25.469,24.419,21.628,18.109,18.332,20.896,20.534,20.513,21.535,21.099,20.651,20.848,22.714,26.917,29.877,33.511,36.178,39.045,42.215,44.758,43.192,42.985,46.657,46.035,46.094,46.229,46.2,47.189,48.03,48.325,48.728,49.526,49.839,50.056,50.55,51.049,51.563,53.061,55.275,58.297,61.404,63.748,66.003,67.19,69.47,74.806,78.375,81.083,84.663,86.674,88.868,92.589,96.025,97.708,99.221,99.957,102.221,102.005,105.013,108.447,110.247,113.917,116.222,117.186,116.758,115.047,112.579,111.391,111.571,109.737,108.503,107.432,105.66,103.183,100.878,100.711,100,99.77,99.049,98.53
"15","8","    Clothing","DCLTRG3",27.017,25.975,23.111,19.32,19.784,22.814,22.44,22.379,23.501,22.962,22.432,22.635,24.799,29.46,32.732,36.931,40.025,43.071,45.989,48.603,46.701,46.31,49.956,49.327,49.445,49.414,49.27,50.08,50.861,51.094,51.206,51.877,52.167,52.297,52.806,53.371,53.835,55.115,57.338,60.491,63.623,65.889,68.247,69.354,71.61,77.309,81.005,83.72,87.365,89.206,90.676,93.94,97.221,98.865,100.649,101.39,103.957,103.859,106.983,110.336,111.815,115.788,118.085,118.754,118.177,116.324,113.661,112.392,112.632,110.634,109.687,108.708,106.704,103.987,101.518,101.36,100,99.587,98.896,98.015
