"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2009 3:59:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Farm output","A2000C1",12.9,10.3,8.1,5.9,6.2,6.6,9.1,9,11.1,9.1,9.2,9.9,13,18.4,21.8,22.3,23.6,27.5,30.6,34.6,29,31.2,36.4,35.7,32.2,32.2,31.6,31.6,31.8,35.7,35,35.7,36.7,38.1,39.2,37.7,41.6,44.6,44.7,45.5,49.5,51.8,55.4,63.4,91.3,92,94.4,96.1,99.5,117.6,140.5,137.8,152.6,147,130,154.9,147.7,139.2,147.1,153.7,171.9,179.9,175.3,182.6,182.2,197.5,191.9,215.8,219.4,207.8,199.9,204.3,212.3,201.9,229.8,262,251.5,252.7,302.9,335.3
"9","2","  Cash receipts from farm marketings","A2001C1",11.3,9.1,6.4,4.7,5.2,6.2,7.1,8.5,8.8,7.4,8.1,8.2,11.1,15.4,19.8,20.4,22.1,25,29.6,29.2,27.4,29.2,33.1,32.1,29.4,30.1,30.4,30.8,30.1,32,35.1,33.8,34.5,36.3,37.5,37.7,39.6,43.9,42.6,42.9,48.2,51.3,52.4,61.6,87.9,92.8,88.9,94.7,92.7,113.3,133.4,140.3,139.6,135.3,140.2,144.6,136.3,135.3,147.6,159.4,166.1,171.9,170.6,172.3,182.4,181.1,194.3,201.5,208.7,198.1,191.8,197.6,201.9,195.8,218.5,240.4,240,242.5,290.4,327.1
"10","3","    Crops","B1005C1",5.1,3.9,2.5,2,2.4,2.9,2.9,3.7,3.8,2.9,3.6,3.3,4.7,6.4,8.3,9.1,10.1,11.2,13.1,12.1,12,13.1,13.4,13.8,12.5,13.8,14.4,14.5,12.7,12.8,16.2,14.8,15,16.1,17.5,17.7,17.7,18.9,18.2,17.4,19.6,21.8,21.9,26,42.1,51.4,45.8,48.4,45,54.2,64.2,72.3,70.5,65,70.6,71.7,66.5,63.7,71.6,79.8,82.5,82.8,84.8,86.6,91.8,92.8,107,108.6,112.2,103.9,96.1,98,95.2,101.8,111.5,116.9,115,123.8,151.7,185.9
"11","4","    Livestock","B1006C1",6.2,5.2,3.8,2.8,2.8,3.3,4.1,4.7,4.9,4.5,4.5,4.9,6.5,9,11.5,11.4,12,13.8,16.5,17.1,15.4,16.1,19.6,18.2,16.9,16.3,16,16.4,17.4,19.2,18.9,19,19.5,20.2,20,19.9,21.9,25,24.4,25.5,28.6,29.5,30.5,35.6,45.8,41.3,43.1,46.3,47.6,59.2,69.2,68,69.2,70.3,69.6,72.9,69.8,71.6,76,79.6,83.6,89.1,85.8,85.8,90.5,88.3,87.2,92.9,96.5,94.2,95.7,99.6,106.7,94,107,123.5,125.1,118.7,138.6,141.2
"12","5","  Farm products consumed on farms","B1008C1",1.7,1.6,1.3,1,1,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"13","6","  Other farm income","B1009C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.8,1,1.1,1.1,1.7,2.1,2.4,3,4.8,4.1,3.5,4.6,4.4,5.1,5.4,5.2,4.9,5.1,4.7,5.1,5.1,6.3,6.1,7.4,8.5,9.4,8.4,9.6,9.6,10.7,12.3,11.3,13.1,12.6,14.6
"14","7","  Change in farm finished goods inventories","W248RC1",-0.1,-0.3,0.5,0.1,-0.1,-0.8,0.7,-0.9,0.9,0.4,-0.1,0.5,0.4,1.3,-0.2,-0.3,-0.9,-0.2,-1.8,2.7,-0.6,-0.1,1,1.4,0.7,0.2,-0.6,-1,0.1,2,-1.6,0.6,0.9,0.6,0.5,-1.2,0.8,-0.5,0.9,1.4,0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0,2.4,-1.1,5,-5.9,10.8,-9.2,7.8,2.8,0.8,-1.6,-2,0.6,-3.7,0.3,9,-0.2,-3.3,-0.4,-6.8
"15","8","    Crops","B1010C1",-0.2,-0.3,0.4,0,-0.1,-0.5,0.7,-0.8,1,0.4,-0.3,0.4,0.1,0.7,-0.7,0.3,-0.6,0.3,-1.2,2.7,-0.8,-0.7,0,0.8,0.8,-0.1,-0.6,-0.6,0.3,1.4,-2,0.5,0.5,0,0.1,-1.1,1,-0.7,0.8,1.2,-0.2,-1.5,1.2,-0.2,-0.3,-3.2,4.4,-0.2,5.8,2.6,2.7,-7.5,8.5,6.4,-15,7.4,7.6,0,-5.6,-10.3,0.7,1.9,-2.1,4,-7,9.7,-9.4,8.9,3.2,1.1,-0.9,-1.4,1,-3.2,1.2,8.4,-1.5,-3.8,-0.1,-5.1
