"","Table 5#8#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2009 3:51:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Gross government fixed investment \1\","B782RG3",83.367,83.899,85.388,87.582,88.831,89.807,90.846,94.242,100,104.997,110.466,114.877
"9","2","        Federal","B787RG3",96.911,96.091,97.112,97.677,96.936,96.07,96.326,97.848,100,101.874,103.125,104.776
"10","3","          National defense","B788RG3",96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.524,105.63
"11","4","          Nondefense","B798RG3",96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.301,102.951
"12","5","        State and local","B799RG3",78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,113.482,119.132
"13","6","Structures \2\","B760RG3",70.949,73.09,75.756,79.203,81.948,84.281,86.265,91.28,100,107.97,116.831,123.54
"14","7","  Federal","B801RG3",71.303,73.427,76.174,79.314,82.34,84.25,86.609,91.505,100,107.775,114.052,117.99
"15","8","    National defense","B808RG3",70.44,72.403,75.308,78.581,81.753,83.877,86.459,91.537,100,108.136,114.5,117.04
"16","9","      New","B814RG3",70.441,72.404,75.309,78.582,81.753,83.877,86.459,91.536,100,108.136,114.501,117.042
"17","10","        Residential","B816RG3",67.043,68.731,71.855,75.237,78.983,81.143,85.601,92.892,100,106.597,107.616,103.498
"18","11","        Industrial","B817RG3",70.125,72.92,75.761,79.182,81.64,84.211,86.596,92.24,100,108.855,115.656,119.341
"19","12","        Military facilities \3\","B818RG3",71.453,73.437,76.268,79.495,82.552,84.621,86.675,91.077,100,108.482,115.994,119.6
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RG3",71.859,74.08,76.748,79.806,82.735,84.511,86.725,91.483,100,107.462,113.664,119.025
"22","15","      New","B831RG3",72.087,74.282,76.99,80.26,83.026,84.85,87.08,91.989,100,107.37,113.552,119.02
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RG3",69.191,72.03,75.687,78.803,81.295,83.195,85.581,91.014,100,109.635,116.363,121.249
"25","18","        Commercial","W183RG3",70.759,73.29,76.379,79.826,83.067,84.753,87.306,92.565,100,109.055,113.576,114.528
"26","19","        Health care","W184RG3",70.45,72.934,75.952,79.432,82.964,84.581,87.184,92.309,100,108.733,113.548,114.257
"27","20","        Educational","W185RG3",71.281,74.375,77.353,80.549,83.483,86.094,87.999,92.685,100,106.848,114.015,119.464
"28","21","        Public safety","W186RG3",70.351,72.839,75.998,79.34,82.789,84.433,87.006,92.057,100,108.401,113.68,113.999
"29","22","        Amusement and recreation","W187RG3",70.339,72.832,75.92,79.25,82.662,84.541,86.92,91.995,100,108.494,113.254,114.1
"30","23","        Transportation","W188RG3",70.066,71.441,73.869,77.631,80.461,82.652,84.047,88.136,100,110.983,125.691,136.772
"31","24","        Power","W189RG3",76.633,78.221,79.011,82.179,84.673,87.48,89.17,94.305,100,106.989,114.042,125.833
"32","25","        Highways and streets","W190RG3",69.371,70.808,73.391,77.043,79.821,81.983,83.401,86.826,100,109.064,125.174,135.618
