"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 30, 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2009 3:41:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RG3",5.148,5.054,4.921,4.661,4.672,4.93,5.012,5.096,5.188,5.215,5.142,5.043,5.254,5.246,5.368,5.478,5.754,7.307,7.838,8.068,8.355,8.398,8.83,8.999,9.18,9.462,9.936,10.386,10.838,11.285,11.315,11.528,11.812,12.151,12.454,12.869,13.268,13.866,14.499,15.341,16.262,17.585,18.976,20.372,21.882,23.895,26.291,28.187,30.269,32.234,34.954,38.821,42.629,45.448,47.481,50.338,52.224,53.399,55.151,56.754,58.656,61.252,63.627,65.546,67.229,69.091,70.967,72.838,74.367,75.483,78.126,81.494,83.944,86.436,90.61,94.588,100,104.811,109.366,114.427
"9","2","        Gross output of general government","W101RG3",5.02,4.919,4.773,4.509,4.513,4.766,4.848,4.901,4.997,5.027,4.966,4.904,5.099,5.107,5.228,5.335,5.598,7.025,7.588,7.825,8.09,8.142,8.57,8.737,8.913,9.182,9.628,10.057,10.492,10.918,10.957,11.177,11.449,11.771,12.061,12.457,12.84,13.413,14.016,14.828,15.723,16.98,18.29,19.593,21.049,22.999,25.288,27.118,29.126,31.059,33.705,37.443,41.151,43.97,46.063,48.874,50.774,52.039,53.873,55.651,57.783,60.549,63.129,65.305,67.212,69.155,71.126,73.037,74.593,75.71,78.28,81.525,83.961,86.494,90.692,94.741,100,104.773,109.328,114.355
"10","3","          Value added","W102RG3",3.015,2.989,2.979,2.855,2.877,3.02,3.007,3.102,3.137,3.189,3.137,3.084,3.089,3.313,3.46,3.694,4.066,5.458,5.875,5.999,6.263,6.249,6.532,6.806,6.966,7.171,7.523,7.928,8.288,8.728,8.997,9.247,9.508,9.804,10.164,10.555,10.911,11.468,12.043,12.87,13.725,15.1,16.422,17.824,19.193,20.668,22.676,24.383,26.228,27.956,30.115,33.061,36.35,39.126,41.329,44.467,46.642,48.378,50.343,52.308,54.462,57.086,60.013,62.486,64.622,66.841,68.724,70.67,72.354,73.995,77.023,79.947,82.961,86.443,91.111,95.271,100,104.635,109.301,112.75
"11","4","            Compensation of general government employees","A194RG3",2.182,2.185,2.213,2.16,2.152,2.233,2.229,2.291,2.317,2.365,2.327,2.279,2.245,2.414,2.539,2.787,3.194,4.563,4.744,4.774,5.068,5.08,5.24,5.498,5.662,5.875,6.208,6.515,6.811,7.284,7.549,7.818,8.088,8.367,8.71,9.133,9.482,10.025,10.577,11.373,12.17,13.483,14.73,16.089,17.354,18.51,20.324,21.955,23.711,25.285,27.254,29.897,32.846,35.392,37.626,40.913,43.238,45.071,47.13,49.169,51.38,54.077,57.144,59.871,62.032,64.262,66.091,68.219,70.081,71.927,75.215,78.264,81.612,85.587,90.892,95.291,100,104.647,109.297,112.691
"12","5","            Consumption of general government fixed capital \2\","A265RG3",12.648,11.873,10.759,9.212,9.984,11.232,11.036,11.619,11.764,11.642,11.452,11.506,12.695,13.484,13.666,13.06,12.385,13.847,15.94,16.725,16.825,16.578,18.08,18.398,18.435,18.497,18.97,20.247,21.165,21.201,21.465,21.502,21.632,22.052,22.521,22.552,22.92,23.508,24.188,25.13,26.374,28.047,29.813,31.294,33.392,37.891,41.393,43.392,45.642,48.527,52.09,57.431,63.415,67.878,69.27,70.389,70.825,71.48,72.435,73.623,75.159,77.063,78.788,79.319,81.218,83.3,85.528,86.219,86.693,86.976,88.313,90.433,91.343,91.737,92.45,95.154,100,104.566,109.32,113.077
"13","6","          Intermediate goods and services purchased \3\","W104RG3",12.599,11.983,10.865,9.886,9.73,10.416,11.079,10.725,11.137,10.942,10.9,10.87,12.122,11.341,11.357,10.947,10.713,11.427,12.483,13.386,13.434,13.833,14.792,14.48,14.694,15.154,15.875,16.288,16.925,17.206,16.345,16.395,16.645,16.996,16.975,17.319,17.737,18.275,18.905,19.599,20.538,21.283,22.406,23.26,24.843,28.133,31.091,33.126,35.451,37.845,41.754,47.591,52.264,55.019,56.706,58.543,59.695,59.83,61.348,62.669,64.717,67.774,69.511,70.975,72.338,73.639,75.785,77.602,78.874,78.897,80.54,84.402,85.753,86.603,89.996,93.861,100,105.001,109.375,116.973
"14","7","            Durable goods","W105RG3",16.967,16.521,15.515,15.088,15.263,16.538,17.007,17.193,17.231,17.323,17.177,17.542,19.154,16.266,15.908,14.995,13.874,15.782,18.036,19.256,19.513,20.388,21.592,22.249,22.638,23.271,24.122,25.71,27.008,27.469,27.978,28.192,28.482,28.967,29.678,29.716,29.904,30.493,31.091,32.372,33.601,35.341,37.061,36.721,38.507,42.03,46.835,50.375,53.939,57.903,63.134,68.362,74.568,81.201,86.791,91.797,92.741,94.468,94.839,93.049,93.753,96.019,98.515,100.093,101.685,102.683,103.185,103.023,102.315,101.094,100.069,99.738,98.771,98.108,97.955,98.69,100,101.784,102.255,103.537
"15","8","            Nondurable goods","W106RG3",12.51,11.953,10.687,9.505,9.543,10.262,11.051,10.219,10.786,10.233,10.158,10.405,11.752,13.444,14.107,13.981,14.363,14.548,15.007,16.23,15.661,15.969,16.636,15.933,15.574,16.738,17.647,17.727,18.253,17.834,17.439,17.407,17.422,17.517,17.373,17.596,17.918,18.652,18.752,19.211,19.708,20.215,20.711,21.381,24.133,29.71,33.284,34.941,37.264,39.438,45.516,55.33,60.802,60.977,60.64,60.523,60.465,54.851,56.84,57.271,60.481,65.15,64.182,63.746,64.078,64.323,66.966,70.048,69.824,66.635,68.974,77.232,76.561,75.466,81.11,87.888,100,107.504,113.96,131.3
