"","Table 5#6#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159"
"11","3","Manufacturing industries","X300",12720,6828,1896,25284,14700,7908,10392,14076,13020,29448,-5808,29916,25608,33048,18576,9528,6912,9588,-2496,-2076,-8448,13596,3708,-42648,-28152,-360,20148,-4104,18480,-5088,27396,4020,27648,19584,48948,39228,-3116,24736,-3548,36864,420,46812,26004,18336,72,32312,33632,-4948,44076,-41676,-38016,-3984,-29064,-42456,-39828,-31800,-34896,-32196,-45516,-47592,-35890,-61495,-30639,-7582,-23103,4614,4584,12438,18103,10720,1137,45343,-6660,62016,-11724,4836,-6468,-19344,-22752,-300,-15288,13200,1080,7440,-2400,32244,23688,19932,40212,47328,42072,40680,6792,48456,63288,6168,86748,61344,51048,21204,4344,19644,51888,4440,17304,60744,36168,48888,67212,-2124,50232,54684,42180,59304,53832,35520,40968,27012,17244,-3036,16188,14028,11184,28188,35508,19344,16056,780,55068,17184,51732,58476,69612,56484,65976,14820,37980,65040,31992,40152,-62448,-43596,-35244,-122844,-67296,-84216,-64536,-75732,-46344,-62412,-51156,-51480,-79716,21852,11136,-7560
"12","4","  Durable goods industries","X30D0",16020,8700,-3516,20616,9996,4596,17904,1968,2928,16884,-14760,25200,31320,28836,21768,14712,9096,13596,-3732,6948,-144,14124,-4116,-19752,-29448,5268,19692,-14016,5208,-4128,23784,-5868,14868,1176,27828,23688,-14096,11920,-7892,23460,-7932,30552,10356,21396,-5496,24920,28880,2516,21396,-15960,-37152,-3672,-20568,-25908,-31776,-20736,-31404,-24864,-37392,-40620,-24344,-23408,-29132,-12240,-18468,1692,-7164,-612,-804,-364,-8308,38420,-11508,32892,-11160,-4656,-4920,-27216,-19440,-9444,-14016,12408,-11508,23808,-5280,11640,12540,13740,20220,32220,28212,26904,10548,27804,36924,9912,50760,42252,26952,11220,18108,-1896,36528,1356,5820,27924,35124,13692,22872,432,31440,38040,26232,31764,46812,20568,39768,33912,11088,7536,21024,4428,-4116,5940,2412,-2988,-1044,-5592,14376,9660,20136,36288,7872,28008,50124,31584,18348,27984,30516,30768,3732,14412,10272,10776,-42660,-49116,-64032,-46488,-45096,-54000,-40476,-57852,-46788,-11940,-8400,-7632
"13","5","  Nondurable goods industries","X30N0",-3300,-1872,5412,4668,4704,3312,-7512,12108,10092,12564,8952,4716,-5712,4212,-3192,-5184,-2184,-4008,1236,-9024,-8304,-528,7824,-22896,1296,-5628,456,9912,13272,-960,3612,9888,12780,18408,21120,15540,10980,12816,4344,13404,8352,16260,15648,-3060,5568,7392,4752,-7464,22680,-25716,-864,-312,-8496,-16548,-8052,-11064,-3492,-7332,-8124,-6972,-11546,-38087,-1507,4658,-4636,2922,11748,13050,18907,11084,9445,6923,4848,29124,-564,9492,-1548,7872,-3312,9144,-1272,792,12588,-16368,2880,20604,11148,6192,19992,15108,13860,13776,-3756,20652,26364,-3744,35988,19092,24096,9984,-13764,21540,15360,3084,11484,32820,1044,35196,44340,-2556,18792,16644,15948,27540,7020,14952,1200,-6900,6156,-10572,-4836,9600,15300,22248,33096,22332,17100,6372,40692,7524,31596,22188,61740,28476,15852,-16764,19632,37056,1476,9384,-66180,-58008,-45516,-133620,-24636,-35100,-504,-29244,-1248,-8412,-10680,6372,-32928,33792,19536,72
"14","6","Wholesale trade industries","XWT0",35971,231,9635,10701,14182,49633,-12708,11963,27350,19093,28335,31773,5490,34252,21597,-5577,19202,-11203,1927,29193,20230,12891,23358,6802,775,25271,15788,5635,6300,3719,34763,19393,18269,41682,45940,15151,39926,26195,30766,41310,14804,31824,18252,18866,4464,35308,25143,-4138,5976,-2354,-1292,18231,6459,-36448,-46744,-15126,-20120,-29008,-53264,-27207,-22796,-45968,6025,-10645,3616,11714,35973,4385,17954,2187,3073,36615,-12621,17913,9900,7936,-24902,-9458,1458,-7547,815,41108,13443,32094,8131,48355,28068,-1447,56355,37755,57865,45166,9387,52391,57999,6350,71718,26947,36564,39856,-1930,20768,13131,11176,5677,43796,32047,52990,29100,45924,15828,44136,37536,32196,34548,51588,31452,37764,61512,-34188,16224,23292,22344,1320,11688,7152,1800,-1692,57432,5676,66768,73128,62064,47688,11436,54468,4416,66264,37560,35940,-34716,-53748,-53772,-109944,-57780,-100164,-84852,-82932,-58656,-99156,-73200,-64944,-56400,28980,66732,-48516
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","XWTD0",17937,1798,9887,13692,15761,38152,-18931,2098,23599,2843,7797,29545,12409,25815,20282,-1149,10534,-12181,1164,26541,13492,14588,4433,15231,-497,13673,9314,-7479,16062,12330,14826,5169,15750,23540,33594,14430,17403,18613,17894,29728,11244,29777,10735,15360,-6862,14150,11811,-8800,12331,-8834,-11791,-3213,-12333,-43832,-27257,-23481,-22576,-14928,-54230,-27035,-23365,-29131,-2580,-3220,-828,4,22846,9488,5922,-6463,8279,10222,-9355,16877,4459,4922,-17714,-10176,-14439,-8746,-7347,11864,7452,41643,15581,28267,28178,5125,40632,37575,30409,50360,22184,21592,29041,10972,35800,26257,17689,13040,6735,16572,11249,1935,-18820,42765,30904,21613,15408,24240,2424,44496,17496,17664,28260,27264,38832,30288,15000,-31356,27684,15000,2328,-28152,9348,-5520,-27408,-2556,22788,-8304,22176,35844,28980,21780,17556,33828,10392,18240,29676,44652,28740,-2928,-17496,-52068,-42864,-90948,-76440,-74172,-60204,-55500,-49512,-50136,-32244,-10968,-5880,-34776
"17","8","    Nondurable goods industries","XWTN0",18034,-1566,-252,-2991,-1579,11482,6223,9865,3752,16250,20538,2228,-6919,8437,1315,-4428,8668,977,763,2651,6738,-1698,18925,-8429,1272,11598,6474,13114,-9762,-8611,19938,14224,2519,18143,12347,721,22524,7582,12872,11582,3560,2047,7517,3506,11327,21158,13332,4663,-6355,6480,10498,21445,18791,7383,-19487,8355,2456,-14079,966,-172,569,-16837,8605,-7424,4444,11709,13128,-5103,12032,8650,-5206,26393,-3266,1036,5441,3014,-7187,718,15897,1198,8162,29244,5992,-9549,-7450,20088,-110,-6572,15723,180,27456,-5194,-12796,30799,28958,-4622,35918,690,18875,26816,-8665,4196,1882,9240,24497,1031,1143,31377,13692,21684,13404,-360,20040,14532,6288,24324,-7380,7476,46512,-2832,-11460,8292,20016,29472,2340,12672,29208,864,34644,13980,44592,37284,33084,25908,-6120,20640,-5976,48024,7884,-8712,-63456,-50820,-36276,-57876,-14916,-9216,-8412,-8760,1548,-43656,-23688,-14808,-24156,39948,72612,-13740
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","X42W0",29136,1608,16884,5700,12972,51696,-11724,11724,26388,12312,25044,28308,5508,31224,19464,-3960,18144,-11028,2580,29520,17484,8592,18156,13872,3240,24828,10380,2904,3048,-108,34188,8556,17676,35964,43800,13752,31248,18504,25776,32448,18600,21372,8484,12696,900,25260,23424,-3180,-588,3768,5160,16740,14100,-31644,-35740,-9244,-10876,-23928,-44328,-26988,-11628,-33156,2532,-14040,3516,9912,27984,8316,13488,-5472,3792,29424,-3984,9204,12228,6288,-20904,-11784,-108,-11964,10668,36600,10740,20796,468,44712,21960,-1200,38556,27120,60492,31908,-2844,57408,45000,9036,52812,15792,21576,31200,276,14064,6240,6816,12672,31344,17784,53256,8628,38532,20532,47268,33168,24960,32772,37044,21384,29220,54996,-18024,13632,19416,22488,4392,10728,7488,6900,9600,43944,21360,55932,67932,66816,47424,-2208,64020,12876,36144,51360,30948,-19380,-53916,-41700,-67416,-37932,-80844,-79584,-66660,-47328,-89712,-62124,-61068,-43008,23028,67308,-37104
"20","10","      Durable goods industries","X42WD0",10296,2412,17928,8628,14568,42108,-18336,3720,23220,-3348,7032,25740,9792,23160,18576,1332,9468,-13080,1116,25860,9240,11736,168,19356,2700,11556,6144,-10020,15408,9060,17340,-1572,15924,20100,33576,12588,12048,14532,13584,23748,17256,23124,3852,9180,-7056,6624,10116,-6504,8856,-4908,-4440,-4524,-6924,-41220,-20356,-20080,-15868,-9924,-48936,-27228,-15444,-25728,-4680,-6312,-2364,1632,16200,12480,4668,-8364,7128,8124,-7932,16716,8532,5976,-14172,-9708,-12672,-10968,1512,7356,4320,32220,6612,29544,25068,6804,35928,27624,36264,41868,9732,27384,25836,12576,31944,16800,6564,10380,4356,19452,8604,-5532,-7668,37920,17484,29160,5568,23784,14220,46596,18324,14676,26880,15060,29664,27096,7704,-14436,16044,6228,24,-22644,10032,-5400,-20076,3684,11640,1428,15720,24972,40632,24828,11484,40728,11436,12924,37236,41676,22380,-5736,-10188,-42096,-30072,-77952,-69600,-64956,-51108,-47424,-42552,-44940,-28068,-9456,-6144,-30672
"21","11","      Nondurable goods industries","X42WN0",18840,-804,-1044,-2928,-1596,9588,6612,8004,3168,15660,18012,2568,-4284,8064,888,-5292,8676,2052,1464,3660,8244,-3144,17988,-5484,540,13272,4236,12924,-12360,-9168,16848,10128,1752,15864,10224,1164,19200,3972,12192,8700,1344,-1752,4632,3516,7956,18636,13308,3324,-9444,8676,9600,21264,21024,9576,-15384,10836,4992,-14004,4608,240,3816,-7428,7212,-7728,5880,8280,11784,-4164,8820,2892,-3336,21300,3948,-7512,3696,312,-6732,-2076,12564,-996,9156,29244,6420,-11424,-6144,15168,-3108,-8004,2628,-504,24228,-9960,-12576,30024,19164,-3540,20868,-1008,15012,20820,-4080,-5388,-2364,12348,20340,-6576,300,24096,3060,14748,6312,672,14844,10284,5892,21984,-8280,2124,47292,-3588,-2412,13188,22464,27036,696,12888,26976,5916,32304,19932,40212,42960,26184,22596,-13692,23292,1440,23220,14124,-10728,-41760,-48180,-31512,-25320,-7860,-2892,-9984,-1704,3780,-42288,-19572,-16128,-14940,32484,73452,-6432
"22","12","    Nonmerchant wholesale industries","X42N0",6835,-1377,-7249,5001,1210,-2063,-984,239,962,6781,3291,3465,-18,3028,2133,-1617,1058,-175,-653,-327,2746,4299,5202,-7070,-2465,443,5408,2731,3252,3827,575,10837,593,5718,2140,1399,8678,7691,4990,8862,-3796,10452,9768,6170,3564,10048,1719,-958,6564,-6122,-6452,1491,-7641,-4804,-11004,-5882,-9244,-5080,-8936,-219,-11168,-12812,3493,3395,100,1802,7989,-3931,4466,7659,-719,7191,-8637,8709,-2328,1648,-3998,2326,1566,4417,-9853,4508,2703,11298,7663,3643,6108,-247,17799,10635,-2627,13258,12231,-5017,12999,-2686,18906,11155,14988,8656,-2206,6704,6891,4360,-6995,12452,14263,-266,20472,7392,-4704,-3132,4368,7236,1776,14544,10068,8544,6516,-16164,2592,3876,-144,-3072,960,-336,-5100,-11292,13488,-15684,10836,5196,-4752,264,13644,-9552,-8460,30120,-13800,4992,-15336,168,-12072,-42528,-19848,-19320,-5268,-16272,-11328,-9444,-11076,-3876,-13392,5952,-576,-11412
"23","13","      Durable goods industries","X42ND0",7641,-614,-8041,5064,1193,-3956,-595,-1622,379,6191,765,3805,2617,2655,1706,-2481,1066,899,48,681,4252,2852,4265,-4125,-3197,2117,3170,2541,654,3270,-2514,6741,-174,3440,18,1842,5355,4081,4310,5980,-6012,6653,6883,6180,194,7526,1695,-2296,3475,-3926,-7351,1311,-5409,-2612,-6901,-3401,-6708,-5004,-5294,193,-7921,-3403,2100,3092,1536,-1628,6646,-2992,1254,1901,1151,2098,-1423,161,-4073,-1054,-3542,-468,-1767,2222,-8859,4508,3132,9423,8969,-1277,3110,-1679,4704,9951,-5855,8492,12452,-5792,3205,-1604,3856,9457,11125,2660,2379,-2880,2645,7467,-11152,4845,13420,-7547,9840,456,-11796,-2100,-828,2988,1380,12204,9168,3192,7296,-16920,11640,8772,2304,-5508,-684,-120,-7332,-6240,11148,-9732,6456,10872,-11652,-3048,6072,-6900,-1044,5316,-7560,2976,6360,2808,-7308,-9972,-12792,-12996,-6840,-9216,-9096,-8076,-6960,-5196,-4176,-1512,264,-4104
"24","14","      Nondurable goods industries","X42NN0",-806,-762,792,-63,17,1894,-389,1861,584,590,2526,-340,-2635,373,427,864,-8,-1075,-701,-1009,-1506,1446,937,-2945,732,-1674,2238,190,2598,557,3090,4096,767,2279,2123,-443,3324,3610,680,2882,2216,3799,2885,-10,3371,2522,24,1339,3089,-2196,898,181,-2233,-2193,-4103,-2481,-2536,-75,-3642,-412,-3247,-9409,1393,304,-1436,3429,1344,-939,3212,5758,-1870,5093,-7214,8548,1745,2702,-455,2794,3333,2194,-994,0,-428,1875,-1306,4920,2998,1432,13095,684,3228,4766,-220,775,9794,-1082,15050,1698,3863,5996,-4585,9584,4246,-3108,4157,7607,843,7281,10632,6936,7092,-1032,5196,4248,396,2340,900,5352,-780,756,-9048,-4896,-2448,2436,1644,-216,2232,-5052,2340,-5952,4380,-5676,6900,3312,7572,-2652,-7416,24804,-6240,2016,-21696,-2640,-4764,-32556,-7056,-6324,1572,-7056,-2232,-1368,-4116,1320,-9216,7464,-840,-7308
"25","15","Retail trade industries","X440",-5555,29850,-25906,46075,16833,-4247,25831,-15413,25967,14946,15108,3410,11325,25367,41955,39352,-26292,-7740,8201,-9989,16436,6750,32928,8684,47594,20229,35409,11618,6084,19857,12859,9282,23228,42455,46400,60229,-13096,9380,21840,24514,49509,40587,26255,33541,7157,35854,22620,6533,-11386,-37818,-16461,14244,15271,-8491,2689,20149,765,-115890,-60058,48174,32856,9969,2991,7199,35106,27381,14570,-8354,46401,23929,52464,12047,20240,23788,31944,16591,-13411,11207,21652,-27733,61493,15122,38589,2118,11625,23524,47006,62144,21080,23545,12779,33721,11163,41839,37775,23102,27885,40191,5426,-7607,381,-12129,-82973,35581,52385,32035,13751,16778,13721,-19109,64607,-27730,52163,24677,-2755,31686,15753,-34079,10578,54494,-21738,34736,-8869,32248,3437,8144,43064,28224,-1510,36559,-8019,-224,18642,17861,-29660,8108,-13535,3325,82976,-53278,8113,52,-60448,-62578,-96276,-41148,-28068,-22440,-80232,-61728,-35148,-71472,63036,30504,564,33048
