"","Table 6#2A# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"39","32","        Printing and publishing","B4032C0A",1243,1248,1071,843,722,813,872,958,1076,1026,1037,1044,1119,1134,1225,1353,1526,1983,2347,2607
"40","33","        Chemicals and allied products","B4033C0A",671,629,536,420,428,502,532,584,701,653,702,849,1150,1731,2118,2172,2210,2076,2396,2617
"41","34","        Petroleum and coal products","B4034C0A",248,248,200,166,156,181,204,219,265,272,280,326,388,477,576,705,773,823,979,1117
"42","35","        Rubber products","B4035C0A",283,224,169,133,142,178,184,213,243,194,236,258,351,414,575,670,662,781,869,850
"43","36","        Leather and leather products","B4036C0A",494,420,366,293,305,354,369,381,423,377,405,401,530,607,648,674,727,906,979,1010
"44","37","    Transportation and public utilities","A4037C0A",6362,5904,5059,3953,3627,3936,4192,4703,5287,4929,5220,5523,6326,7499,8980,10154,10797,12176,13316,14497
"45","38","      Transportation","A4038C0A",4813,4332,3622,2736,2537,2766,2961,3357,3762,3380,3644,3866,4520,5596,6956,7988,8387,9103,9750,10375
"46","39","        Railroad transportation","B4039C0A",3303,2926,2407,1752,1628,1782,1894,2154,2377,2100,2240,2373,2803,3532,4264,4713,4758,5135,5439,5817
"47","40","        Local and interurban passenger transit","B4040C0A",661,621,541,435,373,389,405,435,471,450,455,441,472,609,785,880,958,1210,1279,1249
"48","41","        Trucking and warehousing","B4041C0A",333,322,295,263,258,286,327,366,426,416,465,524,643,771,883,964,1052,1261,1467,1677
"49","42","        Water transportation","B4042C0A",215,195,168,137,144,154,162,198,238,180,224,240,274,314,487,760,902,701,632,668
"50","43","        Transportation by air","B4043C0A",5,9,13,14,14,14,17,22,28,31,36,45,57,80,118,135,160,249,288,310
"51","44","        Pipelines, except natural gas","B4044C0A",48,42,38,29,29,34,36,40,49,46,44,46,51,58,69,82,87,93,111,132
"52","45","        Transportation services","B4045C0A",248,217,160,106,91,107,120,142,173,157,180,197,220,232,350,454,470,454,534,522
"53","46","      Communication","A4046C0A",766,769,695,589,520,554,569,621,713,733,750,782,878,966,1093,1188,1349,1766,1991,2306
"54","47","        Telephone and telegraph","B4047C0A",756,754,674,565,499,529,542,587,668,684,695,720,807,890,1006,1083,1227,1619,1819,2098
"55","48","        Radio and television broadcasting","B4048C0A",10,15,21,24,21,25,27,34,45,49,55,62,71,76,87,105,122,147,172,208
"56","49","      Electric, gas, and sanitary services","B4049C0A",783,803,742,628,570,616,662,725,812,816,826,875,928,937,931,978,1061,1307,1575,1816
"57","50","        Utilities: electric and gas","B4093C0A",751,771,712,602,547,591,636,697,785,790,798,845,897,904,898,942,1021,1261,1523,NA
"58","51","        Local utilities and public services, n.e.c.","B4094C0A",32,32,30,26,23,25,26,28,27,26,28,30,31,33,33,36,40,46,52,NA
"59","52","    Wholesale trade","B4050C0A",3396,3219,2756,2151,1894,2191,2381,2596,2983,2999,3140,3357,3934,4181,4365,4754,5306,6905,8238,9147
"60","53","    Retail trade and automobile services","B4051C0A",5977,5546,4877,3804,3436,3967,4301,4744,5458,5340,5588,6016,6838,7166,7922,8670,9858,13315,15402,16910
"61","54","    Finance, insurance, and real estate","A4052C0A",2983,2802,2522,2141,1935,2027,2106,2307,2517,2453,2515,2592,2744,2855,3001,3149,3416,4294,4701,5260
"62","55","      Banking","B4053C0A",782,737,668,581,498,515,522,540,572,584,598,620,651,707,761,823,896,1078,1215,1331
"63","56","      Security and commodity brokers, and services","B4055C0A",407,320,267,235,245,234,206,251,259,196,179,169,157,130,153,165,226,284,235,243
"64","57","      Credit agencies (other than banks) and holding and other investment companies","B4054C0A",256,246,222,198,178,184,200,232,255,233,231,244,270,269,250,241,245,311,358,416
"65","58","      Insurance carriers","B4056C0A",821,828,777,647,578,603,645,689,757,768,796,819,870,909,940,967,1031,1295,1476,1669
"66","59","      Insurance agents, brokers, and service","B4057C0A",239,231,209,186,165,179,189,205,223,227,231,230,244,265,282,296,321,427,463,528
"67","60","      Real estate","B4058C0A",478,440,379,294,271,312,344,390,451,445,480,510,552,575,615,657,697,899,954,1073
"68","61","    Services","A4060C0A",5538,5277,4609,3758,3368,3688,3904,4310,4786,4646,4840,5149,5587,6392,7197,8116,8931,10500,11815,12682
"69","62","      Hotels and other lodging places","B4061C0A",427,409,343,258,219,272,289,318,363,368,376,402,430,459,541,631,695,835,905,948
"70","63","      Personal services","B4062C0A",755,730,646,526,459,500,529,584,652,634,638,712,799,925,1078,1182,1311,1634,1753,1822
"71","64","      Commercial and trade schools and employment agencies","B4095C0A",34,33,27,19,16,18,22,26,31,29,28,28,46,91,133,102,59,69,92,-4
"72","65","      Business services","B4063C0A",359,371,311,262,243,294,326,392,414,412,433,443,491,507,554,652,752,962,1105,1270
"73","66","      Miscellaneous repair services","B4065C0A",108,106,98,83,73,76,81,84,91,95,97,94,125,148,214,243,245,310,361,369
"74","67","      Motion pictures","B4066C0A",310,313,307,241,227,253,282,317,360,346,353,353,386,425,477,531,573,703,719,683
"75","68","      Amusement and recreation services","B4067C0A",323,299,256,191,161,176,180,205,239,216,230,246,270,281,291,337,384,524,566,611
"76","69","      Health services","B4068C0A",398,406,386,346,317,324,349,388,433,468,478,513,558,641,743,844,931,1135,1412,1532
"77","70","      Legal services","B4069C0A",124,131,132,126,118,116,121,126,135,138,142,144,151,150,149,159,169,184,209,228
"78","71","      Educational services, n.e.c.","B4070C0A",296,307,311,303,281,279,284,295,312,330,337,348,362,389,433,465,494,579,728,896
"79","72","      Membership organizations","A4071C0A",605,612,589,531,487,492,489,507,509,519,521,565,606,682,785,883,952,1166,1280,1464
"80","73","      Miscellaneous professional services","B4074C0A",81,75,55,36,34,37,40,51,57,65,75,80,123,214,199,197,221,275,334,495
"81","74","      Private households","B701RC0A",1718,1485,1148,836,733,851,912,1017,1190,1026,1132,1221,1240,1480,1600,1890,2145,2124,2351,2364
"82","75","  Government","A4076C0A",5121,5346,5457,5182,5357,6306,6762,8150,7816,8571,8573,8815,10552,16381,27091,33780,36947,24281,19608,20393
"83","76","    Federal","B4077C0A",1488,1529,1534,1456,1680,2269,2420,4274,3732,4250,4183,4288,5887,11612,22092,28502,31217,17680,11770,11232
"84","77","      General government","B568RC0A",907,945,952,912,1195,1729,1806,3612,3057,3552,3464,3542,5079,10694,20953,27314,29969,16188,10305,9556
"85","78","      Government enterprises","A4081C0A",581,584,582,544,485,540,614,662,675,698,719,746,808,918,1139,1188,1248,1490,1465,1676
"86","79","    State and local","B4082C0A",3633,3817,3923,3726,3677,4037,4342,3876,4084,4321,4390,4527,4665,4769,4999,5278,5730,6601,7838,9161
"87","80","      General government","B251RC0A",3456,3630,3737,3565,3531,3884,4178,3696,3889,4121,4185,4289,4388,4473,4663,4938,5370,6195,7338,8521
"88","81","      Government enterprises","B4086C0A",177,187,186,161,146,153,164,180,195,200,205,238,277,296,336,340,360,406,500,640
"89","82","Rest of the world","A4087C0A",1,1,1,1,1,1,1,1,1,1,2,3,6,10,-16,-51,-64,-40,69,86
"90",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","83","  Households and institutions","A193RC0A",2863,2652,2278,1871,1677,1802,1882,2044,2272,2152,2276,2435,2533,2918,3240,3719,4117,4492,5140,5603
"92","84","  Nonfarm business","C4091C0A",42595,38466,31896,24074,22554,26239,28738,32732,37767,34234,37239,40878,51578,65580,78729,83149,81582,90265,104496,115320
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95"," 1. Included in anthracite mining (line 9).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 2. Included in lumber and basic timber products (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97"," 3. Included with iron and steel and their products, including ordnance (line 19).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 4. Included with educational services, n.e.c. (line 71).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
