"","Table 8#19# Dividends Paid and Received by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2003 2:26:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Dividends paid","A2218C",8,9.2,10.5,10.7,12.9,12.8,12.7,13.1,13.6,15.3,16.4,16.9,16.8,18.1,19.2,20.4,22.2,23.5,26.4,29.3,29.2,30.4,33.2,34.8,35.3,37.5,40.9,49,59.7,51.9,64.5,74.7,81.3,97,107.5,115.8,124.9,128.6,137.9,143.6,156.9,162.1,205.3,235.5,245.8,251,262.4,282.1,327.1,361.3,425.4,484.3,510.2,503.8,553.6,564.1
"9","2","Domestic corporate business \1\","A2219C",7.4,8.4,9.4,9.6,11.6,11.3,11.2,11.6,11.8,13.4,14.2,14.6,14.7,15.8,16.8,17.5,19,20.2,22.6,25.2,25.5,26.4,29,30,30.2,31.4,34.4,40.5,48.1,43.3,52.8,60.5,66.6,77.1,86,95,101.1,108.8,117.9,122.4,128.9,134.3,160.6,188.4,203.8,212,221.9,242.7,268.4,302.9,356.4,401,429.8,424.1,473.2,496.4
"10","3","  Financial","B1440C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.9,2.1,2.3,2.4,2.5,3,3.2,3.2,3.2,3.7,4.1,4.6,5,5.2,6.2,6.2,6.3,6.8,7.6,9.2,10.5,11.6,14.1,13.4,14.5,18.3,21.2,22.8,27.3,33.6,40.3,43.2,47.9,46.5,56.1,66.8,76.6,99,116.2,126.3,125.3,152.9,161.6
"11","4","  Nonfinancial","B1441C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,13.9,14.7,15.2,16.6,17.7,19.6,22,22.3,23.3,25.3,25.9,25.6,26.5,29.2,34.3,41.8,37,46,53,57.3,66.6,74.4,80.9,87.7,94.3,99.6,101.2,106.1,107,127,148.1,160.6,164.1,175.4,186.6,201.6,226.3,257.4,284.7,303.5,298.7,320.3,334.8
"12","5","Rest of the world \2\","B1442C",0.6,0.9,1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.8,19.9,21.2,28,27.8,44.7,47,42,38.9,40.5,39.5,58.8,58.4,69,83.3,80.4,79.8,80.4,67.6
"13","6","      Dividends received","A2220C",8,9.2,10.5,10.7,12.9,12.8,12.7,13.1,13.6,15.3,16.4,16.9,16.8,18.1,19.2,20.4,22.2,23.5,26.4,29.3,29.2,30.4,33.2,34.8,35.3,37.5,40.9,49,59.7,51.9,64.5,74.7,81.3,97,107.5,115.8,124.9,128.6,137.9,143.6,156.9,162.1,205.3,235.5,245.8,251,262.4,282.1,327.1,361.3,425.4,484.3,510.2,503.8,553.6,564.1
"14","7","Domestic corporate business \2\","A2221C",2.3,2.7,3.2,3.2,3.7,3.8,3.8,3.8,4,4.5,4.7,4.8,4.9,5.1,5.4,6,6.6,6.7,7.6,8.3,7.7,8.1,8.8,9.6,9.9,11.1,12.5,17.4,24.6,16.9,22.7,26.8,27,35.6,38.6,36.7,41.2,37.6,39.5,36.8,40.6,38.6,62.4,61.9,59.6,55.6,60.4,60.3,71.4,81.3,99.1,117.1,120.7,124.5,123.7,113.3
"15","8","  Financial","B1443C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2,1.3,1.3,1.4,1.6,1.7,2,2.2,2.3,2.6,2.8,2.8,3.1,3.4,4.1,4.5,4.7,4.8,5.4,6,7.1,9.6,9.1,6.9,7.4,7.8,7.9,8.5,7.6,15.2,18,18.1,17.2,20,23.1,28.3,34.3,43.6,50.5,59.4,65,63.1,56.9
"16","9","  Nonfinancial","B1444C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.9,4.1,4.6,5.2,5.1,5.9,6.3,5.5,5.8,6.2,6.8,7.1,8,9.1,13.2,20.1,12.2,18,21.5,21,28.5,29.1,27.6,34.4,30.2,31.7,28.9,32.2,31,47.2,43.9,41.5,38.4,40.5,37.3,43,46.9,55.5,66.6,61.3,59.5,60.6,56.4
"17","10","Rest of the world \1\","B1445C",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,18.5,20.6,16.9,16.4,18.7,20.8,25.8,28.6,32,40.9,51,53.8,41.1
"18","11","Government","B081RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4
