"","Table 8#9B# Real Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 30, 2003  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2003 2:25:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","      Motor vehicle output","A953RX",235.6,247.8,248.3,226.8,202,226.1,245.1,273.8,275.3,275.6,294.1,318,345.8,336.5,315.9,356.5
"9","2","        Auto output","A133RX",142.9,149.7,145.7,132.9,117.1,125.5,131.4,139.6,133.6,126.1,127.6,129.5,128.6,122.2,113.4,118.5
"10","3","        Truck output \1\","A716RX",92.5,98,102.7,94,84.9,100.8,113.8,134.4,141.8,149.5,166.5,188.4,216.8,213.7,202,236.9
"11","4","Final sales of domestic product","AB60RX",224.2,247.4,243.8,232.6,204.7,225.7,243.5,268.9,268.6,279.7,289.3,317.6,336.1,330.8,333.9,342.7
"12","5","  Personal consumption expenditures","AB61RX",204.8,214.7,212,203.1,169.8,183.3,195.7,204.9,200.8,201.6,209,232.1,256.3,269,290,307.4
"13","6","    New motor vehicles","AB67RX",162.3,171.5,169,159.9,129.1,141.2,148.8,156.3,149.6,150.1,154.6,174.5,196.2,208.3,229.2,246.7
"14","7","      Autos","A136RX",111.3,115.8,109.2,104,81,85.5,87.8,89.7,83.5,81.9,82.4,88.5,99.9,107,108,106.5
"15","8","      Light trucks","B704RX",49.9,54.7,59.3,55.4,47.8,55.6,60.9,66.6,66.1,68.3,72.2,85.9,96.2,101.2,120.9,139.6
"16","9","    Net purchases of used autos","A137RX",41.1,41.6,41.5,42,40.8,41.7,46.9,48.5,51.2,51.4,54.4,57.5,59.8,60.4,60.4,60.4
"17","10","  Private fixed investment","AB62RX",72,76.3,69.9,68.7,68.4,73.8,84.4,105.4,109.5,120.8,128.8,140.6,156.6,149.1,129.1,124.4
"18","11","    New motor vehicles","AB68RX",95.2,101.3,94.8,93.5,94.3,101.3,115.9,138,143.4,155.2,164.6,177.6,194.4,186.8,165.8,161.8
"19","12","      Autos","B139RX",53,58.2,53.7,55.7,58.9,59.2,63.9,74.8,72.4,75.7,76.8,76.1,80,78.3,71.9,69.6
"20","13","      Trucks","B705RX",42.4,43.2,41.2,37.8,35.3,42,52,63.2,71.1,79.5,87.8,101.6,114.5,108.6,94,92.3
"21","14","        Light trucks","B196RX",19,21.3,19.5,21,21.2,24,27.9,36,40.8,52.3,62,69.4,77.7,77.1,72,71
"22","15","        Other","B197RX",23.3,21.8,21.6,16.7,14.2,18.1,24.2,27.1,30.3,27.2,25.8,32.2,36.7,31.7,22.4,21.7
"23","16","    Net purchases of used autos","B140RX",-23.2,-25,-25.2,-25,-26.4,-27.8,-31.8,-32.6,-33.9,-34.4,-35.8,-37,-37.6,-37.5,-36.7,-37.3
"24","17","  Gross government investment","AB64RX",9.7,10.2,12.5,12.9,11.8,12.4,11.4,10.6,10.8,10.8,11.4,12.2,12.7,13.2,13.7,13.3
"25","18","    Autos","B144RX",2.4,3,3.3,3.7,3.3,3.9,3.7,3.8,4,3.8,3.5,3.7,3.8,3.7,3.7,3.7
"26","19","    New trucks","B708RX",7.2,7.3,9.2,9.2,8.5,8.5,7.7,6.8,6.9,7,7.9,8.6,8.9,9.5,10,9.6
"27","20","  Net exports","AB63RX",-59.8,-51.7,-48.3,-50,-44.3,-42.9,-47.3,-51.9,-52.6,-53.6,-59.9,-67.3,-88.9,-99.4,-97.8,-101.3
"28","21","    Exports","AB69RX",14.3,16.9,16.4,16.4,18.4,20.9,21.2,23.9,24.8,26,27.3,25.4,24.5,24.9,24,27
"29","22","      Autos","B142RX",9.6,11.9,12.6,11.8,12.6,15.1,15.3,17.1,17,17,16.7,16,16.1,16.2,17.2,19.6
"30","23","      Trucks","B706RX",4.7,5,3.9,4.6,5.7,5.8,6,6.8,7.8,9,10.7,9.3,8.4,8.7,7,7.5
"31","24","    Imports","AB70RX",74,68.6,64.7,66.4,62.7,63.8,68.6,75.8,77.3,79.5,87.3,92.6,113.3,124.2,121.8,128.4
"32","25","      Autos","B143RX",60.4,56.2,52.5,55.1,52.4,52,56.4,63.5,64.4,65.9,71.6,78.3,94,106.5,103.7,110.2
"33","26","      Trucks","B707RX",13.6,12.4,12.2,11.3,10.3,11.7,12.2,12.3,13,13.7,15.7,14.3,19.3,17.8,18.2,18.2
"34","27","Change in private inventories","AB65RX",11.6,0.6,4.6,-5.8,-2.9,0.3,1.5,4.9,6.6,-4,4.7,0.7,9.6,5.7,-15.9,12.1
"35","28","  Autos","A145RX",9,0.1,2.9,-4.2,-0.8,-0.5,2,1.6,3.7,-3.4,1.1,3.3,1.4,2.1,-6.2,7.7
"36","29","    New","B146RX",7.8,-1.6,1.6,-3.9,-1.3,0,1,0.9,2.7,-5.5,-0.1,2.5,1.2,1.2,-6.8,7.1
