"","Table 1#12# Net Domestic Product by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2003 1:58:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    Net domestic product","A362RC",94.4,82.1,68,51.2,49.2,58.4,65.6,75.8,83.1,76.9,82.9,91.8,115.6,148.1,182,200.3,202.1,198.7,218.3,241.5,238.8,264.6,305.9,322.4,341.4,340.6,372.4,390.7,410.4,415.2,452.6,470.4,487.1,525.5,555.1,597.8,649.3,712.7,751,820.6,885.6,930.6,1009.7,1109.5,1242.6,1336.2,1444.2,1615,1799.8,2034.4,2266,2450.3,2736.5,2822.8,3078.8,3450.4,3696.5,3901.3,4156.4,4480.9,4811.8,5092,5238.2,5531.5,5829.5,6179.4,6488.8,6857,7305,7709.5,8129.1,8595.7,8752.9
"9","2","Business \1\","A363RC",87.1,74.9,61,44.9,42.8,50.9,57.8,66.4,73.8,67,73,81.5,103.6,130,153.1,164.3,162.6,171.8,195.5,217.8,212.8,236.9,271.2,283.7,301.1,299.4,328.5,343.6,360.1,360.7,395.3,408.5,421.1,454.5,479.1,515.5,560.7,613.1,640.2,696.7,748.6,778.8,843.2,927.4,1044.2,1119.3,1202.6,1351.5,1512.4,1719.9,1922.4,2067.5,2313.4,2361.4,2583.9,2908.2,3111.3,3276.4,3483.2,3753.2,4030,4244.6,4335.5,4580.2,4836.7,5149.1,5422.6,5749,6151.8,6506.1,6871.2,7262,7341.2
"10","3","  Nonfarm \2\","A364RC",78.3,68,55.5,41.1,38.8,46.9,51.4,60.7,66.3,61.2,67.4,75.8,95.5,117.9,138.8,150,147.7,154.2,176.8,196.4,196.2,219.4,251,264.4,284.1,283,313,328.4,345.2,343.8,380.1,392.3,404.7,438.1,462.6,500.2,543,594.7,622.8,679.1,729,758.4,821.4,901.6,1001.9,1080.6,1164.1,1316.4,1477.8,1679.2,1874.1,2030,2264,2317.9,2556.2,2861,3065.2,3234.2,3438.7,3710.2,3975.1,4187.1,4284.9,4523.1,4786.6,5089.3,5374.1,5682.2,6089.8,6452.8,6824.9,7212.8,7290
"11","4","    Nonfarm less housing","A714RC",70.6,60.6,48.5,34.8,33.5,42.1,46.6,55.8,61.1,55.6,61.7,70,89.4,111.1,131.6,142.5,140.1,146.4,168.7,187.3,185.9,207.8,237.9,249.4,267,263.8,292.4,306.2,320.9,317.3,351.1,360.7,370.6,401.1,423,458.4,498.4,547.4,572.3,625.6,671.6,696.9,754.6,830.2,924,996.5,1074.1,1218.1,1368.7,1558.6,1739,1871.5,2080.3,2114,2337.3,2618.9,2798.2,2943.3,3124.5,3369.8,3611.9,3793.1,3868.8,4093.7,4338.6,4622.4,4869.3,5155.6,5546.1,5876.6,6212.7,6563.3,6620.6
"12","5","    Housing","B710RC",7.6,7.4,7,6.3,5.3,4.8,4.8,4.9,5.1,5.6,5.7,5.8,6.2,6.8,7.2,7.5,7.6,7.8,8.1,9.1,10.3,11.6,13.1,15,17.1,19.2,20.6,22.2,24.3,26.5,29,31.6,34.1,37,39.6,41.9,44.6,47.3,50.5,53.5,57.3,61.5,66.8,71.4,77.9,84.1,90,98.4,109.1,120.6,135.1,158.5,183.7,203.9,218.8,242.1,266.9,290.9,314.2,340.4,363.3,394,416.1,429.3,448,466.9,504.8,526.6,543.7,576.2,612.2,649.5,669.4
"13","6","  Farm","A365RC",8.9,6.9,5.6,3.8,4,4.1,6.4,5.8,7.6,5.8,5.6,5.7,8.1,12.1,14.4,14.3,14.9,17.7,18.7,21.4,16.6,17.5,20.2,19.2,17.1,16.5,15.5,15.1,14.9,16.9,15.3,16.1,16.3,16.4,16.5,15.2,17.7,18.4,17.4,17.6,19.7,20.4,21.8,25.9,42.3,38.7,38.6,35.1,34.6,40.7,48.3,37.5,49.5,43.5,27.7,47.2,46.1,42.2,44.5,43.1,54.8,57.5,50.6,57.1,50.1,59.8,48.6,66.8,61.9,53.3,46.3,49.2,51.2
"14","7","Households and institutions","A193RC",2.9,2.7,2.3,1.9,1.7,1.8,1.9,2,2.3,2.2,2.3,2.4,2.5,2.9,3.2,3.7,4.1,4.5,5.1,5.6,5.9,6.5,6.9,7.2,7.8,8.1,9.1,9.9,10.6,11.5,12.4,13.9,14.5,15.6,16.7,17.9,19.3,21.3,23.4,26.1,29.5,32.4,35.6,38.9,43,47.1,52,57.1,62.4,69.7,77.3,87.1,97.6,108.2,119.2,131.2,141,153.7,173.3,195.1,214.6,237.9,257.5,279.5,297,313.3,330.3,348.6,363.2,383.8,403.1,431.1,459.6
"15","8","  Private households","B701RC",1.7,1.5,1.1,0.8,0.7,0.9,0.9,1,1.2,1,1.1,1.2,1.2,1.5,1.6,1.9,2.1,2.1,2.4,2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.6,5.4,5.9,6.5,6.4,6.1,6.2,6.3,6.3,7.3,7.3,7.7,7.7,8.3,8.9,9.4,9.1,10.1,10.7,11.1,11.9,12,12,14,12.7,13.6,11.9
"16","9","  Nonprofit institutions","B702RC",1.1,1.2,1.1,1,0.9,1,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.4,2.8,3.2,3.6,3.9,4.3,4.6,5.1,5.5,6.1,6.6,7.3,8,8.9,10.1,10.7,11.8,12.8,14,15.3,17.2,19.2,21.7,25,27.9,31,34.3,38.2,42.6,47.3,51.6,56.4,63.2,70.9,81,91.4,102,112.9,123.9,133.6,146,165.6,186.8,205.7,228.6,248.4,269.4,286.3,302.2,318.4,336.5,351.2,369.8,390.4,417.5,447.7
"17","10","General government \3\","A194RC",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.8,189.6,206.4,225.1,244.8,266.3,295.7,325.5,353.1,375.8,411,444.3,471.1,499.9,532.6,567.3,609.4,645.1,671.8,695.8,717,735.8,759.4,790,819.7,854.8,902.6,952.1
"18","11","  Federal","B568RC",0.9,0.9,1,0.9,1.2,1.7,1.8,3.6,3.1,3.6,3.5,3.5,5.1,10.7,21,27.3,30,16.2,10.3,9.6,10.7,11.1,16.6,19.3,19.1,18.3,19,19.6,20.2,21.3,21.7,22.6,23.7,25.2,26.5,28.5,30,34.3,37.9,41.9,44.9,48.3,51.7,55.4,57.4,62,68.4,73.3,79.9,85.8,91.8,102.5,115.1,125.3,132.3,149.4,159,163.1,170.3,178,185.7,193.9,205.9,210.7,211.9,209.9,206.9,211,213.2,215.3,221.5,233.4,240.5
