"","Table 2#4# Personal Consumption Expenditures by Type of Expendit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2003 3:23:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Personal consumption expenditures","A002RC",77.5,70.2,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.2,67.2,71.2,81,88.9,99.7,108.5,119.8,144.2,162.3,175.4,178.8,192.7,208.6,219.7,233.4,240.5,259,271.9,287,296.6,318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987
"9","2","Food and tobacco","A495RC",21.2,19.4,16.2,12.7,12.8,15.6,17.6,20,21.6,20.6,20.9,22,25.4,30.7,35.8,39.3,43.5,50.7,56.1,58.2,56.6,58.1,65.2,69,70.5,71.7,73.6,76.7,80.7,83.9,87.2,89.2,91.1,93.3,95.8,101.1,108.8,117.9,121.4,131.7,141.3,154.6,161,173.6,192.9,215.9,238.3,259.3,279.6,307.8,343.8,376.8,406.3,427.7,451.3,476.7,498.5,524.2,549.8,588.3,630.5,677.9,700,717.3,742.8,773.6,802.5,834.1,862,906.9,964.7,1027.2,1068.7
"10","3","  Food purchased for off-premise consumption (n.d.)","AOPFRC",14.8,13.5,10.8,8.2,8.6,10.8,12.2,13.9,14.8,14.1,14.2,14.9,17,20.1,22.3,24.1,26.2,32.7,37.9,39.6,38.6,39.8,44.2,46.7,47.8,49.3,50.9,53.1,56.2,58.8,60.8,62,63.2,64.2,65.6,69.5,74.5,80.8,83,89.4,96,104.4,108.2,115.5,128,144.8,158.6,169.8,182.8,199.2,221.7,243.4,260.4,272.5,283.1,297.7,310.5,323.7,332.1,351.3,374.7,401.6,413.5,415.7,428.3,445.5,459.8,476.7,486.5,507.9,537.7,568.6,589
"11","4","  Purchased meals and beverages (n.d.) \1\","APMBRC",2.9,2.8,2.5,2.1,1.8,2.2,2.6,3,3.5,3.4,3.6,3.9,4.6,5.7,7.1,8.1,9.5,10.9,10.9,11,10.8,11.1,12.7,13.6,14.1,14.4,14.9,15.6,16.3,16.4,17.5,18.1,18.5,19.6,20.5,21.9,23.9,25.9,26.8,30.2,32.7,36.5,38.8,43,48.4,53.2,60.4,68,75,85,96.7,105.9,115.8,123.3,133.3,142.4,150,161.5,176.7,195.4,210.1,227.8,236.5,246,261.7,274.5,287.5,300.5,316.6,335.4,351.5,376.5,393.2
"12","5","  Food furnished to employees (including military) (n.d.)","AFOORC",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.4,7.6,8,8.2,8.5,8.8,9.1,9.4,9.7
"13","6","  Food produced and consumed on farms (n.d.)","BFFDRC",1.6,1.4,1.2,0.9,0.9,1,1.2,1.3,1.3,1.1,1.1,1.1,1.3,1.6,2.1,2.1,2.2,2.5,2.6,2.5,2.1,1.9,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.4,1.2,1.1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.2,1.1,1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"14","7","  Tobacco products (n.d.)","BTOBRC",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,44.9,45.4,46.7,48.2,49.8,54.4,65.9,72.2,76.3
"15","8","  Addenda: Food excluding alcoholic beverages (n.d.)","BFXARC",19.5,18,14.7,11.4,10.9,12.2,13.6,15.3,16.5,15.6,15.7,16.6,19.2,23.3,27.4,29.9,33.2,39,43.7,46.3,44.8,46,52.4,55.3,56.3,57.7,59.3,61.7,65.2,67.9,70.1,71.6,73.2,74.6,76.4,81.2,87.8,95.5,98.4,106.9,114.8,125.1,129.3,139.3,155.6,175.6,194.6,211.9,229.5,253.4,283.8,310.6,334.4,351.7,369.3,391.5,408.7,429.9,452.2,486.8,521.1,558.7,575.7,586.8,612.6,639.4,663.2,689.1,710.9,745.1,786.2,834.2,866.2
"16","9","          Alcoholic beverages purchased for off-premise consumption (n.d.)","BAOPRC",NA,NA,NA,NA,0.2,1.5,1.9,2.5,2.6,2.4,2.4,2.5,3,3.6,4,4.7,5.1,5.6,5.9,5.1,5,5.1,5.1,5.5,5.6,5.5,5.7,5.8,5.9,5.9,6.3,6.5,6.5,7,7.2,7.6,7.9,8.4,8.8,9.8,10.9,12.3,13.7,14.8,15.9,17.6,19.1,20.3,21.9,23.6,26.6,29.7,32.2,34.4,36.5,37.1,39.4,41.3,41.4,42.7,44.9,48.9,50.4,48.9,50.1,52.4,54.2,56.1,58.1,62.1,65.2,70.3,73.1
"17","10","          Other alcoholic beverages (n.d.)","BAPMRC",NA,NA,NA,NA,0.5,0.5,0.6,0.7,0.9,0.9,1,1.1,1.2,1.5,1.9,2.1,2.4,2.7,2.7,2.8,2.7,2.8,3.2,3.4,3.5,3.5,3.6,3.8,4,4,4.3,4.3,4.3,4.5,4.6,4.8,5.1,5.4,5.2,5.6,5.8,6.4,6.6,7.3,8.1,8.6,9.5,10.3,11.2,12.6,14.3,15.7,16.9,17.3,18,18.8,19.5,20.8,21.7,24.1,26,29.3,31.5,33.7,35.1,36.4,38.4,40.7,43.2,45.4,47.4,50.5,53.1
"18","11","Clothing, accessories, and jewelry","A496RC",11.2,9.7,8.2,6,5.4,6.6,7,7.7,8.1,8,8.4,8.9,10.5,13.1,16,17.5,19.6,22,22.8,24.2,23.3,23.7,25.6,26.6,27,27.2,28.4,29.7,30,30.3,32,32.7,33.5,35,36,39.1,41.4,45.5,47.8,52.5,56.2,57.6,61.8,67.1,74.7,79.3,85.6,93.7,102.8,115.1,123.4,132.3,143.8,147,161.1,175.8,188.3,204.1,218.9,235.7,252.6,261.7,263.7,280.9,294,307.2,317.3,333.3,348,367.2,391.2,409.8,412.6
