"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2004 1:48:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","      Personal consumption expenditures","B002RA3",9.814,9.29,9.005,8.206,8.028,8.595,9.123,10.046,10.417,10.249,10.819,11.382,12.195,11.917,12.258,12.615,13.395,15.03,15.307,15.646,16.077,17.105,17.378,17.928,18.78,19.162,20.558,21.151,21.674,21.846,23.067,23.702,24.191,25.389,26.436,28.02,29.791,31.484,32.422,34.284,35.558,36.381,37.77,40.082,42.048,41.729,42.688,45.041,46.95,49.012,50.204,50.065,50.779,51.493,54.436,57.325,60.303,62.749,64.84,67.468,69.369,70.782,70.903,73.224,75.672,78.504,80.623,83.382,86.533,90.896,95.537,100,102.537,105.698,109.143
"9","2","Durable goods","B003RA3",4.153,3.423,2.926,2.193,2.151,2.485,3.034,3.723,3.923,3.204,3.807,4.387,5.09,3.101,2.713,2.48,2.798,5.319,6.355,6.774,7.327,8.942,8.147,7.929,8.91,8.876,10.845,10.407,10.501,9.656,10.822,11.041,10.622,11.865,13.017,14.222,16.025,17.377,17.648,19.594,20.289,19.631,21.593,24.336,26.849,25.001,24.996,28.187,30.809,32.435,32.325,29.788,30.149,30.128,34.535,39.577,43.577,47.785,48.616,51.549,52.686,52.532,49.564,52.47,56.577,61.321,64.011,69.025,74.935,83.432,93.192,100,104.327,111.15,119.378
"10","3","  Motor vehicles and parts","B165RA3",7.4,5.151,4.017,2.568,3.061,3.813,5.28,6.521,6.627,4.288,5.842,7.355,8.366,1.335,1.37,1.267,1.569,5.338,7.728,8.73,11.155,14.416,12.18,10.955,13.607,12.976,17.772,15.139,15.836,13.113,15.629,16.588,14.945,17.744,19.97,21.126,24.526,24.979,24.401,28.391,29.554,26.623,31.727,36.269,39.606,32.831,33.042,39.957,44.223,46.128,43.069,37.294,38.136,39.114,46.66,54.541,61.644,66.248,63.772,67.367,67.301,66.252,58.623,63.37,67.073,71.47,70.44,73.828,78.82,87.697,96.357,100,104.998,110.907,116.971
"11","4","    New autos (70)","B136RA3",13.573,8.822,6.397,3.73,5.096,6.368,9.604,12.171,12.344,7.18,10.123,13.216,14.613,0.61,0.614,0.201,0.191,8.846,15.515,17.613,24.777,32.915,26.387,22.349,30.887,29.685,41.85,33.23,34.237,25.527,33.145,35.718,30.785,38.408,44.339,47.156,56.352,56.541,53.33,63.5,64.034,54.427,67.116,75.827,81.354,61.34,61.131,74.882,82.764,84.066,79.242,69.226,71.439,72.331,87.373,99.404,107.833,118.657,105.832,110.107,103.821,98.92,77.007,81.266,83.459,85.212,79.329,77.772,78.231,84.007,94.115,100,100.145,99.748,97.523
"12","5","    Net purchases of used autos (71)","B137RA3",18.308,15.433,11.163,7.939,8.615,10.24,13.955,18.446,19.492,14.798,17.456,19.019,20.214,20.355,17.983,16.784,15.917,11.427,19.068,28.017,36.874,42.758,45.54,50.26,43.521,37.369,42.965,45.16,49.898,52.545,45.961,44.974,43.51,42.158,43.506,43.047,46.433,46.104,49.284,49.469,51.851,48.805,49.014,51.647,52.005,49.525,48.251,54.261,54.103,54.66,53.659,51.233,50.342,48.073,48.459,60.36,68.695,67.223,68.503,69.26,69.093,69.914,73.893,78.838,79.746,88.171,87.065,90.356,94.609,101.132,101.746,100,96.786,94.94,93.876
