"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:44:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RC1",104.6,92.2,77.4,59.5,57.2,66.8,74.3,84.9,93,87.4,93.5,102.9,129.4,166,203.1,224.6,228.2,227.8,249.9,274.8,272.8,300.2,347.3,367.7,389.7,391.1,426.2,450.1,474.9,482,522.5,543.3,563.3,605.1,638.6,685.8,743.7,815,861.7,942.5,1019.9
"9","2","Plus: Income receipts from the rest of the world","B645RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.8,3,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8
"10","3","Less: Income payments to the rest of the world","A655RC1",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3,3.3,4,5.7
