"","Table 1#1#10# Percentage Shares of Gross Domestic Product       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:39:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RE1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"9","2","Personal consumption expenditures","DPCERE1",74,76.1,78.4,81.8,80.4,77,75.3,73.3,71.8,73.5,71.9,69.2,62.7,53.6,49.2,48.4,52.6,63.3,64.8,63.7,65.4,64,60,59.7,59.8,61.3,60.7,60.3,60.4,61.4,60.8,61,60.7,60,59.9,60,59.6,59,58.9,59.1,59.3
"10","3","  Goods","DGDSRE1",41.9,41.4,41,40.5,41.6,42.6,42.6,42.4,41.2,41.2,40.6,39.5,36.7,30.7,27.7,27,29.6,37.9,39.8,39.1,39.6,38.9,35.9,35,34.6,34.7,34.6,33.8,33.6,33.5,33,32.6,31.7,31.2,31,31,30.9,30.6,30.1,30.2,29.9
"11","4","    Durable goods","DDURRE1",9.4,8.3,7.6,6.6,6.6,6.8,7.4,8,7.9,7,7.7,8.1,7.9,4.6,3.7,3.4,4,7.5,8.7,8.9,9.8,10.8,9.1,8.5,8.9,8.6,9.6,8.9,8.9,8.2,8.6,8.4,7.8,8.2,8.5,8.7,8.9,8.8,8.6,9,8.9
"12","5","    Nondurable goods","DNDGRE1",32.5,33.1,33.3,33.9,35,35.8,35.2,34.4,33.3,34.2,32.9,31.4,28.7,26.1,24.1,23.5,25.6,30.3,31,30.2,29.9,28.1,26.8,26.5,25.7,26.1,25,24.9,24.8,25.3,24.4,24.2,23.9,23.1,22.5,22.3,22,21.8,21.5,21.2,21
"13","6","  Services","DSERRE1",32.1,34.7,37.4,41.3,38.8,34.4,32.7,30.9,30.6,32.3,31.3,29.8,26,22.9,21.4,21.4,22.9,25.5,25,24.6,25.8,25.1,24.1,24.7,25.2,26.6,26.1,26.5,26.8,27.9,27.7,28.4,29,28.8,28.9,29,28.8,28.3,28.8,28.9,29.4
"14","7","Gross private domestic investment","A006RE1",16.4,12.4,8.5,3.1,4,6.4,9.9,11.1,13.9,9.1,10.9,14.2,15,7.1,3.6,4.1,5.4,14.5,14.9,18.3,14.3,18.8,18.1,15.6,15.5,14.8,17.3,17.3,16.1,14.7,16.4,15.9,15.4,16,16.2,16.4,17.4,17.7,16.6,16.6,17
"15","8","  Fixed investment","A007RE1",14.9,12.6,9.9,7,6.4,7.3,8.4,9.7,11.1,9.7,10.7,11.8,11.6,5.9,4,4.5,6.1,11.9,15.1,16.3,15.3,16.9,15.2,14.6,15,15.3,16.1,16.4,15.9,14.8,15.6,15.3,14.8,15,15.3,15.7,16.2,16,15.4,15.7,16.1
"16","9","    Nonresidential","A008RE1",11.1,10,7.4,5.5,5.2,5.7,6.5,7.5,8.8,7.2,7.3,8.3,8.4,4.5,3.2,3.8,5.3,8.4,10.2,10.5,9.9,10,9.8,9.5,9.9,9.9,10.2,11.1,11.2,10.1,10.2,10.4,10,10.1,10.1,10.5,11.5,11.9,11.5,11.4,11.8
"17","10","      Structures","B009RE1",5.3,4.8,3.4,2.3,1.9,1.8,1.9,2.2,2.9,2.4,2.4,2.5,2.5,1.4,0.9,1.1,1.5,3.2,3.3,3.5,3.4,3.3,3.4,3.3,3.5,3.5,3.6,4,4,3.7,3.5,3.6,3.5,3.4,3.3,3.5,3.8,3.8,3.7,3.6,3.7
"18","11","      Equipment","Y033RE1",5.3,4.5,3.4,2.5,2.5,3.1,3.8,4.6,5.1,3.9,4.2,5,5,2.4,1.8,2.2,3.2,4.4,6.1,6.3,5.8,5.9,5.7,5.4,5.5,5.3,5.6,5.9,6,5.2,5.4,5.5,5.1,5.3,5.4,5.6,6.2,6.5,6.2,6.2,6.4
"19","12","      Intellectual property products","Y001RE1",0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.7,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.9,1,1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.7
"20","13","    Residential","A011RE1",3.9,2.7,2.5,1.5,1.3,1.6,1.9,2.2,2.3,2.6,3.4,3.5,3.3,1.4,0.8,0.7,0.8,3.5,4.9,5.8,5.4,6.9,5.4,5.1,5.1,5.5,6,5.3,4.8,4.7,5.5,4.9,4.8,4.9,5.1,5.1,4.7,4.1,3.9,4.3,4.4
"21","14","  Change in private inventories","A014RE1",1.5,-0.2,-1.4,-3.9,-2.5,-0.9,1.5,1.4,2.8,-0.7,0.2,2.3,3.3,1.1,-0.4,-0.4,-0.6,2.6,-0.2,2.1,-1,1.9,2.9,1,0.5,-0.5,1.2,0.9,0.2,-0.1,0.7,0.6,0.5,1,0.9,0.7,1.2,1.7,1.1,1,0.9
"22","15","Net exports of goods and services","A019RE1",0.4,0.4,0,0.1,0.1,0.5,-0.3,-0.2,0.1,1.1,0.9,1.4,0.8,-0.2,-1.1,-0.9,-0.3,3.2,4.3,2,1.9,0.2,0.7,0.3,-0.2,0.1,0.1,0.5,0.9,0.1,0.1,0.8,0.9,0.7,0.8,1,0.8,0.5,0.4,0.1,0.1
"23","16","  Exports","B020RE1",5.7,4.8,3.8,3.3,3.5,3.8,3.7,3.5,4.3,4.4,4.2,4.8,4.2,2.6,2,2.2,3,6.2,7.5,5.7,5.3,4.1,4.9,4.5,3.9,4,4.1,4.7,5.1,4.3,4.3,5,4.9,4.8,4.9,5.1,5,5,5,5.1,5.1
"24","17","    Goods","A253RE1",5.1,4.3,3.2,2.8,3,3.3,3.2,3.1,3.7,3.7,3.6,4,3.5,2,1.4,1.6,2.4,5.2,6.4,4.8,4.5,3.4,4.1,3.7,3.2,3.3,3.4,3.9,4.1,3.4,3.2,3.8,3.7,3.6,3.7,3.9,3.8,3.8,3.8,3.8,3.8
"25","18","    Services","A646RE1",0.6,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.6,0.5,0.6,0.6,1,1.1,0.8,0.8,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.9,0.9,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
"26","19","  Imports","B021RE1",5.3,4.5,3.8,3.2,3.4,3.4,4,3.7,4.3,3.3,3.4,3.3,3.4,2.8,3.1,3.1,3.3,3.1,3.2,3.7,3.4,3.9,4.2,4.2,4.1,3.9,4,4.2,4.2,4.2,4.3,4.2,4,4.1,4.1,4.1,4.2,4.5,4.6,4.9,5
"27","20","    Goods","A255RE1",4.3,3.4,2.7,2.3,2.6,2.6,3.3,3,3.4,2.5,2.6,2.6,2.6,1.7,1.7,1.7,1.7,2.2,2.4,2.7,2.5,3,3.2,2.9,2.8,2.6,2.7,2.8,2.8,2.7,2.9,2.8,2.7,2.8,2.8,2.8,3,3.2,3.2,3.6,3.6
"28","21","    Services","B656RE1",1,1.1,1,1,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.8,1.1,1.4,1.4,1.6,0.8,0.8,0.9,0.9,0.8,1,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.3,1.4,1.4,1.3,1.3,1.3,1.2,1.3,1.4,1.3,1.3
"29","22","Government consumption expenditures and gross investment","A822RE1",9.2,11.2,13.2,15,15.6,16.1,15,15.8,14.1,16.3,16.3,15.2,21.6,39.4,48.3,48.4,42.3,19,16,16,18.3,16.9,21.2,24.4,24.9,23.7,21.9,21.9,22.6,23.8,22.8,22.3,23.1,23.3,23.2,22.7,22.2,22.9,24.1,24.1,23.6
"30","23","  Federal","A823RE1",1.8,2.2,2.6,3.3,4.3,5.1,4.8,6.8,5.7,6.8,6.7,6.6,14.8,34.1,44,44.6,38.3,14.1,10.3,9.9,11.2,9.8,14.4,17.6,18,16.2,14.3,14,14.4,14.8,14.1,13.4,13.7,14.1,13.8,13.2,12.5,13.1,13.9,13.6,12.9
"31","24","    National defense","A824RE1",1,1.2,1.4,1.7,1.7,1.4,1.6,1.6,1.5,1.7,1.8,2.7,11.9,32.2,42.7,43.3,37.2,12.3,8.5,7.6,8.2,7.6,12.6,15.6,15.7,13.9,12.3,12.2,12.6,12.9,11.7,11.2,11.5,11.5,11,10.2,9.5,10.1,11,10.8,10
"32","25","    Nondefense","A825RE1",0.8,1,1.3,1.6,2.6,3.8,3.2,5.2,4.1,5,4.9,3.9,2.9,1.9,1.3,1.2,1.1,1.7,1.9,2.2,3,2.2,1.8,2,2.3,2.2,2,1.8,1.8,1.9,2.4,2.2,2.3,2.6,2.8,3,3,3,2.9,2.8,2.9
"33","26","  State and local","A829RE1",7.4,9,10.5,11.7,11.3,10.9,10.3,9,8.5,9.5,9.6,8.5,6.8,5.3,4.2,3.8,4.1,4.9,5.7,6.1,7.2,7.1,6.8,6.8,6.9,7.5,7.6,7.9,8.2,8.9,8.7,8.9,9.3,9.2,9.4,9.5,9.6,9.8,10.2,10.5,10.7
