"","Table 7#9# Rental Income of Persons by Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:30:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Rental income of persons with capital consumption adjustment","A048RC1",6.9,6.9,7.5,7.8,8.8,9.7,10.8,12,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18,18.7,18.8,19.3,19.9,20.3,20.1,20.4
"9","2","Other private business","W155RC1",4,4.1,4.5,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.5,5.6,5.8,5.8,5.9,6,5.9,6,6
"10","3","  Tenant-occupied housing","W285RC1",1.5,1.6,1.8,2.1,2.2,2.3,2.4,2.7,2.9,2.9,2.9,3.1,3.3,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3
"11","4","    Nonfarm tenant-occupied permanent site housing","B1436C1",1.5,1.5,1.8,2,2.2,2.2,2.4,2.6,2.8,2.8,2.9,3,3.3,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3,2.9
"12","5","    Farm tenant-occupied housing owned by farm operator landlords","W156RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"13","6","  Farms owned by nonoperator landlords \1\","B1437C1",1.3,1.4,1.3,1,1.2,1.3,1.3,1.1,1.1,1,1.1,1,1.1,1,1,1.2,1.3,1.4,1.4,1.5,1.6,1.4,1.5,1.6
"14","7","  Nonfarm nonresidential properties \2\","B1438C1",0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"15","8","  Royalties","B1439C1",0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1,1,1,0.9,0.9,1,1,1,1.2,1.1,1.2,1.2
"16","9","Households and nonprofit institutions","W157RC1",2.9,2.8,3,3.4,4,4.6,5.6,6.7,7.6,8,8.2,8.6,9.2,10.1,11,11.7,12.5,12.9,13.1,13.4,13.9,14.4,14.1,14.4
"17","10","  Nonfarm owner-occupied housing","A2217C1",2.3,2.1,2.3,2.8,3.4,4,4.9,6,7,7.3,7.5,7.9,8.4,9.2,10.1,10.7,11.5,11.9,12,12.3,12.8,13.3,13,13.2
"18","11","    Permanent site","B1434C1",2.3,2.1,2.3,2.8,3.4,4,4.9,6,6.9,7.3,7.5,7.9,8.4,9.2,10.1,10.7,11.4,11.8,11.9,12.1,12.6,13,12.7,12.9
"19","12","    Manufactured homes","B1435C1",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3
"20","13","  Farm owner-occupied housing owned by farm operators","W158RC1",0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2
"21","14","  Tenant-occupied housing owned by nonprofit institutions","W159RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Rental income with capital consumption adjustment (1-8)","A2215C1",6.5,6.4,6.8,7.2,8.2,9,10.1,11.2,12.2,12.5,12.7,13.1,13.8,14.6,15.5,16.3,17.2,17.7,17.8,18.3,18.7,19.2,18.9,19.2
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Includes housing, service structures, and land.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Includes rental income of private employee pension funds imputed to persons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
