"","Table 7#4#3# Real Housing Sector Output, Real Gross Value Added,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2012 10:31:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Housing output \1\","A2007A3",32.897,34.116,35.729,37.616,39.495,41.604,42.789,44.013,45.129,47.418,49.364,51.016,52.323,52.639,53.724,55.949,58.146,59.71,61.445,63.337,64.98,66.609,68.116,69.92,71.433,74.35,76.532,78.016,80.195,82.795,85.661,88.333,91.316,91.746,92.777,95.121,100,102.875,103.324,104.435,105.628,106.153
"9","2","  Nonfarm housing","A2008A3",32.415,33.659,35.307,37.235,39.16,41.305,42.51,43.755,44.882,47.207,49.194,50.873,52.207,52.533,53.639,55.898,58.127,59.713,61.467,63.383,65.045,66.691,68.217,70.045,71.582,74.538,76.754,78.256,80.44,83.048,85.929,88.476,91.51,91.949,92.97,95.177,100,102.919,103.506,104.684,105.9,106.441
"10","3","    Owner-occupied","DOWNRA3",28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.138,102.929,103.13,103.32
"11","4","    Tenant-occupied","DTENRA3",48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,108.878,111.561,116.698,118.588
"12","5","  Farm housing","DFARRA3",59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,91.356,88.135,87.783,87.315
"13","6","Less: Intermediate goods and services consumed","B1027A3",25.239,26.78,28.343,30.588,34.197,36.877,37.557,40.981,42.054,45.071,47.217,43.759,42.289,38.294,38.769,42.501,44.182,47.378,50.079,52.087,54.312,55.611,53.794,54.388,57.311,59.473,60.805,63.145,64.467,71.875,70.312,70.14,77.508,83.344,96.12,92.992,100,97.777,88.087,75.186,80.641,81.365
"14","7","Equals: Gross housing value added","A2009A3",34.593,35.729,37.346,39.138,40.59,42.55,43.852,44.529,45.651,47.739,49.62,52.656,54.716,56.193,57.434,59.256,61.579,62.724,64.212,66.072,67.569,69.278,71.589,73.686,74.864,77.963,80.35,81.634,84.019,85.477,89.403,92.771,94.672,93.786,91.965,95.669,100,104.227,107.438,112.323,112.389,112.858
"15","8","          Nonfarm housing","B499RA3",34.047,35.208,36.864,38.699,40.189,42.183,43.511,44.198,45.332,47.455,49.378,52.471,54.574,56.083,57.361,59.226,61.596,62.767,64.281,66.16,67.669,69.391,71.726,73.847,75.05,78.196,80.622,81.925,84.32,85.773,89.732,92.978,94.919,94.028,92.156,95.738,100,104.291,107.696,112.713,112.786,113.27
"16","9","            Owner-occupied","B1300A3",30.084,31.052,32.749,34.351,35.816,37.893,39.145,39.885,40.329,42.94,45.349,48.694,50.452,51.487,52.558,54.264,55.653,56.364,57.976,60.155,62.016,63.59,65.666,67.556,69.243,72.61,74.875,76.589,79.264,80.941,85.518,89.356,91.8,91.532,91.058,94.975,100,103.949,106.019,110.854,109.868,109.896
"17","10","            Tenant-occupied","B1301A3",50.949,52.941,54.393,57.221,58.804,60.413,62.055,62.507,66.629,66.611,66.401,68.387,71.956,75.478,77.633,80.165,86.673,89.769,90.879,91.516,91.55,93.893,97.322,100.414,99.638,101.9,105.009,104.569,105.778,106.274,107.589,108.317,108.131,104.597,96.793,98.955,100,105.733,114.749,120.523,124.926,127.264
"18","11","          Farm housing","B1302A3",62.253,62.383,62.517,62.706,62.695,63.413,63.71,63.965,64.584,65.117,65.069,65.329,65.193,64.85,63.763,62.772,61.804,60.99,60.45,60.741,61.4,62.176,62.703,63.096,62.582,62.661,62.694,62.902,64.584,66.419,68.154,79.477,78.709,78.15,79.681,91.265,100,100.305,91.965,88.968,88.607,88.202
"19","12","Less: Consumption of fixed capital","B1028A3",34.27,35.529,36.94,38.699,40.594,42.222,43.445,44.661,46.206,48.013,49.869,51.45,52.702,53.679,54.749,56.253,57.949,59.826,61.854,63.852,65.728,67.382,68.752,70.073,71.651,73.484,75.428,77.456,79.563,81.778,84.167,86.626,89.052,91.541,94.232,97.123,100,102.861,105.383,107.034,107.945,108.528
"20","13","Equals: Net housing value added","B952RA3",34.507,35.607,37.268,39.06,40.387,42.431,43.75,44.261,45.247,47.415,49.296,52.827,55.16,56.8,58.092,60.006,62.51,63.446,64.782,66.601,67.995,69.718,72.268,74.558,75.636,79.049,81.546,82.644,85.097,86.367,90.674,94.271,96.036,94.296,91.334,95.254,100,104.639,108.06,113.897,113.728,114.167
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","as shown in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
