"","Table 3#15#3# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 14, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:21:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","B822RA3",36.688,36.751,38.6,40.977,42.032,42.958,44.25,48.149,51.844,53.472,53.347
"9","2","General public service","W575RA3",19.29,20.565,21.677,22.748,23.677,24.85,27.088,27.468,28.099,30.123,34.436
"10","3","National defense","B824RA3",68.485,67.385,70.368,74.623,72.838,69.951,68.481,78.306,88.567,90.001,85.556
"11","4","Public order and safety","W579RA3",17.248,18.112,18.879,19.327,20.007,21.263,22.225,23.249,24.132,26.308,27.417
"12","5","Economic affairs","W584RA3",44.847,42.872,44.568,49.168,54.347,58.63,62.069,62.833,63.578,64.761,64.378
"13","6","  Transportation","W589RA3",45.491,46.315,49.041,50.772,54.075,54.927,56.869,59.9,61.239,62.833,62.259
"14","7","  Space","W595RA3",8.791,18.205,28.292,54.846,103.648,136.096,166.298,174.715,142.615,130.387,110.061
"15","8","  Other economic affairs","W596RA3",52.456,43.2,41.402,46.314,45.624,49.939,50.411,45.739,52.194,55.413,59.412
"16","9","Housing and community services","W597RA3",42.985,43.662,47.854,54.046,50.37,57.737,59.14,59.707,61.912,68.39,63.028
"17","10","Health","W598RA3",20.765,21.998,23.139,23.492,24.953,26.433,26.975,28.361,29.95,31.932,33.686
"18","11","Recreation and culture","W599RA3",22.409,23.203,25.151,26.269,28.286,28.608,29.782,31.029,33.508,38.559,42.498
"19","12","Education","W600RA3",23.007,24.469,25.902,26.773,28.844,30.967,33.505,36.945,39.069,40.624,42.108
"20","13","Income security","W605RA3",11.458,10.908,13.771,15.632,15.603,15.56,19.212,21.728,23.777,22.408,24.954
"21","14","      Federal","B823RA3",54.992,53.496,55.739,60.488,60.526,59.725,59.697,66.303,72.903,73.491,70.969
"22","15","General public service","W611RA3",40.482,43.873,43.436,47.214,48.35,47.7,51.885,48.247,42.596,40.308,47.466
"23","16","National defense","B824RA3",68.485,67.385,70.368,74.623,72.838,69.951,68.481,78.306,88.567,90.001,85.556
"24","17","Public order and safety","W615RA3",6.736,6.933,7.054,7.268,7.591,7.601,7.832,8.008,8.504,8.735,9.978
"25","18","Economic affairs","W620RA3",42.805,35.983,35.458,45.745,52.665,61.025,65.219,63.372,61.988,62.517,62.278
"26","19","  Transportation","W625RA3",28.705,31.614,33.609,34.574,35.502,36.095,35.936,38.57,40.199,38.8,39.829
"27","20","  Space","W631RA3",8.791,18.205,28.292,54.846,103.648,136.096,166.298,174.715,142.615,130.387,110.061
"28","21","  Other economic affairs","W632RA3",62.516,45.73,40.435,49.472,44.856,48.658,46.15,38.961,46.481,52.043,57.905
"29","22","Housing and community services","W633RA3",15.748,27.271,52.018,69.707,87.445,71.117,57.844,75.713,103.629,48.034,47.222
"30","23","Health","W634RA3",16.644,17.867,18.742,19.925,21.473,22.505,21.986,24.825,26.263,27.942,28.711
"31","24","Recreation and culture","W635RA3",22.52,29.348,31.487,36.576,41.938,35.362,40.096,41.669,42.572,48.359,56.376
"32","25","Education","W636RA3",18.35,16.908,18.611,22.374,25.917,28.682,29.898,50.009,54.644,48.053,41.135
"33","26","Income security","W640RA3",20.382,17.046,29.343,36.157,33.125,27.012,37.358,42.315,45.157,29.848,32.072
"34","27","      State and local","B829RA3",25.232,26.338,27.961,28.818,30.552,32.626,34.813,36.998,38.868,41.168,42.557
"35","28","General public service","W646RA3",14.573,15.391,16.8,17.291,18.163,19.731,21.534,22.83,24.88,27.89,31.563
"36","29","Public order and safety","W650RA3",19.301,20.298,21.196,21.688,22.435,23.952,25.062,26.26,27.213,29.787,30.847
"37","30","Economic affairs","W655RA3",46.065,46.973,50.008,51.138,55.253,57.041,60.006,62.349,64.363,65.935,65.466
"38","31","  Transportation","W660RA3",48.35,48.82,51.67,53.533,57.248,58.144,60.461,63.553,64.837,66.958,66.101
"39","32","  Other economic affairs","W665RA3",36.689,39.228,42.893,41.271,46.82,51.951,57.322,56.763,61.542,60.987,62.016
"40","33","Housing and community services","W666RA3",44.161,44.318,47.491,53.091,48.349,56.917,59.086,58.741,59.589,69.328,63.735
"41","34","Health","W671RA3",23.682,24.945,26.272,26.098,27.523,29.317,30.586,30.992,32.698,34.901,37.328
"42","35","Recreation and culture","W672RA3",22.522,22.359,24.288,24.77,26.255,27.724,28.31,29.513,32.271,37.239,40.541
"43","36","Education","W673RA3",23.074,24.585,26.013,26.835,28.881,30.992,33.551,36.72,38.803,40.485,42.098
"44","37","  Elementary and secondary","W674RA3",26.839,28.607,30.111,30.699,32.514,34.771,37.233,40.11,41.651,43.33,44.782
"45","38","  Higher","W675RA3",12.518,13.324,14.467,15.812,18.345,19.849,22.266,25.702,28.745,30.235,31.921
"46","39","  Libraries and other","W677RA3",16.553,17.551,19.003,20.462,23.068,25.851,30.464,36.579,42.152,44.781,48.671
"47","40","Income security","W678RA3",9.217,9.417,9.751,10.288,11.081,12.719,14.579,16.47,18.337,20.705,23.372
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
