"","Table 1#1#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:11:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RL1",-8.6,-6.5,-13.1,-1.3,10.9,8.9,13.1,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-10.9,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.6,7.2,2,2,-0.9,7.2,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1
"9","2","Personal consumption expenditures","DPCERL1",-5.4,-3.1,-9,-2.2,7.2,6.1,10.2,3.7,-1.6,5.6,5.2,7.1,-2.4,2.8,2.8,6.2,12.4,1.9,2.3,2.8,6.4,1.6,3.2,4.8,2.1,7.4,2.9,2.5,0.9,5.7,2.7,2.1,4.9,4.1,6,6.3,5.7,3,5.8,3.7
"10","3","  Goods","DGDSRL1",-7.9,-3.6,-11.7,-0.7,9.1,8.2,13.3,3,-2.2,6.9,6.2,7.9,-7.7,-1,0.8,6.8,18.5,2.9,2,3,7.7,-1.2,2.2,5.2,1.1,9.2,1.5,1.7,-1,6.3,1.8,0.6,5.1,4,6,7.1,6.3,2,6.2,3.1
"11","4","    Durable goods","DDURRL1",-17.2,-13.6,-24,-2.6,14.4,21,22.2,5.2,-17.1,18.5,14.4,15.4,-36.5,-10.2,-7.8,11.1,80.7,17.3,6.6,8.1,21.2,-8.3,-2.2,11.7,-0.4,21.3,-3.7,0.9,-7.6,11.8,2,-3.4,11.4,9.2,9.3,12.4,8.3,1.5,11.1,3.7
"12","5","    Nondurable goods","DNDGRL1",-5.2,-1.1,-8.8,-0.4,8.2,5.8,11.4,2.5,1.4,4.6,4.3,6,0.3,0.6,2.1,6.2,9,-0.6,0.7,1.5,3.3,1.5,3.8,3.1,1.6,5.2,3.5,2,1.3,4.5,1.7,2,3.1,2.2,4.7,5,5.6,2.1,4.2,2.8
"13","6","  Services","DSERRL1",-2.1,-2.5,-6,-3.7,4.9,3.5,6.2,4.7,-0.8,3.9,3.9,5.9,5.5,8,5.6,5.4,4.6,0.4,2.6,2.4,4.4,5.9,4.5,4.2,3.5,5,4.8,3.5,3.3,5,3.9,3.7,4.7,4.2,6,5.5,5,4.1,5.3,4.5
"14","7","Gross private domestic investment","A006RL1",-33.3,-37.2,-69.8,47.3,80.7,85.1,28.2,24.9,-33.9,28.6,39.3,22.1,-47.2,-41,23.6,32,156.4,-3.9,27.8,-23.7,41.2,0.3,-9.6,4.7,-4.6,24.3,-1.4,-4.4,-8.3,20.3,0,-0.6,12.7,6.7,8.2,14,8.8,-4.6,5.8,5.8
"15","8","  Fixed investment","A007RL1",-23.4,-30.7,-41.9,-11.6,29.3,29.6,33.2,17.3,-20.8,20,20.1,14.1,-43.6,-22.8,22.8,36.9,84.4,20.3,10.1,-8.6,19.4,-4.2,-1.9,7,1.6,13,0.4,-1.1,-7.2,14,0.9,-0.3,9,7.8,9.7,10.2,5.7,-1.8,7,6.2
"16","9","    Nonresidential","A008RL1",-17.6,-34.5,-40.1,-9.9,27.4,26.7,35.2,19.8,-26.7,11.6,23.8,17.7,-41.1,-16.4,32.8,40.5,47.5,16.4,5.2,-9.2,9.2,4.6,-1.9,9,-2.1,11.1,5.7,1.5,-11,8,5.7,-0.6,8.7,5.6,11.9,17.4,12.5,-1.3,4.5,7.6
"17","10","      Structures","A009RL1",-14.4,-35.6,-38.8,-22.4,12.7,10.9,31.3,26.8,-20,5.5,13.5,18.8,-38.2,-27.3,30.9,34.8,97.5,-9.1,5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,8,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4
"18","11","      Equipment and software","A010RL1",-20.7,-33.3,-41.4,2.4,38.2,36.3,37.2,16.3,-30.4,15.4,29.6,17.2,-42.6,-10.2,33.8,43.2,24.7,35.9,5.2,-12.3,10.4,2.9,-2.9,9.1,-5.6,13.7,2.7,2.6,-14.6,11.9,4.2,-1.9,11.6,8.4,12.8,18.3,16,-0.7,6.2,8.8
"19","12","    Residential","A011RL1",-39.2,-16.4,-47.2,-18.3,36.9,39.9,26.6,8.8,0.5,41.7,12.8,6.2,-49.4,-40.6,-13.9,17.6,319.7,28.9,19.7,-7.6,36.8,-16.3,-1.8,3.5,8.3,16.2,-8.1,-6.1,1,25.4,-7.1,0.3,9.6,11.8,5.8,-2.9,-8.9,-3.1,13.6,3
"20","13","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","A020RL1",-17.3,-16.9,-21.6,0.6,11.1,5.5,5,26,-1.1,5.6,13.7,2.6,-33.9,-15.7,7.4,40.1,115.9,14,-21.2,-0.9,-12.5,22.6,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.4,0.5,5,7.2,11.8,2.8,6.9,2.3,7.9,4.8
"23","16","    Goods","A253RL1",-17.9,-17.3,-22.5,-0.5,10.2,4.8,5.2,25.8,1.6,5.5,14.9,2.6,-38.6,-21.8,7.3,50,131.1,15,-22.6,-0.6,-13.6,21.8,-5.1,-6.8,5.7,10.5,17.3,7.9,-15.2,-0.7,23.4,0.5,4.5,7.9,13.7,0.5,7,0.5,7.9,5.2
"24","17","    Services","A646RL1",-13,-14.1,-16.7,7.5,18,9.5,4.1,27.4,-15,5.8,7.9,2.4,-11.6,5.6,7.6,12.3,62.4,8.7,-12.7,-2.6,-6.4,26.4,-0.3,-6.4,1.3,11.4,13.1,12.4,-6.3,54.8,1.6,0.6,6.9,5.1,6,10.2,6.9,7.9,7.7,3.7
"25","18","  Imports","A021RL1",-13,-12.8,-17,4.2,2.1,31,-1.1,12.5,-22.3,5.1,2.4,23,-9.2,26.1,4.7,6.3,-17.1,-5.1,16.7,-3.6,18.2,3.9,8.8,9.4,-4.9,12,8.1,4.2,4.7,10.5,1.3,-0.7,11.3,2.7,5.3,10.6,14.9,7.3,14.9,5.7
"26","19","    Goods","A255RL1",-15.7,-12.6,-19.2,12.3,2.2,37.5,-3.7,11.8,-23.8,8.9,4.9,18,-30.7,15.7,3.7,-0.3,15.5,-4,14.6,-3.9,22.1,-2,2,5.8,-7.6,11.6,8.9,2.9,2.8,17.4,-1.6,-0.1,14.8,4.1,6.6,14.2,15.8,5.3,20.7,5.5
"27","20","    Services","A656RL1",-2.8,-13.1,-11.5,-15.9,1.8,7.4,10.9,15.6,-16.6,-6.7,-5.9,41.9,63,41.4,5.8,14.5,-52.2,-8,23.4,-2.4,6.3,27.2,30.4,18.2,1.1,12.9,6.5,6.9,8.6,-2,7.8,-1.7,4.7,-0.1,2.6,2.9,12.7,12.2,1.8,6.3
