"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2012      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2012 10:27:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Private fixed investment","A007RX1",1231.2,1341.6,1465.4,1624.4,1775.5,1906.8,1870.7,1791.5,1854.7,1992.5,2122.3,2172.7,2130.6,1978.6,1606.3,1648.4,1761
"9","2","Nonresidential","A008RX1",787.9,861.5,965.5,1081.4,1194.3,1311.3,1274.8,1173.7,1189.6,1263,1347.3,1455.5,1550,1537.6,1263.2,1319.2,1435.5
"10","3","  Structures","B009RX1",342,361.4,387.9,407.7,408.2,440,433.3,356.6,343,346.7,351.8,384,438.2,466.4,367.3,309.1,323.2
"11","4","    Commercial and health care","W001RX1",126.7,136.5,150.8,160.2,166.1,177.2,168.6,142.8,133.8,137.1,135.9,144.2,158.6,152.7,105.9,80,76.6
"12","5","    Manufacturing","C307RX1",51.7,54.4,51.9,53.7,44.8,46.2,44.9,26.2,24.3,25.5,29.9,33,39,48.6,50.8,34.6,32
"13","6","    Power and communication","W003RX1",45.4,39,37.6,44.2,52.1,60.1,62,60.5,55.7,46.2,45.2,48.7,67.8,74,74.5,63.2,67.7
"14","7","    Mining exploration, shafts, and wells","E318RX1",52.6,56.1,66,57.7,48.8,61,71.9,52.6,60,69.9,77.1,88.3,93.6,101.5,65.8,76.7,93.6
"15","8","    Other structures \1\","W004RX1",59.2,69.6,79,83.2,83.3,85.8,81.7,68.9,66.5,67.4,63.7,69.6,80.3,90.4,73.5,54.2,50.5
"16","9","  Equipment and software","B010RX1",489.4,541.4,615.9,705.2,805,889.2,860.6,824.2,850,917.3,995.6,1071.1,1106.8,1059.4,889.7,1019.4,1125.7
"17","10","    Information processing equipment and software","A679RX1",147.3,176.5,217.6,267.1,327.2,386.2,384.5,373.9,403.7,443.1,475.3,516.3,558.2,569.7,548.3,602.6,639.7
"18","11","      Computers and peripheral equipment \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","      Software \3\","B985RX1",66.9,78.5,101.7,122.8,151.5,172.4,173.7,173.4,185.6,204.6,218,227.1,240.9,250.8,249.1,256.1,271.8
"20","13","      Other \4\","A937RX1",90.1,98.7,107.2,120.7,134.6,162,157,142.7,155.1,168.1,178.4,192.8,208.4,202.4,186.1,207.3,209.6
"21","14","    Industrial equipment","A680RX1",145.5,150.9,154.1,160.8,161.8,175.8,162.8,151.9,151.6,147.4,159.6,172.9,179.9,172.9,137.1,146.6,165.2
"22","15","    Transportation equipment","A681RX1",131.5,136.8,148.2,162,190.3,186.2,169.6,154.2,140.4,162.3,181.7,196.5,185.8,142.7,70.7,119.3,150.4
"23","16","    Other equipment \5\","A862RX1",110.6,114.8,125.9,138.8,142.4,150.4,149.3,148.2,155,164.4,178.9,185.5,184.2,177.8,145.6,162.6,179.2
"24","17","Residential","A011RX1",456.1,492.5,501.8,540.4,574.2,580,583.3,613.8,664.3,729.5,775,718.2,584.2,444.4,345.6,330.8,326.3
"25","18","  Structures","A012RX1",450.1,486.8,496.3,534.5,567.5,572.6,575.6,605.9,655.9,720.1,765.2,708.1,574.2,434.9,336.9,321.5,316.6
"26","19","    Permanent site","A943RX1",268.7,293.9,295.5,323.5,347.6,350.4,352.5,366.6,402.5,449.1,480.8,438.8,326.6,216.8,130.2,125.2,118.7
"27","20","      Single family","A944RX1",240.2,262.4,261.6,290.1,311.5,315,315.4,327.7,362.6,406.1,433.5,391.1,284,178.4,105.5,114.7,108.1
"28","21","      Multifamily","C292RX1",28.3,31.3,33.7,33.4,36,35.4,36.9,38.9,39.9,43,47.3,47.6,42.2,37.1,23.6,12,11.8
"29","22","    Other structures \6\","A863RX1",180.9,192.6,200.2,210.6,219.8,222.1,223.1,239,253.2,271,284.4,269.3,248.2,218.8,207.3,196.8,198.5
"30","23","  Equipment","B013RX1",5.9,5.9,5.8,6.2,6.9,7.4,7.6,7.9,8.4,9.4,9.8,10.1,10,9.7,8.8,9.5,10
"31","24","Residual","A972RX1",-114.6,-100.8,-79.9,-51.4,-19,-4.3,-9.3,-1.6,-0.8,-0.5,0,-1.1,-3.1,1.3,-13.7,-36.1,-40.4
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Private fixed investment in structures","A349RX1",787.8,844,878.9,936.9,971,1006.7,1003.4,960,997.6,1066.6,1116.9,1093.4,1020.7,919.3,718.8,640.2,651.3
"34","26","  Private fixed investment in equipment and software","A327RX1",495.1,547.2,621.6,711.5,811.9,896.6,868.1,832.1,858.4,926.7,1005.4,1081.2,1116.8,1069,898.5,1028.9,1135.7
"35","27","  Private fixed investment in new structures \7\","W040RX1",744.5,795.4,824.3,875.6,905.1,938.3,930.6,885.1,913.4,966,1007.2,996.4,938.9,853.5,660.1,586.8,597.3
"36","28","    Nonresidential structures","A771RX1",342.2,361,385.9,407.2,407.7,439.4,428.8,356.9,343.4,346.2,350.3,383,437.6,465.3,366.8,309.3,323.2
"37","29","    Residential structures","A756RX1",405.7,437.7,442.6,472.8,501.2,503.9,506.4,530.3,571.1,620.1,656.9,612.4,494,372.2,279.7,268.3,263.3
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. The quantity index for computers can be used to accurately measure the real growth rate of this component.  However,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","because computers exhibit rapid changes in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","should not be used to measure the component's relative importance or its contribution to the growth rate of more aggregate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","series; accurate estimates of these contributions are shown in table 5.3.2 and real growth rates are shown in table 5.3.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","7. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
