"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"22","2","    Gross domestic income","A261RC1","954,238.0","972,817.0","993,941.0","1,005,249.0","1,012,020.0","1,025,597.0","1,042,640.0","1,045,543.0","1,083,023.0","1,105,155.0","1,125,855.0","1,149,166.0","1,183,137.0","1,206,037.0","1,238,145.0","1,288,412.0","1,327,545.0","1,355,387.0","1,385,325.0","1,428,737.0","1,443,642.0","1,472,049.0","1,509,158.0","1,533,705.0","1,550,361.0","1,587,667.0","1,650,736.0","1,696,806.0","1,750,477.0","1,780,262.0","1,817,284.0","1,856,430.0","1,905,725.0","1,981,856.0","2,045,289.0","2,102,792.0","2,144,460.0","2,250,897.0","2,303,485.0","2,371,984.0","2,435,057.0","2,480,766.0","2,538,030.0","2,607,169.0","2,662,054.0","2,669,776.0","2,745,711.0","2,893,861.0","2,992,965.0","3,048,394.0","3,150,985.0","3,168,682.0","3,187,937.0","3,241,573.0","3,272,291.0","3,291,971.0","3,357,717.0","3,438,136.0","3,522,020.0","3,621,782.0","3,766,149.0","3,869,942.0","3,945,702.0","4,015,636.0","4,093,209.0","4,141,589.0","4,206,352.0","4,259,413.0","4,326,350.0","4,359,914.0","4,410,987.0","4,471,993.0","4,551,390.0","4,648,368.0","4,754,887.0","4,859,285.0","4,955,574.0","5,059,101.0","5,157,805.0","5,267,328.0","5,356,275.0","5,395,219.0","5,454,533.0","5,498,137.0","5,611,079.0","5,715,095.0","5,761,269.0","5,777,867.0","5,827,520.0","5,884,437.0","5,941,625.0","5,995,839.0","6,119,337.0","6,204,905.0","6,252,874.0","6,352,135.0","6,391,526.0","6,498,164.0","6,546,504.0","6,690,021.0","6,802,061.0","6,917,603.0","7,032,531.0","7,153,204.0","7,231,382.0","7,298,253.0","7,417,789.0","7,501,090.0","7,614,857.0","7,763,251.0","7,863,550.0","8,008,480.0","8,146,184.0","8,259,673.0","8,423,669.0","8,555,817.0","8,661,422.0","8,804,610.0","8,967,347.0","9,081,880.0","9,244,531.0","9,339,242.0","9,458,901.0","9,655,542.0","9,930,398.0","10,036,056.0","10,171,025.0","10,204,402.0","10,376,695.0","10,410,273.0","10,394,764.0","10,376,354.0","10,541,941.0","10,647,192.0","10,681,093.0","10,787,352.0","10,895,521.0","11,037,638.0","11,194,224.0","11,374,762.0","11,567,278.0","11,778,405.0","11,989,257.0","12,167,496.0","12,408,431.0","12,584,495.0","12,809,131.0","13,070,157.0","13,375,659.0","13,538,514.0","13,706,294.0","13,857,500.0","13,925,110.0","14,039,063.0","14,040,553.0","14,157,921.0","14,332,676.0","14,386,338.0","14,403,702.0","14,053,190.0","13,867,934.0","13,752,937.0","13,793,569.0","14,007,133.0","14,254,646.0","14,373,780.0","14,579,855.0","14,694,033.0","14,865,276.0","14,978,461.0","15,080,684.0","15,250,712.0","15,477,145.0","15,507,908.0","15,672,576.0","15,920,767.0","16,066,033.0"
"23","3","    Net domestic product \1\","A362RC1","865,240.0","878,115.0","896,023.0","901,593.0","911,528.0","925,275.0","941,085.0","942,199.0","984,225.0","1,002,040.0","1,019,854.0","1,030,053.0","1,066,672.0","1,099,961.0","1,121,025.0","1,155,286.0","1,200,512.0","1,233,026.0","1,248,014.0","1,284,381.0","1,293,434.0","1,325,109.0","1,346,428.0","1,378,066.0","1,387,382.0","1,416,851.0","1,469,023.0","1,516,021.0","1,570,479.0","1,598,744.0","1,627,526.0","1,668,903.0","1,716,441.0","1,776,823.0","1,831,171.0","1,868,976.0","1,899,885.0","2,017,668.0","2,069,808.0","2,142,022.0","2,180,012.0","2,233,011.0","2,295,703.0","2,344,558.0","2,398,108.0","2,390,081.0","2,435,245.0","2,552,803.0","2,676,024.0","2,696,615.0","2,777,539.0","2,783,771.0","2,762,853.0","2,809,663.0","2,836,181.0","2,869,901.0","2,935,820.0","3,033,825.0","3,134,100.0","3,230,263.0","3,343,355.0","3,435,681.0","3,498,422.0","3,548,734.0","3,623,910.0","3,674,584.0","3,748,841.0","3,800,801.0","3,856,528.0","3,888,706.0","3,948,564.0","3,992,562.0","4,052,692.0","4,120,520.0","4,189,361.0","4,298,477.0","4,353,160.0","4,453,340.0","4,526,650.0","4,624,498.0","4,723,918.0","4,807,219.0","4,876,477.0","4,915,176.0","5,031,318.0","5,110,810.0","5,154,478.0","5,140,675.0","5,166,376.0","5,240,704.0","5,305,407.0","5,358,465.0","5,452,027.0","5,551,990.0","5,643,357.0","5,744,439.0","5,782,519.0","5,849,477.0","5,904,711.0","6,020,607.0","6,114,103.0","6,231,538.0","6,307,561.0","6,410,772.0","6,456,323.0","6,491,723.0","6,576,865.0","6,655,860.0","6,741,970.0","6,893,670.0","6,975,009.0","7,093,103.0","7,193,446.0","7,319,693.0","7,439,649.0","7,521,443.0","7,603,284.0","7,686,703.0","7,819,276.0","7,982,515.0","8,085,419.0","8,169,378.0","8,300,932.0","8,480,666.0","8,557,942.0","8,774,707.0","8,821,608.0","8,914,364.0","8,931,621.0","9,051,309.0","9,040,805.0","9,096,051.0","9,210,427.0","9,302,443.0","9,391,199.0","9,445,263.0","9,554,203.0","9,665,722.0","9,894,666.0","10,038,026.0","10,193,235.0","10,343,400.0","10,491,913.0","10,653,422.0","10,866,171.0","10,975,827.0","11,172,572.0","11,311,764.0","11,543,447.0","11,682,265.0","11,757,538.0","11,882,900.0","12,024,613.0","12,219,188.0","12,347,959.0","12,452,898.0","12,456,487.0","12,572,727.0","12,525,432.0","12,195,206.0","12,037,957.0","12,017,670.0","12,097,764.0","12,276,030.0","12,407,151.0","12,545,994.0","12,700,585.0","12,848,195.0","12,910,586.0","13,076,165.0","13,214,346.0","13,354,458.0","13,493,375.0","13,580,776.0","13,791,273.0","13,826,726.0","13,942,420.0"
"24","4","    Net domestic income \1\","W256RC1","858,600.0","874,833.0","893,661.0","902,384.0","906,437.0","917,810.0","933,240.0","935,059.0","969,191.0","988,434.0","1,006,655.0","1,027,828.0","1,059,674.0","1,080,447.0","1,109,900.0","1,157,104.0","1,192,958.0","1,216,956.0","1,242,635.0","1,281,319.0","1,290,566.0","1,312,315.0","1,341,929.0","1,359,001.0","1,368,310.0","1,399,531.0","1,457,312.0","1,498,905.0","1,549,047.0","1,574,770.0","1,607,115.0","1,640,839.0","1,683,669.0","1,753,454.0","1,810,493.0","1,860,943.0","1,895,285.0","1,993,854.0","2,038,066.0","2,097,965.0","2,151,757.0","2,187,335.0","2,233,995.0","2,292,327.0","2,336,088.0","2,331,841.0","2,395,771.0","2,531,363.0","2,617,625.0","2,660,744.0","2,751,498.0","2,757,787.0","2,765,871.0","2,810,290.0","2,834,097.0","2,849,347.0","2,912,572.0","2,989,725.0","3,069,023.0","3,163,913.0","3,302,122.0","3,399,334.0","3,468,166.0","3,530,418.0","3,599,927.0","3,640,504.0","3,696,859.0","3,741,501.0","3,800,454.0","3,825,371.0","3,868,242.0","3,921,277.0","3,992,999.0","4,082,165.0","4,179,741.0","4,274,654.0","4,360,114.0","4,453,182.0","4,541,640.0","4,640,817.0","4,719,862.0","4,748,849.0","4,798,074.0","4,831,571.0","4,934,259.0","5,028,540.0","5,065,120.0","5,072,579.0","5,113,708.0","5,163,120.0","5,213,360.0","5,261,789.0","5,380,627.0","5,461,711.0","5,506,537.0","5,602,971.0","5,629,565.0","5,724,902.0","5,762,892.0","5,896,800.0","5,999,834.0","6,104,871.0","6,208,273.0","6,315,752.0","6,380,010.0","6,434,134.0","6,542,123.0","6,614,406.0","6,718,656.0","6,856,963.0","6,945,850.0","7,078,601.0","7,202,644.0","7,302,555.0","7,453,398.0","7,571,524.0","7,664,120.0","7,792,669.0","7,939,419.0","8,036,866.0","8,181,375.0","8,256,067.0","8,354,737.0","8,528,480.0","8,778,801.0","8,861,643.0","8,975,180.0","8,988,961.0","9,143,240.0","9,160,322.0","9,130,369.0","9,099,273.0","9,253,655.0","9,347,741.0","9,370,589.0","9,465,678.0","9,562,369.0","9,691,778.0","9,833,810.0","9,997,980.0","10,170,608.0","10,358,869.0","10,544,851.0","10,697,049.0","10,912,760.0","11,060,324.0","11,253,101.0","11,480,529.0","11,757,665.0","11,890,336.0","12,031,073.0","12,156,182.0","12,191,180.0","12,281,418.0","12,262,346.0","12,357,659.0","12,515,239.0","12,543,604.0","12,534,081.0","12,166,674.0","11,982,451.0","11,885,201.0","11,939,127.0","12,149,517.0","12,391,542.0","12,506,255.0","12,704,391.0","12,806,360.0","12,961,008.0","13,051,045.0","13,131,810.0","13,284,160.0","13,492,270.0","13,503,115.0","13,652,801.0","13,883,355.0","14,003,910.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RC1","967,212.0","982,260.0","1,002,251.0","1,010,475.0","1,023,398.0","1,039,699.0","1,057,069.0","1,058,747.0","1,105,471.0","1,126,736.0","1,146,314.0","1,159,119.0","1,198,310.0","1,233,667.0","1,258,189.0","1,295,617.0","1,345,769.0","1,383,083.0","1,404,581.0","1,446,101.0","1,463,577.0","1,501,240.0","1,528,934.0","1,566,109.0","1,580,829.0","1,616,643.0","1,675,445.0","1,729,888.0","1,787,655.0","1,820,881.0","1,854,814.0","1,902,371.0","1,959,262.0","2,025,974.0","2,086,852.0","2,129,594.0","2,171,153.0","2,293,460.0","2,356,117.0","2,440,632.0","2,488,992.0","2,555,893.0","2,635,832.0","2,695,898.0","2,762,063.0","2,763,827.0","2,819,599.0","2,943,827.0","3,082,767.0","3,114,278.0","3,209,720.0","3,232,295.0","3,220,911.0","3,281,874.0","3,309,402.0","3,346,618.0","3,415,016.0","3,518,977.0","3,624,964.0","3,727,812.0","3,844,422.0","3,943,828.0","4,013,314.0","4,067,176.0","4,143,475.0","4,204,326.0","4,282,533.0","4,345,759.0","4,406,006.0","4,439,654.0","4,509,792.0","4,555,256.0","4,625,220.0","4,705,219.0","4,782,538.0","4,903,060.0","4,973,980.0","5,082,596.0","5,163,889.0","5,274,686.0","5,383,903.0","5,476,620.0","5,558,405.0","5,613,366.0","5,738,263.0","5,828,497.0","5,877,190.0","5,895,835.0","5,918,087.0","5,988,942.0","6,057,188.0","6,123,821.0","6,221,407.0","6,325,478.0","6,416,841.0","6,522,053.0","6,581,077.0","6,653,005.0","6,724,822.0","6,835,193.0","6,944,627.0","7,068,719.0","7,153,788.0","7,269,813.0","7,339,192.0","7,390,347.0","7,473,066.0","7,574,630.0","7,676,616.0","7,829,904.0","7,919,286.0","8,054,694.0","8,160,138.0","8,307,696.0","8,433,128.0","8,522,290.0","8,625,994.0","8,721,394.0","8,856,824.0","9,039,019.0","9,171,391.0","9,280,534.0","9,430,062.0","9,643,173.0","9,740,515.0","9,983,514.0","10,047,996.0","10,184,872.0","10,206,212.0","10,350,860.0","10,332,175.0","10,463,057.0","10,549,731.0","10,634,673.0","10,749,106.0","10,832,175.0","10,939,177.0","11,077,134.0","11,320,653.0","11,506,624.0","11,700,502.0","11,848,754.0","12,033,115.0","12,195,495.0","12,468,666.0","12,596,225.0","12,835,715.0","12,979,821.0","13,241,950.0","13,405,960.0","13,494,689.0","13,655,923.0","13,828,809.0","14,056,304.0","14,270,918.0","14,451,756.0","14,452,549.0","14,596,760.0","14,594,024.0","14,199,483.0","14,041,695.0","14,001,251.0","14,115,184.0","14,310,754.0","14,461,678.0","14,629,328.0","14,792,988.0","14,948,917.0","15,050,107.0","15,253,604.0","15,421,482.0","15,584,999.0","15,693,163.0","15,832,911.0","16,054,169.0","16,130,765.0","16,236,783.0"
"27","6","    Gross national income","A023RC1","960,572.0","978,978.0","999,889.0","1,011,266.0","1,018,307.0","1,032,234.0","1,049,224.0","1,051,607.0","1,090,437.0","1,113,130.0","1,133,115.0","1,156,894.0","1,191,312.0","1,214,153.0","1,247,064.0","1,297,435.0","1,338,215.0","1,367,013.0","1,399,202.0","1,443,039.0","1,460,709.0","1,488,446.0","1,524,435.0","1,547,044.0","1,561,757.0","1,599,323.0","1,663,734.0","1,712,772.0","1,766,223.0","1,796,907.0","1,834,403.0","1,874,307.0","1,926,490.0","2,002,605.0","2,066,174.0","2,121,561.0","2,166,553.0","2,269,646.0","2,324,375.0","2,396,575.0","2,460,737.0","2,510,217.0","2,574,124.0","2,643,667.0","2,700,043.0","2,705,587.0","2,780,125.0","2,922,387.0","3,024,368.0","3,078,407.0","3,183,679.0","3,206,311.0","3,223,929.0","3,282,501.0","3,307,318.0","3,326,064.0","3,391,768.0","3,474,877.0","3,559,887.0","3,661,462.0","3,803,189.0","3,907,481.0","3,983,058.0","4,048,860.0","4,119,492.0","4,170,246.0","4,230,551.0","4,286,459.0","4,349,932.0","4,376,319.0","4,429,470.0","4,483,971.0","4,565,527.0","4,666,864.0","4,772,918.0","4,879,237.0","4,980,934.0","5,082,438.0","5,178,879.0","5,291,005.0","5,379,847.0","5,418,250.0","5,480,002.0","5,529,761.0","5,641,204.0","5,746,227.0","5,787,832.0","5,827,739.0","5,865,419.0","5,911,358.0","5,965,141.0","6,027,145.0","6,150,007.0","6,235,199.0","6,280,021.0","6,380,585.0","6,428,123.0","6,528,430.0","6,583,003.0","6,711,386.0","6,830,358.0","6,942,052.0","7,054,500.0","7,174,793.0","7,262,879.0","7,332,758.0","7,438,324.0","7,533,176.0","7,653,302.0","7,793,197.0","7,890,127.0","8,040,192.0","8,169,336.0","8,290,558.0","8,446,877.0","8,572,371.0","8,686,830.0","8,827,360.0","8,976,967.0","9,093,370.0","9,267,347.0","9,367,223.0","9,483,867.0","9,690,987.0","9,961,374.0","10,070,450.0","10,201,568.0","10,259,469.0","10,417,831.0","10,459,873.0","10,421,739.0","10,466,279.0","10,592,959.0","10,679,971.0","10,728,496.0","10,852,590.0","10,947,343.0","11,103,190.0","11,259,797.0","11,466,578.0","11,677,875.0","11,864,223.0","12,086,053.0","12,239,122.0","12,515,255.0","12,680,722.0","12,916,244.0","13,148,586.0","13,456,168.0","13,614,031.0","13,768,224.0","13,929,205.0","13,995,376.0","14,118,534.0","14,185,305.0","14,356,517.0","14,511,301.0","14,567,637.0","14,602,673.0","14,170,951.0","13,986,189.0","13,868,782.0","13,956,547.0","14,184,241.0","14,446,069.0","14,589,589.0","14,796,794.0","14,907,082.0","15,100,529.0","15,228,484.0","15,338,946.0","15,514,701.0","15,692,058.0","15,755,250.0","15,915,697.0","16,187,394.0","16,298,273.0"
"28","7","    Net national product \1\","A027RC1","871,574.0","884,276.0","901,971.0","907,610.0","917,815.0","931,912.0","947,669.0","948,263.0","991,639.0","1,010,015.0","1,027,114.0","1,037,781.0","1,074,847.0","1,108,077.0","1,129,944.0","1,164,309.0","1,211,182.0","1,244,652.0","1,261,891.0","1,298,683.0","1,310,501.0","1,341,506.0","1,361,705.0","1,391,405.0","1,398,778.0","1,428,507.0","1,482,021.0","1,531,987.0","1,586,225.0","1,615,389.0","1,644,645.0","1,686,780.0","1,737,206.0","1,797,572.0","1,852,056.0","1,887,745.0","1,921,978.0","2,036,417.0","2,090,698.0","2,166,613.0","2,205,692.0","2,262,462.0","2,331,797.0","2,381,056.0","2,436,097.0","2,425,892.0","2,469,659.0","2,581,329.0","2,707,427.0","2,726,628.0","2,810,233.0","2,821,400.0","2,798,845.0","2,850,591.0","2,871,208.0","2,903,994.0","2,969,871.0","3,070,566.0","3,171,967.0","3,269,943.0","3,380,395.0","3,473,220.0","3,535,778.0","3,581,958.0","3,650,193.0","3,703,241.0","3,773,040.0","3,827,847.0","3,880,110.0","3,905,111.0","3,967,047.0","4,004,540.0","4,066,829.0","4,139,016.0","4,207,392.0","4,318,429.0","4,378,520.0","4,476,677.0","4,547,724.0","4,648,175.0","4,747,490.0","4,830,250.0","4,901,946.0","4,946,800.0","5,061,443.0","5,141,942.0","5,181,041.0","5,190,547.0","5,204,275.0","5,267,625.0","5,328,923.0","5,389,771.0","5,482,697.0","5,582,284.0","5,670,504.0","5,772,889.0","5,819,116.0","5,879,743.0","5,941,210.0","6,041,972.0","6,142,400.0","6,255,987.0","6,329,530.0","6,432,361.0","6,487,820.0","6,526,228.0","6,597,400.0","6,687,946.0","6,780,415.0","6,923,616.0","7,001,586.0","7,124,815.0","7,216,598.0","7,350,578.0","7,462,857.0","7,537,997.0","7,628,692.0","7,709,453.0","7,828,896.0","7,994,005.0","8,108,235.0","8,197,359.0","8,325,898.0","8,516,111.0","8,588,918.0","8,809,101.0","8,852,151.0","8,969,431.0","8,972,757.0","9,100,909.0","9,067,780.0","9,185,976.0","9,261,445.0","9,335,222.0","9,438,602.0","9,510,501.0","9,606,025.0","9,731,274.0","9,960,239.0","10,129,842.0","10,303,832.0","10,429,218.0","10,588,709.0","10,725,048.0","10,972,995.0","11,072,054.0","11,279,685.0","11,390,193.0","11,623,956.0","11,757,782.0","11,819,468.0","11,954,605.0","12,094,879.0","12,298,659.0","12,492,711.0","12,651,494.0","12,635,112.0","12,754,026.0","12,724,403.0","12,312,967.0","12,156,212.0","12,133,515.0","12,260,742.0","12,453,138.0","12,598,574.0","12,761,803.0","12,917,524.0","13,061,244.0","13,145,839.0","13,326,188.0","13,472,608.0","13,618,447.0","13,708,288.0","13,828,118.0","14,034,394.0","14,093,353.0","14,174,660.0"
"29","8","    National income \2\","A032RC1","864,934.0","880,994.0","899,609.0","908,401.0","912,724.0","924,447.0","939,824.0","941,123.0","976,605.0","996,409.0","1,013,915.0","1,035,556.0","1,067,849.0","1,088,563.0","1,118,819.0","1,166,127.0","1,203,628.0","1,228,582.0","1,256,512.0","1,295,621.0","1,307,633.0","1,328,712.0","1,357,206.0","1,372,340.0","1,379,706.0","1,411,187.0","1,470,310.0","1,514,871.0","1,564,793.0","1,591,415.0","1,624,234.0","1,658,716.0","1,704,434.0","1,774,203.0","1,831,378.0","1,879,712.0","1,917,378.0","2,012,603.0","2,058,956.0","2,122,556.0","2,177,437.0","2,216,786.0","2,270,089.0","2,328,825.0","2,374,077.0","2,367,652.0","2,430,185.0","2,559,889.0","2,649,028.0","2,690,757.0","2,784,192.0","2,795,416.0","2,801,863.0","2,851,218.0","2,869,124.0","2,883,440.0","2,946,623.0","3,026,466.0","3,106,890.0","3,203,593.0","3,339,162.0","3,436,873.0","3,505,522.0","3,563,642.0","3,626,210.0","3,669,161.0","3,721,058.0","3,768,547.0","3,824,036.0","3,841,776.0","3,886,725.0","3,933,255.0","4,007,136.0","4,100,661.0","4,197,772.0","4,294,606.0","4,385,474.0","4,476,519.0","4,562,714.0","4,664,494.0","4,743,434.0","4,771,880.0","4,823,543.0","4,863,195.0","4,964,384.0","5,059,672.0","5,091,683.0","5,122,451.0","5,151,607.0","5,190,041.0","5,236,876.0","5,293,095.0","5,411,297.0","5,492,005.0","5,533,684.0","5,631,421.0","5,666,162.0","5,755,168.0","5,799,391.0","5,918,165.0","6,028,131.0","6,129,320.0","6,230,242.0","6,337,341.0","6,411,507.0","6,468,639.0","6,562,658.0","6,646,492.0","6,757,101.0","6,886,909.0","6,972,427.0","7,110,313.0","7,225,796.0","7,333,440.0","7,476,606.0","7,588,078.0","7,689,528.0","7,815,419.0","7,949,039.0","8,048,356.0","8,204,191.0","8,284,048.0","8,379,703.0","8,563,925.0","8,809,777.0","8,896,037.0","9,005,723.0","9,044,028.0","9,184,376.0","9,209,922.0","9,157,344.0","9,189,198.0","9,304,673.0","9,380,520.0","9,417,992.0","9,530,916.0","9,614,191.0","9,757,330.0","9,899,383.0","10,089,796.0","10,281,205.0","10,444,687.0","10,641,647.0","10,768,675.0","11,019,584.0","11,156,551.0","11,360,214.0","11,558,958.0","11,838,174.0","11,965,853.0","12,093,003.0","12,227,887.0","12,261,446.0","12,360,889.0","12,407,098.0","12,556,255.0","12,693,864.0","12,724,903.0","12,733,052.0","12,284,435.0","12,100,706.0","12,001,046.0","12,102,105.0","12,326,625.0","12,582,965.0","12,722,064.0","12,921,330.0","13,019,409.0","13,196,261.0","13,301,068.0","13,390,072.0","13,548,149.0","13,707,183.0","13,750,457.0","13,895,922.0","14,149,982.0","14,236,150.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","9","    Gross domestic purchases","A712RC1","960,707.0","974,855.0","995,327.0","1,001,125.0","1,013,715.0","1,027,677.0","1,046,642.0","1,049,514.0","1,093,635.0","1,118,953.0","1,139,143.0","1,153,048.0","1,193,669.0","1,229,808.0","1,251,908.0","1,289,655.0","1,336,500.0","1,369,003.0","1,384,266.0","1,422,848.0","1,440,115.0","1,487,557.0","1,520,629.0","1,552,737.0","1,552,952.0","1,583,405.0","1,650,404.0","1,700,121.0","1,767,259.0","1,804,731.0","1,841,768.0","1,891,097.0","1,959,576.0","2,026,360.0","2,086,545.0","2,140,409.0","2,187,743.0","2,297,335.0","2,358,987.0","2,432,442.0","2,481,469.0","2,548,632.0","2,622,766.0","2,686,200.0","2,759,878.0","2,743,225.0","2,779,714.0","2,921,984.0","3,065,627.0","3,097,780.0","3,184,592.0","3,209,426.0","3,201,201.0","3,245,339.0","3,304,029.0","3,342,117.0","3,405,520.0","3,527,677.0","3,652,304.0","3,759,520.0","3,902,395.0","4,010,596.0","4,079,812.0","4,141,715.0","4,209,095.0","4,291,112.0","4,376,940.0","4,453,595.0","4,509,865.0","4,553,043.0","4,630,587.0","4,676,901.0","4,752,107.0","4,834,072.0","4,910,245.0","5,028,796.0","5,072,982.0","5,166,422.0","5,243,003.0","5,359,735.0","5,462,477.0","5,543,129.0","5,609,205.0","5,665,347.0","5,797,302.0","5,865,729.0","5,925,019.0","5,924,464.0","5,925,780.0","5,983,598.0","6,053,179.0","6,113,677.0","6,209,239.0","6,326,240.0","6,426,145.0","6,538,921.0","6,598,803.0","6,684,742.0","6,756,192.0","6,887,187.0","6,996,991.0","7,135,544.0","7,228,495.0","7,350,519.0","7,413,901.0","7,466,444.0","7,527,905.0","7,613,130.0","7,727,284.0","7,893,719.0","8,006,756.0","8,111,262.0","8,245,070.0","8,361,462.0","8,506,140.0","8,622,201.0","8,735,067.0","8,860,433.0","9,021,106.0","9,204,672.0","9,360,537.0","9,503,493.0","9,688,008.0","9,910,221.0","10,067,432.0","10,313,513.0","10,413,402.0","10,539,780.0","10,560,481.0","10,665,013.0","10,672,229.0","10,730,897.0","10,873,597.0","11,019,972.0","11,137,552.0","11,246,823.0","11,390,910.0","11,515,867.0","11,754,562.0","11,923,942.0","12,136,183.0","12,369,017.0","12,572,226.0","12,810,368.0","13,039,279.0","13,190,193.0","13,462,578.0","13,690,715.0","13,937,243.0","14,111,857.0","14,238,483.0","14,298,533.0","14,483,414.0","14,706,575.0","14,829,585.0","14,947,417.0","15,016,203.0","15,161,511.0","15,151,905.0","14,675,387.0","14,308,880.0","14,217,011.0","14,350,787.0","14,572,924.0","14,760,431.0","14,934,656.0","15,109,163.0","15,238,017.0","15,370,297.0","15,576,129.0","15,712,672.0","15,915,851.0","16,094,022.0","16,162,518.0","16,327,832.0","16,394,351.0","16,547,536.0"
