"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2009 3:17:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment","A007RX1",886.6,829.1,878.3,953.5,1042.3,1109.6,1209.2,1320.6,1455,1576.3,1679,1629.4,1544.6,1596.9,1712.8,1829.8,1865.5,1808.5,1721.2
"9","2","Nonresidential","A008RX1",595.1,563.2,581.3,631.9,689.9,762.5,833.6,934.2,1037.8,1133.3,1232.1,1180.5,1071.5,1081.8,1144.3,1226.2,1318.2,1382.9,1408.2
"10","3","  Structures","B009RX1",275.2,244.6,229.9,228.3,232.3,247.1,261.1,280.1,294.5,293.2,313.2,306.1,253.8,243.5,246.7,249.8,270.3,304.6,340.5
"11","4","    Commercial and health care","W001RX1",119.6,92.9,86.4,89.9,94.1,99.7,107.4,118.6,125.4,129.4,137.6,130.3,109.8,102.6,105.1,104.3,110.6,119.7,120.6
"12","5","    Manufacturing","C307RX1",45.4,41.8,38.4,30.2,35.7,42.1,44.2,42.3,43.7,33.9,31.8,28.5,16.7,15.4,16.2,19,20.9,23.9,33.7
"13","6","    Power and communication","W003RX1",33.4,39.6,42,39.3,35.6,36.3,31.3,30.1,34.7,40.8,46.8,48.2,47.1,41,33.7,32.7,35.3,43.5,49.5
"14","7","    Mining exploration, shafts, and wells","B318RX1",26.6,26,21.5,24.8,23.9,20.3,21.5,25.3,23.3,21.3,27.2,32,24.5,29,33.3,36.5,40.7,44.5,52.1
"15","8","    Other structures \1\","W004RX1",50.4,43.8,40.6,43.8,42.8,47.9,56.4,63.9,67.4,67.9,69.9,66.6,55.9,53.4,54.6,51.9,55.9,66.7,76.1
"16","9","  Equipment and software","B010RX1",355,345.9,371.1,417.4,467.2,523.1,578.7,658.3,745.6,840.2,918.9,874.2,820.2,843.1,905.1,989.6,1061,1078.9,1047.2
