"","Table 5#4#4A# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 16, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2009 3:17:59 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","    Private fixed investment in structures","B349RG3",6.552,6.28,5.724,4.846,4.847,5.067,5.171,5.288,5.922,5.948,5.942,6.087,6.593,7.207,7.826,8.233,8.66,9.592,11.563,12.67,12.764,13.026,14.165,14.555,14.734,14.699,15.008,15.766,16.094,15.957,16.015,16.074,16.051,16.126,16.113,16.286,16.762,17.379,17.961,18.891,20.178,21.159,22.586,24.086,26.135,29.262,32.36,34.209,37.483,41.703,46.488,51.202,56.982,60.927,60.604,61.741,63.29,65.274,67.239,69.82,72.303,74.311,75.483,75.985,78.769,81.581,84.815,86.803,89.518
"9","2","Nonresidential","B009RG3",6.419,6.078,5.56,4.819,4.861,4.882,5.115,5.112,5.808,5.701,5.64,5.726,6.129,6.836,7.43,7.594,7.932,8.885,10.766,11.981,11.939,12.085,13.48,13.838,14.107,13.936,14.214,15.431,16.092,15.835,15.923,15.904,15.81,15.941,16.085,16.316,16.791,17.398,17.943,18.835,20.074,21.39,23.04,24.704,26.619,30.295,33.911,35.571,38.651,42.382,47.313,51.74,58.88,63.566,61.939,62.468,63.94,65.168,66.199,69.016,71.707,74.015,75.355,75.33,77.602,80.388,83.879,86.045,89.381
"10","3","  Commercial and health care","W001RG3",5.833,5.718,4.969,4.079,3.778,4.241,4.216,4.462,5.017,5.083,5.043,5.121,5.511,6.249,6.753,6.947,7.156,8.388,11.145,12.369,12.018,11.973,13.576,13.994,14.002,13.599,13.833,15.024,15.637,15.188,15.059,15.023,14.958,15.139,15.427,15.741,16.24,16.825,17.356,18.22,19.591,20.787,22.599,24.399,26.359,29.281,32.15,33.29,35.55,38.924,43.199,48.093,52.429,55.728,57.445,59.649,61.567,63.696,66.037,68.479,70.908,73.146,74.209,74.659,77.169,80.115,83.329,85.211,87.945
"11","4","    Commercial, including office","B308RG3",5.898,5.82,5.054,4.136,3.813,4.288,4.26,4.506,5.054,5.127,5.083,5.156,5.552,6.313,6.817,6.976,7.162,8.398,11.148,12.368,12.015,11.975,13.579,14.016,14.01,13.602,13.838,15.028,15.643,15.193,15.064,15.025,14.958,15.139,15.428,15.741,16.235,16.816,17.347,18.211,19.582,20.769,22.59,24.377,26.334,29.254,32.12,33.261,35.519,38.889,43.161,48.048,52.378,55.671,57.385,59.583,61.497,63.623,65.959,68.399,70.826,73.062,74.124,74.576,77.084,80.03,83.242,85.123,87.853
"12","5","      Office, including medical buildings \1\","B346RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.106,26.043,28.931,31.765,32.887,35.116,38.452,42.68,47.524,51.827,55.102,56.808,59.003,60.91,63.027,65.352,67.764,70.164,72.378,73.422,73.863,76.341,79.242,82.412,84.272,86.979
"13","6","      Commercial \2\","B347RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.643,26.621,29.572,32.469,33.627,35.912,39.318,43.632,48.565,52.919,56.224,57.938,60.133,62.05,64.181,66.526,68.993,71.446,73.702,74.781,75.242,77.778,80.763,84.013,85.913,88.664
"14","7","    Hospitals and special care","C311RG3",5.544,5.109,4.465,3.735,3.612,3.936,3.957,4.232,4.93,4.929,4.93,5.054,5.412,6.024,6.528,6.804,7.088,8.284,11.112,12.372,12.035,11.965,13.569,13.92,13.986,13.616,13.84,15.034,15.633,15.192,15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
"15","8","  Manufacturing","B307RG3",5.394,4.844,4.193,3.79,3.841,4.491,4.595,4.844,5.445,5.372,5.172,5.546,6.124,7.078,7.677,7.382,7.778,9.433,11.167,12.433,12.095,12.024,13.636,13.988,14.055,13.683,13.908,15.108,15.71,15.267,15.135,15.117,15.069,15.251,15.534,15.855,16.378,16.992,17.522,18.394,19.777,21.022,22.809,24.677,26.66,29.616,32.518,33.666,35.948,39.363,43.691,48.65,53.055,56.407,58.154,60.401,62.353,64.52,66.901,69.37,71.826,74.092,75.162,75.613,78.15,81.119,84.365,86.269,89.04
"16","9","  Power and communication","W003RG3",7.072,6.686,6.321,5.605,5.578,6.086,6.239,6.483,6.947,6.925,6.888,7.041,7.514,8.063,8.385,8.411,8.616,9.864,11.72,12.959,13.541,14.095,15.312,15.641,16.405,16.688,17.098,18.582,19.534,19.747,20.176,20.291,20.242,20.032,20.105,20.156,20.634,21.141,21.791,22.888,23.963,25.808,27.546,29.012,31.206,36.381,41.08,43.679,47.088,50.002,55.337,60.762,65.014,68.045,68.903,69.309,70.183,70.12,70.813,73.957,78.194,80.541,81.256,82.277,84.476,87.549,91.109,93.489,95.511
"17","10","    Power","W028RG3",5.569,5.369,5.123,4.574,4.572,5.047,5.175,5.393,5.842,5.887,5.842,5.94,6.344,6.787,7.017,7.037,7.162,8.284,9.712,10.959,11.526,12.103,13.138,13.415,14.162,14.42,14.755,16.174,17.274,17.54,17.903,17.901,17.722,17.675,17.602,17.595,17.995,18.268,18.725,19.812,20.751,22.109,24.202,25.616,27.554,32.21,37.372,39.956,43.036,45.656,50.271,54.992,59.942,63.383,65.272,66.932,67.553,67.772,68.791,73.284,76.169,78.573,79.273,80.648,83.127,86.868,89.463,90.887,92.814
"18","11","      Electric","B571RG3",5.73,5.523,5.271,4.713,4.7,5.197,5.324,5.549,6.007,6.056,6.015,6.113,6.524,6.984,7.222,7.239,7.365,7.661,8.977,9.794,10.335,10.895,12.121,12.329,13.046,13.429,13.837,15.146,16.091,16.479,16.822,16.821,16.546,16.617,16.753,17.165,17.783,17.851,18.539,19.843,20.598,21.971,24.1,25.542,27.67,32.545,37.902,40.441,43.508,45.794,50.714,55.632,60.274,63.391,65.402,66.996,67.756,68.52,69.28,73.922,76.627,79.188,79.605,80.99,83.621,86.915,89.824,91.497,93.292
"19","12","      Other power","W029RG3",5.616,5.418,5.167,4.608,4.616,5.088,5.22,5.44,5.896,5.937,5.882,5.986,6.4,6.84,7.071,7.095,7.223,9.61,11.278,13.332,13.95,14.573,15.395,15.798,16.617,16.62,16.819,18.474,19.894,19.894,20.3,20.296,20.294,20.029,19.557,18.755,18.756,19.426,19.426,20.096,21.434,22.775,24.786,26.127,27.465,31.485,36.171,38.849,41.963,46.026,49.416,53.476,59.574,64.317,65.66,67.692,67.699,65.657,67.692,71.755,75.144,77.174,78.526,79.878,82.012,86.779,88.72,89.69,91.879
"20","13","    Communication","B314RG3",13.39,12.164,11.25,9.782,9.619,10.135,10.39,10.664,10.917,10.408,10.456,10.94,11.648,12.608,13.389,13.443,14.15,15.683,19.261,20.235,20.726,20.727,22.607,23.131,23.541,23.843,24.543,25.998,26.082,25.953,26.622,27.282,27.867,26.912,27.645,27.942,28.676,30.147,31.622,32.351,33.822,37.499,37.497,38.974,41.913,48.533,50.737,52.944,57.256,60.968,68.407,75.84,77.328,78.814,76.581,73.612,75.1,74.356,74.354,75.096,81.786,84.017,84.76,84.766,86.166,87.645,93.163,97.241,99.4
"21","14","  Mining exploration, shafts, and wells","B318RG3",6.808,6.637,7.888,6.283,7.601,5.361,6.615,5.553,7.141,6.672,6.549,6.31,6.481,7.284,9.085,10.054,10.541,10.011,10.758,11.966,11.658,11.592,13.132,13.467,13.552,13.18,13.4,14.568,15.142,14.739,15.278,15.101,14.733,15.019,14.495,14.514,14.815,15.749,16.32,17.091,17.904,18.97,19.583,21.054,22.374,27.905,34.079,36.945,43.526,51.343,59.508,60.919,81.264,92.671,75.023,68.823,68.947,66.086,56.281,61.78,64.776,67.385,71.333,65.975,66.909,68.474,74.181,77.86,88.58
"22","15","    Petroleum and natural gas","B319RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.769,10.406,11.574,11.276,11.213,12.702,13.026,13.109,12.749,12.962,14.091,14.647,14.258,14.81,14.631,14.256,14.539,13.982,13.98,14.258,15.184,15.741,16.481,17.221,18.24,18.703,20.091,21.297,27.034,33.516,36.571,43.695,51.984,60.474,61.526,83.177,95.22,76.135,69.358,69.357,66.133,55.553,61.195,64.214,66.839,70.971,65.168,65.975,67.418,73.359,77.188,88.514
"23","16","    Mining","B320RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.952,11.112,12.372,12.035,11.965,13.569,13.92,13.986,13.616,13.84,15.034,15.633,15.192,15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
"24","17","  Other structures","W004RG3",6.916,6.51,5.779,5.17,4.997,5.191,5.184,5.346,5.922,5.829,5.819,5.899,6.307,7.012,7.348,7.347,7.722,8.631,10.69,11.97,11.814,11.92,13.279,13.677,13.938,13.789,14.094,15.256,15.874,15.62,15.53,15.517,15.463,15.644,15.905,16.204,16.703,17.298,17.821,18.707,20.064,21.337,23.089,24.852,26.788,30.389,33.657,34.89,37.46,40.296,44.545,49.655,54.408,58.016,59.974,61.797,63.44,65.251,67.534,69.953,72.219,74.542,75.779,76.293,78.695,81.456,84.651,86.88,89.559
