"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RX1","370,622.0","369,754.0","366,397.0","365,847.0","368,707.0","374,065.0","380,321.0","385,175.0","384,664.0","380,308.0","379,343.0","374,977.0","376,823.0","379,516.0","383,030.0","394,254.0","401,236.0","411,394.0","418,107.0","421,000.0","424,619.0","423,730.0","427,725.0","431,758.0","435,001.0","438,204.0","440,137.0","438,464.0","436,980.0","434,610.0","432,721.0","432,039.0","434,846.0","438,994.0","442,779.0","447,990.0","452,386.0","455,442.0","457,811.0","459,908.0","461,050.0","462,684.0","465,058.0","462,836.0","460,051.0","457,626.0","458,852.0","462,093.0","464,703.0","471,333.0","472,127.0","476,019.0","485,731.0","488,502.0","492,413.0","487,851.0","485,771.0","487,568.0","493,525.0","498,466.0","506,272.0","511,185.0","516,943.0","520,355.0","527,025.0","531,461.0","536,748.0","540,607.0","544,703.0","548,639.0","553,360.0","557,866.0","568,227.0","575,665.0","584,040.0","590,766.0","602,553.0","613,914.0","624,004.0","637,908.0","650,768.0","656,559.0","664,262.0","671,792.0","678,608.0","690,825.0","697,341.0","702,582.0","711,835.0","719,637.0","728,353.0","732,860.0"
"21","2","Farm \2\","B372RX1","128,044.0","126,913.0","125,218.0","123,638.0","124,037.0","125,962.0","128,045.0","129,701.0","129,402.0","128,641.0","128,054.0","127,827.0","127,580.0","126,964.0","127,105.0","127,486.0","128,136.0","128,760.0","129,166.0","129,590.0","130,253.0","131,166.0","132,297.0","132,665.0","133,290.0","133,242.0","133,680.0","134,619.0","135,151.0","135,277.0","135,472.0","135,101.0","134,666.0","134,128.0","133,634.0","133,244.0","132,514.0","131,654.0","130,849.0","130,028.0","129,798.0","129,757.0","130,203.0","130,467.0","132,365.0","134,098.0","135,645.0","136,275.0","135,387.0","134,056.0","132,708.0","131,568.0","131,658.0","132,133.0","132,920.0","133,302.0","133,916.0","134,477.0","135,137.0","135,838.0","136,455.0","136,653.0","137,004.0","137,558.0","139,445.0","139,613.0","139,190.0","138,987.0","138,010.0","136,947.0","135,909.0","135,145.0","135,373.0","136,088.0","136,863.0","137,654.0","137,929.0","137,246.0","136,816.0","136,251.0","137,091.0","138,987.0","139,345.0","138,786.0","140,616.0","143,962.0","144,264.0","142,881.0","143,863.0","144,969.0","144,353.0","142,902.0"
"22","3","Nonfarm","A373RX1","217,329.0","218,372.0","217,443.0","220,064.0","222,983.0","225,951.0","229,706.0","232,481.0","232,390.0","228,625.0","228,474.0","223,868.0","226,302.0","230,355.0","234,155.0","246,711.0","253,952.0","265,023.0","272,340.0","275,088.0","278,284.0","275,652.0","278,451.0","282,491.0","285,138.0","288,660.0","290,106.0","287,024.0","284,718.0","282,018.0","279,751.0","279,536.0","283,031.0","288,038.0","292,505.0","298,188.0","303,384.0","307,435.0","310,747.0","313,778.0","315,196.0","316,892.0","318,775.0","316,226.0","311,118.0","306,479.0","305,866.0","308,515.0","312,249.0","320,693.0","323,103.0","328,381.0","338,122.0","340,363.0","343,390.0","338,327.0","335,507.0","336,672.0","341,921.0","346,117.0","353,355.0","358,150.0","363,646.0","366,478.0","371,033.0","375,382.0","381,292.0","385,463.0","390,740.0","395,921.0","401,863.0","407,290.0","417,491.0","424,225.0","431,845.0","437,771.0","449,478.0","462,018.0","472,955.0","487,934.0","500,081.0","503,747.0","511,176.0","519,458.0","524,231.0","532,698.0","538,966.0","545,910.0","554,159.0","560,798.0","570,458.0","576,823.0"
"23","4","    Durable goods \3\","A374RX1","101,778.0","102,760.0","104,499.0","104,060.0","105,558.0","106,280.0","107,146.0","108,198.0","108,057.0","104,751.0","105,562.0","101,827.0","101,121.0","104,194.0","106,233.0","114,551.0","118,332.0","125,925.0","132,111.0","133,781.0","135,609.0","134,053.0","134,537.0","137,370.0","140,281.0","142,652.0","144,917.0","142,561.0","139,787.0","136,786.0","134,916.0","134,471.0","136,479.0","139,745.0","141,675.0","144,892.0","148,065.0","149,541.0","149,694.0","151,066.0","151,708.0","153,435.0","155,261.0","153,590.0","149,265.0","145,421.0","144,671.0","145,734.0","150,623.0","155,657.0","155,139.0","157,024.0","164,367.0","164,843.0","166,106.0","162,462.0","158,032.0","156,910.0","159,910.0","162,261.0","166,637.0","168,580.0","172,400.0","173,320.0","175,533.0","178,056.0","180,735.0","181,867.0","184,866.0","187,604.0","191,398.0","193,964.0","201,153.0","205,809.0","211,492.0","213,849.0","221,249.0","228,599.0","236,582.0","245,173.0","250,400.0","252,113.0","255,201.0","259,939.0","262,312.0","266,754.0","268,775.0","273,512.0","277,953.0","280,881.0","286,140.0","290,992.0"
"24","5","    Nondurable goods \3\","A375RX1","116,681.0","116,784.0","114,237.0","117,218.0","118,669.0","120,896.0","123,784.0","125,532.0","125,576.0","125,207.0","124,164.0","123,402.0","126,711.0","127,592.0","129,334.0","133,469.0","136,921.0","140,324.0","141,303.0","142,340.0","143,697.0","142,640.0","145,063.0","146,182.0","145,707.0","146,771.0","145,705.0","145,104.0","145,843.0","146,417.0","146,152.0","146,454.0","147,892.0","149,483.0","152,085.0","154,453.0","156,323.0","159,049.0","162,617.0","164,319.0","165,109.0","164,826.0","164,630.0","163,862.0","163,607.0","163,269.0","163,543.0","165,213.0","163,262.0","166,413.0","169,879.0","173,504.0","175,115.0","177,084.0","178,926.0","177,861.0","180,425.0","183,258.0","185,383.0","187,145.0","189,766.0","192,760.0","194,102.0","196,167.0","198,528.0","200,247.0","203,562.0","206,895.0","209,061.0","211,457.0","213,340.0","216,248.0","218,604.0","220,285.0","221,653.0","225,411.0","229,254.0","234,119.0","236,330.0","242,389.0","249,570.0","251,563.0","256,099.0","259,458.0","261,863.0","265,823.0","270,438.0","272,222.0","275,918.0","279,757.0","284,015.0","284,978.0"
"25","6","  Manufacturing","A376RX1","109,411.0","109,216.0","109,815.0","110,020.0","109,968.0","112,009.0","113,828.0","114,422.0","115,240.0","112,943.0","110,634.0","108,679.0","109,199.0","110,027.0","110,616.0","115,822.0","119,425.0","127,831.0","136,510.0","140,036.0","144,698.0","143,688.0","144,354.0","145,917.0","147,819.0","150,017.0","151,128.0","149,784.0","146,941.0","143,800.0","141,334.0","141,732.0","142,412.0","144,362.0","146,796.0","149,667.0","153,445.0","157,044.0","159,148.0","160,895.0","162,015.0","162,366.0","162,722.0","159,858.0","156,868.0","153,248.0","152,564.0","154,008.0","155,318.0","158,804.0","159,722.0","162,428.0","165,850.0","166,669.0","168,685.0","164,663.0","163,798.0","164,201.0","167,390.0","169,620.0","174,302.0","176,828.0","180,537.0","180,873.0","183,108.0","185,268.0","187,652.0","187,788.0","190,087.0","190,628.0","193,231.0","198,232.0","201,397.0","203,977.0","208,959.0","212,179.0","218,324.0","224,865.0","233,220.0","240,561.0","248,765.0","252,146.0","255,986.0","259,578.0","261,089.0","264,553.0","269,135.0","271,506.0","275,364.0","277,406.0","280,840.0","284,081.0"
"26","7","    Durable goods","B377RX1","60,461.0","60,910.0","61,796.0","61,221.0","60,162.0","60,137.0","60,361.0","60,452.0","60,844.0","59,119.0","57,132.0","55,653.0","55,594.0","56,780.0","57,674.0","60,483.0","62,957.0","68,045.0","73,978.0","76,525.0","79,581.0","79,480.0","79,934.0","81,269.0","82,905.0","84,670.0","85,829.0","84,793.0","82,600.0","79,660.0","77,910.0","78,060.0","78,278.0","79,387.0","80,682.0","82,307.0","84,987.0","87,185.0","87,773.0","89,166.0","89,885.0","90,462.0","91,098.0","89,243.0","86,631.0","84,063.0","83,701.0","84,198.0","85,129.0","87,407.0","87,440.0","88,790.0","91,554.0","91,328.0","92,252.0","89,288.0","87,358.0","86,778.0","88,988.0","90,503.0","93,722.0","94,810.0","96,833.0","96,586.0","98,107.0","99,749.0","101,095.0","100,494.0","101,862.0","102,707.0","104,685.0","107,759.0","110,320.0","112,647.0","116,359.0","117,835.0","121,803.0","125,678.0","132,464.0","137,421.0","142,305.0","144,559.0","147,195.0","149,559.0","150,502.0","152,031.0","154,361.0","155,381.0","158,166.0","159,466.0","161,038.0","164,046.0"
"27","8","    Nondurable goods","B378RX1","50,288.0","49,681.0","49,435.0","50,175.0","51,133.0","53,187.0","54,824.0","55,377.0","55,808.0","55,256.0","54,981.0","54,523.0","55,151.0","54,716.0","54,359.0","56,818.0","57,939.0","61,308.0","64,030.0","64,963.0","66,556.0","65,572.0","65,777.0","65,939.0","66,112.0","66,452.0","66,296.0","66,039.0","65,506.0","65,547.0","64,902.0","65,179.0","65,690.0","66,544.0","67,725.0","68,988.0","69,910.0","71,269.0","73,017.0","73,224.0","73,594.0","73,225.0","72,782.0","71,846.0","71,817.0","70,953.0","70,624.0","71,712.0","72,016.0","73,107.0","74,204.0","75,649.0","75,955.0","77,307.0","78,501.0","77,731.0","79,425.0","80,764.0","81,577.0","82,191.0","83,426.0","85,023.0","86,758.0","87,531.0","88,144.0","88,491.0","89,540.0","90,568.0","91,482.0","90,945.0","91,356.0","93,194.0","93,467.0","93,347.0","94,245.0","96,154.0","98,141.0","100,755.0","101,459.0","103,519.0","106,763.0","107,749.0","108,761.0","109,851.0","110,383.0","112,534.0","114,929.0","116,443.0","117,246.0","117,929.0","119,973.0","119,677.0"
"28","9","  Wholesale trade","A379RX1","42,963.0","43,552.0","42,511.0","41,396.0","41,497.0","42,074.0","43,313.0","44,108.0","44,421.0","43,958.0","44,225.0","44,320.0","45,492.0","46,927.0","47,025.0","49,325.0","49,667.0","51,033.0","50,972.0","50,457.0","49,904.0","49,535.0","50,536.0","51,802.0","52,213.0","52,637.0","52,786.0","52,300.0","52,789.0","53,300.0","53,151.0","53,131.0","53,561.0","54,970.0","55,970.0","56,948.0","57,285.0","57,071.0","58,324.0","58,804.0","58,633.0","58,832.0","58,765.0","58,205.0","57,518.0","57,523.0","57,724.0","58,171.0","58,986.0","61,106.0","62,264.0","64,708.0","66,238.0","67,060.0","67,025.0","66,541.0","67,117.0","67,144.0","67,920.0","68,448.0","69,251.0","70,571.0","70,655.0","71,614.0","72,308.0","74,003.0","76,125.0","77,488.0","78,373.0","80,165.0","81,083.0","82,175.0","84,604.0","86,298.0","87,583.0","87,758.0","90,741.0","92,862.0","95,061.0","99,549.0","102,222.0","102,308.0","105,656.0","107,725.0","108,026.0","110,510.0","111,688.0","111,498.0","114,052.0","116,680.0","118,781.0","119,684.0"
"29","10","    Durable goods","A380RX1","22,473.0","22,524.0","22,846.0","22,439.0","22,885.0","23,483.0","24,113.0","24,590.0","24,676.0","24,087.0","24,283.0","24,278.0","24,477.0","25,320.0","25,270.0","27,081.0","27,362.0","28,819.0","29,113.0","28,909.0","28,304.0","27,639.0","27,505.0","27,962.0","28,436.0","28,260.0","28,534.0","28,082.0","28,038.0","28,047.0","27,988.0","28,018.0","28,459.0","29,385.0","29,744.0","30,304.0","30,294.0","30,234.0","30,241.0","30,221.0","30,151.0","30,445.0","30,672.0","30,342.0","29,865.0","29,727.0","29,874.0","30,225.0","30,955.0","32,385.0","32,154.0","33,560.0","35,414.0","35,762.0","35,821.0","35,380.0","35,037.0","34,649.0","35,472.0","36,271.0","36,925.0","37,655.0","38,238.0","38,894.0","39,312.0","40,469.0","41,190.0","41,481.0","41,738.0","42,886.0","43,702.0","44,471.0","46,138.0","47,007.0","48,013.0","48,296.0","50,760.0","51,986.0","53,375.0","55,812.0","56,928.0","57,315.0","58,247.0","59,740.0","59,989.0","61,051.0","61,593.0","62,041.0","63,497.0","65,401.0","66,614.0","67,189.0"
"30","11","    Nondurable goods","A381RX1","19,837.0","20,292.0","19,200.0","18,564.0","18,334.0","18,389.0","18,969.0","19,285.0","19,493.0","19,560.0","19,641.0","19,733.0","20,628.0","21,213.0","21,333.0","21,910.0","21,982.0","22,033.0","21,741.0","21,443.0","21,443.0","21,662.0","22,672.0","23,433.0","23,403.0","23,947.0","23,842.0","23,789.0","24,287.0","24,756.0","24,672.0","24,629.0","24,628.0","25,110.0","25,730.0","26,137.0","26,483.0","26,333.0","27,566.0","28,066.0","27,966.0","27,865.0","27,569.0","27,344.0","27,141.0","27,288.0","27,339.0","27,429.0","27,497.0","28,154.0","29,567.0","30,575.0","30,183.0","30,655.0","30,560.0","30,531.0","31,468.0","31,899.0","31,827.0","31,533.0","31,667.0","32,244.0","31,727.0","32,017.0","32,285.0","32,799.0","34,193.0","35,267.0","35,896.0","36,515.0","36,592.0","36,897.0","37,614.0","38,425.0","38,676.0","38,557.0","38,999.0","39,867.0","40,642.0","42,648.0","44,207.0","43,879.0","46,345.0","46,865.0","46,908.0","48,346.0","48,988.0","48,270.0","49,333.0","49,954.0","50,812.0","51,116.0"
"31","12","      Merchant wholesalers","A802RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","39,677.0","40,313.0","41,886.0","43,154.0","45,175.0","46,294.0","46,630.0","46,506.0","46,301.0","46,830.0","46,576.0","47,068.0","47,130.0","47,526.0","48,404.0","48,049.0","48,595.0","48,958.0","50,280.0","52,141.0","53,297.0","54,110.0","55,884.0","56,708.0","57,595.0","60,013.0","61,560.0","62,760.0","62,725.0","65,460.0","67,012.0","68,750.0","72,684.0","74,389.0","73,932.0","77,026.0","78,638.0","78,957.0","80,856.0","81,738.0","81,339.0","83,384.0","85,581.0","87,318.0","88,020.0"
"32","13","        Durable goods","B803RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","22,583.0","23,207.0","24,259.0","24,228.0","25,396.0","26,954.0","26,948.0","26,973.0","26,705.0","26,442.0","26,002.0","26,612.0","27,119.0","27,406.0","27,876.0","28,229.0","28,696.0","28,846.0","29,654.0","30,267.0","30,539.0","30,786.0","31,968.0","32,784.0","33,449.0","35,089.0","35,760.0","36,713.0","36,889.0","39,262.0","40,242.0","41,203.0","43,362.0","43,933.0","43,995.0","44,767.0","46,087.0","46,291.0","47,225.0","47,656.0","48,024.0","49,168.0","50,882.0","51,918.0","52,336.0"
"33","14","        Nondurable goods","B804RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,718.0","16,722.0","17,224.0","18,521.0","19,353.0","18,885.0","19,228.0","19,083.0","19,149.0","19,935.0","20,122.0","19,999.0","19,557.0","19,662.0","20,061.0","19,366.0","19,442.0","19,651.0","20,154.0","21,373.0","22,237.0","22,792.0","23,370.0","23,371.0","23,587.0","24,340.0","25,201.0","25,437.0","25,226.0","25,565.0","26,121.0","26,879.0","28,614.0","29,740.0","29,222.0","31,541.0","31,805.0","31,918.0","32,876.0","33,325.0","32,523.0","33,409.0","33,836.0","34,519.0","34,797.0"
