"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Current receipts","W023RC1","100,108.0","103,358.0","107,489.0","110,861.0","115,096.0","118,561.0","122,203.0","124,462.0","128,496.0","133,155.0","136,713.0","141,344.0","147,186.0","159,409.0","154,873.0","172,267.0","171,019.0","172,364.0","175,108.0","178,876.0","180,437.0","185,834.0","192,026.0","194,023.0","198,280.0","207,608.0","213,843.0","218,619.0","225,760.0","230,232.0","234,875.0","243,824.0","247,886.0","256,304.0","265,182.0","270,380.0","277,748.0","289,536.0","287,493.0","295,522.0","298,799.0","302,780.0","312,800.0","319,045.0","327,958.0","329,523.0","341,517.0","353,677.0","363,516.0","368,072.0","374,039.0","375,309.0","380,788.0","389,121.0","395,028.0","400,798.0","407,572.0","423,576.0","436,391.0","446,896.0","465,325.0","478,095.0","481,642.0","495,550.0","506,540.0","516,425.0","526,113.0","535,198.0","552,624.0","554,805.0","567,091.0","572,020.0","572,793.0","594,072.0","593,460.0","601,979.0","615,810.0","625,615.0","644,104.0","656,601.0","674,553.0","686,540.0","694,692.0","694,175.0","721,551.0","730,171.0","743,902.0","756,206.0","764,232.0","779,077.0","797,999.0","816,278.0","825,576.0","842,438.0","853,686.0","863,239.0","864,034.0","876,961.0","893,492.0","918,127.0","924,130.0","932,283.0","954,530.0","968,398.0","984,628.0","980,948.0","998,766.0","1,003,196.0","1,022,797.0","1,044,659.0","1,051,343.0","1,061,538.0","1,077,714.0","1,085,776.0","1,107,724.0","1,126,674.0","1,139,890.0","1,152,186.0","1,167,297.0","1,198,634.0","1,210,334.0","1,221,473.0","1,252,852.0","1,277,007.0","1,299,129.0","1,323,444.0","1,331,638.0","1,336,197.0","1,368,267.0","1,388,654.0","1,363,658.0","1,375,446.0","1,380,973.0","1,395,216.0","1,429,488.0","1,445,119.0","1,440,976.0","1,473,232.0","1,519,208.0","1,551,836.0","1,555,210.0","1,580,224.0","1,610,718.0","1,657,699.0","1,690,809.0","1,714,265.0","1,741,256.0","1,775,353.0","1,800,616.0","1,830,252.0","1,842,452.0","1,845,332.0","1,906,738.0","1,923,393.0","1,926,166.0","1,935,922.0","1,942,888.0","1,993,208.0","1,945,573.0","1,897,534.0","1,893,294.0","1,952,843.0","1,969,238.0","1,999,160.0","2,033,953.0","2,043,343.0","2,082,144.0","2,099,305.0","2,092,493.0","2,128,030.0"
"21","2","Current tax receipts","W070RC1","78,975.0","81,065.0","83,868.0","85,932.0","88,383.0","90,315.0","92,473.0","93,985.0","97,051.0","100,049.0","103,193.0","106,455.0","110,861.0","114,536.0","116,791.0","120,140.0","122,995.0","124,722.0","127,638.0","129,745.0","130,614.0","134,706.0","139,277.0","139,563.0","140,857.0","144,775.0","150,262.0","153,862.0","160,014.0","163,742.0","167,286.0","171,854.0","176,926.0","181,607.0","186,107.0","190,304.0","192,112.0","200,207.0","197,637.0","202,748.0","206,311.0","208,412.0","214,558.0","218,787.0","224,521.0","224,101.0","231,508.0","239,966.0","249,533.0","252,505.0","259,466.0","261,584.0","265,371.0","270,632.0","276,513.0","280,116.0","283,719.0","295,918.0","307,524.0","316,435.0","328,026.0","335,988.0","339,038.0","346,128.0","353,914.0","360,619.0","367,480.0","372,739.0","378,866.0","383,619.0","392,209.0","403,470.0","406,977.0","424,510.0","424,914.0","432,024.0","438,359.0","445,721.0","458,840.0","468,132.0","481,478.0","490,632.0","491,114.0","488,792.0","509,841.0","513,401.0","522,447.0","530,804.0","529,548.0","538,225.0","549,171.0","560,168.0","565,270.0","579,642.0","583,924.0","590,228.0","588,867.0","598,252.0","608,384.0","623,458.0","630,435.0","636,166.0","652,234.0","658,054.0","667,685.0","661,590.0","676,264.0","682,920.0","695,328.0","705,960.0","712,558.0","724,538.0","734,571.0","740,992.0","756,232.0","767,890.0","779,863.0","791,396.0","798,810.0","809,649.0","820,598.0","830,274.0","847,268.0","863,600.0","881,749.0","898,726.0","893,924.0","898,577.0","917,883.0","927,940.0","902,097.0","909,196.0","911,494.0","911,771.0","941,183.0","950,156.0","951,814.0","952,270.0","992,489.0","1,014,110.0","1,028,339.0","1,040,143.0","1,068,925.0","1,100,140.0","1,133,386.0","1,150,474.0","1,171,217.0","1,197,215.0","1,229,970.0","1,249,495.0","1,253,812.0","1,262,851.0","1,301,923.0","1,314,018.0","1,315,073.0","1,323,297.0","1,328,404.0","1,372,286.0","1,330,739.0","1,274,034.0","1,237,420.0","1,232,537.0","1,264,405.0","1,276,830.0","1,296,661.0","1,293,430.0","1,313,849.0","1,327,755.0","1,351,429.0","1,374,243.0"
